Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Akron, OH",3.91535E+14,0.218608658,0.169684506,26.835,12037,1,3
"Akron, OH",3.91535E+14,0.099450885,0.169684506,27.31,12037,1,3
"Akron, OH",3.91535E+14,0.152352817,0.169684506,28.265,12552,1,3
"Akron, OH",3.91535E+14,0.232422863,0.169684506,27.89705882,17684,1,3
"Akron, OH",3.91535E+14,0.118113138,0.169684506,27.825,18965,1,3
"Akron, OH",3.91535E+14,0.174434612,0.169684506,27.49285714,12822,1,3
"Akron, OH",3.91535E+14,0.214285714,0.169684506,27.47105263,12822,1,3
"Akron, OH",3.91535E+14,0.099785736,0.169684506,27.71666667,12822,1,3
"Akron, OH",3.91535E+14,0.187613111,0.169684506,26.96363636,19224,1,3
"Akron, OH",3.91336E+14,0,0.169684506,26.25,9758,1,3
"Akron, OH",3.91535E+14,0.301473872,0.169684506,27.98636364,15646,1,3
"Akron, OH",3.91535E+14,0.09152752,0.169684506,28.485,19231,1,3
"Akron, OH",3.91535E+14,0.229029488,0.169684506,28.9,19231,1,3
"Akron, OH",3.91336E+14,0,0.169684506,30.96666667,18722,1,3
"Akron, OH",3.91535E+14,0.235374771,0.169684506,27.035,12837,1,3
"Akron, OH",3.91535E+14,0.218054673,0.169684506,27.23666667,11815,1,3
"Akron, OH",3.91535E+14,0.011926947,0.169684506,28.05,11815,1,3
"Akron, OH",3.91535E+14,0.317734682,0.169684506,27.06875,11815,1,3
"Akron, OH",3.91535E+14,0.233829237,0.169684506,27.65,11815,1,3
"Akron, OH",3.91535E+14,0.240454915,0.169684506,27.65,11815,1,3
"Akron, OH",3.91535E+14,0.222786647,0.169684506,27.87307692,11815,1,3
"Akron, OH",3.91535E+14,0.228605271,0.169684506,27.72333333,11815,1,3
"Akron, OH",3.91535E+14,0.226007802,0.169684506,27.32058824,11815,1,3
"Akron, OH",3.91535E+14,0.11115586,0.169684506,27.27727273,14631,1,3
"Akron, OH",3.91535E+14,0.208809135,0.169684506,26.66875,14631,1,3
"Akron, OH",3.91535E+14,0.26563981,0.169684506,26.47105263,14631,1,3
"Akron, OH",3.91535E+14,0.002586844,0.169684506,30.60833333,14631,1,3
"Akron, OH",3.91535E+14,0.165140974,0.169684506,27.575,14631,1,3
"Akron, OH",3.91535E+14,0.149245542,0.169684506,26.39117647,19241,1,3
"Akron, OH",3.91535E+14,0.241634943,0.169684506,26.50238095,17454,1,3
"Akron, OH",3.91535E+14,0.143746616,0.169684506,26.70454546,17454,1,3
"Akron, OH",3.91535E+14,0.010526316,0.169684506,28.1326087,12848,1,3
"Akron, OH",3.91535E+14,0.003659652,0.169684506,29.65,12848,1,3
"Akron, OH",3.91535E+14,0.245833333,0.169684506,26.22142857,16433,1,3
"Akron, OH",3.91535E+14,0.169399402,0.169684506,27.29375,16433,1,3
"Akron, OH",3.91535E+14,0.184879189,0.169684506,27.49,16433,1,3
"Akron, OH",3.91535E+14,0.12412178,0.169684506,26.82142857,15666,1,3
"Akron, OH",3.91535E+14,0.075343872,0.169684506,27.13571429,15666,1,3
"Akron, OH",3.91535E+14,0.029936166,0.169684506,27.975,15666,1,3
"Akron, OH",3.91535E+14,0.225439504,0.169684506,26.59666667,15666,1,3
"Akron, OH",3.91336E+14,0.226221215,0.169684506,25.73023256,19252,1,3
"Akron, OH",3.91336E+14,0.044592848,0.169684506,27.2375,19252,1,3
"Akron, OH",3.91535E+14,0.16296528,0.169684506,27.09285714,13877,1,3
"Akron, OH",3.91535E+14,0.156529517,0.169684506,27.20714286,13877,1,3
"Akron, OH",3.91535E+14,0.113729186,0.169684506,27.26333333,13877,1,3
"Akron, OH",3.91336E+14,0.021292841,0.169684506,28.83418803,3384,1,3
"Akron, OH",3.91535E+14,0.255251432,0.169684506,25.97857143,10824,1,3
