Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Allentown, PA--NJ",420950147002038.00,0.025137471,0.350422535,29.11,20224,1,1
"Allentown, PA--NJ",420950147002012.00,0.073756432,0.350422535,29.3875,20224,1,1
"Allentown, PA--NJ",420950147002031.00,0.095568907,0.350422535,27.97,20224,1,1
"Allentown, PA--NJ",420950147002016.00,0.163151055,0.350422535,27.65914286,20224,1,1
"Allentown, PA--NJ",420950147002029.00,0.035228849,0.350422535,29.75588235,20224,1,1
"Allentown, PA--NJ",420950147002019.00,0.07703166,0.350422535,30.04545455,20224,1,1
"Allentown, PA--NJ",420950147002024.00,0.113483146,0.350422535,29.075,20224,1,1
"Allentown, PA--NJ",420770004001005.00,0.043325527,0.350422535,29.70714286,16141,1,1
"Allentown, PA--NJ",420770004001017.00,0.009166667,0.350422535,29.99,16141,1,1
"Allentown, PA--NJ",420770004001046.00,0,0.350422535,30.35,16141,1,1
"Allentown, PA--NJ",420770004001014.00,0.007306889,0.350422535,30.05,16141,1,1
"Allentown, PA--NJ",420770004001011.00,0.092782843,0.350422535,28.78571429,16141,1,1
"Allentown, PA--NJ",420770004001012.00,0.028417442,0.350422535,29.36,16141,1,1
"Allentown, PA--NJ",420770004001002.00,0.098957669,0.350422535,28.43761905,16141,1,1
"Allentown, PA--NJ",420770004001010.00,0,0.350422535,30.3,16141,1,1
"Allentown, PA--NJ",420770004001029.00,0.014955812,0.350422535,30.18846154,16141,1,1
"Allentown, PA--NJ",420770004001022.00,0.001620746,0.350422535,30.45,16141,1,1
"Allentown, PA--NJ",420770018001011.00,0,0.350422535,31.18333333,14868,1,1
"Allentown, PA--NJ",420950172002028.00,0.054235661,0.350422535,30.96111111,21527,1,1
"Allentown, PA--NJ",420950172002027.00,0.015806988,0.350422535,31.07272727,21527,1,1
"Allentown, PA--NJ",420950172002033.00,6.54E-04,0.350422535,31.7125,21527,1,1
"Allentown, PA--NJ",420950172002009.00,0.007056452,0.350422535,31.44,21527,1,1
"Allentown, PA--NJ",420950172002008.00,0.015234871,0.350422535,31.62272727,21527,1,1
"Allentown, PA--NJ",420770012001017.00,8.53E-04,0.350422535,30.0625,12319,1,1
"Allentown, PA--NJ",420770012001014.00,0,0.350422535,31.8625,12319,1,1
"Allentown, PA--NJ",420770012001015.00,0,0.350422535,31.9,12319,1,1
"Allentown, PA--NJ",420770012001011.00,0.003268241,0.350422535,30.69528302,12319,1,1
"Allentown, PA--NJ",420770065002017.00,0.0066305,0.350422535,32.02142857,20255,1,1
"Allentown, PA--NJ",420770065002003.00,0.133333333,0.350422535,29.07727273,20255,1,1
"Allentown, PA--NJ",420770065002016.00,0.062435678,0.350422535,31.17307692,20255,1,1
"Allentown, PA--NJ",420770065002018.00,0.009359606,0.350422535,32.15,20255,1,1
"Allentown, PA--NJ",420770065002012.00,0.547406659,0.350422535,24.67389937,20255,1,1
"Allentown, PA--NJ",420770065002046.00,0.001488095,0.350422535,32.25,20255,1,1
"Allentown, PA--NJ",420770065002009.00,0.043613707,0.350422535,29.56,20255,1,1
"Allentown, PA--NJ",420770056023021.00,0.073767666,0.350422535,29.15,21794,1,1
"Allentown, PA--NJ",420770056023002.00,0.643636364,0.350422535,25.785,21794,1,1
"Allentown, PA--NJ",420770056023022.00,0.213750323,0.350422535,28.22647059,21794,1,1
"Allentown, PA--NJ",420770056023026.00,0.057352044,0.350422535,29.7125,21794,1,1
"Allentown, PA--NJ",420770056023004.00,0.538703152,0.350422535,26.17560976,21794,1,1
"Allentown, PA--NJ",420770056023017.00,0.178155967,0.350422535,28.32368421,21794,1,1
"Allentown, PA--NJ",420770056023029.00,0.152661963,0.350422535,29.32142857,21794,1,1
"Allentown, PA--NJ",420770056023007.00,0.097535934,0.350422535,30.46111111,21794,1,1
"Allentown, PA--NJ",420770056023006.00,0.088270859,0.350422535,30.02,21794,1,1
"Allentown, PA--NJ",420770056023009.00,0.113880533,0.350422535,28.69,21794,1,1
"Allentown, PA--NJ",420770056023023.00,0.223842739,0.350422535,29.45,21794,1,1
"Allentown, PA--NJ",420770015011003.00,0.063414634,0.350422535,29.83,22564,1,1
"Allentown, PA--NJ",420770015011035.00,0.091523134,0.350422535,30.20384615,22564,1,1
"Allentown, PA--NJ",420770015011069.00,0,0.350422535,31.025,22564,1,1
"Allentown, PA--NJ",420770015011031.00,0.002068966,0.350422535,29.35,22564,1,1
"Allentown, PA--NJ",420770015011022.00,0.14874552,0.350422535,30.02142857,22564,1,1
"Allentown, PA--NJ",420770015011033.00,0.131991051,0.350422535,28.95,22564,1,1
"Allentown, PA--NJ",420770015011021.00,0.00312989,0.350422535,30.56666667,22564,1,1
"Allentown, PA--NJ",420770015011039.00,0.03299293,0.350422535,30.33333333,22564,1,1
"Allentown, PA--NJ",420770015011055.00,0.078374456,0.350422535,28.99,22564,1,1
"Allentown, PA--NJ",420770015011062.00,0.063461538,0.350422535,28.98333333,22564,1,1
"Allentown, PA--NJ",420770015011015.00,0.048309179,0.350422535,29.98333333,22564,1,1
"Allentown, PA--NJ",420770015011030.00,0.12961999,0.350422535,30,22564,1,1
"Allentown, PA--NJ",420770015011070.00,0.016856987,0.350422535,30.87941177,22564,1,1
"Allentown, PA--NJ",420770015011034.00,0.010356732,0.350422535,31.46111111,22564,1,1
"Allentown, PA--NJ",420770015011073.00,0.160441873,0.350422535,30.36111111,22564,1,1
"Allentown, PA--NJ",420770015011075.00,0.016177958,0.350422535,29.91,22564,1,1
"Allentown, PA--NJ",420770015011008.00,0.062906725,0.350422535,29.72142857,22564,1,1
"Allentown, PA--NJ",420770015011005.00,0.03986711,0.350422535,29.85,22564,1,1
"Allentown, PA--NJ",420770015011043.00,0.035171103,0.350422535,30.33,22564,1,1
"Allentown, PA--NJ",420770015011041.00,0.141851651,0.350422535,28.83235294,22564,1,1
"Allentown, PA--NJ",420770015011006.00,0.029585799,0.350422535,30.25,22564,1,1
"Allentown, PA--NJ",420770015011023.00,0.019944979,0.350422535,29.95,22564,1,1
"Allentown, PA--NJ",420770015011025.00,0.155191257,0.350422535,29.65,22564,1,1
"Allentown, PA--NJ",420770015022023.00,0.689571755,0.350422535,23.11857143,17959,1,1
"Allentown, PA--NJ",420770015022001.00,0.291306851,0.350422535,29.23571429,17959,1,1
"Allentown, PA--NJ",420770015022034.00,0.586184635,0.350422535,23.85,17959,1,1
"Allentown, PA--NJ",420770015022014.00,0.120978704,0.350422535,26.85,17959,1,1
"Allentown, PA--NJ",420770015022003.00,0.053787234,0.350422535,29.2462963,17959,1,1
"Allentown, PA--NJ",420770015022031.00,0.02020202,0.350422535,28,17959,1,1
"Allentown, PA--NJ",420770015022032.00,0.412060302,0.350422535,26.05,17959,1,1
"Allentown, PA--NJ",420770015022025.00,0.19470405,0.350422535,25.08333333,17959,1,1
"Allentown, PA--NJ",420770015022010.00,0.151091703,0.350422535,28.5,17959,1,1
"Allentown, PA--NJ",420770015022029.00,0,0.350422535,28.35,17959,1,1
"Allentown, PA--NJ",420770015022018.00,0.00529661,0.350422535,29.47368421,17959,1,1
"Allentown, PA--NJ",420770015022021.00,0.342231222,0.350422535,25.58043478,17959,1,1
"Allentown, PA--NJ",420770015022005.00,0.113960114,0.350422535,28.87,17959,1,1
"Allentown, PA--NJ",420770015022017.00,0.066817156,0.350422535,28.8375,17959,1,1
"Allentown, PA--NJ",420950107002003.00,0.18183908,0.350422535,30.20789474,20519,1,1
"Allentown, PA--NJ",420950107002004.00,0.082414017,0.350422535,30.73571429,20519,1,1
"Allentown, PA--NJ",420950157001006.00,0.430214169,0.350422535,26.1130303,21799,1,1
"Allentown, PA--NJ",420950157001004.00,0.585850984,0.350422535,24.42345679,21799,1,1
"Allentown, PA--NJ",420950157001007.00,0.442092119,0.350422535,25.57811502,21799,1,1
