Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Asheville, NC",370210031041014.00,0.008558262,0.454515162,25.55,20738,1,2
"Asheville, NC",370210031041023.00,0.312720848,0.454515162,23.55,20738,1,2
"Asheville, NC",370210031041041.00,0.072962171,0.454515162,27.36789474,20738,1,2
"Asheville, NC",370899303002014.00,0.062584574,0.454515162,28.86428571,21769,1,2
"Asheville, NC",370899303002016.00,0.202377022,0.454515162,29.27857143,21769,1,2
"Asheville, NC",370899303002054.00,0.587326121,0.454515162,25.88333333,21769,1,2
"Asheville, NC",370210004002002.00,0.581509403,0.454515162,25.85990991,22292,1,2
"Asheville, NC",370899304023011.00,0.04451683,0.454515162,26.25,21532,1,2
"Asheville, NC",370210025063003.00,0.694443657,0.454515162,25.44490446,14623,1,2
"Asheville, NC",370210025032022.00,0.511811024,0.454515162,24.88333333,22303,1,2
"Asheville, NC",370210025032008.00,0.235743152,0.454515162,26.20555556,22303,1,2
"Asheville, NC",370899313001022.00,0.311674009,0.454515162,27.7,17957,1,2
"Asheville, NC",370899313001024.00,0.277235772,0.454515162,28.01666667,17957,1,2
"Asheville, NC",370210024021056.00,0.060150376,0.454515162,26.01666667,19237,1,2
"Asheville, NC",370210024021028.00,0.795180723,0.454515162,23.45,19237,1,2
"Asheville, NC",370210024021003.00,0.535492764,0.454515162,24.61666667,19237,1,2
"Asheville, NC",370899312001050.00,0.380084608,0.454515162,26.95,12072,1,2
"Asheville, NC",370899312001075.00,0.51810585,0.454515162,25.75,12072,1,2
"Asheville, NC",370899312001048.00,0.270403718,0.454515162,27.03571429,12072,1,2
"Asheville, NC",370899312001045.00,0.462187711,0.454515162,27.28076923,12072,1,2
"Asheville, NC",370899312001066.00,0.128467153,0.454515162,24.58333333,12072,1,2
"Asheville, NC",370899312001047.00,0.380351983,0.454515162,27.28888889,12072,1,2
"Asheville, NC",370899314003011.00,0.48357708,0.454515162,25.75,20268,1,2
"Asheville, NC",370899314003006.00,0.184541902,0.454515162,26.66,20268,1,2
"Asheville, NC",370899310002016.00,0.427562594,0.454515162,27.7452381,17976,1,2
"Asheville, NC",370210002001024.00,0.3727108,0.454515162,27.30407407,20286,1,2
"Asheville, NC",370210002001000.00,0.629934558,0.454515162,26.32368421,20286,1,2
"Asheville, NC",370210002001002.00,0.236305732,0.454515162,26.57222222,20286,1,2
"Asheville, NC",370210002001003.00,0.481150794,0.454515162,27.22272727,20286,1,2
"Asheville, NC",370210002001006.00,0.757089552,0.454515162,24.02692308,20286,1,2
"Asheville, NC",370210002001007.00,0.426347305,0.454515162,25.46666667,20286,1,2
"Asheville, NC",370210009003051.00,0.179683832,0.454515162,28.53214286,12886,1,2
"Asheville, NC",370210009003037.00,0.337594573,0.454515162,26.50625,12886,1,2
"Asheville, NC",370210009003044.00,0.397551546,0.454515162,27.49285714,12886,1,2
"Asheville, NC",370210009003010.00,0.431894193,0.454515162,26.95322581,12886,1,2
"Asheville, NC",370210009003031.00,0.355960462,0.454515162,27.76388889,12886,1,2
"Asheville, NC",370210009003043.00,0.39292365,0.454515162,27.15952381,12886,1,2
"Asheville, NC",370210014001005.00,0.597883598,0.454515162,25.325,18010,1,2
"Asheville, NC",370210012003007.00,0.462796129,0.454515162,26.69166667,18266,1,2
"Asheville, NC",370210012003011.00,0.556590909,0.454515162,27.13125,18266,1,2
"Asheville, NC",370210012003008.00,0.503219619,0.454515162,26.853125,18266,1,2
"Asheville, NC",370210012003013.00,0.616024187,0.454515162,26.00789474,18266,1,2
"Asheville, NC",370899314002008.00,0.246322768,0.454515162,25.94545455,20070,1,2
"Asheville, NC",370899314002010.00,0.261528822,0.454515162,26.89054054,20070,1,2
"Asheville, NC",370899314002009.00,0.15927805,0.454515162,26.58888889,20070,1,2
"Asheville, NC",370899314002020.00,0.108032379,0.454515162,27.03518519,20070,1,2
"Asheville, NC",370210010002018.00,0.366001946,0.454515162,25.4625,17797,1,2
"Asheville, NC",370210010002006.00,0.27672956,0.454515162,26.575,17797,1,2
"Asheville, NC",370210010002000.00,0.37241583,0.454515162,27.57,17797,1,2
