Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Atlanta, GA",130859702013008.00,0.522908009,0.67148826,27.09054054,26735,2,1
"Atlanta, GA",130859702023044.00,0.736185383,0.67148826,24.53852459,26553,2,1
"Atlanta, GA",130859702023050.00,0.805676117,0.67148826,24.37147022,26553,2,1
"Atlanta, GA",130859702014009.00,0.778120483,0.67148826,24.68686259,34297,3,1
"Atlanta, GA",130859702014023.00,0.771349096,0.67148826,24.90588235,34297,3,1
"Atlanta, GA",130859702014017.00,0.66411758,0.67148826,25.40957447,34297,3,1
"Atlanta, GA",130859702014011.00,0.25502863,0.67148826,27.23813559,34297,3,1
"Atlanta, GA",130859702014018.00,0.62413565,0.67148826,25.26066667,34297,3,1
"Atlanta, GA",130859702014052.00,0.684177754,0.67148826,24.90684455,34297,3,1
"Atlanta, GA",130859702014019.00,0.748322533,0.67148826,24.78987207,34297,3,1
"Atlanta, GA",130459102003071.00,0.681632653,0.67148826,26.7125,18225,1,1
"Atlanta, GA",130459102003073.00,0.596299411,0.67148826,27.60555556,18225,1,1
"Atlanta, GA",130459102003067.00,0.67142545,0.67148826,25.50087719,18225,1,1
"Atlanta, GA",130459102003065.00,0.684896965,0.67148826,26.202,18225,1,1
"Atlanta, GA",130459102003072.00,0.621982759,0.67148826,26.74,18225,1,1
"Atlanta, GA",130459102003077.00,0.561425501,0.67148826,27.09230769,18225,1,1
"Atlanta, GA",130459102003066.00,0.674707031,0.67148826,26.55666667,18225,1,1
"Atlanta, GA",130459102003060.00,0.601600822,0.67148826,25.85264317,18225,1,1
"Atlanta, GA",130459102003074.00,0.125321888,0.67148826,29.27,18225,1,1
"Atlanta, GA",130459102003064.00,0.897676561,0.67148826,24.50369128,18225,1,1
"Atlanta, GA",130459102003078.00,0.726926077,0.67148826,26.50686275,18225,1,1
"Atlanta, GA",130459102003070.00,0.687507015,0.67148826,26.26625,18225,1,1
"Atlanta, GA",130459102003062.00,0.629251961,0.67148826,26.18150685,18225,1,1
"Atlanta, GA",130459102003069.00,0.875141209,0.67148826,24.49324324,18225,1,1
"Atlanta, GA",130459102003075.00,0.726325156,0.67148826,25.66944444,18225,1,1
"Atlanta, GA",130459101031050.00,0.450800765,0.47510675,27.78939394,25826,2,3
"Atlanta, GA",130459101042014.00,0.660404394,0.67148826,25.63148148,25112,2,1
"Atlanta, GA",130459101042016.00,0.751476494,0.67148826,25.07857143,25112,2,1
"Atlanta, GA",130459101042036.00,0.717560408,0.67148826,25.05348837,25112,2,1
"Atlanta, GA",130459101042033.00,0.791857679,0.67148826,24.87434326,25112,2,1
"Atlanta, GA",130459101041020.00,0.707287748,0.67148826,25.61434783,25112,2,1
"Atlanta, GA",130459101042001.00,0.684861407,0.67148826,24.32777778,25112,2,1
