Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Barnstable Town, MA",250010133001074.00,0.055555556,0.179755672,0,28866,1,3
"Barnstable Town, MA",250010138003017.00,0.188822572,0.179755672,28.17,26066,1,3
"Barnstable Town, MA",250010139001026.00,0.054945055,0.179755672,0,32057,1,3
"Barnstable Town, MA",250010141001406.00,0.014285714,0.179755672,27.05,19225,1,3
"Barnstable Town, MA",250010145003021.00,0,0.179755672,0,24398,1,3
"Barnstable Town, MA",250010146002003.00,0.086538462,0.179755672,25.85,31158,1,3
"Barnstable Town, MA",250235309014038.00,0.042748092,0.179755672,23.95,33324,1,3
"Barnstable Town, MA",250235442001068.00,0.178957882,0.179755672,28.31666667,29244,1,3
"Barnstable Town, MA",250235452002044.00,0.141463415,0.179755672,25.95,31278,1,3
"Barnstable Town, MA",250235454002024.00,0.488178025,0.179755672,26.28333333,31239,1,3
"Barnstable Town, MA",250235454005067.00,0.067047076,0.179755672,27.95,28758,1,3
"Barnstable Town, MA",250235454005069.00,0.169919633,0.179755672,28.03333333,28758,1,3
"Barnstable Town, MA",250010133001057.00,0.470411234,0.311457175,24.06111111,28866,1,2
"Barnstable Town, MA",250010136002042.00,0.423464711,0.311457175,24.77142857,32968,1,2
"Barnstable Town, MA",250010145003010.00,0.155198094,0.311457175,26.35,24398,1,2
"Barnstable Town, MA",250010145003013.00,0.580831059,0.311457175,25.09375,24398,1,2
"Barnstable Town, MA",250010145003031.00,0.497972973,0.311457175,25.60333333,24398,1,2
"Barnstable Town, MA",250010145003080.00,0.306848404,0.311457175,26.24166667,24398,1,2
"Barnstable Town, MA",250010146002011.00,0.294347826,0.311457175,27.96132076,31158,1,2
"Barnstable Town, MA",250010146002014.00,0.599759615,0.311457175,25.49545455,31158,1,2
"Barnstable Town, MA",250010150012039.00,0.309252218,0.311457175,25,32935,1,2
"Barnstable Town, MA",250010150021045.00,0.667193426,0.311457175,24.33571429,32620,1,2
"Barnstable Town, MA",250010150021065.00,0.591158776,0.311457175,25.11470588,32620,1,2
"Barnstable Town, MA",250010150021072.00,0.505385253,0.311457175,24.30454546,32620,1,2
"Barnstable Town, MA",250010150021084.00,0.346733319,0.311457175,26.325,32620,1,2
"Barnstable Town, MA",250235308021003.00,0.085950413,0.311457175,27.65,28219,1,2
"Barnstable Town, MA",250235308021005.00,0.066091954,0.311457175,26.5875,28219,1,2
"Barnstable Town, MA",250235308021017.00,0.257910529,0.311457175,23.36515152,28219,1,2
"Barnstable Town, MA",250235309014040.00,0.593596059,0.311457175,22.65,33324,1,2
"Barnstable Town, MA",250235442001057.00,0.224991801,0.311457175,27.28076923,29244,1,2
"Barnstable Town, MA",250235442001066.00,0.240013427,0.311457175,27.79166667,29244,1,2
"Barnstable Town, MA",250235451002004.00,0.534090909,0.311457175,25.58333333,24232,1,2
"Barnstable Town, MA",250235451004001.00,0.232284356,0.311457175,28.08125,30491,1,2
"Barnstable Town, MA",250235451004002.00,0.166890983,0.311457175,28.33666667,30491,1,2
"Barnstable Town, MA",250235451004007.00,0.14262069,0.311457175,28.07903226,30491,1,2
"Barnstable Town, MA",250235451004010.00,0.185522362,0.311457175,27.25416667,30491,1,2
"Barnstable Town, MA",250235451004029.00,0.348372359,0.311457175,26.55,30491,1,2
"Barnstable Town, MA",250235451004033.00,0.361814968,0.311457175,26.67857143,30491,1,2
"Barnstable Town, MA",250235451004034.00,0.362547289,0.311457175,26.35625,30491,1,2
"Barnstable Town, MA",250235451004035.00,0.216666667,0.311457175,25.88333333,30491,1,2
"Barnstable Town, MA",250235451004039.00,0.433884298,0.311457175,25.57727273,30491,1,2
"Barnstable Town, MA",250235451004041.00,0.196202532,0.311457175,26.13,30491,1,2
"Barnstable Town, MA",250235452001003.00,0.305856833,0.311457175,27.15,31795,1,2
"Barnstable Town, MA",250235452001006.00,0.463990193,0.311457175,24.86538462,31795,1,2
"Barnstable Town, MA",250235452001029.00,0.282555283,0.311457175,27.21666667,31795,1,2
"Barnstable Town, MA",250235452002017.00,0.321143474,0.311457175,26.63604651,31278,1,2
"Barnstable Town, MA",250235452002022.00,0.301685892,0.311457175,25.65476191,31278,1,2
"Barnstable Town, MA",250235452002027.00,0.241225461,0.311457175,26.30333333,31278,1,2
"Barnstable Town, MA",250235452002047.00,0.298371175,0.311457175,25.55,31278,1,2
"Barnstable Town, MA",250235452002050.00,0.075238095,0.311457175,25.40714286,31278,1,2
"Barnstable Town, MA",250235452002053.00,0.240399153,0.311457175,25.75,31278,1,2
"Barnstable Town, MA",250235452002054.00,0.426337943,0.311457175,25.075,31278,1,2
"Barnstable Town, MA",250235452002065.00,0.27346183,0.311457175,26.9962963,31278,1,2
"Barnstable Town, MA",250235452003002.00,0.2732,0.311457175,25.04047619,23202,1,2
"Barnstable Town, MA",250235452003006.00,0.090352667,0.311457175,25.28333333,23202,1,2
"Barnstable Town, MA",250235452003011.00,0.105329949,0.311457175,27.36428571,23202,1,2
"Barnstable Town, MA",250235452003013.00,0.102040816,0.311457175,26.75,23202,1,2
"Barnstable Town, MA",250235452003032.00,0.279728199,0.311457175,25.59375,23202,1,2
"Barnstable Town, MA",250235452003083.00,0.227848101,0.311457175,26.40625,23202,1,2
"Barnstable Town, MA",250235452003096.00,0.147900763,0.311457175,25.725,23202,1,2
"Barnstable Town, MA",250235452004130.00,0.348195329,0.311457175,26.12647059,32002,1,2
"Barnstable Town, MA",250235452004174.00,0.221052632,0.311457175,26.8,32002,1,2
"Barnstable Town, MA",250235452004175.00,0.252989595,0.311457175,26.93928571,32002,1,2
"Barnstable Town, MA",250235452004177.00,0.202409639,0.311457175,27.41666667,32002,1,2
"Barnstable Town, MA",250235452004203.00,0.483248731,0.311457175,24.5,32002,1,2
"Barnstable Town, MA",250235454001003.00,0.344140874,0.311457175,27.57555556,20167,1,2
"Barnstable Town, MA",250235454001017.00,0.343175853,0.311457175,27.57962963,20167,1,2
"Barnstable Town, MA",250235454001021.00,0.024621212,0.311457175,27.81,20167,1,2
"Barnstable Town, MA",250235454002007.00,0.170882808,0.311457175,26.33181818,31239,1,2
"Barnstable Town, MA",250235454002009.00,0.318878668,0.311457175,26.15,31239,1,2
"Barnstable Town, MA",250235454002010.00,0.05782652,0.311457175,25.87222222,31239,1,2
"Barnstable Town, MA",250235454002014.00,0.050664043,0.311457175,26.11578947,31239,1,2
"Barnstable Town, MA",250235454002026.00,0.230478589,0.311457175,25.57857143,31239,1,2
"Barnstable Town, MA",250235454002027.00,0.261636107,0.311457175,26.13571429,31239,1,2
"Barnstable Town, MA",250235454002028.00,0.428122545,0.311457175,26.41666667,31239,1,2
"Barnstable Town, MA",250235454002029.00,0.288515406,0.311457175,25.67857143,31239,1,2
"Barnstable Town, MA",250235454002030.00,0.320733104,0.311457175,26.625,31239,1,2
"Barnstable Town, MA",250235454005007.00,0.24182342,0.311457175,27.67307692,28758,1,2
"Barnstable Town, MA",250235454005019.00,0.142857143,0.311457175,27.75,28758,1,2
"Barnstable Town, MA",250235454005020.00,0.025167785,0.311457175,27.75,28758,1,2
"Barnstable Town, MA",250235454005025.00,0.087314662,0.311457175,28.01666667,28758,1,2
"Barnstable Town, MA",250235454005027.00,0.345823096,0.311457175,26.99285714,28758,1,2
"Barnstable Town, MA",250235454005034.00,0.126331811,0.311457175,25.91666667,28758,1,2
"Barnstable Town, MA",250235454005055.00,0.028703704,0.311457175,27.95,28758,1,2
"Barnstable Town, MA",250235454005059.00,0.132208923,0.311457175,28.4375,28758,1,2
"Barnstable Town, MA",250235454005061.00,0.03691916,0.311457175,27.87857143,28758,1,2
"Barnstable Town, MA",250235454005072.00,0.202061856,0.311457175,28.5,28758,1,2
"Barnstable Town, MA",250010136002058.00,0.202702703,0.015537333,23.25,32968,1,4
"Barnstable Town, MA",250235454005008.00,0,0.015537333,27.95,28758,1,4
"Barnstable Town, MA",250010132002005.00,0.672742437,0.579049854,22.40676856,29483,1,1
"Barnstable Town, MA",250010132002006.00,0.590241914,0.579049854,23.60820896,29483,1,1
"Barnstable Town, MA",250010132002007.00,0.630777671,0.579049854,23.775,29483,1,1
"Barnstable Town, MA",250010132002008.00,0.788690524,0.579049854,23.16276596,29483,1,1
"Barnstable Town, MA",250010132002010.00,0.784006993,0.579049854,23.31302083,29483,1,1
"Barnstable Town, MA",250010132002011.00,0.388856132,0.579049854,24.77857143,29483,1,1
"Barnstable Town, MA",250010132002012.00,0.632826748,0.579049854,23.99782609,29483,1,1
"Barnstable Town, MA",250010132002013.00,0.569664222,0.579049854,23.64358974,29483,1,1
"Barnstable Town, MA",250010132002014.00,0.528903296,0.579049854,23.9875,29483,1,1
"Barnstable Town, MA",250010132002015.00,0.446398185,0.579049854,24.34166667,29483,1,1
"Barnstable Town, MA",250010132002016.00,0.49612689,0.579049854,24.765,29483,1,1
"Barnstable Town, MA",250010132002017.00,0.390874685,0.579049854,24.70909091,29483,1,1
"Barnstable Town, MA",250010132002018.00,0.560179978,0.579049854,24.10833333,29483,1,1
"Barnstable Town, MA",250010132002019.00,0.400386047,0.579049854,24.46290323,29483,1,1
"Barnstable Town, MA",250010132002021.00,0.864178146,0.579049854,22.64516129,29483,1,1
"Barnstable Town, MA",250010132002022.00,0.912538245,0.579049854,22.39609929,29483,1,1
"Barnstable Town, MA",250010132002023.00,0.698516159,0.579049854,23.68583138,29483,1,1
"Barnstable Town, MA",250010132002026.00,0.445262854,0.579049854,24.94666667,29483,1,1
"Barnstable Town, MA",250010132002029.00,0.706542391,0.579049854,23.27541437,29483,1,1
"Barnstable Town, MA",250010132002030.00,0.643603133,0.579049854,24.41410256,29483,1,1
"Barnstable Town, MA",250010132002032.00,0.75170402,0.579049854,23.45636943,29483,1,1
"Barnstable Town, MA",250010132002033.00,0.66500227,0.579049854,24.32272727,29483,1,1
"Barnstable Town, MA",250010132002034.00,0.756047449,0.579049854,23.20332136,29483,1,1
"Barnstable Town, MA",250010132002036.00,0.711921433,0.579049854,23.91938776,29483,1,1
"Barnstable Town, MA",250010132002037.00,0.636846096,0.579049854,23.77941177,29483,1,1
"Barnstable Town, MA",250010132002039.00,0.639594811,0.579049854,23.43,29483,1,1
"Barnstable Town, MA",250010132002041.00,0.541598627,0.579049854,24.29259259,29483,1,1
"Barnstable Town, MA",250010132002042.00,0.676814199,0.579049854,23.91666667,29483,1,1
"Barnstable Town, MA",250010132002043.00,0.545749739,0.579049854,24.62435897,29483,1,1
"Barnstable Town, MA",250010132002044.00,0.867595916,0.579049854,22.30345912,29483,1,1
"Barnstable Town, MA",250010132002045.00,0.576485461,0.579049854,24.2975,29483,1,1
"Barnstable Town, MA",250010132002046.00,0.610334767,0.579049854,23.70892857,29483,1,1
"Barnstable Town, MA",250010132002047.00,0.746722002,0.579049854,23.29929578,29483,1,1
"Barnstable Town, MA",250010132002049.00,0.550033905,0.579049854,24.52021277,29483,1,1
"Barnstable Town, MA",250010132002050.00,0.557977737,0.579049854,24.875,29483,1,1
"Barnstable Town, MA",250010132002051.00,0.6912996,0.579049854,24.29615385,29483,1,1
"Barnstable Town, MA",250010132002077.00,0.553556827,0.579049854,24.58181818,29483,1,1
"Barnstable Town, MA",250010132002078.00,0.642585551,0.579049854,24.146875,29483,1,1
"Barnstable Town, MA",250010132002081.00,0.607727273,0.579049854,23.08333333,29483,1,1
"Barnstable Town, MA",250010132002083.00,0.600576369,0.579049854,23.95,29483,1,1
"Barnstable Town, MA",250010132002084.00,0.740673406,0.579049854,23.33956044,29483,1,1
"Barnstable Town, MA",250010132002085.00,0.706467882,0.579049854,23.68399015,29483,1,1
"Barnstable Town, MA",250010132002086.00,0.444280225,0.579049854,24.94285714,29483,1,1
"Barnstable Town, MA",250010132002088.00,0.350635593,0.579049854,25.01666667,29483,1,1
"Barnstable Town, MA",250010132002090.00,0.721889919,0.579049854,23.32721519,29483,1,1
"Barnstable Town, MA",250010132002091.00,0.792977054,0.579049854,23.2352459,29483,1,1
"Barnstable Town, MA",250010132002092.00,0.571955678,0.579049854,24.70114504,29483,1,1
"Barnstable Town, MA",250010132002093.00,0.285994673,0.579049854,26.21774194,29483,1,1
"Barnstable Town, MA",250010132002097.00,0.463289135,0.579049854,24.80652174,29483,1,1
"Barnstable Town, MA",250010132002098.00,0.506567853,0.579049854,24.6754902,29483,1,1
"Barnstable Town, MA",250010132002099.00,0.346276442,0.579049854,25.18333333,29483,1,1
"Barnstable Town, MA",250010132002100.00,0.550910789,0.579049854,24.89444444,29483,1,1
"Barnstable Town, MA",250010133001034.00,0.780721717,0.579049854,23.65072816,28866,1,1
"Barnstable Town, MA",250010133001042.00,0.3,0.579049854,26.87752294,28866,1,1
"Barnstable Town, MA",250010133001045.00,0.78517523,0.579049854,25.30476191,28866,1,1
"Barnstable Town, MA",250010133001046.00,0.700813008,0.579049854,25.0875,28866,1,1
"Barnstable Town, MA",250010133001047.00,0.577417297,0.579049854,24.47164949,28866,1,1
"Barnstable Town, MA",250010133001048.00,0.010347376,0.579049854,27.98846154,28866,1,1
"Barnstable Town, MA",250010133001049.00,0.384205128,0.579049854,25.28333333,28866,1,1
"Barnstable Town, MA",250010133001054.00,0.615759836,0.579049854,23.64593496,28866,1,1
"Barnstable Town, MA",250010133001055.00,0.477198697,0.579049854,24.07,28866,1,1
"Barnstable Town, MA",250010133001056.00,0.618363427,0.579049854,24.04827586,28866,1,1
