Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Baton Rouge, LA",220330028012007.00,0.173186791,0.445825502,29.45852273,10501,1,3
"Baton Rouge, LA",220330028012002.00,0.536369386,0.445825502,27.93235294,10501,1,3
"Baton Rouge, LA",220330028012006.00,0.194475446,0.445825502,28.20294118,10501,1,3
"Baton Rouge, LA",220330035064006.00,0.319747928,0.445825502,28.57096774,18696,1,3
"Baton Rouge, LA",220330042042004.00,0.335267302,0.445825502,28.03571429,13335,1,3
"Baton Rouge, LA",220330009005034.00,0.591104735,0.445825502,27.85,13591,1,3
"Baton Rouge, LA",220330009005028.00,0.557746745,0.445825502,27.7712766,13591,1,3
"Baton Rouge, LA",220330009005002.00,0.528533802,0.445825502,28.275,13591,1,3
"Baton Rouge, LA",220330032013005.00,0.445736434,0.445825502,27.7,17689,1,3
"Baton Rouge, LA",220330005002052.00,0.615947925,0.445825502,28.1,8991,1,3
"Baton Rouge, LA",220330005002016.00,0.833252779,0.445825502,26.07222222,8991,1,3
"Baton Rouge, LA",220330005002042.00,0.647033898,0.445825502,28.21363636,8991,1,3
"Baton Rouge, LA",220330005002058.00,0.555221315,0.445825502,29.2,8991,1,3
"Baton Rouge, LA",220330005002001.00,0.678929766,0.445825502,26.95,8991,1,3
"Baton Rouge, LA",220330005002020.00,0.538718663,0.445825502,28.07941177,8991,1,3
"Baton Rouge, LA",220330005002045.00,0.63430127,0.445825502,27.55909091,8991,1,3
"Baton Rouge, LA",220330005002019.00,0.7331434,0.445825502,27.1375,8991,1,3
"Baton Rouge, LA",220330004001001.00,0.263157895,0.445825502,0,11297,1,3
"Baton Rouge, LA",220330022002061.00,0.613714286,0.445825502,27.89545455,13090,1,3
"Baton Rouge, LA",220330010005019.00,0.542217701,0.445825502,27.01666667,14371,1,3
"Baton Rouge, LA",220330010005016.00,0.569502557,0.445825502,28.40238095,14371,1,3
"Baton Rouge, LA",220330028022009.00,0.607946652,0.445825502,28.36176471,11301,1,3
"Baton Rouge, LA",220330028022010.00,0.547717842,0.445825502,27.77222222,11301,1,3
"Baton Rouge, LA",220330028022026.00,0.426377845,0.445825502,28.29,11301,1,3
"Baton Rouge, LA",220330030004017.00,0.54140858,0.445825502,29.28684211,10023,1,3
"Baton Rouge, LA",220330030004018.00,0.30195178,0.445825502,29.49444444,10023,1,3
"Baton Rouge, LA",220479531013047.00,0.209054998,0.445825502,27.96333333,18983,1,3
"Baton Rouge, LA",220479531013015.00,0.392072709,0.445825502,27.78157895,18983,1,3
"Baton Rouge, LA",220479531013018.00,0.56519337,0.445825502,27.47222222,18983,1,3
"Baton Rouge, LA",220330034002023.00,0.620462046,0.445825502,28.40454546,16680,1,3
"Baton Rouge, LA",220330034002025.00,0.643213988,0.445825502,27.88,16680,1,3
"Baton Rouge, LA",220330034001017.00,0.288359788,0.445825502,27.75,16680,1,3
"Baton Rouge, LA",220330002004005.00,0.78227083,0.445825502,26.046875,15658,1,3
"Baton Rouge, LA",220330002005006.00,0.75,0.445825502,25.93125,15658,1,3
"Baton Rouge, LA",220330002004007.00,0.797356118,0.445825502,26.28103448,15658,1,3
"Baton Rouge, LA",220330002003006.00,0.233377284,0.445825502,27.79285714,15658,1,3
"Baton Rouge, LA",220330002005002.00,0.775186104,0.445825502,26.17352941,15658,1,3
"Baton Rouge, LA",220330002004011.00,0.793562826,0.445825502,26.0025,15658,1,3
"Baton Rouge, LA",220330002004004.00,0.160508783,0.445825502,30.025,15658,1,3
"Baton Rouge, LA",220330002004013.00,0.747765363,0.445825502,26.03235294,15658,1,3
"Baton Rouge, LA",220330002004012.00,0.724014337,0.445825502,25.89666667,15658,1,3
"Baton Rouge, LA",220330035043012.00,0.693935355,0.445825502,27.17307692,20523,1,3
"Baton Rouge, LA",220330035044007.00,0.784987893,0.445825502,26.2,20523,1,3
"Baton Rouge, LA",220330035044016.00,0.725845411,0.445825502,25.875,20523,1,3
"Baton Rouge, LA",220330035044002.00,0.731597396,0.445825502,26.37222222,20523,1,3
"Baton Rouge, LA",220330035044017.00,0.686231884,0.445825502,25.86666667,20523,1,3
"Baton Rouge, LA",220330035043020.00,0.723375364,0.445825502,26.67608696,20523,1,3
"Baton Rouge, LA",220330053001010.00,0.482976483,0.445825502,28.25666667,10297,1,3
"Baton Rouge, LA",220330053001041.00,0.604665072,0.445825502,27.8125,10297,1,3
"Baton Rouge, LA",220330011043001.00,0.457010153,0.445825502,28.5075,10814,1,3
"Baton Rouge, LA",220330011043002.00,0.31704571,0.445825502,29.275,10814,1,3
"Baton Rouge, LA",220330009003066.00,0.524702653,0.445825502,28.19,17471,1,3
"Baton Rouge, LA",220330009003075.00,0.45021645,0.445825502,28.275,17471,1,3
"Baton Rouge, LA",220330009003038.00,0.540325708,0.445825502,28.37727273,17471,1,3
"Baton Rouge, LA",220330009003061.00,0.607425441,0.445825502,27.83333333,17471,1,3
"Baton Rouge, LA",220330009003040.00,0.547626633,0.445825502,27.78636364,17471,1,3
"Baton Rouge, LA",220330009002011.00,0.615789474,0.445825502,28.02407407,15684,1,3
"Baton Rouge, LA",220330040142004.00,0.399223456,0.445825502,29.00425532,19532,1,3
"Baton Rouge, LA",220330040142001.00,0.445825502,0.445825502,28.04158249,19532,1,3
"Baton Rouge, LA",220330040142005.00,0.10591133,0.445825502,28.8,19532,1,3
"Baton Rouge, LA",220330040143000.00,0.193463955,0.445825502,29.45111732,19532,1,3
"Baton Rouge, LA",220330040142007.00,0.182577566,0.445825502,29.15,19532,1,3
"Baton Rouge, LA",220330040142012.00,0.244813278,0.445825502,29.56428571,19532,1,3
"Baton Rouge, LA",220330040143004.00,0.422966257,0.445825502,29.73333333,19532,1,3
"Baton Rouge, LA",220330040142013.00,0.328287197,0.445825502,28.69,19532,1,3
"Baton Rouge, LA",220330046022045.00,0.288577154,0.445825502,25.4,16726,1,3
"Baton Rouge, LA",220330028021000.00,0.344619037,0.445825502,27.90194805,6488,1,3
"Baton Rouge, LA",220330028021011.00,0.289511215,0.445825502,30.434375,6488,1,3
"Baton Rouge, LA",220330028021012.00,0.33290267,0.445825502,29.66,6488,1,3
"Baton Rouge, LA",220330028011005.00,0.192980196,0.445825502,28.36811594,11112,1,3
"Baton Rouge, LA",220330028011000.00,0.514135575,0.445825502,27.98170732,11112,1,3
"Baton Rouge, LA",220330030003016.00,0.471371816,0.445825502,28.65526316,4974,1,3
"Baton Rouge, LA",220330011021011.00,0.295175155,0.445825502,28.30844156,14707,1,3
"Baton Rouge, LA",220330017002035.00,0.555445824,0.445825502,28.025,18807,1,3
"Baton Rouge, LA",220330017002025.00,0.283114558,0.445825502,28.67258065,18807,1,3
"Baton Rouge, LA",220330007022010.00,0.603255069,0.445825502,27.60625,17796,1,3
"Baton Rouge, LA",220330007022008.00,0.552762775,0.445825502,27.61190476,17796,1,3
"Baton Rouge, LA",220330025001007.00,0.430547869,0.445825502,27.9,13957,1,3
"Baton Rouge, LA",220330025001018.00,0.610131612,0.445825502,28.92647059,13957,1,3
"Baton Rouge, LA",220330036042002.00,0.24527064,0.445825502,29.93072289,16517,1,3
"Baton Rouge, LA",220330036045008.00,0.47467609,0.445825502,29.40925926,16517,1,3
"Baton Rouge, LA",220330036045001.00,0.514203178,0.445825502,28.88793103,16517,1,3
"Baton Rouge, LA",220330036044010.00,0.506889764,0.445825502,28.78369565,16517,1,3
"Baton Rouge, LA",220330036045009.00,0.514064698,0.445825502,29.49,16517,1,3
"Baton Rouge, LA",220330036043008.00,0.465100761,0.445825502,29.28333333,16517,1,3
"Baton Rouge, LA",220330036045005.00,0.545078888,0.445825502,29.31486487,16517,1,3
"Baton Rouge, LA",220330036041009.00,0.413775817,0.445825502,28.11595745,16517,1,3
"Baton Rouge, LA",220330005001022.00,0.521477921,0.445825502,27.99166667,11910,1,3
"Baton Rouge, LA",220330005001036.00,0.592147806,0.445825502,28.15,11910,1,3
"Baton Rouge, LA",220330033005014.00,0.501215888,0.445825502,29.7625,11143,1,3
"Baton Rouge, LA",220330033005001.00,0.609462174,0.445825502,28.83235294,11143,1,3
"Baton Rouge, LA",220330053003035.00,0.628252788,0.445825502,26.90333333,8846,1,3
"Baton Rouge, LA",220330053003056.00,0.291902072,0.445825502,28.58684211,8846,1,3
"Baton Rouge, LA",220330053003030.00,0.379547408,0.445825502,28.37903226,8846,1,3
"Baton Rouge, LA",220330025002015.00,0.558927311,0.445825502,28.52777778,18328,1,3
"Baton Rouge, LA",220330011042000.00,0.10334737,0.445825502,30.26967213,9628,1,3
"Baton Rouge, LA",220330011042002.00,0.199733688,0.445825502,29.25344828,9628,1,3
"Baton Rouge, LA",220330031015018.00,0.397959184,0.445825502,27.41666667,15521,1,3
"Baton Rouge, LA",220330031015001.00,0.105726872,0.445825502,27.35,15521,1,3
"Baton Rouge, LA",220330031015000.00,0.029126214,0.445825502,27.6,15521,1,3
"Baton Rouge, LA",220330031014017.00,0.437308869,0.445825502,27.85,12723,1,3
"Baton Rouge, LA",220330006012005.00,0.493078444,0.445825502,26.9125,17857,1,3
"Baton Rouge, LA",220330006012014.00,0.538895152,0.445825502,27,17857,1,3
"Baton Rouge, LA",220330006013001.00,0.61557916,0.445825502,25.70797101,10178,1,3
"Baton Rouge, LA",220330040112008.00,0.099651365,0.445825502,26.08571429,17608,1,3
"Baton Rouge, LA",220330011041012.00,0.22243328,0.445825502,29.73222222,10698,1,3
"Baton Rouge, LA",220330006011011.00,0.391625616,0.445825502,26.88934426,10954,1,3
"Baton Rouge, LA",220330039042001.00,0.52018335,0.445825502,28.45616175,15828,1,3
"Baton Rouge, LA",220330024001023.00,0.466968979,0.445825502,27.98333333,17621,1,3
"Baton Rouge, LA",220330024001019.00,0.44009901,0.445825502,29.11111111,17621,1,3
"Baton Rouge, LA",220330024001037.00,0.352941176,0.445825502,29.46428571,17621,1,3
"Baton Rouge, LA",220330040113003.00,0.483494891,0.445825502,28.16714286,18906,1,3
"Baton Rouge, LA",220330040113009.00,0.243068799,0.445825502,28.37,18906,1,3
"Baton Rouge, LA",220330040113005.00,0.346134087,0.445825502,28.31764706,18906,1,3
"Baton Rouge, LA",220330040113000.00,0.277657543,0.445825502,27.725,18906,1,3
"Baton Rouge, LA",220330040113004.00,0.193486061,0.445825502,29.32575758,18906,1,3
"Baton Rouge, LA",220330040113007.00,0.24137931,0.445825502,29.66290323,18906,1,3
"Baton Rouge, LA",220330042043045.00,0.768415866,0.445825502,25.94375,14052,1,3
"Baton Rouge, LA",220330040152017.00,0.349892999,0.445825502,28.15689655,18920,1,3
"Baton Rouge, LA",220330040152004.00,0.424559832,0.445825502,27.95930233,18920,1,3
"Baton Rouge, LA",220330040152023.00,0.435664154,0.445825502,28.03235294,18920,1,3
"Baton Rouge, LA",220330040152005.00,0.420282789,0.445825502,28.33148148,18920,1,3
"Baton Rouge, LA",220330006023003.00,0.685464199,0.445825502,27.35625,18418,1,3
"Baton Rouge, LA",220330006022006.00,0.658443074,0.445825502,27.00185185,18418,1,3
"Baton Rouge, LA",220330006021011.00,0.465408805,0.445825502,26.45,18418,1,3
"Baton Rouge, LA",220330006021009.00,0.67290734,0.445825502,26.53709677,18418,1,3
"Baton Rouge, LA",220330031013005.00,0.664672897,0.445825502,28.27307692,16127,1,3
"Baton Rouge, LA",220330004001007.00,0.637681159,0.399673552,28.19,11297,1,4
"Baton Rouge, LA",220330004001000.00,0.644736842,0.399673552,25.8,11297,1,4
"Baton Rouge, LA",220330010005006.00,0.301724138,0.399673552,28.75,14371,1,4
"Baton Rouge, LA",220330028022005.00,0.332089552,0.399673552,27.67777778,11301,1,4
"Baton Rouge, LA",220330028022022.00,0.453568172,0.399673552,29.05927835,11301,1,4
"Baton Rouge, LA",220330030004016.00,0.083869485,0.399673552,28.98809524,10023,1,4
"Baton Rouge, LA",220330030004013.00,0.176910864,0.399673552,29.08157895,10023,1,4
"Baton Rouge, LA",220330002002005.00,0.437128292,0.399673552,28.67317073,15658,1,4
