Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Bonita Springs, FL",120210007001005.00,0.019015424,0.174853691,27.58333333,24868,1,2
"Bonita Springs, FL",120210101082000.00,0.010191602,0.174853691,27.08333333,23495,1,2
"Bonita Springs, FL",120210101082005.00,0.013387584,0.174853691,26.77068966,23495,1,2
"Bonita Springs, FL",120210101082009.00,4.73E-04,0.174853691,26.91666667,23495,1,2
"Bonita Springs, FL",120210101082011.00,0.273236618,0.174853691,27.21590909,23495,1,2
"Bonita Springs, FL",120210101082012.00,0.277170842,0.174853691,27.5475,23495,1,2
"Bonita Springs, FL",120210101102000.00,0.092649468,0.174853691,28.24333333,21675,1,2
"Bonita Springs, FL",120210101102003.00,0.105160472,0.174853691,28.29888889,21675,1,2
"Bonita Springs, FL",120210101102006.00,0.090098039,0.174853691,28.42333333,21675,1,2
"Bonita Springs, FL",120210101102007.00,0.087465565,0.174853691,28.45434783,21675,1,2
"Bonita Springs, FL",120210101102008.00,0.067454456,0.174853691,28.52954546,21675,1,2
"Bonita Springs, FL",120210101102011.00,0.110597265,0.174853691,28.55869565,21675,1,2
"Bonita Springs, FL",120210101103002.00,0.153131115,0.174853691,27.67,23729,1,2
"Bonita Springs, FL",120210101103005.00,0.15141221,0.174853691,28.03913044,23729,1,2
"Bonita Springs, FL",120210101103008.00,0.106938875,0.174853691,27.90789474,23729,1,2
"Bonita Springs, FL",120210101103010.00,0.117823537,0.174853691,28.615625,23729,1,2
"Bonita Springs, FL",120210101103011.00,0.082328927,0.174853691,28.54565217,23729,1,2
"Bonita Springs, FL",120210101103015.00,0.116523772,0.174853691,28.02727273,23729,1,2
"Bonita Springs, FL",120210101103016.00,0.150450542,0.174853691,28.24333333,23729,1,2
"Bonita Springs, FL",120210102111002.00,0.174853691,0.174853691,27.98370787,27814,1,2
"Bonita Springs, FL",120210104101002.00,0.279953784,0.174853691,28.80897436,13639,1,2
"Bonita Springs, FL",120210104101010.00,0.21585499,0.174853691,28.11442308,13639,1,2
"Bonita Springs, FL",120210104101011.00,0.288334901,0.174853691,28.61785714,13639,1,2
"Bonita Springs, FL",120210104101012.00,0.135952604,0.174853691,28.84354839,13639,1,2
"Bonita Springs, FL",120210104101013.00,0.212572504,0.174853691,28.87962963,13639,1,2
"Bonita Springs, FL",120210104101014.00,0.226130653,0.174853691,28.70476191,13639,1,2
"Bonita Springs, FL",120210104101019.00,0.151790416,0.174853691,28.06818182,13639,1,2
"Bonita Springs, FL",120210104101021.00,0.18040384,0.174853691,28.68703704,13639,1,2
"Bonita Springs, FL",120210104101022.00,0.267360049,0.174853691,28.76034483,13639,1,2
"Bonita Springs, FL",120210104101023.00,0.236025998,0.174853691,28.72346939,13639,1,2
"Bonita Springs, FL",120210104101024.00,0.175314465,0.174853691,28.62297297,13639,1,2
"Bonita Springs, FL",120210104101025.00,0.182905043,0.174853691,28.475,13639,1,2
"Bonita Springs, FL",120210104101026.00,0.130174564,0.174853691,28.21176471,13639,1,2
"Bonita Springs, FL",120210104102002.00,0.181818182,0.174853691,29.49230769,15733,1,2
"Bonita Springs, FL",120210104102003.00,0.236399427,0.174853691,28.72631579,15733,1,2
"Bonita Springs, FL",120210104102004.00,0.250611247,0.174853691,28.59444444,15733,1,2
"Bonita Springs, FL",120210104102006.00,0.172288165,0.174853691,27.99102564,15733,1,2
"Bonita Springs, FL",120210104102009.00,0.225999548,0.174853691,29.60853659,15733,1,2
"Bonita Springs, FL",120210104102013.00,0.164802517,0.174853691,28.918,15733,1,2
"Bonita Springs, FL",120210104102014.00,0.228933379,0.174853691,28.19054054,15733,1,2
"Bonita Springs, FL",120210104102016.00,0.193199167,0.174853691,28.69242424,15733,1,2
"Bonita Springs, FL",120210104102017.00,0.196074082,0.174853691,28.595,15733,1,2
"Bonita Springs, FL",120210104102018.00,0.25823319,0.174853691,28.66632653,15733,1,2
"Bonita Springs, FL",120210104102019.00,0.193100456,0.174853691,29.17195122,15733,1,2
"Bonita Springs, FL",120210104102020.00,0.216859647,0.174853691,29.42073171,15733,1,2
"Bonita Springs, FL",120210104102021.00,0.273754857,0.174853691,29.538,15733,1,2
"Bonita Springs, FL",120210104102023.00,0.246177585,0.174853691,29.6375,15733,1,2
"Bonita Springs, FL",120210104102024.00,0.232576617,0.174853691,29.51585366,15733,1,2
"Bonita Springs, FL",120210104102025.00,0.348118425,0.174853691,29.11097561,15733,1,2
"Bonita Springs, FL",120210104102027.00,0.211804767,0.174853691,28.6452381,15733,1,2
"Bonita Springs, FL",120210104103003.00,0.147558883,0.174853691,28.99074074,14916,1,2
"Bonita Springs, FL",120210104103004.00,0.274612058,0.174853691,28.73181818,14916,1,2
"Bonita Springs, FL",120210104103005.00,0.180491872,0.174853691,28.57424242,14916,1,2
"Bonita Springs, FL",120210104103007.00,0.246008608,0.174853691,28.665625,14916,1,2
"Bonita Springs, FL",120210104103008.00,0.251868528,0.174853691,28.90102041,14916,1,2
"Bonita Springs, FL",120210104103009.00,0.228363098,0.174853691,29.28488372,14916,1,2
"Bonita Springs, FL",120210104103011.00,0.219712812,0.174853691,28.74375,14916,1,2
"Bonita Springs, FL",120210104103013.00,0.123235372,0.174853691,28.88191489,14916,1,2
"Bonita Springs, FL",120210104103014.00,0.214278987,0.174853691,28.83541667,14916,1,2
"Bonita Springs, FL",120210104103015.00,0.175958933,0.174853691,28.94032258,14916,1,2
"Bonita Springs, FL",120210104103016.00,0.222239078,0.174853691,28.93333333,14916,1,2
"Bonita Springs, FL",120210104103017.00,0.179487179,0.174853691,28.709375,14916,1,2
"Bonita Springs, FL",120210104103020.00,0.248432602,0.174853691,28.97631579,14916,1,2
"Bonita Springs, FL",120210104103021.00,0.127300281,0.174853691,29.06,14916,1,2
"Bonita Springs, FL",120210104111000.00,0.15047094,0.174853691,28.78684211,13804,1,2
"Bonita Springs, FL",120210104111001.00,0.251833741,0.174853691,28.71,13804,1,2
"Bonita Springs, FL",120210104111004.00,0.220141105,0.174853691,28.37884615,13804,1,2
