Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"El Paso, TX--NM",4.8141E+14,0.183508025,0.055150221,36.54814815,10755,1,1
"El Paso, TX--NM",4.8141E+14,0.05441197,0.055150221,37.19479167,10755,1,1
"El Paso, TX--NM",4.8141E+14,0.18606627,0.055150221,36.23793103,10755,1,1
"El Paso, TX--NM",4.8141E+14,0.064991334,0.055150221,37.174,10755,1,1
"El Paso, TX--NM",4.8141E+14,0.009181118,0.055150221,37.61956522,10755,1,1
"El Paso, TX--NM",4.8141E+14,0.042234332,0.055150221,37.11666667,10755,1,1
"El Paso, TX--NM",4.8141E+14,0.028778592,0.055150221,36.17352941,9222,1,1
"El Paso, TX--NM",4.8141E+14,0.026903935,0.055150221,36.58125,9222,1,1
"El Paso, TX--NM",4.8141E+14,0.025653631,0.055150221,36.968,9222,1,1
"El Paso, TX--NM",4.8141E+14,0.012435441,0.055150221,37.51158192,11527,1,1
"El Paso, TX--NM",4.8141E+14,0.204284699,0.055150221,36.21590909,11527,1,1
"El Paso, TX--NM",4.8141E+14,0.134866393,0.055150221,36.31319018,11527,1,1
"El Paso, TX--NM",4.8141E+14,0.186818694,0.055150221,35.33378378,11527,1,1
"El Paso, TX--NM",4.8141E+14,0.049976219,0.055150221,36.5476378,11527,1,1
"El Paso, TX--NM",4.8141E+14,0.019768221,0.055150221,37.66965443,11527,1,1
"El Paso, TX--NM",4.8141E+14,0.030142431,0.055150221,38.16052632,11527,1,1
"El Paso, TX--NM",4.8141E+14,0.054136133,0.055150221,36.85597015,11527,1,1
"El Paso, TX--NM",3.5013E+14,0.133424408,0.055150221,37.02777778,10761,1,1
"El Paso, TX--NM",3.5013E+14,0.088975297,0.055150221,37.23,10761,1,1
"El Paso, TX--NM",3.5013E+14,0.043349977,0.055150221,37.71666667,10761,1,1
"El Paso, TX--NM",3.5013E+14,0.003074141,0.055150221,38.87,10761,1,1
"El Paso, TX--NM",3.5013E+14,0.054105665,0.055150221,38.5754902,10761,1,1
"El Paso, TX--NM",3.5013E+14,0.133150935,0.055150221,37.29444444,10761,1,1
"El Paso, TX--NM",4.8141E+14,0.107870265,0.055150221,35.6489899,8972,1,1
"El Paso, TX--NM",4.8141E+14,0.252468582,0.055150221,35.25,8972,1,1
"El Paso, TX--NM",4.8141E+14,0.26219577,0.055150221,35.17142857,8972,1,1
"El Paso, TX--NM",4.8141E+14,0.02335729,0.055150221,37.45925926,9485,1,1
"El Paso, TX--NM",4.8141E+14,0.081257414,0.055150221,35.96196172,9485,1,1
"El Paso, TX--NM",4.8141E+14,0.009880028,0.055150221,37.86666667,9485,1,1
"El Paso, TX--NM",4.8141E+14,0.028322707,0.055150221,36.95810811,9485,1,1
"El Paso, TX--NM",4.8141E+14,0.031940469,0.055150221,37.55769231,9485,1,1
"El Paso, TX--NM",4.8141E+14,0.055978132,0.055150221,37.24756098,10254,1,1
"El Paso, TX--NM",4.8141E+14,0.107688849,0.055150221,35.21969697,10254,1,1
"El Paso, TX--NM",4.8141E+14,0.040938768,0.055150221,36.50652174,10254,1,1
"El Paso, TX--NM",4.8141E+14,0.014553811,0.055150221,37.58529412,11535,1,1
"El Paso, TX--NM",4.8141E+14,0.011717129,0.055150221,36.92641866,11535,1,1
"El Paso, TX--NM",4.8141E+14,0.023628692,0.055150221,36.77,11535,1,1
"El Paso, TX--NM",4.8141E+14,0.001078038,0.055150221,37.2744898,11535,1,1
"El Paso, TX--NM",4.8141E+14,0.013041453,0.055150221,37.4,7952,1,1
"El Paso, TX--NM",4.8141E+14,0.070293563,0.055150221,37.64375,7952,1,1
"El Paso, TX--NM",4.8141E+14,0,0.055150221,38.15,7952,1,1
"El Paso, TX--NM",4.8141E+14,0.020130577,0.055150221,37.53888889,10256,1,1
"El Paso, TX--NM",4.8141E+14,0.025301674,0.055150221,37.48636364,10256,1,1
"El Paso, TX--NM",3.5013E+14,0.00750262,0.055150221,38.46625,8465,1,1
"El Paso, TX--NM",3.5013E+14,0.006974985,0.055150221,39.37272727,8465,1,1
"El Paso, TX--NM",4.8141E+14,0.063399864,0.055150221,37.54054054,10001,1,1
"El Paso, TX--NM",4.8141E+14,0.023387605,0.055150221,37.812,10001,1,1
"El Paso, TX--NM",4.8141E+14,0.026107426,0.055150221,37.88770492,10001,1,1
"El Paso, TX--NM",4.8141E+14,0.076012745,0.055150221,37.45147059,10001,1,1
"El Paso, TX--NM",4.8141E+14,0.024044241,0.055150221,37.11470588,10001,1,1
"El Paso, TX--NM",4.8141E+14,0.117840204,0.055150221,37.10675676,12306,1,1
"El Paso, TX--NM",4.8141E+14,0.00228111,0.055150221,35.66758242,12306,1,1
"El Paso, TX--NM",4.8141E+14,0.006626173,0.055150221,38.49090909,12306,1,1
"El Paso, TX--NM",4.8141E+14,0.009973753,0.055150221,39.13888889,12306,1,1
"El Paso, TX--NM",4.8141E+14,0.116031509,0.055150221,36.45,12306,1,1
"El Paso, TX--NM",4.8141E+14,0.041518913,0.055150221,37.66724138,12306,1,1
"El Paso, TX--NM",4.8141E+14,0.005717705,0.055150221,37.54117647,12306,1,1
"El Paso, TX--NM",4.8141E+14,6.54E-04,0.055150221,37.24,10771,1,1
"El Paso, TX--NM",4.8141E+14,0.043851465,0.055150221,35.775,10771,1,1
"El Paso, TX--NM",4.8141E+14,0.009948269,0.055150221,36.22272727,10771,1,1
"El Paso, TX--NM",4.8141E+14,0,0.055150221,36.78333333,10771,1,1
"El Paso, TX--NM",4.8141E+14,0.004897596,0.055150221,37.85,10771,1,1
"El Paso, TX--NM",4.8141E+14,0,0.055150221,37.95,10771,1,1
"El Paso, TX--NM",4.8141E+14,0.006238859,0.055150221,36.09,10771,1,1
"El Paso, TX--NM",4.8141E+14,0.027402701,0.055150221,36.875,10771,1,1
"El Paso, TX--NM",4.8141E+14,0.001173709,0.055150221,36.10454546,10771,1,1
"El Paso, TX--NM",4.8141E+14,0,0.055150221,36.08,10771,1,1
