Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Grand Rapids, MI",2.6081E+14,0.596036585,0.526797586,26.025,16133,1,2
"Grand Rapids, MI",2.6081E+14,0.552180953,0.526797586,26.71263736,16133,1,2
"Grand Rapids, MI",2.6081E+14,0.436893531,0.526797586,27.27255639,16133,1,2
"Grand Rapids, MI",2.6081E+14,0.469798402,0.526797586,27.09830509,16133,1,2
"Grand Rapids, MI",2.6081E+14,0.390371113,0.526797586,27.59285714,16651,1,2
"Grand Rapids, MI",2.6081E+14,0.451436665,0.526797586,27.23,16651,1,2
"Grand Rapids, MI",2.6081E+14,0.541807349,0.526797586,26.75,16651,1,2
"Grand Rapids, MI",2.6081E+14,0.349120433,0.526797586,27.3,16651,1,2
"Grand Rapids, MI",2.6081E+14,0.302503682,0.526797586,26.77,16651,1,2
"Grand Rapids, MI",2.6081E+14,0.482329317,0.526797586,27.19782609,16651,1,2
"Grand Rapids, MI",2.6081E+14,0.286795308,0.526797586,28.04565217,15375,1,2
"Grand Rapids, MI",2.6081E+14,0.381692573,0.526797586,27.33695652,15375,1,2
"Grand Rapids, MI",2.6081E+14,0.377904687,0.526797586,27.51086957,15375,1,2
"Grand Rapids, MI",2.6081E+14,0.166795069,0.526797586,27.84130435,15375,1,2
"Grand Rapids, MI",2.6081E+14,0.377670716,0.526797586,27.15476191,15375,1,2
"Grand Rapids, MI",2.6081E+14,0.366571893,0.526797586,27.03571429,15375,1,2
"Grand Rapids, MI",2.6081E+14,0.322870813,0.526797586,27.83333333,15375,1,2
"Grand Rapids, MI",2.6081E+14,0.236796286,0.526797586,27.75666667,17167,1,2
"Grand Rapids, MI",2.6081E+14,0.24203668,0.526797586,27.01,17167,1,2
"Grand Rapids, MI",2.6081E+14,0.354589963,0.526797586,27.18428571,17167,1,2
"Grand Rapids, MI",2.6081E+14,0.460843373,0.526797586,26.10833333,17167,1,2
