Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Harrisburg, PA",420430209001021.00,0.315789474,0.284023669,29.1,22785,1,3
"Harrisburg, PA",420430209001012.00,0.076660988,0.284023669,27.65,22785,1,3
"Harrisburg, PA",420430209001045.00,0.146884273,0.284023669,27.77,22785,1,3
"Harrisburg, PA",420430209001049.00,0.361111111,0.284023669,29.1,22785,1,3
"Harrisburg, PA",420430209001015.00,0.429313929,0.284023669,27.90714286,22785,1,3
"Harrisburg, PA",420430209001046.00,0.06200318,0.284023669,27.71666667,22785,1,3
"Harrisburg, PA",420430209001048.00,0.119617225,0.284023669,28.85,22785,1,3
"Harrisburg, PA",420430209001020.00,0.13755796,0.284023669,28.95,22785,1,3
"Harrisburg, PA",420430209001005.00,0.207352941,0.284023669,28.41666667,22785,1,3
"Harrisburg, PA",420430209001033.00,0.304184884,0.284023669,27.65,22785,1,3
"Harrisburg, PA",420430209001034.00,0.317922078,0.284023669,27.3,22785,1,3
"Harrisburg, PA",420430209001039.00,0.490630324,0.284023669,26.15,22785,1,3
"Harrisburg, PA",420430209001007.00,0.301102629,0.284023669,27.88333333,22785,1,3
"Harrisburg, PA",420430209001014.00,0.18419244,0.284023669,27.9375,22785,1,3
"Harrisburg, PA",420410101002002.00,0.15549308,0.284023669,29.38809524,22018,1,3
"Harrisburg, PA",420410101002006.00,0.104026846,0.284023669,29.675,22018,1,3
"Harrisburg, PA",420410101002017.00,0.111201962,0.284023669,29.8,22018,1,3
"Harrisburg, PA",420410101002010.00,0.181222707,0.284023669,28.2,22018,1,3
"Harrisburg, PA",420410101002011.00,0.028368794,0.284023669,28.65,22018,1,3
"Harrisburg, PA",420410101002009.00,0.10193133,0.284023669,28.5,22018,1,3
"Harrisburg, PA",420410101002012.00,0.185798817,0.284023669,28.1,22018,1,3
"Harrisburg, PA",420410101002020.00,0.125326371,0.284023669,29.9,22018,1,3
"Harrisburg, PA",420750039011007.00,0.073191489,0.284023669,31.57,23299,1,3
"Harrisburg, PA",420750039011059.00,0.130434783,0.284023669,32.05,23299,1,3
"Harrisburg, PA",420750039011022.00,0.131656805,0.284023669,30.98333333,23299,1,3
"Harrisburg, PA",420750039011041.00,0.043362832,0.284023669,32.575,23299,1,3
"Harrisburg, PA",420750039011073.00,0.280296785,0.284023669,29.88333333,23299,1,3
"Harrisburg, PA",420750039011034.00,0.088626292,0.284023669,31.53,23299,1,3
"Harrisburg, PA",420750039011063.00,0.096642097,0.284023669,31.83333333,23299,1,3
"Harrisburg, PA",420750039011079.00,0.061886051,0.284023669,33.35,23299,1,3
"Harrisburg, PA",420750039011062.00,0.188006483,0.284023669,32.11666667,23299,1,3
"Harrisburg, PA",420750039011037.00,0.08003518,0.284023669,31.11,23299,1,3
"Harrisburg, PA",420750039011043.00,0.051959114,0.284023669,32.43333333,23299,1,3
"Harrisburg, PA",420750039011068.00,0.181002244,0.284023669,31.86666667,23299,1,3
"Harrisburg, PA",420750039011071.00,0.187124464,0.284023669,30.91,23299,1,3
"Harrisburg, PA",420750039011036.00,0.190440627,0.284023669,31.25,23299,1,3
"Harrisburg, PA",420750039011042.00,0.043889845,0.284023669,32.7,23299,1,3
"Harrisburg, PA",420750039011060.00,0.095756257,0.284023669,31.88333333,23299,1,3
"Harrisburg, PA",420750039011021.00,0.183534743,0.284023669,31.43333333,23299,1,3
"Harrisburg, PA",420750039011013.00,0.221470837,0.284023669,32.01,23299,1,3
"Harrisburg, PA",420750039011075.00,0.119402985,0.284023669,31,23299,1,3
"Harrisburg, PA",420750039011044.00,0.066938776,0.284023669,32.33,23299,1,3
"Harrisburg, PA",420750039011086.00,0.063921993,0.284023669,32.25,23299,1,3
"Harrisburg, PA",420750039011065.00,0.071107784,0.284023669,32.61666667,23299,1,3
"Harrisburg, PA",421330204204024.00,0.039262821,0.284023669,28.55,24835,1,3
"Harrisburg, PA",421330204204013.00,0.108251325,0.284023669,29.3,24835,1,3
"Harrisburg, PA",421330204204001.00,0.008130081,0.284023669,29.33,24835,1,3
"Harrisburg, PA",421330204204032.00,0.145765472,0.284023669,27.71363636,24835,1,3
"Harrisburg, PA",421330204204012.00,0.004545455,0.284023669,29.47,24835,1,3
"Harrisburg, PA",421330204204022.00,0.135876043,0.284023669,28.2,24835,1,3
"Harrisburg, PA",421330204204004.00,0.142241379,0.284023669,28.275,24835,1,3
"Harrisburg, PA",420430213002027.00,0.337021277,0.284023669,29.35,15620,1,3
"Harrisburg, PA",420430213002016.00,0.345098039,0.284023669,29.95,15620,1,3
"Harrisburg, PA",420430213002008.00,0.487272727,0.284023669,29.85,15620,1,3
"Harrisburg, PA",420430213002042.00,0.140224359,0.284023669,29.725,15620,1,3
"Harrisburg, PA",420430213002045.00,0.075532602,0.284023669,32.28333333,15620,1,3
"Harrisburg, PA",420430213002000.00,0.146460043,0.284023669,31.10625,15620,1,3
"Harrisburg, PA",420430216001024.00,0.447286338,0.284023669,28.93333333,17927,1,3
"Harrisburg, PA",420430216001014.00,0.560273973,0.284023669,28.55,17927,1,3
"Harrisburg, PA",420430216001023.00,0.601097896,0.284023669,28.85,17927,1,3
"Harrisburg, PA",420430216001011.00,0.220183486,0.284023669,29.61,17927,1,3
"Harrisburg, PA",420430216002014.00,0.302007299,0.284023669,29.89,17927,1,3
"Harrisburg, PA",420430216002018.00,0.177655678,0.284023669,29.99,17927,1,3
"Harrisburg, PA",420430216002008.00,0.298453139,0.284023669,30.27,17927,1,3
"Harrisburg, PA",420430216002019.00,0.372081218,0.284023669,29,17927,1,3
"Harrisburg, PA",420430216003034.00,0.260624458,0.284023669,30.92272727,17927,1,3
"Harrisburg, PA",420430216003025.00,0.149317406,0.284023669,29.59285714,17927,1,3
"Harrisburg, PA",420430216001033.00,0.359331476,0.284023669,29.525,17927,1,3
"Harrisburg, PA",420430216001016.00,0.180379747,0.284023669,29.6,17927,1,3
"Harrisburg, PA",420430216001022.00,0.307267709,0.284023669,29.39,17927,1,3
"Harrisburg, PA",420430216001025.00,0.325046041,0.284023669,29.325,17927,1,3
"Harrisburg, PA",420430216002024.00,0.20531401,0.284023669,29.65,17927,1,3
"Harrisburg, PA",420430216002012.00,0.350342253,0.284023669,30.12142857,17927,1,3
"Harrisburg, PA",420430216002006.00,0.258364312,0.284023669,29.71,17927,1,3
"Harrisburg, PA",420430216001019.00,0.170868347,0.284023669,29.31,17927,1,3
"Harrisburg, PA",420430216001018.00,0.304066543,0.284023669,29.525,17927,1,3
"Harrisburg, PA",420430216002002.00,0.266851339,0.284023669,30.01,17927,1,3
"Harrisburg, PA",420430216002020.00,0.305073431,0.284023669,29.06428571,17927,1,3
"Harrisburg, PA",420430216003028.00,0.412716763,0.284023669,30.78333333,17927,1,3
"Harrisburg, PA",420430216001031.00,0.233208955,0.284023669,29.525,17927,1,3
