Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Hartford, CT",90034053002004.00,0.244851259,0.096893102,27.65,22787,1,4
"Hartford, CT",90034054021013.00,0.034151547,0.096893102,30.45,23018,1,4
"Hartford, CT",90034057001032.00,0.12710518,0.096893102,27.70384615,18506,1,4
"Hartford, CT",90034058004017.00,0.184375,0.096893102,27.79444444,20725,1,4
"Hartford, CT",90034061002005.00,0.032666667,0.096893102,29.65714286,23697,1,4
"Hartford, CT",90034061002009.00,0.150543789,0.096893102,29.52142857,23697,1,4
"Hartford, CT",90034153001008.00,0.082434053,0.096893102,28.71071429,15609,1,4
"Hartford, CT",90034153001009.00,0.088550984,0.096893102,28.42419355,15609,1,4
"Hartford, CT",90034156002005.00,0.228998021,0.096893102,26.638,22103,1,4
"Hartford, CT",90034156002010.00,0.212728858,0.096893102,27.03333333,22103,1,4
"Hartford, CT",90034158003004.00,0.134519868,0.096893102,27.03695652,20780,1,4
"Hartford, CT",90034159001006.00,0.046956872,0.096893102,29.52727273,15010,1,4
"Hartford, CT",90034160001004.00,0.015151515,0.096893102,29.07,17580,1,4
"Hartford, CT",90034160001010.00,0.023053666,0.096893102,28.83181818,17580,1,4
"Hartford, CT",90034160002001.00,0.062124248,0.096893102,28.61521739,14966,1,4
"Hartford, CT",90034160002003.00,0.096229724,0.096893102,29.645,14966,1,4
"Hartford, CT",90034160003001.00,0.078249113,0.096893102,29.55,22157,1,4
"Hartford, CT",90034160003005.00,0.05949452,0.096893102,29.325,22157,1,4
"Hartford, CT",90034160003006.00,0.074938848,0.096893102,29.93947368,22157,1,4
"Hartford, CT",90034160003007.00,0.017566859,0.096893102,30.16176471,22157,1,4
"Hartford, CT",90034160003008.00,0.015524625,0.096893102,30.625,22157,1,4
"Hartford, CT",90034161001007.00,0.285868977,0.096893102,27.8625,11459,1,4
"Hartford, CT",90034161002002.00,0.036090706,0.096893102,30.28333333,13732,1,4
"Hartford, CT",90034161003015.00,0.160731949,0.096893102,29.31666667,15969,1,4
"Hartford, CT",90034162001002.00,0.14415821,0.096893102,27.26176471,21084,1,4
"Hartford, CT",90034162001003.00,0.312888638,0.096893102,27.4,21084,1,4
"Hartford, CT",90034162002003.00,0.107248521,0.096893102,28.16538462,10887,1,4
"Hartford, CT",90034162002004.00,0.177505173,0.096893102,27.93275862,10887,1,4
"Hartford, CT",90034162003005.00,0.26199509,0.096893102,28.11,13131,1,4
"Hartford, CT",90034163002023.00,0.179981154,0.096893102,27.22045455,13846,1,4
"Hartford, CT",90034163002025.00,0.172302158,0.096893102,29.08636364,13846,1,4
"Hartford, CT",90034167001004.00,2.34E-04,0.096893102,27.23,21173,1,4
"Hartford, CT",90034167005004.00,0.197378372,0.096893102,28.825,16981,1,4
"Hartford, CT",90034171001038.00,0.003482587,0.096893102,30.8375,17106,1,4
"Hartford, CT",90034171002001.00,0.043616407,0.096893102,31.60428571,15548,1,4
"Hartford, CT",90034172001003.00,0.102474323,0.096893102,29.59736842,20503,1,4
"Hartford, CT",90034173001007.00,0.054696466,0.096893102,28.61413793,1699,1,4
"Hartford, CT",90034961001014.00,0,0.096893102,0,17303,1,4
"Hartford, CT",90034968001009.00,0.099093998,0.096893102,28.34375,23703,1,4
"Hartford, CT",90035001001001.00,0.100813356,0.096893102,28.70476191,14033,1,4
"Hartford, CT",90035001001002.00,0.156369834,0.096893102,28.07857143,14033,1,4
"Hartford, CT",90035001001005.00,0.086969516,0.096893102,28.26666667,14033,1,4
"Hartford, CT",90035001001006.00,0.15499243,0.096893102,27.92368421,14033,1,4
"Hartford, CT",90035001002000.00,0.064066852,0.096893102,29.23372093,8195,1,4
"Hartford, CT",90035001002001.00,0.069354981,0.096893102,29.39230769,8195,1,4
"Hartford, CT",90035001002002.00,0.066640986,0.096893102,29.25,8195,1,4
"Hartford, CT",90035001002004.00,0.114929987,0.096893102,28.55833333,8195,1,4
"Hartford, CT",90035001002005.00,0.044934173,0.096893102,29.83787879,8195,1,4
"Hartford, CT",90035002001001.00,0.046481876,0.096893102,28.72272727,11631,1,4
"Hartford, CT",90035002001002.00,0.154784462,0.096893102,27.96081081,11631,1,4
"Hartford, CT",90035002001004.00,0.075664187,0.096893102,28.75232558,11631,1,4
"Hartford, CT",90035002001005.00,0.099139785,0.096893102,28.82213115,11631,1,4
"Hartford, CT",90035002001006.00,0.081306231,0.096893102,28.4537037,11631,1,4
"Hartford, CT",90035003001002.00,0.078087231,0.096893102,30.33717949,10961,1,4
"Hartford, CT",90035003001004.00,0.016464799,0.096893102,31.24111111,10961,1,4
"Hartford, CT",90035003002005.00,0.052097583,0.096893102,29.035,20499,1,4
