Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Huntsville, AL",10890023002009.00,0.234605911,0.238822012,28.99375,18693,1,4
"Huntsville, AL",10890023002007.00,0.407488987,0.238822012,28.77040816,18693,1,4
"Huntsville, AL",10890015003009.00,0.189558852,0.238822012,30.63695652,13838,1,4
"Huntsville, AL",10890031002054.00,0,0.238822012,30.65,11026,1,4
"Huntsville, AL",10890031002080.00,0.167125442,0.238822012,30.66666667,11026,1,4
"Huntsville, AL",10890031002104.00,0.159504452,0.238822012,30.80384615,11026,1,4
"Huntsville, AL",10890013011016.00,0.49666236,0.238822012,28.89615385,19734,1,4
"Huntsville, AL",10890013011003.00,0.06012024,0.238822012,30.99,19734,1,4
"Huntsville, AL",10890013013003.00,0.280584297,0.238822012,32.02142857,16432,1,4
"Huntsville, AL",10890025011005.00,0.154664089,0.238822012,29.87727273,14644,1,4
"Huntsville, AL",10890025011032.00,0.143396226,0.238822012,30.37,14644,1,4
"Huntsville, AL",10890107024014.00,0.535211268,0.238822012,25.65,20789,1,4
"Huntsville, AL",10890025021015.00,0.166545101,0.238822012,29.58333333,11340,1,4
"Huntsville, AL",10890025021019.00,0.188976378,0.238822012,29.81666667,11340,1,4
"Huntsville, AL",10890106224015.00,0.384284177,0.238822012,29.52586207,14930,1,4
"Huntsville, AL",10890106224014.00,0.281017613,0.238822012,29.91666667,14930,1,4
"Huntsville, AL",10890030001066.00,0.148820327,0.238822012,31.35,12655,1,4
"Huntsville, AL",10890030001027.00,0,0.238822012,31.15,12655,1,4
"Huntsville, AL",10890030001080.00,0.124096386,0.238822012,28.25,12655,1,4
"Huntsville, AL",10890002021055.00,0.111202636,0.238822012,29.98636364,7281,1,4
"Huntsville, AL",10890002021061.00,0.182808156,0.238822012,29.93,7281,1,4
"Huntsville, AL",10890002021057.00,0.152510176,0.238822012,30.00625,7281,1,4
"Huntsville, AL",10890002021026.00,0.238822012,0.238822012,29.1,7281,1,4
"Huntsville, AL",10890024004006.00,0.012658228,0.238822012,28.45,18550,1,4
"Huntsville, AL",10890024004004.00,0.079136691,0.238822012,28.45,18550,1,4
"Huntsville, AL",10890012002042.00,0.010752688,0.238822012,0,5769,1,4
"Huntsville, AL",10890012002024.00,0.29653821,0.238822012,29.65,5769,1,4
"Huntsville, AL",10890012002030.00,0.426950355,0.238822012,29.15,5769,1,4
"Huntsville, AL",10890012002031.00,0.604938272,0.238822012,28.275,5769,1,4
"Huntsville, AL",10890012002044.00,0.069306931,0.238822012,30.85,5769,1,4
"Huntsville, AL",10890012002041.00,0.125591456,0.238822012,30.96935484,5769,1,4
"Huntsville, AL",10890012002025.00,0.513353116,0.238822012,27.58333333,5769,1,4
"Huntsville, AL",10890012002026.00,0.296372348,0.238822012,28.9,5769,1,4
"Huntsville, AL",10890012002022.00,0.61608154,0.238822012,28.2,5769,1,4
"Huntsville, AL",10890025022026.00,0.110781991,0.238822012,30.275,18574,1,4
"Huntsville, AL",10890025022013.00,0.085120643,0.238822012,29.80714286,18574,1,4
"Huntsville, AL",10890013012040.00,0.134794157,0.238822012,29.86666667,14491,1,4
"Huntsville, AL",10890013012023.00,0.229598893,0.238822012,28.5,14491,1,4
"Huntsville, AL",10890013012009.00,0.174348697,0.238822012,28.23,14491,1,4
"Huntsville, AL",10890021001070.00,0.174265451,0.238822012,30.025,9634,1,4
"Huntsville, AL",10890021001004.00,0.201612903,0.238822012,29.87222222,9634,1,4
"Huntsville, AL",10890021001002.00,0.455776173,0.238822012,30.21,9634,1,4
"Huntsville, AL",10890021001055.00,0.325460949,0.238822012,29.84565217,9634,1,4
"Huntsville, AL",10890021001059.00,0.356613757,0.238822012,30.63,9634,1,4
"Huntsville, AL",10890021001001.00,0.206840391,0.238822012,30.73,9634,1,4
"Huntsville, AL",10890021001062.00,0.088100686,0.238822012,29.925,9634,1,4
"Huntsville, AL",10890021001021.00,0.148185484,0.238822012,29.2875,9634,1,4
"Huntsville, AL",10890015002020.00,0.254798464,0.238822012,29.79210526,15295,1,4
"Huntsville, AL",10890003021025.00,0.455135135,0.238822012,27.35,15558,1,4
"Huntsville, AL",10890106222058.00,0.31875,0.238822012,0,14794,1,4
"Huntsville, AL",10890106222073.00,0.134275618,0.238822012,29.05,14794,1,4
"Huntsville, AL",10890106222042.00,0.188841202,0.238822012,27.7,14794,1,4
"Huntsville, AL",10890106222066.00,0.73468576,0.238822012,27.51153846,14794,1,4
"Huntsville, AL",10890024002003.00,0.17699115,0.238822012,29.66666667,13261,1,4
"Huntsville, AL",10890007022017.00,0.017660044,0.238822012,31.10714286,19921,1,4
"Huntsville, AL",10890025012053.00,0.031761309,0.238822012,28.35,11475,1,4
"Huntsville, AL",10890023001002.00,0.352180937,0.346020761,30.3,18693,1,3
"Huntsville, AL",10890023005036.00,0.686961516,0.346020761,28.36666667,18693,1,3
"Huntsville, AL",10890023005017.00,0.221105528,0.346020761,29.45,18693,1,3
"Huntsville, AL",10890023001000.00,0.418647076,0.346020761,30.0543956,18693,1,3
"Huntsville, AL",10890023005053.00,0.663058187,0.346020761,28.85,18693,1,3
"Huntsville, AL",10890023005033.00,0.572958501,0.346020761,28.01666667,18693,1,3
"Huntsville, AL",10890031002025.00,0.164536082,0.346020761,31.44076923,11026,1,3
"Huntsville, AL",10890031002091.00,0.297151277,0.346020761,29.66428571,11026,1,3
"Huntsville, AL",10890013011008.00,0.299178422,0.346020761,28.79193548,19734,1,3
"Huntsville, AL",10890013013011.00,0.06504065,0.346020761,29.65,16432,1,3
"Huntsville, AL",10890013013009.00,0.04,0.346020761,31.45,16432,1,3
"Huntsville, AL",10890013013004.00,0.174174174,0.346020761,31,16432,1,3
"Huntsville, AL",10890013013012.00,0.188002926,0.346020761,30.2125,16432,1,3
"Huntsville, AL",10890025011059.00,0.121149897,0.346020761,30.325,14644,1,3
"Huntsville, AL",10890025011055.00,0.249190939,0.346020761,30.56666667,14644,1,3
"Huntsville, AL",10890025011025.00,0.100571429,0.346020761,30.35,14644,1,3
"Huntsville, AL",10890029211015.00,0.40122825,0.346020761,27.41666667,18487,1,3
"Huntsville, AL",10890012003010.00,0.26123302,0.346020761,29.48333333,7228,1,3
"Huntsville, AL",10890021002099.00,0.279316713,0.346020761,29.27727273,14916,1,3
"Huntsville, AL",10890021002045.00,0.123348018,0.346020761,29.9,14916,1,3
"Huntsville, AL",10890025021013.00,0.229954614,0.346020761,29.14,11340,1,3
"Huntsville, AL",10890106224022.00,0.327808471,0.346020761,30.11842105,14930,1,3
"Huntsville, AL",10890106224011.00,0.20639643,0.346020761,30.21923077,14930,1,3
"Huntsville, AL",10890106224020.00,0.18908776,0.346020761,30.65,14930,1,3
"Huntsville, AL",10890014021014.00,0.149704619,0.346020761,30.14411765,21081,1,3
"Huntsville, AL",10890015001016.00,0.613457077,0.346020761,27.88333333,16484,1,3
"Huntsville, AL",10890015001010.00,0.6464,0.346020761,28.21666667,16484,1,3
"Huntsville, AL",10890015001038.00,0.513753327,0.346020761,28.71,16484,1,3
"Huntsville, AL",10890015001009.00,0.492492492,0.346020761,28.15294118,16484,1,3
"Huntsville, AL",10890015001035.00,0.301204819,0.346020761,29.15,16484,1,3
"Huntsville, AL",10890021003029.00,0.410651666,0.346020761,29.35967742,13160,1,3
"Huntsville, AL",10890030001093.00,0.237426901,0.346020761,29.3125,12655,1,3
"Huntsville, AL",10890030001091.00,0.232704403,0.346020761,29.19,12655,1,3
"Huntsville, AL",10890030001082.00,0.248510131,0.346020761,28.73888889,12655,1,3
"Huntsville, AL",10890030001085.00,0.206743869,0.346020761,28.90714286,12655,1,3
"Huntsville, AL",10890030001083.00,0.219623503,0.346020761,29.40555556,12655,1,3
"Huntsville, AL",10890030001106.00,0.048543689,0.346020761,29.4,12655,1,3
"Huntsville, AL",10890030001034.00,0.292797119,0.346020761,29.56621622,12655,1,3
"Huntsville, AL",10890002021056.00,0.097943193,0.346020761,30.21,7281,1,3
"Huntsville, AL",10890002021032.00,0.277543876,0.346020761,29.02894737,7281,1,3
"Huntsville, AL",10890024004012.00,0.120727674,0.346020761,29.95,18550,1,3
"Huntsville, AL",10890012002045.00,0,0.346020761,0,5769,1,3
"Huntsville, AL",10890012002023.00,0.673684211,0.346020761,27.9,5769,1,3
"Huntsville, AL",10890012002021.00,0.275681342,0.346020761,28.4,5769,1,3
"Huntsville, AL",10890022001039.00,0.211782412,0.346020761,30.34354839,19594,1,3
"Huntsville, AL",10890022001025.00,0.472845764,0.346020761,27.85769231,19594,1,3
"Huntsville, AL",10890022001028.00,0.371719489,0.346020761,30.25,19594,1,3
"Huntsville, AL",10890022001024.00,0.337613293,0.346020761,28.58529412,19594,1,3
"Huntsville, AL",10890022001040.00,0.260750853,0.346020761,30.67,19594,1,3
"Huntsville, AL",10890022001017.00,0.331531019,0.346020761,30.475,19594,1,3
"Huntsville, AL",10890025022031.00,0.176924682,0.346020761,30.02619048,18574,1,3
"Huntsville, AL",10890025022019.00,0.409323495,0.346020761,29.35955414,18574,1,3
"Huntsville, AL",10890025022008.00,0.231699554,0.346020761,28.99285714,18574,1,3
"Huntsville, AL",10890025022049.00,0.335504886,0.346020761,29.75,18574,1,3
"Huntsville, AL",10890025022007.00,0.116982907,0.346020761,30.28333333,18574,1,3
"Huntsville, AL",10890013012007.00,0.199143469,0.346020761,29.875,14491,1,3
"Huntsville, AL",10890013012043.00,0.222295952,0.346020761,30.05714286,14491,1,3
"Huntsville, AL",10890013012019.00,0.377062706,0.346020761,29.78809524,14491,1,3
"Huntsville, AL",10890013012042.00,0.125874126,0.346020761,30.475,14491,1,3
"Huntsville, AL",10890013012022.00,0.174032565,0.346020761,30.09,14491,1,3
"Huntsville, AL",10890021001067.00,0.140508221,0.346020761,29.875,9634,1,3
"Huntsville, AL",10890021001056.00,0.241217799,0.346020761,29.325,9634,1,3
"Huntsville, AL",10890021001016.00,0.349258649,0.346020761,28.91666667,9634,1,3
"Huntsville, AL",10890021001038.00,0.220750552,0.346020761,30.5,9634,1,3
"Huntsville, AL",10890021001058.00,0.503950834,0.346020761,29.35,9634,1,3
"Huntsville, AL",10890021001068.00,0.369331742,0.346020761,30.06428571,9634,1,3
"Huntsville, AL",10890021001003.00,0.261097659,0.346020761,29.41363636,9634,1,3
"Huntsville, AL",10890030002078.00,0.49845679,0.346020761,29,18340,1,3
"Huntsville, AL",10890030002031.00,0.378995434,0.346020761,29.4,18340,1,3
"Huntsville, AL",10890030002044.00,0.188707281,0.346020761,30.08333333,18340,1,3
