Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Indianapolis, IN",180571105092023.00,0.117149758,0.114737236,29.01666667,20267,1,3
"Indianapolis, IN",180571107002019.00,0.023112481,0.114737236,28.28333333,20269,1,3
"Indianapolis, IN",180571107002048.00,0.199320794,0.114737236,28.66290323,20269,1,3
"Indianapolis, IN",180571107002015.00,0.224840452,0.114737236,27.75,20269,1,3
"Indianapolis, IN",180571105092001.00,0.347671798,0.356578254,25.95601093,20267,1,1
"Indianapolis, IN",180571105092021.00,0.477387783,0.356578254,27.23245968,20267,1,1
"Indianapolis, IN",180571105092022.00,0.411888112,0.356578254,28.41666667,20267,1,1
"Indianapolis, IN",180571105092026.00,0.548169214,0.356578254,27.45526316,20267,1,1
"Indianapolis, IN",180571105092024.00,0.674257011,0.356578254,26.33076923,20267,1,1
"Indianapolis, IN",180571105092027.00,0.52742883,0.356578254,27.59313726,20267,1,1
"Indianapolis, IN",180571105092002.00,0.381714286,0.356578254,26.702,20267,1,1
"Indianapolis, IN",180571105092025.00,0.651366943,0.356578254,26.59722222,20267,1,1
"Indianapolis, IN",180571105092030.00,0.149305283,0.356578254,29.86052632,20267,1,1
"Indianapolis, IN",180571107002035.00,0.353547364,0.356578254,27.77727273,20269,1,1
"Indianapolis, IN",180571107002056.00,0.619270659,0.356578254,26.85,20269,1,1
"Indianapolis, IN",180571107002012.00,0.20917226,0.356578254,28.55,20269,1,1
"Indianapolis, IN",180571107002057.00,0.521680672,0.356578254,26.54375,20269,1,1
"Indianapolis, IN",180571107002055.00,0.369986631,0.356578254,27.64285714,20269,1,1
"Indianapolis, IN",180571107002062.00,0.514814815,0.356578254,26.95714286,20269,1,1
"Indianapolis, IN",180571107002058.00,0.532325142,0.356578254,26.59,20269,1,1
"Indianapolis, IN",180571107002046.00,0.464868033,0.356578254,26.15331754,20269,1,1
"Indianapolis, IN",180571107002026.00,0.518893387,0.356578254,26.81,20269,1,1
"Indianapolis, IN",180571107002063.00,0.666554395,0.356578254,26.60833333,20269,1,1
"Indianapolis, IN",180571107002061.00,0.390498652,0.356578254,28.09166667,20269,1,1
"Indianapolis, IN",180571107002025.00,0.544476713,0.356578254,25.81617647,20269,1,1
"Indianapolis, IN",180571107002029.00,0.571380809,0.356578254,26.21153846,20269,1,1
"Indianapolis, IN",180571107002024.00,0.433012583,0.356578254,26.58333333,20269,1,1
"Indianapolis, IN",180571107002047.00,0.293402665,0.356578254,28.51179159,20269,1,1
"Indianapolis, IN",180571107002059.00,0.386842105,0.356578254,26.96428571,20269,1,1
"Indianapolis, IN",180571107002043.00,0.386178862,0.356578254,28.11666667,20269,1,1
"Indianapolis, IN",180571107002027.00,0.549863388,0.356578254,27.87666667,20269,1,1
"Indianapolis, IN",180571107002060.00,0.46964018,0.356578254,27.24,20269,1,1
"Indianapolis, IN",180571107002040.00,0.183610868,0.356578254,29.92272727,20269,1,1
"Indianapolis, IN",180571107002031.00,0.342342342,0.356578254,26.49,20269,1,1
"Indianapolis, IN",180571107002014.00,0.359442994,0.356578254,27.86,20269,1,1
"Indianapolis, IN",180571107002008.00,0.392118112,0.356578254,27.98589744,20269,1,1
"Indianapolis, IN",180571107002013.00,0.201008403,0.356578254,28.18333333,20269,1,1
"Indianapolis, IN",180571107002006.00,0.314070352,0.356578254,29.05,20269,1,1
"Indianapolis, IN",180571107002005.00,0.203960396,0.356578254,28.9,20269,1,1
"Indianapolis, IN",180571107002002.00,0.357130235,0.356578254,28.07066667,20269,1,1
"Indianapolis, IN",180571107002003.00,0.326551373,0.356578254,27.125,20269,1,1
"Indianapolis, IN",180950118003061.00,0.533054905,0.356578254,24.32209302,19167,1,1
"Indianapolis, IN",180950118003056.00,0.259785523,0.356578254,27.54375,19167,1,1
"Indianapolis, IN",180950118003076.00,0.288032454,0.356578254,27.21666667,19167,1,1
"Indianapolis, IN",180950118003067.00,0.281298701,0.356578254,26.98888889,19167,1,1
"Indianapolis, IN",180950118003078.00,0.299098196,0.356578254,25.9,19167,1,1
"Indianapolis, IN",180950118003026.00,0.227688787,0.356578254,26.1,19167,1,1
"Indianapolis, IN",180950118003062.00,0.183914843,0.356578254,26.0375,19167,1,1
"Indianapolis, IN",180950118003066.00,0.430777716,0.356578254,26.62333333,19167,1,1
"Indianapolis, IN",180950118003054.00,0.464750542,0.356578254,25.82647059,19167,1,1
"Indianapolis, IN",180950118003049.00,0.275173149,0.356578254,26.77352941,19167,1,1
"Indianapolis, IN",180950118003057.00,0.160447761,0.356578254,27.518,19167,1,1
"Indianapolis, IN",180950118003071.00,0.252325581,0.356578254,27.03,19167,1,1
"Indianapolis, IN",180950118003069.00,0.117956424,0.356578254,27.33333333,19167,1,1
"Indianapolis, IN",180950118003063.00,0.439509059,0.356578254,26.25,19167,1,1
"Indianapolis, IN",180950118003040.00,0.4978516,0.356578254,26.12323944,19167,1,1
"Indianapolis, IN",180950118003052.00,0.514675071,0.356578254,24.39453441,19167,1,1
"Indianapolis, IN",180950118003053.00,0.23372604,0.356578254,25.2672093,19167,1,1
"Indianapolis, IN",180950118003082.00,0.120155039,0.356578254,26.2,19167,1,1
"Indianapolis, IN",180950118003047.00,0.500805585,0.356578254,26.26764706,19167,1,1
"Indianapolis, IN",180950118003011.00,0.434517766,0.356578254,25.92142857,19167,1,1
"Indianapolis, IN",180950118003041.00,0.454958567,0.356578254,25.825,19167,1,1
"Indianapolis, IN",180950118003037.00,0.03515625,0.356578254,27.70714286,19167,1,1
"Indianapolis, IN",180950118003050.00,0.280510503,0.356578254,26.73823529,19167,1,1
"Indianapolis, IN",180950118003048.00,0.214362561,0.356578254,26.6625,19167,1,1
"Indianapolis, IN",180950118003068.00,0.339100346,0.356578254,26.85,19167,1,1
"Indianapolis, IN",180950118003029.00,0.297599474,0.356578254,26.90178571,19167,1,1
"Indianapolis, IN",180950118003083.00,0.374310239,0.356578254,25.03666667,19167,1,1
"Indianapolis, IN",180950118003059.00,0.525331888,0.356578254,26.12333333,19167,1,1
"Indianapolis, IN",180950118003028.00,0.35908142,0.356578254,26.82142857,19167,1,1
"Indianapolis, IN",180950118003027.00,0.248394589,0.356578254,27.590625,19167,1,1
"Indianapolis, IN",180950118003030.00,0.305413687,0.356578254,26.42142857,19167,1,1
"Indianapolis, IN",180950118003058.00,0.373369565,0.356578254,26.5875,19167,1,1
"Indianapolis, IN",180950118003065.00,0.276928953,0.356578254,27.65833333,19167,1,1
"Indianapolis, IN",180950118003080.00,0.504030091,0.356578254,26.13666667,19167,1,1
"Indianapolis, IN",180950118003070.00,0.3001998,0.356578254,27.25,19167,1,1
"Indianapolis, IN",180950118003095.00,0.326395459,0.356578254,25.04285714,19167,1,1
"Indianapolis, IN",180950118003060.00,0.706168195,0.356578254,24.46666667,19167,1,1
"Indianapolis, IN",180950118003042.00,0.41544996,0.356578254,25.73823529,19167,1,1
"Indianapolis, IN",180950118003051.00,0.448791089,0.356578254,26.00333333,19167,1,1
"Indianapolis, IN",180950118003035.00,0.363048748,0.356578254,26.58888889,19167,1,1
"Indianapolis, IN",180950118003072.00,0.440066858,0.356578254,25.09054054,19167,1,1
"Indianapolis, IN",180950118003010.00,0.503089708,0.356578254,25.80238095,19167,1,1
"Indianapolis, IN",180950118003044.00,0.354705559,0.356578254,25.87,19167,1,1
"Indianapolis, IN",180950118003055.00,0.281307672,0.356578254,27.04375,19167,1,1
"Indianapolis, IN",180950118003075.00,0.356227855,0.356578254,26.45,19167,1,1
"Indianapolis, IN",180950118003039.00,0.188505747,0.356578254,27.23333333,19167,1,1
"Indianapolis, IN",180950118003024.00,0.321448891,0.356578254,25.9408046,19167,1,1
"Indianapolis, IN",180950118003081.00,0.740860215,0.356578254,23.825,19167,1,1
"Indianapolis, IN",180950118003015.00,0.520569211,0.356578254,25.675,19167,1,1
"Indianapolis, IN",180950118003013.00,0.251092763,0.356578254,25.875,19167,1,1
"Indianapolis, IN",180950118003014.00,0.343279709,0.356578254,25.62647059,19167,1,1
"Indianapolis, IN",180950118003032.00,0.494733925,0.356578254,26.12058824,19167,1,1
"Indianapolis, IN",180950118003036.00,0.171861086,0.356578254,27.35666667,19167,1,1
"Indianapolis, IN",180950118003089.00,0.136954586,0.356578254,27.0597561,19167,1,1
"Indianapolis, IN",180950118003012.00,0.475586557,0.356578254,25.66,19167,1,1
"Indianapolis, IN",180950118003031.00,0.123451516,0.356578254,27.20454546,19167,1,1
"Indianapolis, IN",180950118003046.00,0.410661666,0.356578254,26.04411765,19167,1,1
"Indianapolis, IN",180950118003045.00,0.503773585,0.356578254,26.01470588,19167,1,1
"Indianapolis, IN",180950118003079.00,0.33621684,0.356578254,26.0375,19167,1,1
"Indianapolis, IN",180950118003043.00,0.406021155,0.356578254,25.89705882,19167,1,1
"Indianapolis, IN",180571107002007.00,0.203019468,0.217991854,28.68846154,20269,1,2
"Indianapolis, IN",180571107002010.00,0.180630284,0.217991854,28.79,20269,1,2
"Indianapolis, IN",180571107002036.00,0.176410256,0.217991854,27.84285714,20269,1,2
