Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Jackson, MS",280490024003020.00,0.536722766,0.157064403,28.73,15618,1,4
"Jackson, MS",280490033001015.00,0.098419865,0.157064403,29.3,14864,1,4
"Jackson, MS",280490033001019.00,0.390483384,0.157064403,28.625,14864,1,4
"Jackson, MS",280490033001014.00,0.185880957,0.157064403,30.05869565,14864,1,4
"Jackson, MS",280490108011003.00,0.333695259,0.157064403,27.24090909,12833,1,4
"Jackson, MS",280490021002019.00,0.161882893,0.157064403,29.79347826,15396,1,4
"Jackson, MS",280490021002017.00,0.394497552,0.157064403,28.345,15396,1,4
"Jackson, MS",280490010002030.00,0.238244514,0.157064403,28.6,11048,1,4
"Jackson, MS",280490103013006.00,0.49201703,0.157064403,27.82058824,13096,1,4
"Jackson, MS",280490110022002.00,0.131095406,0.157064403,28.95,13367,1,4
"Jackson, MS",280490110022004.00,0.093023256,0.157064403,29.66428571,13367,1,4
"Jackson, MS",280490035002002.00,0.11258697,0.157064403,30.1,13381,1,4
"Jackson, MS",280490034001021.00,0.107381007,0.157064403,30.63333333,12358,1,4
"Jackson, MS",280490003011002.00,0.375545852,0.157064403,28.43,15179,1,4
"Jackson, MS",280490003011010.00,0.192055735,0.157064403,30.56190476,15179,1,4
"Jackson, MS",280490025002013.00,0.147173489,0.157064403,29.68529412,13414,1,4
"Jackson, MS",280490032001007.00,0.132402002,0.157064403,30.09736842,11168,1,4
"Jackson, MS",281210205001011.00,0.492586491,0.157064403,27.66666667,7073,1,4
"Jackson, MS",280490038001007.00,0.504548518,0.157064403,28.066,13507,1,4
"Jackson, MS",280490007002014.00,0.344024254,0.157064403,28.91153846,15302,1,4
"Jackson, MS",280490115002020.00,0.157064403,0.157064403,30.49888889,2000,1,4
"Jackson, MS",280490115002022.00,0.097604576,0.157064403,30.564,2000,1,4
"Jackson, MS",280490110011037.00,0.161600616,0.157064403,29.075,10975,1,4
"Jackson, MS",280490110011056.00,0.077306193,0.157064403,28.98333333,10975,1,4
"Jackson, MS",280490110011079.00,0.224634471,0.157064403,29.06,10975,1,4
"Jackson, MS",280490110011036.00,0.132448673,0.157064403,28.605,10975,1,4
"Jackson, MS",280490110011078.00,0.112512614,0.157064403,29.6125,10975,1,4
"Jackson, MS",280490110011077.00,0.115492958,0.157064403,28.65,10975,1,4
"Jackson, MS",280490012001001.00,0.087209302,0.157064403,28.60714286,13030,1,4
"Jackson, MS",280490102032004.00,0.461126005,0.593980922,28.99285714,8205,1,3
"Jackson, MS",280490033001017.00,0.127645167,0.593980922,30.59166667,14864,1,3
"Jackson, MS",280490008002001.00,0.358642422,0.593980922,28.81,9492,1,3
