Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Lancaster, PA",4.2071E+14,0.227410887,0.195950134,29.59117647,16403,1,3
"Lancaster, PA",4.2071E+14,0.113621262,0.195950134,29.12142857,16403,1,3
"Lancaster, PA",4.2071E+14,0.246732026,0.195950134,27.35,16403,1,3
"Lancaster, PA",4.2071E+14,0.229634831,0.195950134,28.23571429,16403,1,3
"Lancaster, PA",4.2071E+14,0.187720536,0.195950134,29.97,16403,1,3
"Lancaster, PA",4.2071E+14,0.291453616,0.195950134,27.03333333,16403,1,3
"Lancaster, PA",4.2071E+14,0.239941832,0.195950134,26.86,16403,1,3
"Lancaster, PA",4.2071E+14,0.106884058,0.195950134,29.38333333,23829,1,3
"Lancaster, PA",4.2071E+14,0.206380857,0.195950134,30.425,23829,1,3
"Lancaster, PA",4.2071E+14,0.079324895,0.195950134,30.83,23829,1,3
"Lancaster, PA",4.2071E+14,0.449018669,0.195950134,29.03888889,23829,1,3
"Lancaster, PA",4.2071E+14,0.490820073,0.195950134,30.37666667,23829,1,3
"Lancaster, PA",4.2071E+14,0.459940653,0.195950134,29.39444444,23829,1,3
"Lancaster, PA",4.2071E+14,0.211911357,0.195950134,29.83,23829,1,3
"Lancaster, PA",4.2071E+14,0.323855244,0.195950134,30.325,23829,1,3
"Lancaster, PA",4.2071E+14,0.143416928,0.195950134,29.35625,20509,1,3
"Lancaster, PA",4.2071E+14,0.02303523,0.195950134,29.41666667,20509,1,3
"Lancaster, PA",4.2071E+14,0.368700265,0.195950134,28.02857143,20509,1,3
"Lancaster, PA",4.2071E+14,0.239043825,0.195950134,28.4,20509,1,3
"Lancaster, PA",4.2071E+14,0.139839034,0.195950134,28.65,20509,1,3
"Lancaster, PA",4.2071E+14,0.195493494,0.195950134,29.49,20509,1,3
"Lancaster, PA",4.2071E+14,0.010427263,0.195950134,32.34375,18974,1,3
"Lancaster, PA",4.2071E+14,0.057599594,0.195950134,33.12777778,18974,1,3
"Lancaster, PA",4.2071E+14,0,0.195950134,33.03888889,18974,1,3
"Lancaster, PA",4.2071E+14,0.142915476,0.195950134,31.95,18974,1,3
"Lancaster, PA",4.2071E+14,0.005767013,0.195950134,33.165,18974,1,3
"Lancaster, PA",4.2071E+14,0.097030152,0.195950134,31.4131579,18974,1,3
"Lancaster, PA",4.2071E+14,0.010684798,0.195950134,32.65,18974,1,3
