Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Las Vegas--Henderson, NV",320030043012005.00,0.009608278,0.074572009,45.05,12289,1,1
"Las Vegas--Henderson, NV",320030068002006.00,0.037711313,0.074572009,45.81666667,12295,1,1
"Las Vegas--Henderson, NV",320030038001006.00,0.039629616,0.074572009,43.00982906,13319,1,1
"Las Vegas--Henderson, NV",320030038002006.00,0.001595533,0.074572009,43.90833333,13319,1,1
"Las Vegas--Henderson, NV",320030038002013.00,0.010804598,0.074572009,43.945,13319,1,1
"Las Vegas--Henderson, NV",320030038004001.00,0.018398807,0.074572009,44.26851852,13319,1,1
"Las Vegas--Henderson, NV",320030038004003.00,0.051164334,0.074572009,43.37,13319,1,1
"Las Vegas--Henderson, NV",320030038002005.00,0.01140834,0.074572009,44.60454546,13319,1,1
"Las Vegas--Henderson, NV",320030038002001.00,0.008165487,0.074572009,44.3625,13319,1,1
"Las Vegas--Henderson, NV",320030038003003.00,0.028274309,0.074572009,43.76263158,13319,1,1
"Las Vegas--Henderson, NV",320030038005007.00,0.085055262,0.074572009,43.85,13319,1,1
"Las Vegas--Henderson, NV",320030038004000.00,0.03946477,0.074572009,44.19814815,13319,1,1
"Las Vegas--Henderson, NV",320030038005006.00,0.043881753,0.074572009,43.87916667,13319,1,1
"Las Vegas--Henderson, NV",320030004021001.00,0.051282051,0.074572009,42.02643312,10507,1,1
"Las Vegas--Henderson, NV",320030004021004.00,0.077049775,0.074572009,44.0946875,10507,1,1
"Las Vegas--Henderson, NV",320030004021000.00,0.288951724,0.074572009,39.07476636,10507,1,1
"Las Vegas--Henderson, NV",320030004021002.00,0.113132238,0.074572009,42.0762963,10507,1,1
"Las Vegas--Henderson, NV",320030005241000.00,0.072344828,0.074572009,42.70387597,15115,1,1
"Las Vegas--Henderson, NV",320030004012003.00,0.07048764,0.074572009,42.56908714,10509,1,1
"Las Vegas--Henderson, NV",320030004012004.00,0.035506403,0.074572009,44.2875,10509,1,1
"Las Vegas--Henderson, NV",320030004012005.00,0.033401639,0.074572009,43.54,10509,1,1
"Las Vegas--Henderson, NV",320030004012002.00,0.073199978,0.074572009,43.11341463,10509,1,1
"Las Vegas--Henderson, NV",320030026031000.00,0.161940587,0.074572009,40.43969072,13837,1,1
"Las Vegas--Henderson, NV",320030026032003.00,0.055122667,0.074572009,42.14432234,13837,1,1
"Las Vegas--Henderson, NV",320030026032000.00,0.065295114,0.074572009,42.32847222,13837,1,1
"Las Vegas--Henderson, NV",320030026032002.00,0.058627661,0.074572009,42.95285714,13837,1,1
"Las Vegas--Henderson, NV",320030053364002.00,0.265915769,0.074572009,42.69,17425,1,1
"Las Vegas--Henderson, NV",320030053364005.00,0.241580602,0.074572009,43.1,17425,1,1
"Las Vegas--Henderson, NV",320030014024016.00,0.010087025,0.074572009,44.47386364,12306,1,1
"Las Vegas--Henderson, NV",320030014024004.00,0.022903671,0.074572009,44.2,12306,1,1
"Las Vegas--Henderson, NV",320030015012003.00,0,0.074572009,44.81666667,12306,1,1
"Las Vegas--Henderson, NV",320030054231013.00,0.039309955,0.074572009,42.67,17426,1,1
"Las Vegas--Henderson, NV",320030054231000.00,0.067407037,0.074572009,44.342,17426,1,1
"Las Vegas--Henderson, NV",320030054231001.00,0.138998098,0.074572009,44.03611111,17426,1,1
"Las Vegas--Henderson, NV",320030022061004.00,0.004856775,0.074572009,43.86590909,14868,1,1
"Las Vegas--Henderson, NV",320030022061000.00,0.014619445,0.074572009,43.78872181,14868,1,1
"Las Vegas--Henderson, NV",320030005242000.00,0.024991719,0.074572009,43.90454546,8469,1,1
"Las Vegas--Henderson, NV",320030003013024.00,0,0.074572009,44.27307692,10263,1,1
"Las Vegas--Henderson, NV",320030003013036.00,0.014789176,0.074572009,44.40333333,10263,1,1
"Las Vegas--Henderson, NV",320030003013020.00,0.032704403,0.074572009,44.1875,10263,1,1
"Las Vegas--Henderson, NV",320030003013029.00,0.016007533,0.074572009,44.56538462,10263,1,1
"Las Vegas--Henderson, NV",320030003013010.00,0.01561524,0.074572009,44.05,10263,1,1
"Las Vegas--Henderson, NV",320030003013021.00,0.0288854,0.074572009,44.54166667,10263,1,1
"Las Vegas--Henderson, NV",320030003013015.00,0.009126009,0.074572009,44.35,10263,1,1
"Las Vegas--Henderson, NV",320030003013028.00,0.009563277,0.074572009,44.9625,10263,1,1
"Las Vegas--Henderson, NV",320030003013022.00,0.003143666,0.074572009,44.69,10263,1,1
"Las Vegas--Henderson, NV",320030003013035.00,0.00604518,0.074572009,44.38333333,10263,1,1
"Las Vegas--Henderson, NV",320030003013027.00,0.007763975,0.074572009,44.59285714,10263,1,1
"Las Vegas--Henderson, NV",320030003013039.00,0.010598504,0.074572009,44.39285714,10263,1,1
"Las Vegas--Henderson, NV",320030003013044.00,0.023997474,0.074572009,44.68333333,10263,1,1
"Las Vegas--Henderson, NV",320030003013018.00,0.04058695,0.074572009,44.46538462,10263,1,1
"Las Vegas--Henderson, NV",320030003013023.00,0.008503937,0.074572009,44.56333333,10263,1,1
"Las Vegas--Henderson, NV",320030003013042.00,0.005052328,0.074572009,45.25,10263,1,1
"Las Vegas--Henderson, NV",320030003013011.00,0.014366021,0.074572009,42.72692308,10263,1,1
"Las Vegas--Henderson, NV",320030003013047.00,0.012970579,0.074572009,44.73,10263,1,1
"Las Vegas--Henderson, NV",320030003013008.00,0.059668853,0.074572009,43.34333333,10263,1,1
"Las Vegas--Henderson, NV",320030003013041.00,7.40E-04,0.074572009,44.98333333,10263,1,1
"Las Vegas--Henderson, NV",320030003013032.00,6.29E-04,0.074572009,44.21428571,10263,1,1
"Las Vegas--Henderson, NV",320030003013019.00,0.027221527,0.074572009,44.58571429,10263,1,1
"Las Vegas--Henderson, NV",320030003013009.00,0.077725118,0.074572009,43.18333333,10263,1,1
"Las Vegas--Henderson, NV",320030003013005.00,0.073784929,0.074572009,42.97105263,10263,1,1
"Las Vegas--Henderson, NV",320030003013026.00,0,0.074572009,44.66111111,10263,1,1
"Las Vegas--Henderson, NV",320030003013033.00,0.098341232,0.074572009,44.41666667,10263,1,1
"Las Vegas--Henderson, NV",320030003013034.00,0.007515971,0.074572009,44.79,10263,1,1
"Las Vegas--Henderson, NV",320030003013043.00,0.005342552,0.074572009,45.23571429,10263,1,1
