Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Little Rock, AR",5.119E+13,0.48376184,0.675847822,30.8625,13572,1,2
"Little Rock, AR",5.119E+13,0.589604344,0.675847822,30.18333333,13572,1,2
"Little Rock, AR",5.119E+13,0.52250338,0.675847822,30.55952381,13572,1,2
"Little Rock, AR",5.119E+13,0.606650446,0.675847822,29.89166667,13572,1,2
"Little Rock, AR",5.119E+13,0.58476605,0.675847822,29.88333333,13572,1,2
"Little Rock, AR",5.119E+13,0.575383464,0.675847822,29.49444444,13572,1,2
"Little Rock, AR",5.119E+13,0.69553308,0.675847822,29.09761905,13572,1,2
"Little Rock, AR",5.119E+13,0.605997211,0.675847822,30.06666667,13572,1,2
"Little Rock, AR",5.119E+13,0.679539852,0.675847822,29.71666667,13572,1,2
"Little Rock, AR",5.119E+13,0.556433765,0.675847822,30.38333333,13572,1,2
"Little Rock, AR",5.119E+13,0.588329337,0.675847822,30.31666667,13572,1,2
"Little Rock, AR",5.119E+13,0.530147059,0.675847822,30.01666667,13572,1,2
"Little Rock, AR",5.119E+13,0.543773669,0.675847822,29.37916667,13572,1,2
"Little Rock, AR",5.119E+13,0.735930736,0.675847822,28.49553571,11526,1,2
"Little Rock, AR",5.119E+13,0.813211845,0.675847822,27.95,11526,1,2
"Little Rock, AR",5.119E+13,0.779039301,0.675847822,27.53888889,11526,1,2
"Little Rock, AR",5.119E+13,0.634275618,0.675847822,28.91,11526,1,2
"Little Rock, AR",5.119E+13,0.718763605,0.675847822,29.02777778,11526,1,2
"Little Rock, AR",5.119E+13,0.828444616,0.675847822,27.83181818,11526,1,2
"Little Rock, AR",5.119E+13,0.778091873,0.675847822,28.1625,11526,1,2
"Little Rock, AR",5.119E+13,0.615197568,0.675847822,27.96111111,11526,1,2
"Little Rock, AR",5.119E+13,0.861820563,0.675847822,27.46578947,11526,1,2
"Little Rock, AR",5.119E+13,0.847492323,0.675847822,27.32142857,11526,1,2
"Little Rock, AR",5.119E+13,0.738604972,0.675847822,27.54285714,11526,1,2
"Little Rock, AR",5.119E+13,0.772917758,0.675847822,28.125,11526,1,2
"Little Rock, AR",5.119E+13,0.711174785,0.675847822,27.67222222,11526,1,2
"Little Rock, AR",5.119E+13,0.728791774,0.675847822,28.16052632,11526,1,2
"Little Rock, AR",5.119E+13,0.781936282,0.675847822,28.29615385,11526,1,2
"Little Rock, AR",5.119E+13,0.798269896,0.675847822,27.60833333,11526,1,2
"Little Rock, AR",5.119E+13,0.748139881,0.675847822,27.625,11526,1,2
"Little Rock, AR",5.119E+13,0.809490701,0.675847822,28.106,11526,1,2
"Little Rock, AR",5.119E+13,0.731680288,0.675847822,27.79411765,11526,1,2
"Little Rock, AR",5.119E+13,0.76393279,0.675847822,28.4126506,11526,1,2
"Little Rock, AR",5.119E+13,0.684811613,0.675847822,28.24047619,14087,1,2
"Little Rock, AR",5.119E+13,0.584156479,0.675847822,28.69,14087,1,2
"Little Rock, AR",5.119E+13,0.477492638,0.675847822,28.526,14087,1,2
"Little Rock, AR",5.119E+13,0.669694161,0.675847822,27.81190476,14087,1,2
"Little Rock, AR",5.119E+13,0.593220339,0.675847822,28.29761905,14087,1,2
"Little Rock, AR",5.119E+13,0.693690249,0.675847822,28.26538462,16904,1,2
"Little Rock, AR",5.119E+13,0.771596501,0.675847822,27.83,16904,1,2
"Little Rock, AR",5.119E+13,0.66712049,0.675847822,28.76666667,9232,1,2
"Little Rock, AR",5.119E+13,0.615540541,0.675847822,30.75,9232,1,2
"Little Rock, AR",5.119E+13,0.525016678,0.675847822,30.875,9232,1,2
"Little Rock, AR",5.119E+13,0.548844884,0.675847822,30.675,9232,1,2
"Little Rock, AR",5.119E+13,0.713337757,0.675847822,29.7125,9232,1,2
"Little Rock, AR",5.119E+13,0.257087629,0.675847822,29.96666667,9232,1,2
"Little Rock, AR",5.119E+13,0.299095607,0.675847822,29.25,9232,1,2
"Little Rock, AR",5.119E+13,0.532808399,0.675847822,29.8,9232,1,2
"Little Rock, AR",5.119E+13,0.503482587,0.675847822,30.39166667,9232,1,2
"Little Rock, AR",5.119E+13,0.47003367,0.675847822,30.3,9232,1,2
"Little Rock, AR",5.119E+13,0.750493746,0.675847822,29.3125,9232,1,2
"Little Rock, AR",5.119E+13,0.535206612,0.675847822,30.74166667,9232,1,2
"Little Rock, AR",5.119E+13,0.569023569,0.675847822,30.4375,9232,1,2
"Little Rock, AR",5.119E+13,0.572867696,0.675847822,30.08333333,9232,1,2
"Little Rock, AR",5.119E+13,0.270491803,0.675847822,30.825,17938,1,2
"Little Rock, AR",5.119E+13,0.579892452,0.675847822,29.36627907,17938,1,2
"Little Rock, AR",5.08502E+13,0.599433428,0.675847822,29.52619048,17946,1,2
"Little Rock, AR",5.119E+13,0.40142975,0.675847822,29.82058824,16163,1,2
"Little Rock, AR",5.119E+13,0.651069519,0.675847822,28.02333333,16163,1,2
"Little Rock, AR",5.119E+13,0.69211966,0.675847822,29.07857143,16163,1,2
"Little Rock, AR",5.119E+13,0.661939219,0.675847822,29.04333333,16163,1,2
"Little Rock, AR",5.119E+13,0.690984456,0.675847822,29.49318182,17189,1,2
"Little Rock, AR",5.119E+13,0.695684099,0.675847822,29.20357143,17189,1,2
"Little Rock, AR",5.119E+13,0.715225609,0.675847822,28.5734375,17189,1,2
"Little Rock, AR",5.119E+13,0.653410147,0.675847822,29.84166667,17189,1,2
"Little Rock, AR",5.119E+13,0.651615415,0.675847822,29.89545455,13864,1,2
"Little Rock, AR",5.119E+13,0.66409934,0.675847822,28.81666667,13864,1,2
"Little Rock, AR",5.119E+13,0.658176449,0.675847822,29.05952381,13864,1,2
"Little Rock, AR",5.119E+13,0.731633041,0.675847822,28.90714286,13864,1,2
"Little Rock, AR",5.119E+13,0.737327189,0.675847822,28.79444444,13864,1,2
"Little Rock, AR",5.119E+13,0.744148651,0.675847822,28.72727273,13864,1,2
"Little Rock, AR",5.119E+13,0.742745279,0.675847822,28.35952381,13864,1,2
"Little Rock, AR",5.119E+13,0.839671637,0.675847822,27.78703704,13864,1,2
"Little Rock, AR",5.119E+13,0.677933916,0.675847822,29.82857143,13864,1,2
"Little Rock, AR",5.119E+13,0.829290207,0.675847822,28.56904762,13864,1,2
"Little Rock, AR",5.119E+13,0.669717868,0.675847822,28.75263158,18984,1,2
"Little Rock, AR",5.119E+13,0.749364514,0.675847822,29.22058824,18984,1,2
"Little Rock, AR",5.119E+13,0.78371375,0.675847822,28.56558442,18984,1,2
"Little Rock, AR",5.119E+13,0.721791969,0.675847822,29.67857143,18984,1,2
"Little Rock, AR",5.119E+13,0.738036898,0.675847822,28.58934426,18984,1,2
"Little Rock, AR",5.119E+13,0.663204748,0.675847822,29.35833333,18984,1,2
"Little Rock, AR",5.119E+13,0.702625103,0.675847822,28.52352941,18984,1,2
"Little Rock, AR",5.119E+13,0.657336343,0.675847822,29.0375,18984,1,2
"Little Rock, AR",5.119E+13,0.760946973,0.675847822,28.26363636,18984,1,2
"Little Rock, AR",5.119E+13,0.772862409,0.675847822,27.9448718,18984,1,2
"Little Rock, AR",5.119E+13,0.830188679,0.675847822,27.53888889,18984,1,2
"Little Rock, AR",5.119E+13,0.726728972,0.675847822,29.159375,18984,1,2
"Little Rock, AR",5.119E+13,0.644217687,0.675847822,29.975,11564,1,2
"Little Rock, AR",5.119E+13,0.302048909,0.675847822,31.2625,11564,1,2
"Little Rock, AR",5.119E+13,0.394806924,0.675847822,31.2,11564,1,2
"Little Rock, AR",5.119E+13,0.553500661,0.675847822,31.0125,11564,1,2
"Little Rock, AR",5.119E+13,0.555555556,0.675847822,31.15,11564,1,2
"Little Rock, AR",5.119E+13,0.429315961,0.675847822,31.225,11564,1,2
"Little Rock, AR",5.119E+13,0.382506527,0.675847822,31.4875,11564,1,2
"Little Rock, AR",5.119E+13,0.390769231,0.675847822,30.97,11564,1,2
"Little Rock, AR",5.119E+13,0.446428571,0.675847822,31.1625,11564,1,2
"Little Rock, AR",5.119E+13,0.356182796,0.675847822,31.5,17454,1,2
"Little Rock, AR",5.119E+13,0.667782987,0.675847822,29.73333333,17454,1,2
"Little Rock, AR",5.119E+13,0.56462585,0.675847822,30,17454,1,2
"Little Rock, AR",5.119E+13,0.540024631,0.675847822,30.36333333,17454,1,2
"Little Rock, AR",5.119E+13,0.593770279,0.675847822,30.825,17454,1,2
"Little Rock, AR",5.119E+13,0.481505945,0.675847822,31.625,17454,1,2
"Little Rock, AR",5.119E+13,0.494086728,0.675847822,30.8375,17454,1,2
"Little Rock, AR",5.119E+13,0.514228987,0.675847822,30.85,17454,1,2
"Little Rock, AR",5.119E+13,0.416898277,0.675847822,30.17222222,17454,1,2
"Little Rock, AR",5.119E+13,0.60960033,0.675847822,28.17272727,13106,1,2
"Little Rock, AR",5.119E+13,0.720842265,0.675847822,28.14090909,13106,1,2
"Little Rock, AR",5.119E+13,0.804746241,0.675847822,27.00405405,13106,1,2
"Little Rock, AR",5.119E+13,0.57626539,0.675847822,28.53333333,13106,1,2
"Little Rock, AR",5.119E+13,0.685789772,0.675847822,28.4525641,13106,1,2
"Little Rock, AR",5.119E+13,0.734248788,0.675847822,27.70833333,13106,1,2
"Little Rock, AR",5.119E+13,0.666403785,0.675847822,27.91666667,13106,1,2
"Little Rock, AR",5.119E+13,0.711023769,0.675847822,28.33095238,13106,1,2
"Little Rock, AR",5.119E+13,0.766991748,0.675847822,27.03888889,13106,1,2
"Little Rock, AR",5.119E+13,0.675567174,0.675847822,28.26724138,13106,1,2
"Little Rock, AR",5.119E+13,0.799313358,0.675847822,27.62,13106,1,2
"Little Rock, AR",5.119E+13,0.691182446,0.675847822,27.7,13106,1,2
"Little Rock, AR",5.119E+13,0.849489264,0.675847822,26.68333333,13106,1,2
"Little Rock, AR",5.119E+13,0.787907151,0.675847822,27.46632653,13106,1,2
"Little Rock, AR",5.119E+13,0.621177244,0.675847822,28.43846154,13106,1,2
"Little Rock, AR",5.119E+13,0.850221611,0.675847822,26.64032258,13106,1,2
"Little Rock, AR",5.119E+13,0.60245295,0.675847822,28.298,13106,1,2
"Little Rock, AR",5.119E+13,0.804826118,0.675847822,27.98333333,13106,1,2
"Little Rock, AR",5.119E+13,0.843437316,0.675847822,28.05,18995,1,2
"Little Rock, AR",5.119E+13,0.641015992,0.675847822,28.9,18995,1,2
"Little Rock, AR",5.119E+13,0.8419074,0.675847822,27.60263158,18995,1,2
