Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Louisville/Jefferson County, KY--IN",211110120031004.00,0.405710173,0.46893081,26.18090909,19713,1,1
"Louisville/Jefferson County, KY--IN",211110120031003.00,0.729106849,0.46893081,24.9360262,19713,1,1
"Louisville/Jefferson County, KY--IN",211110120031000.00,0.454710588,0.46893081,25.27514286,19713,1,1
"Louisville/Jefferson County, KY--IN",211110120031005.00,0.429170242,0.46893081,26.1537037,19713,1,1
"Louisville/Jefferson County, KY--IN",211110114041006.00,0.326734181,0.46893081,27.85833333,18691,1,1
"Louisville/Jefferson County, KY--IN",211110114041012.00,0.331289136,0.46893081,28.53823529,18691,1,1
"Louisville/Jefferson County, KY--IN",211110114041000.00,0.338084186,0.46893081,27.93498845,18691,1,1
"Louisville/Jefferson County, KY--IN",211110114041009.00,0.249367729,0.46893081,28.96923077,18691,1,1
"Louisville/Jefferson County, KY--IN",211110003002000.00,0.27433467,0.46893081,30,10756,1,1
"Louisville/Jefferson County, KY--IN",211110003002005.00,0.312156268,0.46893081,28.73835616,10756,1,1
"Louisville/Jefferson County, KY--IN",211110003002018.00,0.617396248,0.46893081,28.10263158,10756,1,1
"Louisville/Jefferson County, KY--IN",211110003002002.00,0.214703731,0.46893081,30.03746177,10756,1,1
"Louisville/Jefferson County, KY--IN",211110003002001.00,0.155396619,0.46893081,30.58076923,10756,1,1
"Louisville/Jefferson County, KY--IN",211110003002009.00,0.608293694,0.46893081,27.75284091,10756,1,1
"Louisville/Jefferson County, KY--IN",211110036003003.00,0.165584416,0.46893081,29.02647059,14340,1,1
"Louisville/Jefferson County, KY--IN",211110036003000.00,0.242196951,0.46893081,29.51842105,14340,1,1
"Louisville/Jefferson County, KY--IN",180190503031047.00,0.347891315,0.46893081,29.00185185,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031034.00,0.425892465,0.46893081,29.47307692,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031006.00,0.397171161,0.46893081,28.74268293,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031002.00,0.536004245,0.46893081,27.70060241,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031024.00,0.373151842,0.46893081,28.87105263,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031049.00,0.393397524,0.46893081,29.28333333,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031028.00,0.017160686,0.46893081,29.71666667,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031001.00,0.434669957,0.46893081,28.46621622,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031050.00,0.671677215,0.46893081,29.65,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031040.00,0.376235983,0.46893081,29.80853659,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031042.00,0.100322465,0.46893081,30.19166667,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031020.00,0.5969916,0.46893081,28.60217391,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031048.00,0.337858926,0.46893081,29.1462963,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031044.00,0.281075596,0.46893081,29.33888889,18436,1,1
"Louisville/Jefferson County, KY--IN",180190503031005.00,0.730203553,0.46893081,26.93684211,18436,1,1
"Louisville/Jefferson County, KY--IN",180430703024001.00,0.658298857,0.46893081,28.49193548,18948,1,1
"Louisville/Jefferson County, KY--IN",180430703024000.00,0.305956945,0.46893081,29.25967742,18948,1,1
"Louisville/Jefferson County, KY--IN",210290211012003.00,0.015857284,0.46893081,28.725,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012044.00,0.016604913,0.46893081,28.13636364,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012035.00,0.095238095,0.46893081,28.15833333,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012039.00,0.060329861,0.46893081,27.99545455,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012011.00,0.087052477,0.46893081,28.68888889,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012034.00,0.140952381,0.46893081,27.75769231,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012038.00,0.170537843,0.46893081,27.404,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012002.00,0.083035736,0.46893081,27.82887851,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012042.00,0.146732429,0.46893081,28.11111111,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012040.00,0.187760544,0.46893081,27.08245283,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012008.00,0.376181232,0.46893081,26.24220779,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012015.00,0,0.46893081,27.96,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012025.00,0.014003819,0.46893081,28.37173913,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012036.00,0.074478625,0.46893081,27.68021978,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012016.00,0.276152981,0.46893081,27.30882353,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012027.00,0.189083595,0.46893081,26.36112465,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012013.00,0.229663587,0.46893081,25.74947496,19461,1,1
"Louisville/Jefferson County, KY--IN",210290211012023.00,0.54682719,0.46893081,25.64612903,19461,1,1
"Louisville/Jefferson County, KY--IN",211110114031008.00,0.40646755,0.46893081,28.31111111,18438,1,1
"Louisville/Jefferson County, KY--IN",211110114031013.00,0.307915133,0.46893081,27.77468514,18438,1,1
"Louisville/Jefferson County, KY--IN",211110114031028.00,0.495440306,0.46893081,27.01031746,18438,1,1
"Louisville/Jefferson County, KY--IN",211110114031027.00,0.355614259,0.46893081,27.60133333,18438,1,1
"Louisville/Jefferson County, KY--IN",211110114031010.00,0.289610675,0.46893081,28.14491525,18438,1,1
"Louisville/Jefferson County, KY--IN",211110114031007.00,0.084319023,0.46893081,31.12772727,18438,1,1
"Louisville/Jefferson County, KY--IN",211110114031003.00,0.119664056,0.46893081,28.71210269,18438,1,1
"Louisville/Jefferson County, KY--IN",211110014002000.00,0.342761064,0.46893081,29.38472222,21254,1,1
"Louisville/Jefferson County, KY--IN",211110014002011.00,0.429833837,0.46893081,28.05983607,21254,1,1
"Louisville/Jefferson County, KY--IN",211110014002009.00,0.085898025,0.46893081,30.205,21254,1,1
"Louisville/Jefferson County, KY--IN",211110014002007.00,0.201108343,0.46893081,30.04794872,21254,1,1
"Louisville/Jefferson County, KY--IN",211110014002010.00,0.216347679,0.46893081,29.90180723,21254,1,1
"Louisville/Jefferson County, KY--IN",180430708011001.00,0.575212415,0.46893081,27.67314815,14599,1,1
"Louisville/Jefferson County, KY--IN",180430708011005.00,0.623594209,0.46893081,26.67921348,14599,1,1
"Louisville/Jefferson County, KY--IN",180430708011000.00,0.48951951,0.46893081,27.126,14599,1,1
"Louisville/Jefferson County, KY--IN",211110128021022.00,0.340523745,0.46893081,29.09773109,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021029.00,0.316321992,0.46893081,28.57857143,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021027.00,0.354153808,0.46893081,28.26764706,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021020.00,0.132163743,0.46893081,29.35,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021011.00,0.234512754,0.46893081,29.86538462,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021021.00,0.423751687,0.46893081,28.3890625,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021015.00,0.338865096,0.46893081,28.60714286,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021030.00,0.336351234,0.46893081,28.04444444,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021024.00,0.3846302,0.46893081,28.27244898,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021000.00,0.145198919,0.46893081,28.67535211,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021019.00,0.299736951,0.46893081,29.47857143,17928,1,1
"Louisville/Jefferson County, KY--IN",211110128021014.00,0.395918367,0.46893081,28.48333333,17928,1,1
"Louisville/Jefferson County, KY--IN",211110039002000.00,0.219061166,0.46893081,28.6407489,19976,1,1
"Louisville/Jefferson County, KY--IN",211110039002005.00,0.240444753,0.46893081,29.45,19976,1,1
"Louisville/Jefferson County, KY--IN",211110039002013.00,0.095840868,0.46893081,30.8,19976,1,1
"Louisville/Jefferson County, KY--IN",180190502002009.00,0.260739261,0.46893081,30.57941177,14089,1,1
"Louisville/Jefferson County, KY--IN",180190502002057.00,0.171682099,0.46893081,30.65,14089,1,1
"Louisville/Jefferson County, KY--IN",180190502002048.00,0.230838593,0.46893081,29.15,14089,1,1
"Louisville/Jefferson County, KY--IN",180190502002000.00,0.577782113,0.46893081,27.95,14089,1,1
"Louisville/Jefferson County, KY--IN",180190502002032.00,0.136452242,0.46893081,31.47575758,14089,1,1
"Louisville/Jefferson County, KY--IN",180190502002027.00,0.331202046,0.46893081,29.475,14089,1,1
"Louisville/Jefferson County, KY--IN",180190502002072.00,0.149737303,0.46893081,29.15,14089,1,1
"Louisville/Jefferson County, KY--IN",180190502002005.00,0.358205193,0.46893081,30.30426357,14089,1,1
