Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Memphis, TN--MS--AR",471570050002009.00,0.170731707,0.276203966,29.35,9249,1,4
"Memphis, TN--MS--AR",471570050002008.00,0,0.276203966,30.35,9249,1,4
"Memphis, TN--MS--AR",471570114002000.00,0.050111657,0.276203966,32.834,12071,1,4
"Memphis, TN--MS--AR",471570114003049.00,0.265037594,0.276203966,31,7721,1,4
"Memphis, TN--MS--AR",471570114003059.00,0.045038019,0.276203966,31.45,7721,1,4
"Memphis, TN--MS--AR",471570114003007.00,0.08353222,0.276203966,31.55,7721,1,4
"Memphis, TN--MS--AR",471570058002011.00,0.511216859,0.276203966,29.56111111,12843,1,4
"Memphis, TN--MS--AR",471570078221036.00,0.224118316,0.276203966,29.01363636,13614,1,4
"Memphis, TN--MS--AR",471570078221038.00,0.479120879,0.276203966,29.23333333,13614,1,4
"Memphis, TN--MS--AR",471570117001114.00,0.218390805,0.276203966,0,13111,1,4
"Memphis, TN--MS--AR",471570114001019.00,0.065436978,0.276203966,31.42777778,7482,1,4
"Memphis, TN--MS--AR",471570114001016.00,0.057915058,0.276203966,31.35,7482,1,4
"Memphis, TN--MS--AR",471570114001008.00,0.347493404,0.276203966,30.30882353,7482,1,4
"Memphis, TN--MS--AR",471570114001006.00,0.054888508,0.276203966,31.79285714,7482,1,4
"Memphis, TN--MS--AR",471570114001015.00,0.159032563,0.276203966,31.21111111,7482,1,4
"Memphis, TN--MS--AR",471570099013029.00,0.572831424,0.276203966,26.25,15172,1,4
"Memphis, TN--MS--AR",471570099013014.00,0.100478469,0.276203966,29.32777778,15172,1,4
"Memphis, TN--MS--AR",471570025001030.00,0,0.276203966,30.15,11866,1,4
"Memphis, TN--MS--AR",280330704122005.00,0.062228654,0.276203966,30.90714286,15710,1,4
"Memphis, TN--MS--AR",471570002001028.00,0.219859402,0.276203966,30.1,11615,1,4
"Memphis, TN--MS--AR",471570220222002.00,0.026690853,0.276203966,31.825,13678,1,4
"Memphis, TN--MS--AR",471570220223007.00,0.532110092,0.276203966,0,13678,1,4
"Memphis, TN--MS--AR",471570220223017.00,0.045398267,0.276203966,31.68333333,13678,1,4
"Memphis, TN--MS--AR",471570221123008.00,0.02685624,0.276203966,32.03,13169,1,4
