Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Mobile, AL",1.097E+13,0.583495146,0.406367041,28.18846154,16132,1,3
"Mobile, AL",1.097E+13,0.575927222,0.406367041,27.80714286,13830,1,3
"Mobile, AL",1.097E+13,0.093612335,0.406367041,28.91,8726,1,3
"Mobile, AL",1.097E+13,0.056111697,0.406367041,28.37666667,8726,1,3
"Mobile, AL",1.097E+13,0.371717172,0.406367041,27.81,13595,1,3
"Mobile, AL",1.09701E+13,0.246395806,0.406367041,26.52142857,13086,1,3
"Mobile, AL",1.097E+13,0.605161787,0.406367041,28.07307692,15906,1,3
"Mobile, AL",1.097E+13,0.313211845,0.406367041,28.225,6949,1,3
"Mobile, AL",1.097E+13,0.502283105,0.406367041,28.25,14374,1,3
"Mobile, AL",1.09701E+13,0.859756098,0.406367041,25.55,12839,1,3
"Mobile, AL",1.09701E+13,0.382978723,0.406367041,27.45,16936,1,3
"Mobile, AL",1.097E+13,0.290854955,0.406367041,29.34411765,15406,1,3
"Mobile, AL",1.097E+13,0.050574391,0.406367041,29.96935484,15406,1,3
"Mobile, AL",1.097E+13,0.265740962,0.406367041,28.51842105,15406,1,3
"Mobile, AL",1.097E+13,0.130131295,0.406367041,29.06428571,15406,1,3
"Mobile, AL",1.09701E+13,0.727047146,0.406367041,26.50384615,12338,1,3
"Mobile, AL",1.09701E+13,0.505605381,0.406367041,28.11666667,7735,1,3
"Mobile, AL",1.09701E+13,0.634983127,0.406367041,27.3,16452,1,3
"Mobile, AL",1.09701E+13,0.580583453,0.406367041,27.80555556,14917,1,3
"Mobile, AL",1.097E+13,0.120419622,0.406367041,29.48870968,7510,1,3
"Mobile, AL",1.097E+13,0.026855651,0.406367041,29.77307692,7510,1,3
"Mobile, AL",1.097E+13,0.220670391,0.406367041,27.7,11116,1,3
"Mobile, AL",1.097E+13,0.491767289,0.406367041,27.22142857,13420,1,3
"Mobile, AL",1.097E+13,0.211246201,0.406367041,27.51,16493,1,3
"Mobile, AL",1.097E+13,0.386503067,0.406367041,27.97857143,16493,1,3
"Mobile, AL",1.097E+13,0.913513514,0.406367041,0,16281,1,3
"Mobile, AL",1.097E+13,0.194366197,0.406367041,26.5,16281,1,3
"Mobile, AL",1.09701E+13,0.331958763,0.406367041,27.65,13223,1,3
"Mobile, AL",1.097E+13,0.239426523,0.406367041,28.875,14504,1,3
"Mobile, AL",1.097E+13,0.049799386,0.406367041,28.22058824,9138,1,3
"Mobile, AL",1.097E+13,0.087787245,0.406367041,28.79117647,9138,1,3
"Mobile, AL",1.097E+13,0.031607428,0.406367041,28.25571429,9138,1,3
"Mobile, AL",1.097E+13,0.449707113,0.406367041,27.586,9138,1,3
"Mobile, AL",1.097E+13,0.372,0.406367041,27.95,15288,1,3
"Mobile, AL",1.097E+13,0.620320856,0.406367041,26.75,16323,1,3
"Mobile, AL",1.097E+13,0.52178122,0.406367041,27.92272727,10950,1,3
"Mobile, AL",1.097E+13,0.068957055,0.406367041,30.87857143,11231,1,3
"Mobile, AL",1.097E+13,0.194046307,0.406367041,29.2,16610,1,3
"Mobile, AL",1.097E+13,0.670059834,0.406367041,28.08251748,16610,1,3
"Mobile, AL",1.097E+13,0.224221453,0.406367041,29.52142857,14822,1,3
"Mobile, AL",1.097E+13,0.621482498,0.406367041,27.95,8951,1,3
"Mobile, AL",1.097E+13,0,0.406367041,28.7,8951,1,3
"Mobile, AL",1.097E+13,0.378583967,0.406367041,28.26666667,8951,1,3
"Mobile, AL",1.097E+13,0.145922747,0.406367041,28.8,14072,1,3
"Mobile, AL",1.09701E+13,0.650531287,0.406367041,27.1,15096,1,3
"Mobile, AL",1.097E+13,0.172859451,0.572708121,26.81666667,16641,1,2
"Mobile, AL",1.097E+13,0.501230293,0.572708121,28.49583333,16641,1,2
"Mobile, AL",1.097E+13,0.720018998,0.572708121,26.15,16641,1,2
"Mobile, AL",1.097E+13,0.495991635,0.572708121,26.91666667,16641,1,2
"Mobile, AL",1.097E+13,0.420899855,0.572708121,25.8,16641,1,2
"Mobile, AL",1.097E+13,0.618363013,0.572708121,27.38773585,16641,1,2
"Mobile, AL",1.097E+13,0.636705528,0.572708121,27.22272727,16641,1,2
"Mobile, AL",1.097E+13,0.543855302,0.572708121,26.7,14339,1,2
"Mobile, AL",1.097E+13,0.582357533,0.572708121,28.44473684,14596,1,2
"Mobile, AL",1.097E+13,0.390625,0.572708121,29.05,14596,1,2
"Mobile, AL",1.097E+13,0.344380403,0.572708121,29.25,14596,1,2
"Mobile, AL",1.097E+13,0.385940147,0.572708121,29.04411765,14596,1,2
"Mobile, AL",1.097E+13,0.437899013,0.572708121,28.38333333,14596,1,2
"Mobile, AL",1.097E+13,0.657728707,0.572708121,27.6375,14596,1,2
"Mobile, AL",1.097E+13,0.496376812,0.572708121,28.40555556,14596,1,2
"Mobile, AL",1.097E+13,0.424680378,0.572708121,28.9,14596,1,2
"Mobile, AL",1.097E+13,0.639040808,0.572708121,28.55833333,16132,1,2
