Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"New Haven, CT",90091402001032.00,0.105608017,0.143870314,27.13222222,13813,1,4
"New Haven, CT",90091402001041.00,0.108480766,0.143870314,28.19929578,13813,1,4
"New Haven, CT",90091403001001.00,0.136533487,0.143870314,28.31,12078,1,4
"New Haven, CT",90091403001002.00,0.117792932,0.143870314,28.14375,12078,1,4
"New Haven, CT",90091403001003.00,0.130317613,0.143870314,27.64565217,12078,1,4
"New Haven, CT",90091403001005.00,0.0842356,0.143870314,27.63571429,12078,1,4
"New Haven, CT",90091403002005.00,0.197350388,0.143870314,27.48333333,12380,1,4
"New Haven, CT",90091403002008.00,0.008547009,0.143870314,26.65,12380,1,4
"New Haven, CT",90091403002030.00,0.118881119,0.143870314,27.45,12380,1,4
"New Haven, CT",90091403002031.00,0.097291876,0.143870314,27.90555556,12380,1,4
"New Haven, CT",90091403002033.00,0.127350887,0.143870314,28.175,12380,1,4
"New Haven, CT",90091403002034.00,0.103225806,0.143870314,27.75714286,12380,1,4
"New Haven, CT",90091403002037.00,0.129109864,0.143870314,27.31363636,12380,1,4
"New Haven, CT",90091403002039.00,0.147245763,0.143870314,27.93333333,12380,1,4
"New Haven, CT",90091403002040.00,0.205432937,0.143870314,27.85,12380,1,4
"New Haven, CT",90091404001000.00,0.152594412,0.143870314,27.98333333,16170,1,4
"New Haven, CT",90091404001001.00,0.123671498,0.143870314,27.53888889,16170,1,4
"New Haven, CT",90091404001006.00,0.122932809,0.143870314,26.60641026,16170,1,4
"New Haven, CT",90091404001011.00,0.136838036,0.143870314,26.47173913,16170,1,4
"New Haven, CT",90091405001003.00,0.321268098,0.143870314,26.34444444,14868,1,4
"New Haven, CT",90091405001004.00,0.141025641,0.143870314,25.90882353,14868,1,4
"New Haven, CT",90091405001006.00,0.162193252,0.143870314,26.40454546,14868,1,4
"New Haven, CT",90091405001008.00,0.243156597,0.143870314,25.98157895,14868,1,4
"New Haven, CT",90091405001010.00,0.128966914,0.143870314,26.21666667,14868,1,4
"New Haven, CT",90091405002000.00,0.144444444,0.143870314,26.35625,14868,1,4
"New Haven, CT",90091405002001.00,0.269669221,0.143870314,26.06666667,14868,1,4
"New Haven, CT",90091405002002.00,0.267132552,0.143870314,24.93636364,14868,1,4
"New Haven, CT",90091405002003.00,0.156956251,0.143870314,24.95952381,14868,1,4
"New Haven, CT",90091405002004.00,0.160320314,0.143870314,25.54615385,14868,1,4
"New Haven, CT",90091405003008.00,0.219009026,0.143870314,25.6673913,14868,1,4
"New Haven, CT",90091405003009.00,0.211362412,0.143870314,25.88529412,14868,1,4
"New Haven, CT",90091405003010.00,0.16614024,0.143870314,25.65476191,14868,1,4
"New Haven, CT",90091405003011.00,0.188181818,0.143870314,25.95,14868,1,4
"New Haven, CT",90091405003012.00,0.25758223,0.143870314,25.83181818,14868,1,4
"New Haven, CT",90091405003013.00,0.1176,0.143870314,26.82,14868,1,4
"New Haven, CT",90091405003014.00,0.180720093,0.143870314,26.39,14868,1,4
"New Haven, CT",90091406001003.00,0.093273399,0.143870314,26.94285714,20990,1,4
"New Haven, CT",90091406001004.00,0.051686155,0.143870314,27.21153846,20990,1,4
"New Haven, CT",90091406002004.00,0.142363334,0.143870314,27.69411765,15544,1,4
"New Haven, CT",90091406003003.00,0.14094592,0.143870314,26.26304348,25176,1,4
