Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"New Orleans, LA",2.2051E+14,0.458811528,0.428253043,28.86111111,9474,1,2
"New Orleans, LA",2.2051E+14,0.448297214,0.428253043,28.89666667,9474,1,2
"New Orleans, LA",2.2051E+14,0.469026549,0.428253043,27.87105263,9474,1,2
"New Orleans, LA",2.2051E+14,0.444333996,0.428253043,28.88076923,9474,1,2
"New Orleans, LA",2.2051E+14,0.457257029,0.428253043,28.97,9474,1,2
"New Orleans, LA",2.2051E+14,0.480542755,0.428253043,29.18333333,9474,1,2
"New Orleans, LA",2.2051E+14,0.405063291,0.428253043,29.05,9474,1,2
"New Orleans, LA",2.2051E+14,0.421699819,0.428253043,28.57857143,9474,1,2
"New Orleans, LA",2.2051E+14,0.416969147,0.428253043,28.94,9474,1,2
"New Orleans, LA",2.2051E+14,0.527622319,0.428253043,28.23765432,9474,1,2
"New Orleans, LA",2.2051E+14,0.40891978,0.428253043,28.82142857,9474,1,2
"New Orleans, LA",2.2071E+14,0.400790798,0.428253043,31.275,9475,1,2
"New Orleans, LA",2.2071E+14,0.386560443,0.428253043,32.02692308,9475,1,2
"New Orleans, LA",2.2071E+14,0.471950778,0.428253043,30.1,9475,1,2
"New Orleans, LA",2.2071E+14,0.376785714,0.428253043,30.95833333,9475,1,2
"New Orleans, LA",2.2071E+14,0.422302158,0.428253043,31.98333333,9475,1,2
"New Orleans, LA",2.2071E+14,0.342152306,0.428253043,31.69615385,9475,1,2
"New Orleans, LA",2.2071E+14,0.484115523,0.428253043,31.33333333,9475,1,2
"New Orleans, LA",2.2071E+14,0.362105263,0.428253043,31.73461539,9475,1,2
"New Orleans, LA",2.2071E+14,0.196219396,0.428253043,29.93095238,8708,1,2
"New Orleans, LA",2.2071E+14,0.359849778,0.428253043,29.25666667,15620,1,2
"New Orleans, LA",2.2071E+14,0.286181727,0.428253043,29.73125,15620,1,2
"New Orleans, LA",2.2071E+14,0.384634697,0.428253043,29.24444444,15620,1,2
"New Orleans, LA",2.2051E+14,0.408237986,0.428253043,30.74811321,16645,1,2
"New Orleans, LA",2.2051E+14,0.394659583,0.428253043,30.48714286,16645,1,2
"New Orleans, LA",2.2051E+14,0.449674512,0.428253043,30.58888889,16645,1,2
"New Orleans, LA",2.2051E+14,0.390212213,0.428253043,30.2375,16645,1,2
"New Orleans, LA",2.2051E+14,0.417551126,0.428253043,30.675,16645,1,2
"New Orleans, LA",2.2051E+14,0.477545857,0.428253043,30.25952381,16645,1,2
"New Orleans, LA",2.2051E+14,0.45972157,0.428253043,29.95,16645,1,2
"New Orleans, LA",2.2051E+14,0.14472065,0.428253043,32.04771429,16645,1,2
"New Orleans, LA",2.2051E+14,0.60195982,0.428253043,28.88153846,16645,1,2
"New Orleans, LA",2.2051E+14,0.365786579,0.428253043,29.79705882,16645,1,2
"New Orleans, LA",2.2071E+14,0.48325821,0.428253043,32.27666667,15878,1,2
"New Orleans, LA",2.2071E+14,0.449030869,0.428253043,32.07857143,15878,1,2
"New Orleans, LA",2.2071E+14,0.350033852,0.428253043,32.18333333,15878,1,2
"New Orleans, LA",2.2071E+14,0.49722313,0.428253043,31.96666667,15878,1,2
"New Orleans, LA",2.20891E+14,0.569324578,0.428253043,26.85625,16135,1,2
"New Orleans, LA",2.20891E+14,0.016393443,0.428253043,28.05,16135,1,2
"New Orleans, LA",2.20891E+14,0.422531442,0.428253043,28.80294118,16135,1,2
"New Orleans, LA",2.20891E+14,0.548921725,0.428253043,28.40909091,16135,1,2
"New Orleans, LA",2.2071E+14,0.545324768,0.428253043,30.75,11784,1,2
"New Orleans, LA",2.2071E+14,0.406458056,0.428253043,31.62692308,11784,1,2
"New Orleans, LA",2.2071E+14,0.365259034,0.428253043,31.35909091,16904,1,2
"New Orleans, LA",2.2071E+14,0.460706861,0.428253043,30.87,16904,1,2
"New Orleans, LA",2.2071E+14,0.542339697,0.428253043,30.0625,11018,1,2
"New Orleans, LA",2.2071E+14,0.349480969,0.428253043,29.39545455,11018,1,2
"New Orleans, LA",2.2071E+14,0.118164063,0.428253043,30.05,9227,1,2
"New Orleans, LA",2.2071E+14,0.357685009,0.428253043,30.33,9227,1,2
"New Orleans, LA",2.2071E+14,0.691930207,0.428253043,28.9375,11788,1,2
"New Orleans, LA",2.2071E+14,0.390909091,0.428253043,29.56428571,11788,1,2
"New Orleans, LA",2.2071E+14,0.470174365,0.428253043,28.72857143,11788,1,2
"New Orleans, LA",2.2071E+14,0.441499086,0.428253043,29.69,11788,1,2
"New Orleans, LA",2.2071E+14,0.333965844,0.428253043,29.28333333,11788,1,2
"New Orleans, LA",2.2071E+14,0.310309802,0.428253043,30.43,11788,1,2
"New Orleans, LA",2.2071E+14,0.566487776,0.428253043,28.5125,11788,1,2
"New Orleans, LA",2.2071E+14,0.393770492,0.428253043,31.73,10509,1,2
"New Orleans, LA",2.2071E+14,0.311428571,0.428253043,31.80384615,10509,1,2
"New Orleans, LA",2.2071E+14,0.326086957,0.428253043,30.85,10509,1,2
"New Orleans, LA",2.2051E+14,0.129720171,0.428253043,31.51666667,16397,1,2
"New Orleans, LA",2.2051E+14,0.387955488,0.428253043,30.67222222,16397,1,2
"New Orleans, LA",2.2051E+14,0.52509736,0.428253043,30.66428571,16397,1,2
"New Orleans, LA",2.2051E+14,0.513704686,0.428253043,30.34047619,16397,1,2
"New Orleans, LA",2.2071E+14,0.639693059,0.428253043,27.90833333,17421,1,2
"New Orleans, LA",2.2071E+14,0.548212351,0.428253043,28.13888889,17421,1,2
"New Orleans, LA",2.2071E+14,0.557219892,0.428253043,28.85,17421,1,2
