Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Oklahoma City, OK",4.01091E+14,0.213476071,0.27411805,32.15,13312,1,2
"Oklahoma City, OK",4.01091E+14,0.219165085,0.27411805,32.945,13312,1,2
"Oklahoma City, OK",4.01091E+14,0.272727273,0.27411805,31.97142857,13312,1,2
"Oklahoma City, OK",4.01091E+14,0.096102746,0.27411805,32.49,13312,1,2
"Oklahoma City, OK",4.01091E+14,0.316798327,0.27411805,31.52179487,13312,1,2
"Oklahoma City, OK",4.01091E+14,0.354044549,0.27411805,31.85,13312,1,2
"Oklahoma City, OK",4.01091E+14,0.118463445,0.27411805,32.745,13312,1,2
"Oklahoma City, OK",4.01091E+14,0.295996593,0.27411805,31.72272727,13312,1,2
"Oklahoma City, OK",4.01091E+14,0.321064856,0.27411805,30.4625,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.390473828,0.27411805,30.51111111,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.225616921,0.27411805,31.02058824,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.470091834,0.27411805,31.20238095,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.402911738,0.27411805,30.18333333,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.086021505,0.27411805,31.10384615,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.413824219,0.27411805,30.27083333,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.266969147,0.27411805,30.61666667,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.249653644,0.27411805,31.46904762,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.282467532,0.27411805,30.88333333,18177,1,2
"Oklahoma City, OK",4.01091E+14,0.290478381,0.27411805,30.05,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.476888388,0.27411805,28.75,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.476573939,0.27411805,28.64166667,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.368544601,0.27411805,29.42,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.463035978,0.27411805,29.66875,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.310314557,0.27411805,28.62333333,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.399249355,0.27411805,29.12333333,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.548500882,0.27411805,28.67,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.452868165,0.27411805,29.89642857,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.392725599,0.27411805,28.94333333,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.469913238,0.27411805,28.85833333,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.507621069,0.27411805,28.80454546,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.265632693,0.27411805,29.695,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.460711332,0.27411805,29,15363,1,2
"Oklahoma City, OK",4.01091E+14,0.473350254,0.27411805,28.775,15363,1,2
