Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Omaha, NE--IA",310550008002000.00,0.057125546,0.170047831,26.60283019,14849,1,1
"Omaha, NE--IA",310550008002037.00,0.085074627,0.170047831,28.23,14849,1,1
"Omaha, NE--IA",310550008002023.00,0.066198008,0.170047831,27.99666667,14849,1,1
"Omaha, NE--IA",310550008002010.00,0.076140351,0.170047831,28.2625,14849,1,1
"Omaha, NE--IA",310550008002013.00,0.050428477,0.170047831,29.19666667,14849,1,1
"Omaha, NE--IA",310550008002012.00,0.020915772,0.170047831,29.36,14849,1,1
"Omaha, NE--IA",310550008002025.00,0.024875622,0.170047831,28.45666667,14849,1,1
"Omaha, NE--IA",310550008002030.00,0.059806508,0.170047831,27.23333333,14849,1,1
"Omaha, NE--IA",310550008002008.00,0.053921569,0.170047831,27.525,14849,1,1
"Omaha, NE--IA",310550008002011.00,0.006068349,0.170047831,28.28333333,14849,1,1
"Omaha, NE--IA",310550008002002.00,0.023482124,0.170047831,28.44583333,14849,1,1
"Omaha, NE--IA",310550060001013.00,0.072274882,0.170047831,31.07777778,7938,1,1
"Omaha, NE--IA",310550060001012.00,0.104418466,0.170047831,28.84047619,7938,1,1
"Omaha, NE--IA",310550060001000.00,0.205558888,0.170047831,28.87857143,7938,1,1
"Omaha, NE--IA",310550060001007.00,0.104497867,0.170047831,29.25,7938,1,1
"Omaha, NE--IA",310550068063004.00,0.298139769,0.170047831,26.97916667,16131,1,1
"Omaha, NE--IA",310550068063005.00,0.367688956,0.170047831,28.14375,16131,1,1
"Omaha, NE--IA",310550068063007.00,0.031656893,0.170047831,31.39666667,16131,1,1
"Omaha, NE--IA",310550068063003.00,0.30625403,0.170047831,28.60882353,16131,1,1
"Omaha, NE--IA",310550068063012.00,0.02970519,0.170047831,28.76869919,16131,1,1
"Omaha, NE--IA",310550068063006.00,0.068579123,0.170047831,31.36122995,16131,1,1
"Omaha, NE--IA",310550061011002.00,0.379113509,0.170047831,23.48239437,15876,1,1
"Omaha, NE--IA",310550061011015.00,0.199030434,0.170047831,26.60714286,15876,1,1
"Omaha, NE--IA",310550061011017.00,0.252602632,0.170047831,25.63333333,15876,1,1
"Omaha, NE--IA",310550061011007.00,0.402688728,0.170047831,24.59583333,15876,1,1
"Omaha, NE--IA",310550061011009.00,0.342490842,0.170047831,25.91190476,15876,1,1
"Omaha, NE--IA",310550061011001.00,0.462989357,0.170047831,23.97600473,15876,1,1
"Omaha, NE--IA",310550061011014.00,0.13571645,0.170047831,26.89285714,15876,1,1
"Omaha, NE--IA",310550019001004.00,0.00125439,0.170047831,31.21538462,20997,1,1
"Omaha, NE--IA",310550019001006.00,4.58E-04,0.170047831,30.67,20997,1,1
"Omaha, NE--IA",310550058001000.00,0.08518324,0.170047831,27.85457381,11782,1,1
"Omaha, NE--IA",310550074343000.00,0.185986877,0.170047831,27.83596491,19719,1,1
"Omaha, NE--IA",310550074343002.00,0.046273652,0.170047831,28.34402985,19719,1,1
"Omaha, NE--IA",310550058006002.00,0.146801412,0.170047831,28.2521978,17161,1,1
"Omaha, NE--IA",310550058006004.00,0.108722428,0.170047831,26.21,17161,1,1
"Omaha, NE--IA",310550058006011.00,0.179148311,0.170047831,26.3,17161,1,1
"Omaha, NE--IA",311530106144012.00,0.001703578,0.170047831,28.57068966,17417,1,1
"Omaha, NE--IA",310550030007014.00,0.11773913,0.170047831,28.08703704,16906,1,1
"Omaha, NE--IA",310550030007000.00,0.041152949,0.170047831,28.8675,16906,1,1
"Omaha, NE--IA",311530102041007.00,0.312396352,0.170047831,27.89473684,19723,1,1
"Omaha, NE--IA",311530102041001.00,0.125,0.170047831,29.83333333,19723,1,1
"Omaha, NE--IA",310550053001033.00,0.248879837,0.170047831,28.71,8716,1,1
"Omaha, NE--IA",310550053001023.00,0.29091653,0.170047831,26.18333333,8716,1,1
"Omaha, NE--IA",310550053001024.00,0.525060827,0.170047831,26.4,8716,1,1
"Omaha, NE--IA",310550053001026.00,0.090829311,0.170047831,27.03928571,8716,1,1
"Omaha, NE--IA",310550053001028.00,0.029040404,0.170047831,27.995,8716,1,1
"Omaha, NE--IA",310550053001035.00,0.113291264,0.170047831,26.90434783,8716,1,1
"Omaha, NE--IA",310550053001020.00,0.260017296,0.170047831,27.21,8716,1,1
"Omaha, NE--IA",310550053001016.00,0.314693295,0.170047831,25.53666667,8716,1,1
"Omaha, NE--IA",310550053001029.00,0.093414211,0.170047831,28.346875,8716,1,1
"Omaha, NE--IA",310550053001002.00,0.259004739,0.170047831,24.56333333,8716,1,1
"Omaha, NE--IA",310550053001034.00,0.157212318,0.170047831,28.63888889,8716,1,1
"Omaha, NE--IA",310550053001022.00,0.261098901,0.170047831,25.5452381,8716,1,1
"Omaha, NE--IA",310550053001001.00,0.227922054,0.170047831,25.85515759,8716,1,1
"Omaha, NE--IA",310550053001012.00,0.184709904,0.170047831,26.05882353,8716,1,1
"Omaha, NE--IA",310550053001000.00,0.215599807,0.170047831,26.87136752,8716,1,1
"Omaha, NE--IA",310550053001036.00,0.190709677,0.170047831,25.55,8716,1,1
"Omaha, NE--IA",310550053001003.00,0.202434714,0.170047831,25.05869565,8716,1,1
"Omaha, NE--IA",310550053001021.00,0.149817093,0.170047831,27.12307692,8716,1,1
"Omaha, NE--IA",310550053001009.00,0.114842348,0.170047831,26.10333333,8716,1,1
"Omaha, NE--IA",310550053001006.00,0.297220914,0.170047831,24.61666667,8716,1,1
"Omaha, NE--IA",310550053001010.00,0.146411734,0.170047831,26.34333333,8716,1,1
"Omaha, NE--IA",310550053001004.00,0.20722135,0.170047831,25.03333333,8716,1,1
"Omaha, NE--IA",310550053001013.00,0.139623487,0.170047831,25.78888889,8716,1,1
"Omaha, NE--IA",310550053001007.00,0.112232919,0.170047831,25.555,8716,1,1
"Omaha, NE--IA",310550053001038.00,0.122439479,0.170047831,24.86666667,8716,1,1
"Omaha, NE--IA",310550053001014.00,0.194426012,0.170047831,25.1452381,8716,1,1
"Omaha, NE--IA",310550053001019.00,0.079313544,0.170047831,28.13888889,8716,1,1
"Omaha, NE--IA",310550053001017.00,0.274425287,0.170047831,26.70333333,8716,1,1
"Omaha, NE--IA",310550053001015.00,0.177474403,0.170047831,26.00333333,8716,1,1
"Omaha, NE--IA",310550054003005.00,0.043259777,0.170047831,28.595,12300,1,1
"Omaha, NE--IA",310550054003000.00,0.070578231,0.170047831,28.19444444,12300,1,1
"Omaha, NE--IA",310550004001039.00,0.084058544,0.170047831,27.86666667,12814,1,1
"Omaha, NE--IA",310550004001014.00,0.135030998,0.170047831,27.74197531,12814,1,1
"Omaha, NE--IA",310550004001013.00,0.190541591,0.170047831,29.32309942,12814,1,1
"Omaha, NE--IA",310550004001027.00,0.29956612,0.170047831,28.08043478,12814,1,1
"Omaha, NE--IA",310550004001022.00,0.119099116,0.170047831,29.36414141,12814,1,1
"Omaha, NE--IA",310550004001002.00,0.126641117,0.170047831,27.05040323,12814,1,1
"Omaha, NE--IA",310550004001034.00,0.047951854,0.170047831,27.31785714,12814,1,1
"Omaha, NE--IA",310550004001037.00,0.058206296,0.170047831,27.81190476,12814,1,1
"Omaha, NE--IA",310550004001012.00,0.217300213,0.170047831,26.27547426,12814,1,1
"Omaha, NE--IA",310550004001011.00,0.1089341,0.170047831,26.21421053,12814,1,1
"Omaha, NE--IA",310550004001041.00,0.147070015,0.170047831,26.78684211,12814,1,1
"Omaha, NE--IA",310550004001036.00,0.002240326,0.170047831,27.74444444,12814,1,1
"Omaha, NE--IA",310550004001025.00,0.144691235,0.170047831,27.74509203,12814,1,1
"Omaha, NE--IA",310550004001030.00,0.01309361,0.170047831,27.32619048,12814,1,1
"Omaha, NE--IA",310550004001029.00,0.031242251,0.170047831,27.8540404,12814,1,1
"Omaha, NE--IA",310550004001028.00,0.048282489,0.170047831,28.36578947,12814,1,1
"Omaha, NE--IA",310550004001021.00,0.01310236,0.170047831,26.68865546,12814,1,1
"Omaha, NE--IA",310550004001040.00,0.211356467,0.170047831,28.63571429,12814,1,1
"Omaha, NE--IA",310550004001026.00,0.181564246,0.170047831,26.82619048,12814,1,1
"Omaha, NE--IA",310550004001038.00,0.061514802,0.170047831,27.77857143,12814,1,1
"Omaha, NE--IA",310550004001043.00,0.234117647,0.170047831,27.38333333,12814,1,1
"Omaha, NE--IA",310550071012026.00,0.081977217,0.170047831,28.5,16398,1,1
"Omaha, NE--IA",310550071012028.00,0.019326339,0.170047831,27.71,16398,1,1
"Omaha, NE--IA",310550071012030.00,0.038031543,0.170047831,27.1826087,16398,1,1
"Omaha, NE--IA",310550071012029.00,0.001467351,0.170047831,29.3,16398,1,1
"Omaha, NE--IA",310550071012031.00,0.038027195,0.170047831,27.05526316,16398,1,1
"Omaha, NE--IA",310550071012003.00,0.065048478,0.170047831,27.29068441,16398,1,1
"Omaha, NE--IA",310550071012012.00,0.004816376,0.170047831,29.81176471,16398,1,1
"Omaha, NE--IA",310550071012011.00,0.028121927,0.170047831,28.71888889,16398,1,1
"Omaha, NE--IA",310550071012022.00,0.044263316,0.170047831,27.78333333,16398,1,1
"Omaha, NE--IA",310550071012019.00,0.052246447,0.170047831,29.04793103,16398,1,1
"Omaha, NE--IA",310550071012023.00,0.049875875,0.170047831,27.43915663,16398,1,1
"Omaha, NE--IA",310550071012032.00,0.117059529,0.170047831,28.53695652,16398,1,1
"Omaha, NE--IA",310550074361000.00,0.046966136,0.170047831,27.29817518,20496,1,1
"Omaha, NE--IA",311530106141006.00,0.155796145,0.170047831,27.59117647,19729,1,1
"Omaha, NE--IA",311530106141015.00,0.019040733,0.170047831,27.52368421,19729,1,1
"Omaha, NE--IA",311530106141017.00,0.030312907,0.170047831,27.18571429,19729,1,1
"Omaha, NE--IA",311530106141016.00,0.054674274,0.170047831,27.25704225,19729,1,1
"Omaha, NE--IA",191550304014004.00,0.124732716,0.170047831,30.46111111,12050,1,1
"Omaha, NE--IA",310550074551006.00,0.336593317,0.170047831,28.15,21778,1,1
"Omaha, NE--IA",310550074551012.00,0.265306122,0.170047831,28.825,21778,1,1
"Omaha, NE--IA",191550305022024.00,0.014486517,0.170047831,29.83666667,18453,1,1
"Omaha, NE--IA",191550305022009.00,0.032125027,0.170047831,29.29761905,18453,1,1
"Omaha, NE--IA",191550305022006.00,0.020485175,0.170047831,30.01,18453,1,1
"Omaha, NE--IA",191550305022012.00,0.023414634,0.170047831,30.15,18453,1,1
"Omaha, NE--IA",191550305022022.00,0.019804044,0.170047831,30.12619048,18453,1,1
"Omaha, NE--IA",191550305022004.00,0,0.170047831,30.79285714,18453,1,1
"Omaha, NE--IA",310550020003016.00,0.08810241,0.170047831,31.07,12567,1,1
"Omaha, NE--IA",191550311003006.00,0.069036579,0.170047831,30.35,14871,1,1
"Omaha, NE--IA",191550311003011.00,0.047706422,0.170047831,29.3,14871,1,1
"Omaha, NE--IA",191550311003005.00,0.045610593,0.170047831,29.33,14871,1,1
"Omaha, NE--IA",191550311003007.00,0.043609672,0.170047831,29.4,14871,1,1
"Omaha, NE--IA",310550074672002.00,0.222410866,0.170047831,27.51,21527,1,1
"Omaha, NE--IA",310550074672000.00,0.152931283,0.170047831,28.35789474,21527,1,1
"Omaha, NE--IA",310550074672001.00,0.13579886,0.170047831,28.00757576,21527,1,1
"Omaha, NE--IA",310550074672003.00,0.070669145,0.170047831,27.28534483,21527,1,1
"Omaha, NE--IA",310550032002016.00,0.009019701,0.170047831,31.9,12824,1,1
