Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Pensacola, FL--AL",121130105031006.00,0.104731526,0.212395012,28.2,14863,1,3
"Pensacola, FL--AL",120330011041010.00,0.427358863,0.212395012,29.04047619,18728,1,3
"Pensacola, FL--AL",120330016001087.00,0.309499136,0.212395012,28.21666667,8752,1,3
"Pensacola, FL--AL",120330012022034.00,0.175572519,0.212395012,28.7375,15180,1,3
"Pensacola, FL--AL",120330022002022.00,0.031362007,0.212395012,29.794,14931,1,3
"Pensacola, FL--AL",120330022001012.00,0,0.212395012,0,18010,1,3
"Pensacola, FL--AL",120330034003060.00,0.310166799,0.212395012,27.81923077,16225,1,3
"Pensacola, FL--AL",120330028031002.00,0.084516129,0.212395012,29.25,14706,1,3
"Pensacola, FL--AL",120330017001040.00,0.202706089,0.212395012,28.25227273,13222,1,3
"Pensacola, FL--AL",121130106005052.00,0.151652174,0.212395012,29.22,15564,1,3
"Pensacola, FL--AL",120330004003039.00,0.01318603,0.212395012,29.43333333,13261,1,3
"Pensacola, FL--AL",120330004003017.00,0.063596118,0.212395012,28.81470588,13261,1,3
"Pensacola, FL--AL",120330004003040.00,0,0.212395012,30.025,13261,1,3
"Pensacola, FL--AL",120330004003041.00,0.09010813,0.212395012,28.75,13261,1,3
"Pensacola, FL--AL",120330004003018.00,0.062629043,0.212395012,28.23333333,13261,1,3
"Pensacola, FL--AL",120330019001026.00,0.256046994,0.212395012,27.46538462,14286,1,3
"Pensacola, FL--AL",120330020002013.00,0.518802483,0.212395012,28.60833333,16335,1,3
"Pensacola, FL--AL",120330004002015.00,0.15210356,0.212395012,27.55,7914,1,3
"Pensacola, FL--AL",120330004002035.00,0.055735286,0.212395012,28.8131579,7914,1,3
"Pensacola, FL--AL",120330018001111.00,0.34625323,0.212395012,29.01666667,13042,1,3
"Pensacola, FL--AL",120330004001062.00,0.04899931,0.212395012,30.08333333,17661,1,3
"Pensacola, FL--AL",120330030003017.00,0.405009326,0.455265331,27.34411765,13572,1,1
"Pensacola, FL--AL",120330030003016.00,0.258411414,0.455265331,28.7175,13572,1,1
"Pensacola, FL--AL",120330030003019.00,0.343797087,0.455265331,27.37941177,13572,1,1
"Pensacola, FL--AL",120330030003018.00,0.281367041,0.455265331,27.75,13572,1,1
"Pensacola, FL--AL",120330030003005.00,0.300139487,0.455265331,28.26414729,13572,1,1
"Pensacola, FL--AL",120330030003003.00,0.459017462,0.455265331,27.37463768,13572,1,1
"Pensacola, FL--AL",120330030003013.00,0.215451473,0.455265331,29.15434783,13572,1,1
"Pensacola, FL--AL",120330030003008.00,0.34472545,0.455265331,27.54473684,13572,1,1
"Pensacola, FL--AL",120330030003020.00,0.472797593,0.455265331,27.96153846,13572,1,1
"Pensacola, FL--AL",120330030003002.00,0.367043021,0.455265331,27.36304348,13572,1,1
"Pensacola, FL--AL",120330030003001.00,0.29674647,0.455265331,27.54714286,13572,1,1
