Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Pittsburgh, PA",4.20076E+14,0.405514761,0.436260904,27.15,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.069958848,0.436260904,27.78,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.18249554,0.436260904,27.58023256,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.014804845,0.436260904,30.82142857,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.176933159,0.436260904,29.625,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.642451072,0.436260904,24.08010753,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.284474802,0.436260904,26.29545455,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.816878137,0.436260904,23.65422535,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.052083333,0.436260904,26.95,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.20232333,0.436260904,28.17,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.502489213,0.436260904,25.16466667,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.100376412,0.436260904,28.625,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.090186916,0.436260904,26.47727273,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.122839279,0.436260904,26.725,20736,1,1
"Pittsburgh, PA",4.20076E+14,0.259809853,0.436260904,27.678,20736,1,1
"Pittsburgh, PA",4.20034E+14,0.018529957,0.436260904,31.19666667,19969,1,1
"Pittsburgh, PA",4.20034E+14,0.145574436,0.436260904,30.56176471,19969,1,1
"Pittsburgh, PA",4.20033E+14,0.142766397,0.436260904,26.88666667,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.132505176,0.436260904,28.275,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.309174153,0.436260904,26.8,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.221580547,0.436260904,27.21,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.080273271,0.436260904,28.57,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.415083477,0.436260904,26.78548387,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.128082192,0.436260904,27.95833333,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.122767857,0.436260904,27.62272727,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.147375988,0.436260904,26.53,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.278342654,0.436260904,27.45,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.143529412,0.436260904,27.28333333,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.411186232,0.436260904,26.52142857,24577,1,1
"Pittsburgh, PA",4.20033E+14,0.206341912,0.436260904,27.13,24577,1,1
"Pittsburgh, PA",4.20031E+14,0.398877718,0.436260904,28.08,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.135471204,0.436260904,28.76428571,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.075796727,0.436260904,29.5,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.560686016,0.436260904,29.025,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.309593023,0.436260904,28.34473684,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.180911681,0.436260904,26.88333333,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.354061826,0.436260904,28.73461539,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.370125,0.436260904,27.38611111,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.48011319,0.436260904,26.56034483,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.319325329,0.436260904,26.55714286,19714,1,1
"Pittsburgh, PA",4.20031E+14,0.613701485,0.436260904,26.65588235,19714,1,1
"Pittsburgh, PA",4.20035E+14,0.558742208,0.436260904,25.07840909,20482,1,1
"Pittsburgh, PA",4.20035E+14,0.266337855,0.436260904,29.625,20482,1,1
"Pittsburgh, PA",4.20035E+14,0.545973446,0.436260904,26.64705882,20482,1,1
"Pittsburgh, PA",4.20035E+14,0.295591457,0.436260904,27.39117647,20482,1,1
"Pittsburgh, PA",4.20035E+14,0.629255727,0.436260904,25.99920635,20482,1,1
"Pittsburgh, PA",4.20035E+14,0.25263512,0.436260904,28.45,14083,1,1
"Pittsburgh, PA",4.20035E+14,0.311771238,0.436260904,28.91666667,14083,1,1
"Pittsburgh, PA",4.20035E+14,0.362835249,0.436260904,27.57765957,14083,1,1
"Pittsburgh, PA",4.20032E+14,0.405614714,0.436260904,28,14084,1,1
"Pittsburgh, PA",4.20032E+14,0.42430484,0.436260904,28.53,14084,1,1
"Pittsburgh, PA",4.21258E+14,0.219453969,0.436260904,28.0092233,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.324958586,0.436260904,27.11875,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.023561396,0.436260904,30.61,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.003443187,0.436260904,29.76111111,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.247097844,0.436260904,26.9,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.165339468,0.436260904,27.56578947,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.384597806,0.436260904,27.175,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.308630394,0.436260904,27.01,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.112340897,0.436260904,27.6875,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.283416528,0.436260904,27.75,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.009499683,0.436260904,29.82142857,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.205757433,0.436260904,27.10555556,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.052062868,0.436260904,29.08333333,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.197976627,0.436260904,27.134,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.160724392,0.436260904,27.0375,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.1784831,0.436260904,26.65,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.147676497,0.436260904,29.22157895,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.183544304,0.436260904,26.75,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.003119682,0.436260904,30.97666667,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.165271967,0.436260904,28.37352941,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.020429009,0.436260904,28.175,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.199205166,0.436260904,26.94,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.143272962,0.436260904,27.52692308,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.360688286,0.436260904,27.48,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.323833034,0.436260904,26.47372881,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.146462969,0.436260904,28.89615385,18692,1,1
"Pittsburgh, PA",4.21258E+14,0.504550626,0.436260904,26.56666667,18692,1,1
"Pittsburgh, PA",4.21298E+14,0.229930624,0.436260904,28.38333333,18951,1,1
"Pittsburgh, PA",4.21298E+14,0.132538569,0.436260904,29.01666667,18951,1,1
"Pittsburgh, PA",4.21298E+14,0.047619048,0.436260904,29.75,18951,1,1
"Pittsburgh, PA",4.21298E+14,0.173541963,0.436260904,28.65,18951,1,1
"Pittsburgh, PA",4.21298E+14,0.136678722,0.436260904,29.93275862,18951,1,1
"Pittsburgh, PA",4.21298E+14,0.176067073,0.436260904,27.75555556,18951,1,1
"Pittsburgh, PA",4.21298E+14,0.211981567,0.436260904,28.1875,18951,1,1
"Pittsburgh, PA",4.20076E+14,0.025531915,0.436260904,28.71666667,24583,1,1
"Pittsburgh, PA",4.20076E+14,0.121428571,0.436260904,27.475,24583,1,1
"Pittsburgh, PA",4.20076E+14,0.129087965,0.436260904,25.83048781,24583,1,1
"Pittsburgh, PA",4.20076E+14,0.078320091,0.436260904,29.09,24583,1,1
"Pittsburgh, PA",4.20076E+14,0.057342657,0.436260904,29.05,24583,1,1
"Pittsburgh, PA",4.20076E+14,0.156426839,0.436260904,27.64090909,24583,1,1
"Pittsburgh, PA",4.20076E+14,0.262801523,0.436260904,27.20555556,24583,1,1
"Pittsburgh, PA",4.20076E+14,0.107713915,0.436260904,25.31571429,24583,1,1
"Pittsburgh, PA",4.20076E+14,0.189890867,0.436260904,24.9375,24583,1,1
