Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Port St. Lucie, FL",120850005012012.00,0.364256148,0.310460641,27.98333333,19536,1,2
"Port St. Lucie, FL",120850005012014.00,0.384230288,0.310460641,28.23928571,19536,1,2
"Port St. Lucie, FL",120850005012016.00,0.315671522,0.310460641,28.31666667,19536,1,2
"Port St. Lucie, FL",120850008002002.00,0.24494825,0.310460641,28.35555556,16130,1,2
"Port St. Lucie, FL",120850008002003.00,0.200243902,0.310460641,28.32647059,16130,1,2
"Port St. Lucie, FL",120850008002007.00,0.165060452,0.310460641,27.958,16130,1,2
"Port St. Lucie, FL",120850008002014.00,0.301881068,0.310460641,28.25,16130,1,2
"Port St. Lucie, FL",120850008002019.00,0.316726897,0.310460641,28.07105263,16130,1,2
"Port St. Lucie, FL",120850008002020.00,0.126679463,0.310460641,28.275,16130,1,2
"Port St. Lucie, FL",120850008002021.00,0.145224941,0.310460641,28.44090909,16130,1,2
"Port St. Lucie, FL",120850008002022.00,0.208048595,0.310460641,28.575,16130,1,2
"Port St. Lucie, FL",120850008002023.00,0.187662902,0.310460641,28.375,16130,1,2
"Port St. Lucie, FL",120850008002030.00,0.400714286,0.310460641,28.2,16130,1,2
"Port St. Lucie, FL",120850008002031.00,0.397999285,0.310460641,28.18571429,16130,1,2
"Port St. Lucie, FL",120850008002033.00,0.189121339,0.310460641,28.26,16130,1,2
"Port St. Lucie, FL",120850008002034.00,0.282223747,0.310460641,28.50625,16130,1,2
"Port St. Lucie, FL",120850008002035.00,0.358909445,0.310460641,28.68478261,16130,1,2
"Port St. Lucie, FL",120850008002036.00,0.440651052,0.310460641,28.72272727,16130,1,2
"Port St. Lucie, FL",120850010001014.00,0.072450732,0.310460641,29.59444444,18180,1,2
"Port St. Lucie, FL",120850010001029.00,0.132352941,0.310460641,27.25,18180,1,2
"Port St. Lucie, FL",120850010001030.00,0.098381386,0.310460641,27.98888889,18180,1,2
"Port St. Lucie, FL",120850010001055.00,0.480074143,0.310460641,26.85285714,18180,1,2
"Port St. Lucie, FL",120850010001058.00,0.611380313,0.310460641,26.84677419,18180,1,2
"Port St. Lucie, FL",120850010001063.00,0.360776088,0.310460641,27.3,18180,1,2
"Port St. Lucie, FL",120850010002002.00,0.053266627,0.310460641,27.875,12702,1,2
"Port St. Lucie, FL",120850010003003.00,0.427051672,0.310460641,29.55,18747,1,2
"Port St. Lucie, FL",120850010003006.00,0.372036768,0.310460641,28.46111111,18747,1,2
"Port St. Lucie, FL",120850012001022.00,0.477244772,0.310460641,27.02540984,14646,1,2
"Port St. Lucie, FL",120850012001027.00,0.383466667,0.310460641,27.4375,14646,1,2
"Port St. Lucie, FL",120850012001035.00,0.231956912,0.310460641,26.95833333,14646,1,2
"Port St. Lucie, FL",120850012001044.00,0.507329843,0.310460641,27.38529412,14646,1,2
"Port St. Lucie, FL",120850012001047.00,0.375524109,0.310460641,27.54444444,14646,1,2
"Port St. Lucie, FL",120850012001048.00,0.381216931,0.310460641,27.74411765,14646,1,2
"Port St. Lucie, FL",120850012001050.00,0.618139049,0.310460641,26.58529412,14646,1,2
"Port St. Lucie, FL",120850012002008.00,0.527291452,0.310460641,26.93823529,17663,1,2
"Port St. Lucie, FL",120850012002018.00,0.357602264,0.310460641,27.225,17663,1,2
"Port St. Lucie, FL",120850012002019.00,0.190501044,0.310460641,27.25588235,17663,1,2
"Port St. Lucie, FL",120850013011001.00,0.485101744,0.310460641,27.03333333,9999,1,2
"Port St. Lucie, FL",120850013011004.00,0.42774844,0.310460641,27.35,9999,1,2
"Port St. Lucie, FL",120850013011005.00,0.457032196,0.310460641,27.80555556,9999,1,2
"Port St. Lucie, FL",120850013011006.00,0.51739971,0.310460641,27.56111111,9999,1,2
"Port St. Lucie, FL",120850013011011.00,0.497337851,0.310460641,27.86666667,9999,1,2
"Port St. Lucie, FL",120850013011014.00,0.676743569,0.310460641,27.85,9999,1,2
"Port St. Lucie, FL",120850013011015.00,0.555785659,0.310460641,27.99705882,9999,1,2
"Port St. Lucie, FL",120850013011019.00,0.714436249,0.310460641,27.3625,9999,1,2
"Port St. Lucie, FL",120850013011020.00,0.556314926,0.310460641,27.5625,9999,1,2
"Port St. Lucie, FL",120850013011032.00,0.586873569,0.310460641,26.91666667,9999,1,2
"Port St. Lucie, FL",120850013011034.00,0.51897712,0.310460641,28.4125,9999,1,2
"Port St. Lucie, FL",120850013011038.00,0.41124498,0.310460641,27.5,9999,1,2
"Port St. Lucie, FL",120850013012002.00,0.328560849,0.310460641,27.81111111,17516,1,2
"Port St. Lucie, FL",120850013012003.00,0.491283293,0.310460641,27.62368421,17516,1,2
"Port St. Lucie, FL",120850013012004.00,0.379856115,0.310460641,27.70555556,17516,1,2
"Port St. Lucie, FL",120850013012007.00,0.465853086,0.310460641,27.955,17516,1,2
"Port St. Lucie, FL",120850013012011.00,0.556812204,0.310460641,27.83235294,17516,1,2
"Port St. Lucie, FL",120850013012012.00,0.393982469,0.310460641,27.66052632,17516,1,2
"Port St. Lucie, FL",120850013012017.00,0.576551373,0.310460641,27.8,17516,1,2
"Port St. Lucie, FL",120850013012018.00,0.700929684,0.310460641,27.3530303,17516,1,2
"Port St. Lucie, FL",120850013012019.00,0.539190574,0.310460641,27.86111111,17516,1,2
"Port St. Lucie, FL",120850013012021.00,0.476631854,0.310460641,27.91470588,17516,1,2
"Port St. Lucie, FL",120850013012022.00,0.538721414,0.310460641,28.37352941,17516,1,2
"Port St. Lucie, FL",120850013012024.00,0.567164179,0.310460641,27.52941177,17516,1,2
"Port St. Lucie, FL",120850013012025.00,0.442994336,0.310460641,27.80263158,17516,1,2
"Port St. Lucie, FL",120850014071019.00,0.073106361,0.310460641,28.37222222,19746,1,2
"Port St. Lucie, FL",120850014081011.00,0.100359712,0.310460641,28.00833333,12501,1,2
"Port St. Lucie, FL",120850014081013.00,0.032636248,0.310460641,28.27142857,12501,1,2
"Port St. Lucie, FL",120850014081014.00,0.189744996,0.310460641,29.23,12501,1,2
"Port St. Lucie, FL",120850014081015.00,0.148087132,0.310460641,29.17,12501,1,2
"Port St. Lucie, FL",120850014101010.00,0.153310105,0.310460641,28.4875,20861,1,2
"Port St. Lucie, FL",120850014101011.00,0.256909993,0.310460641,28.05,20861,1,2
"Port St. Lucie, FL",120850014101013.00,0.3830933,0.310460641,27.089,20861,1,2
"Port St. Lucie, FL",120850014101014.00,0.151563753,0.310460641,28.51,20861,1,2
"Port St. Lucie, FL",120850014101016.00,0.439795918,0.310460641,27.49615385,20861,1,2
"Port St. Lucie, FL",120850014101020.00,0.324424899,0.310460641,27.54230769,20861,1,2
"Port St. Lucie, FL",120850014101022.00,0.3912692,0.310460641,27.38333333,20861,1,2
"Port St. Lucie, FL",120850014101026.00,0.359574468,0.310460641,27.69888889,20861,1,2
"Port St. Lucie, FL",120850014101029.00,0.198720744,0.310460641,28.40666667,20861,1,2
"Port St. Lucie, FL",120850014101030.00,0.166802944,0.310460641,28.54411765,20861,1,2
"Port St. Lucie, FL",120850014101031.00,0.234192607,0.310460641,28.76764706,20861,1,2
"Port St. Lucie, FL",120850014101038.00,0.170940171,0.310460641,27.65555556,20861,1,2
"Port St. Lucie, FL",120850014101040.00,0.250086836,0.310460641,27.33461539,20861,1,2
"Port St. Lucie, FL",120850014101042.00,0.316852852,0.310460641,28.37048193,20861,1,2
"Port St. Lucie, FL",120850014101045.00,0.342890353,0.310460641,29.125,20861,1,2
"Port St. Lucie, FL",120850014101046.00,0.201427843,0.310460641,28.475,20861,1,2
"Port St. Lucie, FL",120850014101047.00,0.225961538,0.310460641,27.82692308,20861,1,2
"Port St. Lucie, FL",120850014101048.00,0.2413845,0.310460641,28.36,20861,1,2
"Port St. Lucie, FL",120850014101049.00,0.215368453,0.310460641,28.56,20861,1,2
"Port St. Lucie, FL",120850014101050.00,0.246797609,0.310460641,28.60806452,20861,1,2
"Port St. Lucie, FL",120850014101051.00,0.248836836,0.310460641,27.67068966,20861,1,2
"Port St. Lucie, FL",121113801001014.00,0.115027829,0.310460641,28.59,17162,1,2
"Port St. Lucie, FL",121113801001036.00,0.362826603,0.310460641,28.77413793,17162,1,2
"Port St. Lucie, FL",121113801001037.00,0.1752,0.310460641,29.29,17162,1,2
"Port St. Lucie, FL",121113801001038.00,0.344604317,0.310460641,28.35,17162,1,2
"Port St. Lucie, FL",121113801001039.00,0.177037037,0.310460641,28.23571429,17162,1,2
"Port St. Lucie, FL",121113801001044.00,0.021079692,0.310460641,29.69444444,17162,1,2
"Port St. Lucie, FL",121113801001048.00,0.071620412,0.310460641,29.75,17162,1,2
"Port St. Lucie, FL",121113801001051.00,0.135431918,0.310460641,29.4625,17162,1,2
"Port St. Lucie, FL",121113801001116.00,0.083120857,0.310460641,30.01666667,17162,1,2
"Port St. Lucie, FL",121113802001003.00,0.014592275,0.310460641,29.61,10656,1,2
"Port St. Lucie, FL",121113802001005.00,0.152526215,0.310460641,29.27727273,10656,1,2
"Port St. Lucie, FL",121113802001006.00,0.116427105,0.310460641,29.50263158,10656,1,2
"Port St. Lucie, FL",121113802001010.00,0.180708661,0.310460641,28.94,10656,1,2
"Port St. Lucie, FL",121113802001011.00,0.19352465,0.310460641,28.78,10656,1,2
"Port St. Lucie, FL",121113802001012.00,0.268481518,0.310460641,28.89117647,10656,1,2
"Port St. Lucie, FL",121113802001013.00,0.18539916,0.310460641,28.72777778,10656,1,2
"Port St. Lucie, FL",121113802001019.00,0.192823344,0.310460641,29.41923077,10656,1,2
"Port St. Lucie, FL",121113802001020.00,0.276635514,0.310460641,28.9875,10656,1,2
"Port St. Lucie, FL",121113802001024.00,0.279676081,0.310460641,28.22083333,10656,1,2
"Port St. Lucie, FL",121113802001027.00,0.139797069,0.310460641,28.3625,10656,1,2
"Port St. Lucie, FL",121113802001032.00,0.10976388,0.310460641,29.57,10656,1,2
"Port St. Lucie, FL",121113802001037.00,0.034106412,0.310460641,29.65,10656,1,2
"Port St. Lucie, FL",121113802002007.00,0.359433962,0.310460641,27.4,12537,1,2
"Port St. Lucie, FL",121113802002010.00,0.442045455,0.310460641,27.4,12537,1,2
"Port St. Lucie, FL",121113802002012.00,0.319387573,0.310460641,27.806,12537,1,2
"Port St. Lucie, FL",121113802002014.00,0.420380435,0.310460641,28.33235294,12537,1,2
"Port St. Lucie, FL",121113802002018.00,0.449619772,0.310460641,28.21363636,12537,1,2
"Port St. Lucie, FL",121113802002019.00,0.426696833,0.310460641,28.45,12537,1,2
"Port St. Lucie, FL",121113802002023.00,0.359389039,0.310460641,28.12,12537,1,2
"Port St. Lucie, FL",121113802002025.00,0.206349206,0.310460641,29.36666667,12537,1,2
"Port St. Lucie, FL",121113802002026.00,0.266230498,0.310460641,29.36111111,12537,1,2
"Port St. Lucie, FL",121113802002027.00,0.139285714,0.310460641,29.275,12537,1,2
"Port St. Lucie, FL",121113802002029.00,0.260697081,0.310460641,28.54375,12537,1,2
"Port St. Lucie, FL",121113802002032.00,0.201477833,0.310460641,28.23888889,12537,1,2
"Port St. Lucie, FL",121113802002033.00,0.122423485,0.310460641,29.22692308,12537,1,2
"Port St. Lucie, FL",121113802003001.00,0.201466782,0.310460641,29.055,5473,1,2
"Port St. Lucie, FL",121113802003002.00,0.184076793,0.310460641,29.38333333,5473,1,2
"Port St. Lucie, FL",121113802003006.00,0.23324306,0.310460641,29.358,5473,1,2
"Port St. Lucie, FL",121113802003008.00,0.176860987,0.310460641,29.62727273,5473,1,2
"Port St. Lucie, FL",121113802003014.00,0.027111575,0.310460641,29.25,5473,1,2
"Port St. Lucie, FL",121113802004003.00,0.157907197,0.310460641,29.5,5081,1,2
"Port St. Lucie, FL",121113802004004.00,0.168154063,0.310460641,29.24,5081,1,2
"Port St. Lucie, FL",121113802004009.00,0.093566065,0.310460641,29.23181818,5081,1,2
"Port St. Lucie, FL",121113802004010.00,0.116775341,0.310460641,29.17916667,5081,1,2
"Port St. Lucie, FL",121113802004015.00,0.132212009,0.310460641,30.19166667,5081,1,2
"Port St. Lucie, FL",121113802004016.00,0.155640458,0.310460641,29.39,5081,1,2
"Port St. Lucie, FL",121113802004019.00,0.01388338,0.310460641,29.85833333,5081,1,2
"Port St. Lucie, FL",121113803001002.00,0.241816694,0.310460641,29.11521739,9722,1,2
"Port St. Lucie, FL",121113803001004.00,0.270238095,0.310460641,28.81666667,9722,1,2
"Port St. Lucie, FL",121113803001006.00,0.187350359,0.310460641,29.45869565,9722,1,2
"Port St. Lucie, FL",121113803001007.00,0.244215938,0.310460641,29.44047619,9722,1,2
"Port St. Lucie, FL",121113803001010.00,0.225578658,0.310460641,28.89,9722,1,2
"Port St. Lucie, FL",121113803001017.00,0.233853447,0.310460641,29.5326087,9722,1,2
"Port St. Lucie, FL",121113803001024.00,0.21448999,0.310460641,30.15,9722,1,2
"Port St. Lucie, FL",121113803001025.00,0.204652997,0.310460641,29.925,9722,1,2
"Port St. Lucie, FL",121113803001029.00,0.202596381,0.310460641,30.02083333,9722,1,2
"Port St. Lucie, FL",121113803001031.00,0.266007094,0.310460641,29.18333333,9722,1,2
"Port St. Lucie, FL",121113803001032.00,0.219614922,0.310460641,29.39347826,9722,1,2
"Port St. Lucie, FL",121113803001034.00,0.230855645,0.310460641,29.55416667,9722,1,2
"Port St. Lucie, FL",121113803001035.00,0.190669764,0.310460641,29.41666667,9722,1,2
"Port St. Lucie, FL",121113803001036.00,0.232266436,0.310460641,29.58636364,9722,1,2
"Port St. Lucie, FL",121113803001037.00,0.206177894,0.310460641,29.5875,9722,1,2
"Port St. Lucie, FL",121113803001038.00,0.092787682,0.310460641,29.62619048,9722,1,2
"Port St. Lucie, FL",121113803001040.00,0.193729904,0.310460641,29.00217391,9722,1,2
"Port St. Lucie, FL",121113803001041.00,0.190648932,0.310460641,28.88809524,9722,1,2
"Port St. Lucie, FL",121113803002002.00,0.236178,0.310460641,29.47173913,9722,1,2
"Port St. Lucie, FL",121113803002004.00,0.235526043,0.310460641,28.81,9722,1,2
"Port St. Lucie, FL",121113803002005.00,0.276505676,0.310460641,29.40416667,9722,1,2
"Port St. Lucie, FL",121113803002010.00,0.181501231,0.310460641,28.94047619,9722,1,2
"Port St. Lucie, FL",121113803002012.00,0.17186251,0.310460641,28.56818182,9722,1,2
"Port St. Lucie, FL",121113803002014.00,0.218534152,0.310460641,29.45,9722,1,2
"Port St. Lucie, FL",121113803002016.00,0.231623932,0.310460641,29.01,9722,1,2
"Port St. Lucie, FL",121113803002019.00,0.266696549,0.310460641,27.92,9722,1,2
"Port St. Lucie, FL",121113803002020.00,0.242381146,0.310460641,28.36818182,9722,1,2
"Port St. Lucie, FL",121113803003002.00,0.396514161,0.310460641,27.56818182,9722,1,2
"Port St. Lucie, FL",121113803003004.00,0.399225223,0.310460641,28.1,9722,1,2
"Port St. Lucie, FL",121113803003007.00,0.478914774,0.310460641,28.25,9722,1,2
"Port St. Lucie, FL",121113803003012.00,0.248921146,0.310460641,28.65454546,9722,1,2
"Port St. Lucie, FL",121113803003020.00,0.425476279,0.310460641,28.38571429,9722,1,2
"Port St. Lucie, FL",121113803003021.00,0.095022624,0.310460641,29.125,9722,1,2
"Port St. Lucie, FL",121113803003025.00,0.282770342,0.310460641,28.76428571,9722,1,2
"Port St. Lucie, FL",121113803003027.00,0.49074819,0.310460641,27.85,9722,1,2
"Port St. Lucie, FL",121113803004001.00,0.126612423,0.310460641,30.14090909,9722,1,2
"Port St. Lucie, FL",121113803004002.00,0.136350936,0.310460641,29.63333333,9722,1,2
"Port St. Lucie, FL",121113803004003.00,0.046584391,0.310460641,29.258,9722,1,2
"Port St. Lucie, FL",121113803004004.00,0.013600573,0.310460641,29.01428571,9722,1,2
"Port St. Lucie, FL",121113803004005.00,0.124194703,0.310460641,29.12272727,9722,1,2
"Port St. Lucie, FL",121113803004007.00,0.044730221,0.310460641,29.6875,9722,1,2
"Port St. Lucie, FL",121113803004009.00,0.01396348,0.310460641,28.91,9722,1,2
"Port St. Lucie, FL",121113803004013.00,0.271885943,0.310460641,28.15588235,9722,1,2
"Port St. Lucie, FL",121113803004015.00,0.051541182,0.310460641,28.89736842,9722,1,2
"Port St. Lucie, FL",121113803004018.00,0.047600315,0.310460641,29.30454546,9722,1,2
"Port St. Lucie, FL",121113803004019.00,0.140737849,0.310460641,29.95,9722,1,2
"Port St. Lucie, FL",121113803004020.00,0.057752545,0.310460641,30.72272727,9722,1,2
"Port St. Lucie, FL",121113803004021.00,0.082718249,0.310460641,28.525,9722,1,2
"Port St. Lucie, FL",121113803005001.00,0.142913154,0.310460641,28.49285714,9722,1,2
"Port St. Lucie, FL",121113803005004.00,0.183189655,0.310460641,29.038,9722,1,2
"Port St. Lucie, FL",121113803005005.00,0.196836555,0.310460641,29.52272727,9722,1,2
"Port St. Lucie, FL",121113803006001.00,0.274059406,0.310460641,28.70652174,9722,1,2
"Port St. Lucie, FL",121113803006006.00,0.285772029,0.310460641,27.55,9722,1,2
"Port St. Lucie, FL",121113803006018.00,0.260815822,0.310460641,28.61111111,9722,1,2
"Port St. Lucie, FL",121113804001001.00,0.377954599,0.310460641,27.90555556,16868,1,2
"Port St. Lucie, FL",121113804001002.00,0.30199005,0.310460641,28,16868,1,2
"Port St. Lucie, FL",121113804001003.00,0.257154373,0.310460641,28.15,16868,1,2
"Port St. Lucie, FL",121113804001004.00,0.432835821,0.310460641,27.97857143,16868,1,2
"Port St. Lucie, FL",121113804001010.00,0.312615955,0.310460641,28.22391304,16868,1,2
"Port St. Lucie, FL",121113804001011.00,0.458891013,0.310460641,28.03076923,16868,1,2
"Port St. Lucie, FL",121113804001012.00,0.389423077,0.310460641,28.08076923,16868,1,2
"Port St. Lucie, FL",121113804001013.00,0.483919261,0.310460641,27.56477273,16868,1,2
"Port St. Lucie, FL",121113804001014.00,0.372286155,0.310460641,27.69722222,16868,1,2
"Port St. Lucie, FL",121113804001015.00,0.394360972,0.310460641,28.69347826,16868,1,2
"Port St. Lucie, FL",121113804001016.00,0.406951085,0.310460641,28.65,16868,1,2
"Port St. Lucie, FL",121113804001017.00,0.53976217,0.310460641,28.35,16868,1,2
"Port St. Lucie, FL",121113804001019.00,0.353201635,0.310460641,28.16111111,16868,1,2
"Port St. Lucie, FL",121113804001021.00,0.382385524,0.310460641,28.74130435,16868,1,2
"Port St. Lucie, FL",121113804001022.00,0.323675041,0.310460641,28.774,16868,1,2
"Port St. Lucie, FL",121113804001024.00,0.428099593,0.310460641,28.43666667,16868,1,2
"Port St. Lucie, FL",121113804001029.00,0.297132789,0.310460641,28.42142857,16868,1,2
"Port St. Lucie, FL",121113804001031.00,0.302893437,0.310460641,29.2983871,16868,1,2
"Port St. Lucie, FL",121113804001035.00,0.403164072,0.310460641,28.62058824,16868,1,2
"Port St. Lucie, FL",121113804002013.00,0.309567115,0.310460641,28.79,16868,1,2
"Port St. Lucie, FL",121113804002020.00,0.238977072,0.310460641,29.94,16868,1,2
