Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Riverside--San Bernardino, CA",60710054002000.00,0.364836521,0.321679509,37.53333333,10503,1,1
"Riverside--San Bernardino, CA",60710054002002.00,0.326314945,0.321679509,37.67289157,10503,1,1
"Riverside--San Bernardino, CA",60710041032029.00,0.050728906,0.321679509,40.765,9480,1,1
"Riverside--San Bernardino, CA",60710041032003.00,0.142023521,0.321679509,38.25625,9480,1,1
"Riverside--San Bernardino, CA",60710041032028.00,0.233238737,0.321679509,40.29615385,9480,1,1
"Riverside--San Bernardino, CA",60710041032024.00,0.049256506,0.321679509,41.578,9480,1,1
"Riverside--San Bernardino, CA",60710044041001.00,0.091419187,0.321679509,40.94112628,11528,1,1
"Riverside--San Bernardino, CA",60710044041008.00,0.117909554,0.321679509,40.92114094,11528,1,1
"Riverside--San Bernardino, CA",60710055002008.00,0.086077058,0.321679509,40.79509804,7945,1,1
"Riverside--San Bernardino, CA",60710055002010.00,0.098466365,0.321679509,40.286,7945,1,1
"Riverside--San Bernardino, CA",60710041041001.00,0.190111527,0.321679509,41.33882429,8457,1,1
"Riverside--San Bernardino, CA",60710041041004.00,0.184092874,0.321679509,40.44776536,8457,1,1
"Riverside--San Bernardino, CA",60710041041013.00,0.241463716,0.321679509,40.26340782,8457,1,1
"Riverside--San Bernardino, CA",60710041041012.00,0.22734456,0.321679509,40.55722222,8457,1,1
"Riverside--San Bernardino, CA",60710041041000.00,0.165254725,0.321679509,40.05085714,8457,1,1
"Riverside--San Bernardino, CA",60710041041010.00,0.203219814,0.321679509,40.64553073,8457,1,1
"Riverside--San Bernardino, CA",60710041041002.00,0.241761595,0.321679509,40.20454546,8457,1,1
"Riverside--San Bernardino, CA",60710044012016.00,0.268607008,0.321679509,39.56290323,14858,1,1
"Riverside--San Bernardino, CA",60710044012004.00,0.156068687,0.321679509,39.56148649,14858,1,1
"Riverside--San Bernardino, CA",60710030001002.00,0.161834475,0.321679509,39.34,13580,1,1
"Riverside--San Bernardino, CA",60710030001010.00,0.089764419,0.321679509,39.83095238,13580,1,1
"Riverside--San Bernardino, CA",60710064011000.00,0.159334126,0.321679509,39.05,4365,1,1
"Riverside--San Bernardino, CA",60710041012017.00,0.262862402,0.321679509,40.20257732,14612,1,1
"Riverside--San Bernardino, CA",60710041012014.00,0.202969502,0.321679509,40.20928144,14612,1,1
"Riverside--San Bernardino, CA",60710041012019.00,0.308942441,0.321679509,39.90421687,14612,1,1
"Riverside--San Bernardino, CA",60710041012009.00,0.203731006,0.321679509,40.61040269,14612,1,1
"Riverside--San Bernardino, CA",60710041012008.00,0.152149168,0.321679509,40.71024096,14612,1,1
"Riverside--San Bernardino, CA",60710041012015.00,0.225280795,0.321679509,39.55104167,14612,1,1
"Riverside--San Bernardino, CA",60710041012018.00,0.251795092,0.321679509,39.7530303,14612,1,1
"Riverside--San Bernardino, CA",60710076031000.00,0.309926144,0.321679509,39.35603448,13078,1,1
"Riverside--San Bernardino, CA",60710076031004.00,0.115473935,0.321679509,41.03287671,13078,1,1
"Riverside--San Bernardino, CA",60710052002015.00,0.236847688,0.321679509,38.09761905,13334,1,1
"Riverside--San Bernardino, CA",60710052002013.00,0.256270926,0.321679509,36.49390244,13334,1,1
"Riverside--San Bernardino, CA",60710052002018.00,0.556923803,0.321679509,35.43647215,13334,1,1
"Riverside--San Bernardino, CA",60710052002016.00,0.38065289,0.321679509,37.01,13334,1,1
"Riverside--San Bernardino, CA",60710052002020.00,0.441013766,0.321679509,36.75285714,13334,1,1
"Riverside--San Bernardino, CA",60710064021007.00,0.137529534,0.321679509,40.00631068,12826,1,1
"Riverside--San Bernardino, CA",60710064022009.00,0.149305182,0.321679509,41.07307692,12826,1,1
"Riverside--San Bernardino, CA",60710064022008.00,0.175698727,0.321679509,41.20480769,12826,1,1
"Riverside--San Bernardino, CA",60710064021004.00,0.113563403,0.321679509,39.72692308,12826,1,1
"Riverside--San Bernardino, CA",60710064022007.00,0.326413483,0.321679509,37.84285714,12826,1,1
"Riverside--San Bernardino, CA",60710064021005.00,0.037912358,0.321679509,40.02647059,12826,1,1
"Riverside--San Bernardino, CA",60710064021010.00,0.292032819,0.321679509,39.04120521,12826,1,1
"Riverside--San Bernardino, CA",60710042022002.00,0.173104538,0.321679509,39.86290323,11549,1,1
"Riverside--San Bernardino, CA",60710024021007.00,0.101839627,0.321679509,38.54411765,12573,1,1
"Riverside--San Bernardino, CA",60710024021000.00,0.227499808,0.321679509,39.22931035,12573,1,1
"Riverside--San Bernardino, CA",60710024021020.00,0.127968617,0.321679509,39.86162791,12573,1,1
"Riverside--San Bernardino, CA",60710024021005.00,0.040991574,0.321679509,39.68062937,12573,1,1
"Riverside--San Bernardino, CA",60710024021001.00,0.079279969,0.321679509,40.175,12573,1,1
"Riverside--San Bernardino, CA",60710024021006.00,0.082632147,0.321679509,39.465,12573,1,1
"Riverside--San Bernardino, CA",60710024021002.00,0.050279597,0.321679509,39.68584229,12573,1,1
"Riverside--San Bernardino, CA",60710062041014.00,0.189386792,0.321679509,39.44160305,12319,1,1
"Riverside--San Bernardino, CA",60710062041010.00,0.202742167,0.321679509,39.56797753,12319,1,1
"Riverside--San Bernardino, CA",60710062041002.00,0.341159208,0.321679509,37.853125,12319,1,1
"Riverside--San Bernardino, CA",60710062041008.00,0.252448313,0.321679509,38.48333333,12319,1,1
"Riverside--San Bernardino, CA",60710042023003.00,0.225295942,0.321679509,39.34571429,12065,1,1
"Riverside--San Bernardino, CA",60710042023019.00,0.289110889,0.321679509,39.44333333,12065,1,1
"Riverside--San Bernardino, CA",60710042023018.00,0.20886951,0.321679509,39.00952381,12065,1,1
"Riverside--San Bernardino, CA",60710042023005.00,0.298227676,0.321679509,39.11666667,12065,1,1
"Riverside--San Bernardino, CA",60710042023009.00,0.163815599,0.321679509,40.09375,12065,1,1
"Riverside--San Bernardino, CA",60710042023002.00,0.192044818,0.321679509,39.9675,12065,1,1
"Riverside--San Bernardino, CA",60710042023014.00,0.168258366,0.321679509,39.74917355,12065,1,1
"Riverside--San Bernardino, CA",60710042023016.00,0.019843342,0.321679509,40.15,12065,1,1
"Riverside--San Bernardino, CA",60710042023012.00,0.20755307,0.321679509,39.87015504,12065,1,1
"Riverside--San Bernardino, CA",60710042023010.00,0.113019892,0.321679509,40.07,12065,1,1
"Riverside--San Bernardino, CA",60710033011010.00,0.07695425,0.321679509,39.36111111,14369,1,1
"Riverside--San Bernardino, CA",60710033011013.00,0.128714919,0.321679509,40.06594684,14369,1,1
"Riverside--San Bernardino, CA",60710033011005.00,0.118133731,0.321679509,39.71969697,14369,1,1
"Riverside--San Bernardino, CA",60710033011007.00,0.090467567,0.321679509,39.95091743,14369,1,1
"Riverside--San Bernardino, CA",60710074072021.00,0.299437751,0.321679509,39.80185185,11298,1,1
"Riverside--San Bernardino, CA",60710074072020.00,0.198960727,0.321679509,39.1606383,11298,1,1
"Riverside--San Bernardino, CA",60710074072017.00,0.265005852,0.321679509,39.47962963,11298,1,1
"Riverside--San Bernardino, CA",60710074072009.00,0.167993297,0.321679509,39.56,11298,1,1
"Riverside--San Bernardino, CA",60710074072012.00,0.306946324,0.321679509,38.75,11298,1,1
"Riverside--San Bernardino, CA",60710074072002.00,0.329679595,0.321679509,39.37,11298,1,1
"Riverside--San Bernardino, CA",60710074072000.00,0.373151308,0.321679509,39.29545455,11298,1,1
"Riverside--San Bernardino, CA",60710074072014.00,0.250045796,0.321679509,38.79583333,11298,1,1
"Riverside--San Bernardino, CA",60710074072013.00,5.62E-04,0.321679509,38.4625,11298,1,1
"Riverside--San Bernardino, CA",60710074072004.00,0.166126418,0.321679509,39.20217391,11298,1,1
"Riverside--San Bernardino, CA",60710074072007.00,0.07537206,0.321679509,38.98333333,11298,1,1
"Riverside--San Bernardino, CA",60710074072001.00,0.250964746,0.321679509,39.41764706,11298,1,1
