Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Rochester, NY",360550024001008.00,0.370743405,0.389253827,26.00555556,19207,1,1
"Rochester, NY",360550068003002.00,0.157061749,0.389253827,26.11107955,19466,1,1
"Rochester, NY",360550064001008.00,0.308358698,0.389253827,26.23888889,10507,1,1
"Rochester, NY",360550087014008.00,0.013936153,0.389253827,28.93,12043,1,1
"Rochester, NY",360550087014023.00,0.167893962,0.389253827,26.65,12043,1,1
"Rochester, NY",360550087014029.00,0.059793024,0.389253827,28.22719298,12043,1,1
"Rochester, NY",360550087014012.00,4.86E-04,0.389253827,28.89814815,12043,1,1
"Rochester, NY",360550087014021.00,0.110347008,0.389253827,27.4254386,12043,1,1
"Rochester, NY",360550087014004.00,0.055103266,0.389253827,28.64898698,12043,1,1
"Rochester, NY",360550087014019.00,0.313700787,0.389253827,26.47857143,12043,1,1
"Rochester, NY",360550087014024.00,0.123480797,0.389253827,27.05,12043,1,1
"Rochester, NY",360550087014007.00,0.171581205,0.389253827,27.35382883,12043,1,1
"Rochester, NY",360550092002004.00,0.038370441,0.389253827,28.52777778,6415,1,1
"Rochester, NY",360550092002006.00,0.03971164,0.389253827,28.29964539,6415,1,1
"Rochester, NY",360550116032004.00,0.037523452,0.389253827,25.35,21779,1,1
"Rochester, NY",360550116032020.00,0.207110376,0.389253827,25.15,21779,1,1
"Rochester, NY",360550116032007.00,0.171332587,0.389253827,25.25,21779,1,1
"Rochester, NY",360550116032010.00,0.160698218,0.389253827,25.36666667,21779,1,1
"Rochester, NY",360550116032011.00,0.070640937,0.389253827,25.48571429,21779,1,1
"Rochester, NY",360550116032000.00,0.351427084,0.389253827,24.14715909,21779,1,1
"Rochester, NY",360550116032001.00,0.002252252,0.389253827,24.45,21779,1,1
"Rochester, NY",360550060004012.00,0.050121978,0.389253827,27.13,22803,1,1
"Rochester, NY",360550088001006.00,0.132476917,0.389253827,27.63181818,16148,1,1
"Rochester, NY",360550088001002.00,0.104195271,0.389253827,27.92931035,16148,1,1
"Rochester, NY",360550106024000.00,0.314220371,0.389253827,25.29454546,23060,1,1
"Rochester, NY",360550106024002.00,0.259026275,0.389253827,25.71837209,23060,1,1
"Rochester, NY",360550106024008.00,3.96E-04,0.389253827,28.32272727,23060,1,1
"Rochester, NY",360550106024001.00,0.309895833,0.389253827,25.90454546,23060,1,1
"Rochester, NY",360550106024005.00,0.298041917,0.389253827,26.08863636,23060,1,1
"Rochester, NY",360550106024006.00,0.246402793,0.389253827,25.9375,23060,1,1
"Rochester, NY",360550106024010.00,0.1471013,0.389253827,27.25909091,23060,1,1
"Rochester, NY",360550106024007.00,0.227962,0.389253827,26.67357724,23060,1,1
"Rochester, NY",360550096031001.00,0.116403891,0.389253827,27.48076923,8214,1,1
"Rochester, NY",360550096031002.00,0.042578256,0.389253827,26.8462963,8214,1,1
