Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Sacramento, CA",60670032022006.00,0.06514864,0.371200797,37.53,15242,1,4
"Sacramento, CA",60670032022018.00,0.090125392,0.371200797,34.95,15242,1,4
"Sacramento, CA",60670032022020.00,0.091015169,0.371200797,35.07857143,15242,1,4
"Sacramento, CA",60670046014002.00,0.126704278,0.371200797,37.075,8066,1,4
"Sacramento, CA",60670047012005.00,0.135084796,0.371200797,36.73,8004,1,4
"Sacramento, CA",60670047012009.00,0.065700045,0.371200797,37.12272727,8004,1,4
"Sacramento, CA",60670047022007.00,0.10926949,0.371200797,35.20714286,14594,1,4
"Sacramento, CA",60670049052013.00,0.139269877,0.371200797,36.00632184,16425,1,4
"Sacramento, CA",60670049052014.00,0.157520325,0.371200797,35.32777778,16425,1,4
"Sacramento, CA",60670049052015.00,0.069834711,0.371200797,36.11666667,16425,1,4
"Sacramento, CA",60670049052016.00,0.030376085,0.371200797,35.96111111,16425,1,4
"Sacramento, CA",60670049052017.00,0.034074775,0.371200797,36.37727273,16425,1,4
"Sacramento, CA",60670049052018.00,0.080139373,0.371200797,35.85,16425,1,4
"Sacramento, CA",60670049052019.00,0.170610212,0.371200797,35.65909091,16425,1,4
"Sacramento, CA",60670050021006.00,0.104568528,0.371200797,35.175,13291,1,4
"Sacramento, CA",60670050021008.00,0.084210526,0.371200797,35.39444444,13291,1,4
"Sacramento, CA",60670096061002.00,0.312534664,0.371200797,35.84375,17589,1,4
"Sacramento, CA",60670096061003.00,0.208713621,0.371200797,36.72916667,17589,1,4
"Sacramento, CA",60670096062000.00,0.383384209,0.371200797,35.90925926,17589,1,4
"Sacramento, CA",60670096063004.00,0.343150803,0.371200797,35.80490196,17589,1,4
"Sacramento, CA",60670096091012.00,0.358093126,0.371200797,36.45,18893,1,4
"Sacramento, CA",60670096332005.00,0.246454313,0.371200797,36.45,17257,1,4
"Sacramento, CA",60670096341000.00,0.280337553,0.371200797,35.42307692,13310,1,4
"Sacramento, CA",60670096341002.00,0.277222859,0.371200797,35.04285714,13310,1,4
"Sacramento, CA",60670096341003.00,0.232890413,0.371200797,35.846875,13310,1,4
"Sacramento, CA",60670096341004.00,0.191986118,0.371200797,36.21071429,13310,1,4
"Sacramento, CA",60670031011000.00,0.158311346,0.315985513,38.24262295,17894,1,1
"Sacramento, CA",60670031014002.00,0.273629447,0.315985513,35.38333333,17105,1,1
"Sacramento, CA",60670031021002.00,0.165867466,0.315985513,36.12368421,17114,1,1
"Sacramento, CA",60670032022000.00,0.145014142,0.315985513,36.81932515,15242,1,1
"Sacramento, CA",60670032022010.00,0.097984837,0.315985513,36.96858736,15242,1,1
"Sacramento, CA",60670032023002.00,0.074188057,0.315985513,38.19264706,15851,1,1
"Sacramento, CA",60670032023014.00,0.075737038,0.315985513,38.01153846,15851,1,1
"Sacramento, CA",60670032031000.00,0.197351568,0.315985513,35.63604651,12508,1,1
"Sacramento, CA",60670032031002.00,0.330099633,0.315985513,35.575,12508,1,1
"Sacramento, CA",60670032031003.00,0.231822737,0.315985513,37,12508,1,1
"Sacramento, CA",60670032043000.00,0.099704683,0.315985513,37.79516129,12297,1,1
"Sacramento, CA",60670046012000.00,0.056732026,0.315985513,38.20625,12488,1,1
"Sacramento, CA",60670046014000.00,0.051530368,0.315985513,38.12894737,8066,1,1
"Sacramento, CA",60670046015002.00,0.124452489,0.315985513,37.02377049,13892,1,1
"Sacramento, CA",60670046015009.00,0.141910214,0.315985513,35.81019418,13892,1,1
"Sacramento, CA",60670047012004.00,0.086088154,0.315985513,37.63095238,8004,1,1
"Sacramento, CA",60670047022000.00,0.00422427,0.315985513,38.28142857,14594,1,1
"Sacramento, CA",60670047022012.00,0.095958075,0.315985513,35.84041096,14594,1,1
"Sacramento, CA",60670048011000.00,0.103690759,0.315985513,36.96743119,13742,1,1
"Sacramento, CA",60670048011006.00,0.279787234,0.315985513,36.33888889,13742,1,1
"Sacramento, CA",60670048011014.00,0.066326531,0.315985513,36.775,13742,1,1
"Sacramento, CA",60670048011016.00,0.104939327,0.315985513,37.23076923,13742,1,1
"Sacramento, CA",60670048011017.00,0.059549776,0.315985513,38.26869159,13742,1,1
"Sacramento, CA",60670048012006.00,0.217752235,0.315985513,36.8875,19698,1,1
"Sacramento, CA",60670048012018.00,0.118095476,0.315985513,37.02567568,19698,1,1
"Sacramento, CA",60670048014000.00,0.217187068,0.315985513,37.18125,14564,1,1
"Sacramento, CA",60670048014003.00,0.236098239,0.315985513,36.31842105,14564,1,1
"Sacramento, CA",60670048021009.00,0.053270886,0.315985513,37.76724138,14511,1,1
"Sacramento, CA",60670048022000.00,0.283704909,0.315985513,35.16595745,17457,1,1
"Sacramento, CA",60670048022008.00,0.343661653,0.315985513,36.38421053,17457,1,1
"Sacramento, CA",60670048022015.00,0.111973392,0.315985513,37.25,17457,1,1
"Sacramento, CA",60670048022016.00,0.214798454,0.315985513,37.19705882,17457,1,1
"Sacramento, CA",60670048022018.00,0.090097933,0.315985513,37.57857143,17457,1,1
"Sacramento, CA",60670049042004.00,0.120299763,0.315985513,35.77647059,19448,1,1
"Sacramento, CA",60670049042015.00,0.09096636,0.315985513,34.99761905,19448,1,1
"Sacramento, CA",60670049042019.00,0.064704508,0.315985513,37.3975,19448,1,1
"Sacramento, CA",60670049042022.00,0.189040031,0.315985513,37.21724138,19448,1,1
"Sacramento, CA",60670049042030.00,0.167050691,0.315985513,36.8,19448,1,1
"Sacramento, CA",60670049051021.00,0.047641897,0.315985513,38.42846154,18321,1,1
"Sacramento, CA",60670050012005.00,0.247722517,0.315985513,35.16509434,13863,1,1
"Sacramento, CA",60670050013007.00,0.133403361,0.315985513,35.05,12279,1,1
"Sacramento, CA",60670050013009.00,0.06155633,0.315985513,35.4,12279,1,1
"Sacramento, CA",60670050021000.00,0.06480029,0.315985513,36.07,13291,1,1
"Sacramento, CA",60670050021011.00,0.084939592,0.315985513,37.82659575,13291,1,1
"Sacramento, CA",60670050022003.00,0.026920478,0.315985513,36.31883117,14823,1,1
"Sacramento, CA",60670050022008.00,0.166330066,0.315985513,37.02802198,14823,1,1
"Sacramento, CA",60670050022012.00,0.119323708,0.315985513,37.37542373,14823,1,1
"Sacramento, CA",60670050022013.00,0.107955826,0.315985513,37.59040404,14823,1,1
"Sacramento, CA",60670050022014.00,0.048816073,0.315985513,37.63657718,14823,1,1
"Sacramento, CA",60670050022015.00,0.122490052,0.315985513,36.75210526,14823,1,1
"Sacramento, CA",60670050022023.00,0.268769924,0.315985513,35.94554455,14823,1,1
"Sacramento, CA",60670050023022.00,0.132709888,0.315985513,37.38837209,21284,1,1
"Sacramento, CA",60670050023026.00,0.319699678,0.315985513,36.31307692,21284,1,1
"Sacramento, CA",60670051011000.00,0.323532435,0.315985513,36.14069767,11230,1,1
"Sacramento, CA",60670051011001.00,0.066644887,0.315985513,36.48703704,11230,1,1
"Sacramento, CA",60670051011002.00,0.04785989,0.315985513,36.87592593,11230,1,1
"Sacramento, CA",60670051011012.00,0.303527846,0.315985513,34.48627451,11230,1,1
"Sacramento, CA",60670051011013.00,0.346417445,0.315985513,35.70714286,11230,1,1
"Sacramento, CA",60670051012001.00,0.060951437,0.315985513,37.8,13350,1,1
"Sacramento, CA",60670051012002.00,0.202804746,0.315985513,37.23108108,13350,1,1
"Sacramento, CA",60670051012003.00,0.124933705,0.315985513,36.2380829,13350,1,1
"Sacramento, CA",60670051012007.00,0.069370625,0.315985513,35.86092715,13350,1,1
"Sacramento, CA",60670051012010.00,0.042816092,0.315985513,35.82555556,13350,1,1
"Sacramento, CA",60670051012019.00,0.331111111,0.315985513,35.13,13350,1,1
"Sacramento, CA",60670093071008.00,0.232861504,0.315985513,35.93571429,20977,1,1
"Sacramento, CA",60670093071015.00,0.173056995,0.315985513,35.52096774,20977,1,1
"Sacramento, CA",60670093101000.00,0.228448276,0.315985513,36,18064,1,1
"Sacramento, CA",60670093101001.00,0.441441441,0.315985513,35.85,18064,1,1
"Sacramento, CA",60670093101006.00,0.417874396,0.315985513,35.37222222,18064,1,1
"Sacramento, CA",60670093101007.00,0.38585209,0.315985513,35.125,18064,1,1
"Sacramento, CA",60670093101008.00,0.352803738,0.315985513,35.33,18064,1,1
"Sacramento, CA",60670093101013.00,0.185058397,0.315985513,36.04545455,18064,1,1
"Sacramento, CA",60670093101014.00,0.283526581,0.315985513,35.83947368,18064,1,1
"Sacramento, CA",60670093101016.00,0.269730646,0.315985513,35.80416667,18064,1,1
"Sacramento, CA",60670093101018.00,0.248225552,0.315985513,35.82142857,18064,1,1
"Sacramento, CA",60670093101020.00,0.191916624,0.315985513,35.6,18064,1,1
"Sacramento, CA",60670093101021.00,0.229740872,0.315985513,36.00064935,18064,1,1
"Sacramento, CA",60670093123004.00,0.057660234,0.315985513,36.32,17946,1,1
"Sacramento, CA",60670093141000.00,0.104246224,0.315985513,36.29675325,14623,1,1
"Sacramento, CA",60670093141001.00,0.079251844,0.315985513,35.86884058,14623,1,1
"Sacramento, CA",60670093162001.00,0.041401336,0.315985513,37.93333333,17910,1,1
"Sacramento, CA",60670093181001.00,0.008690473,0.315985513,37.74385666,17972,1,1
"Sacramento, CA",60670093191001.00,0.12536565,0.315985513,37.33783784,20608,1,1
"Sacramento, CA",60670093191002.00,0.114298313,0.315985513,37.53267327,20608,1,1
"Sacramento, CA",60670093191003.00,0.141673727,0.315985513,36.73191489,20608,1,1
"Sacramento, CA",60670093191005.00,0.274134791,0.315985513,36.70416667,20608,1,1
"Sacramento, CA",60670093191006.00,0.07068555,0.315985513,37.3875,20608,1,1
"Sacramento, CA",60670093191008.00,0.038974051,0.315985513,37.04565217,20608,1,1
"Sacramento, CA",60670093191021.00,0.106489945,0.315985513,36.9425,20608,1,1
"Sacramento, CA",60670093191022.00,0.24062465,0.315985513,36.82468354,20608,1,1
"Sacramento, CA",60670093193001.00,0.103763092,0.315985513,36.03376963,13444,1,1
"Sacramento, CA",60670093201001.00,0.12741652,0.315985513,34.51515152,15016,1,1
"Sacramento, CA",60670093201007.00,0.474525243,0.315985513,33.48026316,15016,1,1
"Sacramento, CA",60670096063016.00,0.35,0.315985513,34.88529412,17589,1,1
"Sacramento, CA",60670096064010.00,0.271711304,0.315985513,35.71648045,17589,1,1
"Sacramento, CA",60670096064022.00,0.18778861,0.315985513,36.50555556,17589,1,1
"Sacramento, CA",60670096081011.00,0.114027518,0.315985513,36.58951965,19323,1,1
"Sacramento, CA",60670096081013.00,0.078769029,0.315985513,36.88284133,19323,1,1
"Sacramento, CA",60670096081016.00,0.25932127,0.315985513,35.65,19323,1,1
"Sacramento, CA",60670096092008.00,0.210561629,0.315985513,34.57,20777,1,1
"Sacramento, CA",60670096111003.00,0.106497034,0.315985513,33.11507937,17409,1,1
"Sacramento, CA",60670096111005.00,0.296028807,0.315985513,34.98301887,17409,1,1
"Sacramento, CA",60670096343003.00,0.271166026,0.315985513,34.96422414,15261,1,1
"Sacramento, CA",60670031011002.00,0.243829148,0.226857637,37.47777778,17894,1,3
"Sacramento, CA",60670031011005.00,0.254066781,0.226857637,37.02894737,17894,1,3
"Sacramento, CA",60670031011006.00,0.247194951,0.226857637,37.18703704,17894,1,3
"Sacramento, CA",60670031011007.00,0.242992461,0.226857637,37.31086957,17894,1,3
"Sacramento, CA",60670031011008.00,0.256806931,0.226857637,36.83,17894,1,3
"Sacramento, CA",60670031011011.00,0.274601064,0.226857637,36.74230769,17894,1,3
