Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Salt Lake City--West Valley City, UT",4.90351E+14,0.238755874,0.218653527,34.42368421,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.230585424,0.218653527,34.9,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.205994185,0.218653527,35.06,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.188228081,0.218653527,34.91363636,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.211876485,0.218653527,34.35769231,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.272468354,0.218653527,34.75,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.204244637,0.218653527,34.36052632,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.286826014,0.218653527,34.44411765,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.186051847,0.218653527,34.86052632,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.263907432,0.218653527,34.44,19456,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.171216849,0.218653527,33.04,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.153865462,0.218653527,34.35526316,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.064973615,0.218653527,34.29615385,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.141223404,0.218653527,33.334375,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.180216802,0.218653527,34.13,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.182541185,0.218653527,33.91170213,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.179467085,0.218653527,33.03333333,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.227642276,0.218653527,32.9131579,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.19215395,0.218653527,33.08779528,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.20632223,0.218653527,33.20714286,20992,1,2
"Salt Lake City--West Valley City, UT",4.90351E+14,0.153318078,0.218653527,34.15,20992,1,2
