Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"San Antonio, TX",4.80292E+14,0.198309134,0.255540339,33.24615385,11008,1,3
"San Antonio, TX",4.80292E+14,0.311286537,0.255540339,32.79285714,11008,1,3
"San Antonio, TX",4.80292E+14,0.339967725,0.255540339,32.50555556,11008,1,3
"San Antonio, TX",4.80292E+14,0.135430917,0.255540339,32.6875,11008,1,3
"San Antonio, TX",4.80292E+14,0.356962735,0.255540339,32.39705882,11008,1,3
"San Antonio, TX",4.80292E+14,0.318501171,0.255540339,32.62142857,11008,1,3
"San Antonio, TX",4.80292E+14,0.180441797,0.255540339,33.585,13573,1,3
"San Antonio, TX",4.80292E+14,0.164013507,0.255540339,33.57352941,13573,1,3
"San Antonio, TX",4.80292E+14,0.287309267,0.255540339,33.51086957,13573,1,3
"San Antonio, TX",4.80291E+14,0.125687513,0.255540339,34.35909091,15369,1,3
"San Antonio, TX",4.80292E+14,0.313811189,0.255540339,32.39,12043,1,3
"San Antonio, TX",4.80292E+14,0.557944415,0.255540339,31.7375,12043,1,3
"San Antonio, TX",4.80292E+14,0.509445844,0.255540339,31.51470588,12043,1,3
"San Antonio, TX",4.80292E+14,0.419038731,0.255540339,31.95,12043,1,3
"San Antonio, TX",4.80292E+14,0.322632424,0.255540339,31.45,12043,1,3
"San Antonio, TX",4.80292E+14,0.402658046,0.255540339,31.3625,12043,1,3
"San Antonio, TX",4.80292E+14,0.405122235,0.255540339,31.84,12043,1,3
"San Antonio, TX",4.80292E+14,0.199886557,0.255540339,32.77439024,12043,1,3
"San Antonio, TX",4.80291E+14,0.303430079,0.255540339,33.69,13837,1,3
"San Antonio, TX",4.80291E+14,0.356226415,0.255540339,33.61,13837,1,3
"San Antonio, TX",4.80291E+14,0.292534951,0.255540339,33.26428571,13837,1,3
"San Antonio, TX",4.80291E+14,0.316005472,0.255540339,33.3,13837,1,3
"San Antonio, TX",4.80291E+14,0.223271628,0.255540339,33.68,13837,1,3
"San Antonio, TX",4.80291E+14,0.257026627,0.255540339,33.81428571,13837,1,3
"San Antonio, TX",4.80292E+14,0.178409435,0.255540339,33.09662162,15887,1,3
"San Antonio, TX",4.80291E+14,0.112050707,0.255540339,34.8262069,11024,1,3
"San Antonio, TX",4.80291E+14,0.337975543,0.255540339,32.80185185,12560,1,3
"San Antonio, TX",4.80291E+14,0.225589226,0.255540339,33.32777778,12816,1,3
"San Antonio, TX",4.80291E+14,0.239641179,0.255540339,34.425,12816,1,3
"San Antonio, TX",4.80292E+14,0.225937558,0.255540339,33.6875,15376,1,3
"San Antonio, TX",4.80292E+14,0.336816154,0.255540339,32.89324324,15376,1,3
"San Antonio, TX",4.80292E+14,0.346674378,0.255540339,33.1325,15376,1,3
"San Antonio, TX",4.80292E+14,0.312913502,0.255540339,33.60714286,15376,1,3
"San Antonio, TX",4.80292E+14,0.04638571,0.255540339,35.34625,14099,1,3
"San Antonio, TX",4.80292E+14,0.309675631,0.255540339,34.05588235,14099,1,3
"San Antonio, TX",4.80292E+14,0.350711514,0.255540339,33.83857143,14099,1,3
"San Antonio, TX",4.80292E+14,0.172696246,0.255540339,33.56111111,13589,1,3
"San Antonio, TX",4.80292E+14,0.176002708,0.255540339,33.65769231,13589,1,3
"San Antonio, TX",4.80292E+14,0.214439655,0.255540339,33.6,11286,1,3
"San Antonio, TX",4.80292E+14,0.381088009,0.255540339,33.53666667,11286,1,3
"San Antonio, TX",4.80292E+14,0.253528489,0.255540339,33.87,12822,1,3
"San Antonio, TX",4.80292E+14,0.300237029,0.255540339,33.51111111,12822,1,3
"San Antonio, TX",4.80292E+14,0.353756934,0.255540339,33.56176471,12822,1,3
"San Antonio, TX",4.80292E+14,0.283858998,0.255540339,33.32777778,12822,1,3
"San Antonio, TX",4.80292E+14,0.321836031,0.255540339,34.02222222,12822,1,3
"San Antonio, TX",4.80292E+14,0.252980132,0.255540339,33.57666667,12822,1,3
"San Antonio, TX",4.80292E+14,0.332080789,0.255540339,33.23888889,12822,1,3
"San Antonio, TX",4.80292E+14,0.265076387,0.255540339,33.79,12822,1,3
"San Antonio, TX",4.80292E+14,0.172034564,0.255540339,33.79666667,12822,1,3
"San Antonio, TX",4.80292E+14,0.148214286,0.255540339,33.675,12822,1,3
"San Antonio, TX",4.80292E+14,0.306302236,0.255540339,33.43888889,12822,1,3
"San Antonio, TX",4.80292E+14,0.325182454,0.255540339,33.16709402,14359,1,3
"San Antonio, TX",4.80292E+14,0.431802881,0.255540339,33.36515152,11545,1,3
"San Antonio, TX",4.80292E+14,0.426285946,0.255540339,33.10813954,11545,1,3
"San Antonio, TX",4.80291E+14,0.459613347,0.255540339,32.20333333,12569,1,3
"San Antonio, TX",4.80291E+14,0.240837696,0.255540339,34.45833333,11034,1,3
"San Antonio, TX",4.80291E+14,0.087608069,0.255540339,34.15,11034,1,3
"San Antonio, TX",4.80291E+14,0.020117351,0.255540339,34.45909091,11034,1,3
"San Antonio, TX",4.80291E+14,0.118173679,0.255540339,33.79,11034,1,3
"San Antonio, TX",4.80291E+14,0.391557496,0.255540339,32.32619048,10780,1,3
"San Antonio, TX",4.80292E+14,0.238244256,0.255540339,33.17385321,15132,1,3
"San Antonio, TX",4.80292E+14,0.216333924,0.255540339,34.27735043,15132,1,3
"San Antonio, TX",4.80291E+14,0.149542218,0.255540339,33.46,9245,1,3
"San Antonio, TX",4.80291E+14,0.480356207,0.255540339,32.99545455,9245,1,3
"San Antonio, TX",4.80291E+14,0.168601951,0.255540339,33.55,9245,1,3
"San Antonio, TX",4.80291E+14,0.305275876,0.255540339,33.41666667,9245,1,3
"San Antonio, TX",4.80291E+14,0.325068871,0.255540339,33.3,9245,1,3
"San Antonio, TX",4.80291E+14,0.362637363,0.255540339,33.03,9245,1,3
"San Antonio, TX",4.80292E+14,0.207849141,0.255540339,33.575,13341,1,3
"San Antonio, TX",4.80292E+14,0.172095208,0.255540339,33.62419355,13341,1,3
"San Antonio, TX",4.80292E+14,0.224987303,0.255540339,33.67307692,15391,1,3
"San Antonio, TX",4.80292E+14,0.252397205,0.255540339,33.29642857,15391,1,3
"San Antonio, TX",4.80292E+14,0.194187804,0.255540339,33.77692308,15391,1,3
"San Antonio, TX",4.80292E+14,0.251075803,0.255540339,33.67962963,15391,1,3
"San Antonio, TX",4.80291E+14,0.385247062,0.255540339,32.36470588,15647,1,3
"San Antonio, TX",4.80291E+14,0.306263858,0.255540339,33.4,15647,1,3
"San Antonio, TX",4.80291E+14,0.430243446,0.255540339,32.30833333,15647,1,3
"San Antonio, TX",4.80291E+14,0.493910122,0.255540339,32.65555556,15647,1,3
"San Antonio, TX",4.80291E+14,0.43596509,0.255540339,32.73888889,15647,1,3
"San Antonio, TX",4.80291E+14,0.24477437,0.255540339,32.49,15647,1,3
"San Antonio, TX",4.80292E+14,0.27568108,0.255540339,32.99594595,9504,1,3
"San Antonio, TX",4.80292E+14,0.386907351,0.255540339,33.65,11297,1,3
"San Antonio, TX",4.80292E+14,0.233737596,0.255540339,33.82894737,11297,1,3
"San Antonio, TX",4.80292E+14,0.38807097,0.255540339,33.28333333,11297,1,3
"San Antonio, TX",4.80292E+14,0.362641372,0.255540339,34.14285714,11297,1,3
"San Antonio, TX",4.80292E+14,0.316729832,0.255540339,33.9,12067,1,3
"San Antonio, TX",4.80292E+14,0.111381619,0.255540339,33.525,12067,1,3
"San Antonio, TX",4.80292E+14,0.373881932,0.255540339,33.30714286,12067,1,3
"San Antonio, TX",4.80292E+14,0.311827957,0.255540339,33.75,12067,1,3
"San Antonio, TX",4.80292E+14,0.2799511,0.255540339,33.45,12067,1,3
"San Antonio, TX",4.80292E+14,0.172640382,0.255540339,33.65,12067,1,3
"San Antonio, TX",4.80292E+14,0.259973981,0.255540339,33.81666667,12067,1,3
"San Antonio, TX",4.80292E+14,0.133876601,0.255540339,33.75,12067,1,3
"San Antonio, TX",4.80292E+14,0.28110695,0.255540339,33.46052632,12067,1,3
"San Antonio, TX",4.80292E+14,0.445775914,0.255540339,33.4,12067,1,3
"San Antonio, TX",4.80292E+14,0.258044554,0.255540339,33.4125,12067,1,3
"San Antonio, TX",4.80292E+14,0.035360679,0.255540339,32.975,12067,1,3
