Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"San Diego, CA",60730101101005.00,0.06673774,0.047698745,33.61615385,20480,1,4
"San Diego, CA",60730101101002.00,0.001135074,0.047698745,33.08333333,20480,1,4
"San Diego, CA",60730024012002.00,0.014521452,0.047698745,37.16428571,20225,1,4
"San Diego, CA",60730024012008.00,0.012738854,0.047698745,37.01153846,20225,1,4
"San Diego, CA",60730024012010.00,0.030938124,0.047698745,36.83571429,20225,1,4
"San Diego, CA",60730024012001.00,0.018388499,0.047698745,37.1,20225,1,4
"San Diego, CA",60730024012005.00,0.028956894,0.047698745,37.00384615,20225,1,4
"San Diego, CA",60730024012006.00,0.028457975,0.047698745,36.55769231,20225,1,4
"San Diego, CA",60730024012011.00,0.020784445,0.047698745,36.55769231,20225,1,4
"San Diego, CA",60730024012000.00,0.02481556,0.047698745,37.07307692,20225,1,4
"San Diego, CA",60730126004013.00,0.029687896,0.047698745,34.21842105,16642,1,4
"San Diego, CA",60730126004006.00,0.01848333,0.047698745,33.55740741,16642,1,4
"San Diego, CA",60730126004012.00,0.011244378,0.047698745,33.77666667,16642,1,4
"San Diego, CA",60730034042019.00,0.031014621,0.047698745,35.40263158,16898,1,4
"San Diego, CA",60730034042011.00,0.060401408,0.047698745,34.79791667,16898,1,4
"San Diego, CA",60730105021017.00,0.045936396,0.047698745,33.525,18946,1,4
"San Diego, CA",60730105021015.00,0.02444795,0.047698745,33.65833333,18946,1,4
"San Diego, CA",60730105021013.00,0.037229784,0.047698745,33.35,18946,1,4
"San Diego, CA",60730105021011.00,0.029952077,0.047698745,33.42727273,18946,1,4
"San Diego, CA",60730105021005.00,0.023847377,0.047698745,32.85833333,18946,1,4
"San Diego, CA",60730105021018.00,0.038971161,0.047698745,33.48636364,18946,1,4
"San Diego, CA",60730105021008.00,0.011659541,0.047698745,33.56818182,18946,1,4
"San Diego, CA",60730105021009.00,0.043052838,0.047698745,33.56818182,18946,1,4
"San Diego, CA",60730105021020.00,0.002544529,0.047698745,33.575,18946,1,4
"San Diego, CA",60730105021010.00,0.040561622,0.047698745,33.53333333,18946,1,4
"San Diego, CA",60730031151002.00,0.01285563,0.047698745,37.15,10755,1,4
"San Diego, CA",60730023012002.00,0.022848863,0.047698745,37.25476191,14339,1,4
