Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"San Jose, CA",60855001003001.00,0.002338009,0.073346649,36.44333333,19201,1,3
"San Jose, CA",60855001003002.00,0.052084355,0.073346649,36.08333333,19201,1,3
"San Jose, CA",60855001003003.00,0.020764184,0.073346649,36.69181818,19201,1,3
"San Jose, CA",60855001003005.00,0.01504914,0.073346649,36.49137931,19201,1,3
"San Jose, CA",60855001003009.00,0.046717741,0.073346649,36.47413793,19201,1,3
"San Jose, CA",60855001003010.00,0.023021366,0.073346649,37.05689655,19201,1,3
"San Jose, CA",60855001003011.00,0.008412198,0.073346649,37.25,19201,1,3
"San Jose, CA",60855003001064.00,0.015199233,0.073346649,36.47941177,22423,1,3
"San Jose, CA",60855009011000.00,0.023930754,0.073346649,36.33888889,13841,1,3
"San Jose, CA",60855009011005.00,0.018038853,0.073346649,36.85344828,13841,1,3
"San Jose, CA",60855009011006.00,0.028756957,0.073346649,36.05344828,13841,1,3
"San Jose, CA",60855009011007.00,0.003321758,0.073346649,34.87033898,13841,1,3
"San Jose, CA",60855009022005.00,0.06362379,0.073346649,35.71363636,7816,1,3
"San Jose, CA",60855010004001.00,0.065718678,0.073346649,35.62083333,20357,1,3
"San Jose, CA",60855010004004.00,0.002987862,0.073346649,34.778,20357,1,3
"San Jose, CA",60855011022000.00,0.059753161,0.073346649,35.58548387,19521,1,3
"San Jose, CA",60855011022001.00,0.031113783,0.073346649,35.52741936,19521,1,3
"San Jose, CA",60855011022002.00,0.037883343,0.073346649,35.75,19521,1,3
"San Jose, CA",60855011022003.00,0.069390207,0.073346649,35.94333333,19521,1,3
"San Jose, CA",60855011022004.00,0.026576577,0.073346649,36.26034483,19521,1,3
"San Jose, CA",60855011022005.00,0.023157895,0.073346649,36.1637931,19521,1,3
"San Jose, CA",60855011022006.00,0.021498197,0.073346649,36.21363636,19521,1,3
"San Jose, CA",60855011022008.00,0.021615131,0.073346649,36.63,19521,1,3
"San Jose, CA",60855011022009.00,0.041779381,0.073346649,35.19,19521,1,3
"San Jose, CA",60855011022010.00,0.032781955,0.073346649,36.75689655,19521,1,3
"San Jose, CA",60855011022011.00,0.019696286,0.073346649,36.77333333,19521,1,3
"San Jose, CA",60855012001000.00,0.030588951,0.073346649,36.06034483,29059,1,3
"San Jose, CA",60855012001001.00,0.068944571,0.073346649,35.93,29059,1,3
"San Jose, CA",60855012001002.00,0.052479465,0.073346649,35.80862069,29059,1,3
"San Jose, CA",60855012001003.00,0.115444618,0.073346649,35.59,29059,1,3
"San Jose, CA",60855012001005.00,0.019019915,0.073346649,36.33421053,29059,1,3
"San Jose, CA",60855012002001.00,0.03407542,0.073346649,34.95666667,26200,1,3
"San Jose, CA",60855012002002.00,0.067657767,0.073346649,35.44655172,26200,1,3
"San Jose, CA",60855012002003.00,0.083977566,0.073346649,35.68103448,26200,1,3
"San Jose, CA",60855012002004.00,0.091294643,0.073346649,35.46428571,26200,1,3
"San Jose, CA",60855012002005.00,0.062639821,0.073346649,34.7,26200,1,3
"San Jose, CA",60855012002008.00,0.034743875,0.073346649,35.27857143,26200,1,3
"San Jose, CA",60855012002009.00,0.019222173,0.073346649,34.73,26200,1,3
"San Jose, CA",60855012002010.00,0.076423129,0.073346649,35.40263158,26200,1,3
"San Jose, CA",60855012003000.00,0.082039911,0.073346649,35.615,29064,1,3
"San Jose, CA",60855012003001.00,0.040739092,0.073346649,35.96052632,29064,1,3
"San Jose, CA",60855012003002.00,0.027864467,0.073346649,36.355,29064,1,3
"San Jose, CA",60855012003004.00,0.08990099,0.073346649,35.71818182,29064,1,3
"San Jose, CA",60855012003005.00,0.062116564,0.073346649,35.93695652,29064,1,3
"San Jose, CA",60855012003006.00,0.041089965,0.073346649,36.14047619,29064,1,3
"San Jose, CA",60855012003007.00,0.013557134,0.073346649,35.965,29064,1,3
"San Jose, CA",60855014011002.00,0.012698413,0.073346649,35.89375,19367,1,3
"San Jose, CA",60855014012004.00,0.028434941,0.073346649,36.465,22530,1,3
"San Jose, CA",60855014012005.00,0.025647059,0.073346649,36.11111111,22530,1,3
"San Jose, CA",60855014012009.00,0.022467235,0.073346649,36.79761905,22530,1,3
"San Jose, CA",60855014012010.00,0.020291693,0.073346649,36.35454546,22530,1,3
"San Jose, CA",60855014012013.00,0.020339856,0.073346649,36.95588235,22530,1,3
"San Jose, CA",60855014012014.00,0.014925373,0.073346649,36.92368421,22530,1,3
"San Jose, CA",60855014021002.00,0.008010681,0.073346649,37.11666667,17315,1,3
"San Jose, CA",60855014021004.00,0.004977376,0.073346649,37.36578947,17315,1,3
"San Jose, CA",60855014021008.00,0.035536442,0.073346649,37.035,17315,1,3
"San Jose, CA",60855014021009.00,0.038788789,0.073346649,36.82058824,17315,1,3
"San Jose, CA",60855014021012.00,0.007054674,0.073346649,36.43181818,17315,1,3
"San Jose, CA",60855014021013.00,9.17E-04,0.073346649,37.49444444,17315,1,3
"San Jose, CA",60855014021014.00,0,0.073346649,36.53888889,17315,1,3
"San Jose, CA",60855014021015.00,0.02070449,0.073346649,36.44444444,17315,1,3
"San Jose, CA",60855014022000.00,0.113434546,0.073346649,36.36875,24069,1,3
"San Jose, CA",60855014022002.00,0.130427712,0.073346649,35.06111111,24069,1,3
"San Jose, CA",60855014022003.00,0.06014482,0.073346649,35.6,24069,1,3
"San Jose, CA",60855014022006.00,0.105026563,0.073346649,34.69761905,24069,1,3
"San Jose, CA",60855014022007.00,0.114990969,0.073346649,35.20909091,24069,1,3
"San Jose, CA",60855014022008.00,0.058622767,0.073346649,35.63695652,24069,1,3
"San Jose, CA",60855014022009.00,0.052803262,0.073346649,35.85952381,24069,1,3
"San Jose, CA",60855014022010.00,0.077161771,0.073346649,35.96904762,24069,1,3
"San Jose, CA",60855014022011.00,0.106151334,0.073346649,35.925,24069,1,3
"San Jose, CA",60855015011005.00,0.009677419,0.073346649,36.03571429,26932,1,3
"San Jose, CA",60855015011012.00,0.034491769,0.073346649,36.47222222,26932,1,3
"San Jose, CA",60855015011013.00,0.020392033,0.073346649,36.4462963,26932,1,3
"San Jose, CA",60855015011014.00,0.033505479,0.073346649,36.82058824,26932,1,3
"San Jose, CA",60855015012001.00,0.035057905,0.073346649,36.32323944,14054,1,3
"San Jose, CA",60855015012002.00,0.03565484,0.073346649,36.65,14054,1,3
"San Jose, CA",60855015021000.00,0.024642753,0.073346649,36.509375,19835,1,3
"San Jose, CA",60855015021001.00,0.075770829,0.073346649,36.1625,19835,1,3
"San Jose, CA",60855015021002.00,0.085194376,0.073346649,35.85952381,19835,1,3
"San Jose, CA",60855015021003.00,0.099255583,0.073346649,35.66304348,19835,1,3
"San Jose, CA",60855015021004.00,0.082774518,0.073346649,35.17,19835,1,3
"San Jose, CA",60855015021005.00,0.131119983,0.073346649,34.72142857,19835,1,3
"San Jose, CA",60855015021006.00,0.086803398,0.073346649,34.92142857,19835,1,3
"San Jose, CA",60855015021007.00,0.080338266,0.073346649,35.0326087,19835,1,3
"San Jose, CA",60855015021011.00,0.13939136,0.073346649,34.41818182,19835,1,3
"San Jose, CA",60855015022000.00,0.05766449,0.073346649,36.35615836,25620,1,3
"San Jose, CA",60855015022008.00,0.05315516,0.073346649,34.85,25620,1,3
"San Jose, CA",60855016001002.00,0.028653295,0.073346649,36.76818182,29657,1,3
"San Jose, CA",60855016001003.00,0.011384615,0.073346649,34.94230769,29657,1,3
"San Jose, CA",60855016002005.00,0.114610111,0.073346649,35.12727273,29657,1,3
"San Jose, CA",60855016003006.00,0.073849967,0.073346649,34.69576271,29657,1,3
"San Jose, CA",60855016004008.00,0.091016548,0.073346649,34.96363636,29657,1,3
"San Jose, CA",60855016004012.00,0.033976834,0.073346649,35.34565217,29657,1,3
"San Jose, CA",60855016005006.00,0.071246819,0.073346649,34.80555556,29657,1,3
"San Jose, CA",60855016005009.00,0.040343668,0.073346649,36.49,29657,1,3
"San Jose, CA",60855016005013.00,0.055445545,0.073346649,36.85769231,29657,1,3
"San Jose, CA",60855016005014.00,0.012282092,0.073346649,37.03181818,29657,1,3
"San Jose, CA",60855017001003.00,0.022849462,0.073346649,35.85285714,29367,1,3
"San Jose, CA",60855017001006.00,0.04188809,0.073346649,34.84047619,29367,1,3
"San Jose, CA",60855017002003.00,0.02094886,0.073346649,35.58142857,29367,1,3
"San Jose, CA",60855017003000.00,0.065102195,0.073346649,35.9078125,29367,1,3
"San Jose, CA",60855017003005.00,0.01032137,0.073346649,36.77105263,29367,1,3
"San Jose, CA",60855017003007.00,0.0460685,0.073346649,37.3,29367,1,3
"San Jose, CA",60855017003011.00,0.056313993,0.073346649,36.63,29367,1,3
"San Jose, CA",60855017003013.00,0.058771149,0.073346649,36.85625,29367,1,3
"San Jose, CA",60855017004001.00,0.022737116,0.073346649,36.47857143,29367,1,3
"San Jose, CA",60855017004002.00,0.027825712,0.073346649,36.25952381,29367,1,3
"San Jose, CA",60855017004003.00,0.041134185,0.073346649,36.05,29367,1,3
"San Jose, CA",60855017004011.00,0.023631469,0.073346649,37.43666667,29367,1,3
"San Jose, CA",60855020011000.00,0.060955961,0.073346649,37.44411765,25346,1,3
"San Jose, CA",60855020011003.00,0.024175824,0.073346649,36.33888889,25346,1,3
"San Jose, CA",60855020011005.00,0.043996334,0.073346649,36.37,25346,1,3
"San Jose, CA",60855020011006.00,0.022619048,0.073346649,35.575,25346,1,3
"San Jose, CA",60855020011007.00,0.00867052,0.073346649,36.23571429,25346,1,3
"San Jose, CA",60855020011012.00,0.094544492,0.073346649,36.75,25346,1,3
"San Jose, CA",60855020011014.00,0.015718718,0.073346649,36.99090909,25346,1,3
"San Jose, CA",60855020022001.00,0.049783247,0.073346649,35.99375,16169,1,3
"San Jose, CA",60855020022003.00,0.048474576,0.073346649,36.36111111,16169,1,3
"San Jose, CA",60855020023001.00,0.081373172,0.073346649,35.9452381,26683,1,3
"San Jose, CA",60855020023013.00,0.036798765,0.073346649,34.62058824,26683,1,3
"San Jose, CA",60855020023019.00,0.025570776,0.073346649,36.05,26683,1,3
"San Jose, CA",60855020023027.00,0.00422833,0.073346649,35.49444444,26683,1,3
"San Jose, CA",60855020023030.00,0.020669291,0.073346649,35.47222222,26683,1,3
"San Jose, CA",60855020023032.00,0.004746835,0.073346649,34.9,26683,1,3
"San Jose, CA",60855021021006.00,0.026164462,0.073346649,36.11666667,27022,1,3
"San Jose, CA",60855021021013.00,0.118391324,0.073346649,35.25,27022,1,3
"San Jose, CA",60855021021014.00,0.090045141,0.073346649,35.24444444,27022,1,3
"San Jose, CA",60855021021015.00,0.048436247,0.073346649,35.78571429,27022,1,3
"San Jose, CA",60855021022000.00,0.033970096,0.073346649,35.43679245,26338,1,3
"San Jose, CA",60855021022002.00,0.043013271,0.073346649,36.12719298,26338,1,3
"San Jose, CA",60855021022010.00,0.04925187,0.073346649,35.71388889,26338,1,3
"San Jose, CA",60855021022012.00,0.010307477,0.073346649,35.75384615,26338,1,3
"San Jose, CA",60855021022013.00,0.015842839,0.073346649,36.60357143,26338,1,3
"San Jose, CA",60855021024003.00,0.063997074,0.073346649,35.39,24015,1,3
"San Jose, CA",60855031051006.00,0.008903201,0.073346649,36.76363636,24829,1,3
"San Jose, CA",60855031102000.00,0.018621974,0.073346649,36.35,14368,1,3
"San Jose, CA",60855031102002.00,0.015680826,0.073346649,36.76666667,14368,1,3
"San Jose, CA",60855031102003.00,0.005537099,0.073346649,36.64090909,14368,1,3
"San Jose, CA",60855031111001.00,0.024803499,0.073346649,35.95,26793,1,3
"San Jose, CA",60855031111002.00,0.059015059,0.073346649,35.58,26793,1,3
"San Jose, CA",60855031111003.00,0.014232564,0.073346649,35.83181818,26793,1,3
"San Jose, CA",60855031112000.00,0.006217666,0.073346649,36.74148936,22627,1,3
"San Jose, CA",60855031112001.00,0.003500735,0.073346649,37.5490566,22627,1,3
"San Jose, CA",60855031112002.00,0.002044467,0.073346649,37.52941177,22627,1,3
"San Jose, CA",60855031112003.00,0.022704237,0.073346649,37.56428571,22627,1,3
"San Jose, CA",60855031112006.00,0.006398193,0.073346649,37.41363636,22627,1,3
"San Jose, CA",60855031113000.00,0.006758491,0.073346649,37.48,26167,1,3
"San Jose, CA",60855031113001.00,0.004135283,0.073346649,38.27903226,26167,1,3
"San Jose, CA",60855031113003.00,0.009876543,0.073346649,37.49285714,26167,1,3
"San Jose, CA",60855031113004.00,0.009423704,0.073346649,37.76388889,26167,1,3
"San Jose, CA",60855031113006.00,0.011989433,0.073346649,37.58777778,26167,1,3
"San Jose, CA",60855031113007.00,0.032049591,0.073346649,37.27424242,26167,1,3
"San Jose, CA",60855031113008.00,0.001914181,0.073346649,37.10517241,26167,1,3
"San Jose, CA",60855031121002.00,0.037051714,0.073346649,34.89545455,27328,1,3
"San Jose, CA",60855031121003.00,0.043461083,0.073346649,35.02391304,27328,1,3
"San Jose, CA",60855031121005.00,0.03608802,0.073346649,36.16521739,27328,1,3
"San Jose, CA",60855031121006.00,0.011650869,0.073346649,36.61190476,27328,1,3
"San Jose, CA",60855031121011.00,0.038282161,0.073346649,35.56666667,27328,1,3
"San Jose, CA",60855031121012.00,0.08072757,0.073346649,35.12272727,27328,1,3
"San Jose, CA",60855031121013.00,0.020881671,0.073346649,35.78478261,27328,1,3
"San Jose, CA",60855031122002.00,0.051751913,0.073346649,35.92826087,23074,1,3
"San Jose, CA",60855031122003.00,0.034864974,0.073346649,36.10454546,23074,1,3
"San Jose, CA",60855031122004.00,0.023491292,0.073346649,36.29285714,23074,1,3
"San Jose, CA",60855031122006.00,0.036374721,0.073346649,36.00714286,23074,1,3
"San Jose, CA",60855031122007.00,0.016914612,0.073346649,36.88478261,23074,1,3
"San Jose, CA",60855031122013.00,0.001933924,0.073346649,38.038,23074,1,3
"San Jose, CA",60855031131001.00,0.039238449,0.073346649,36.78888889,23390,1,3
"San Jose, CA",60855031131002.00,0.027099664,0.073346649,36.59210526,23390,1,3
"San Jose, CA",60855031131003.00,0.02208561,0.073346649,36.305,23390,1,3
"San Jose, CA",60855031131004.00,0.074819301,0.073346649,35.86818182,23390,1,3
"San Jose, CA",60855031131006.00,0.016737447,0.073346649,36.73333333,23390,1,3
"San Jose, CA",60855031131010.00,0.023887793,0.073346649,37.08333333,23390,1,3
"San Jose, CA",60855031131011.00,0.03244898,0.073346649,36.95476191,23390,1,3
"San Jose, CA",60855031131012.00,0.049724843,0.073346649,37.05,23390,1,3
"San Jose, CA",60855031131013.00,0.032932236,0.073346649,36.71666667,23390,1,3
"San Jose, CA",60855031131014.00,0.028982441,0.073346649,36.49285714,23390,1,3
"San Jose, CA",60855031131017.00,0.02752519,0.073346649,36.60555556,23390,1,3
"San Jose, CA",60855031131019.00,0.053651619,0.073346649,35.035,23390,1,3
"San Jose, CA",60855031132000.00,0.038712582,0.073346649,36.68684211,17675,1,3
"San Jose, CA",60855031132001.00,0.040829987,0.073346649,36.61428571,17675,1,3
"San Jose, CA",60855031132005.00,0.020456621,0.073346649,36.594,17675,1,3
