Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Springfield, MA--CT",90034806001001.00,0.120291971,0.135495684,27.9625,17380,1,4
"Springfield, MA--CT",90034806001002.00,0.136552873,0.135495684,27.575,17380,1,4
"Springfield, MA--CT",90034806001005.00,0.009601536,0.135495684,29.32777778,17380,1,4
"Springfield, MA--CT",90034806001006.00,0.121436505,0.135495684,30.10833333,17380,1,4
"Springfield, MA--CT",90035243001016.00,0.444609837,0.135495684,25.95283019,13342,1,4
"Springfield, MA--CT",90035243001018.00,0.044609338,0.135495684,29.25,13342,1,4
"Springfield, MA--CT",90135381001005.00,8.06E-04,0.135495684,28.49720497,6998,1,4
"Springfield, MA--CT",250138001021001.00,0.091860675,0.135495684,26.57083333,16630,1,4
"Springfield, MA--CT",250138001021007.00,0.067484663,0.135495684,27.38636364,16630,1,4
"Springfield, MA--CT",250138001022010.00,0.191180155,0.135495684,26.3,12841,1,4
"Springfield, MA--CT",250138005001000.00,0.15946736,0.135495684,28.3,15633,1,4
"Springfield, MA--CT",250138005001001.00,0.162452373,0.135495684,28.02837838,15633,1,4
"Springfield, MA--CT",250138006001011.00,0.20814664,0.135495684,28.08636364,8957,1,4
"Springfield, MA--CT",250138006001014.00,0.184983221,0.135495684,27.87727273,8957,1,4
"Springfield, MA--CT",250138006001015.00,0.207894025,0.135495684,27.35,8957,1,4
"Springfield, MA--CT",250138006001018.00,0.121192053,0.135495684,28.68571429,8957,1,4
"Springfield, MA--CT",250138006002000.00,0.224927229,0.135495684,27.04411765,8256,1,4
"Springfield, MA--CT",250138006002003.00,0.258800939,0.135495684,27.53695652,8256,1,4
"Springfield, MA--CT",250138006002005.00,0.129505383,0.135495684,28.61428571,8256,1,4
"Springfield, MA--CT",250138006002006.00,0.23623011,0.135495684,28.12727273,8256,1,4
"Springfield, MA--CT",250138006002007.00,0.169576897,0.135495684,28.51428571,8256,1,4
"Springfield, MA--CT",250138006003013.00,0.344354641,0.135495684,29.12777778,8134,1,4
"Springfield, MA--CT",250138006003015.00,0.204638472,0.135495684,29.25,8134,1,4
