Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"St. Louis, MO--IL",295101083002013.00,0.368200837,0.399023199,30.31666667,20992,1,2
"St. Louis, MO--IL",295101083002001.00,0.490582192,0.399023199,28.85,20992,1,2
"St. Louis, MO--IL",295101083002006.00,0.564944471,0.399023199,29.5625,20992,1,2
"St. Louis, MO--IL",295101083002012.00,0.572693291,0.399023199,29.99130435,20992,1,2
"St. Louis, MO--IL",295101083002011.00,0.437291667,0.399023199,29.25476191,20992,1,2
"St. Louis, MO--IL",295101083002014.00,0.372436933,0.399023199,30.19857143,20992,1,2
"St. Louis, MO--IL",295101083002009.00,0.858082707,0.399023199,29.55,20992,1,2
"St. Louis, MO--IL",295101083002003.00,0.562043796,0.399023199,28.95,20992,1,2
"St. Louis, MO--IL",295101083002005.00,0.537823834,0.399023199,28.92619048,20992,1,2
"St. Louis, MO--IL",295101083002004.00,0.532537068,0.399023199,28.76304348,20992,1,2
"St. Louis, MO--IL",295101083002000.00,0.045010015,0.399023199,29.74393939,20992,1,2
"St. Louis, MO--IL",295101074003029.00,0.151666148,0.399023199,28.89285714,11523,1,2
"St. Louis, MO--IL",295101074003031.00,0.473684211,0.399023199,28.37068966,11523,1,2
"St. Louis, MO--IL",295101074003021.00,0.485621521,0.399023199,28.42931035,11523,1,2
"St. Louis, MO--IL",295101074003011.00,0.308759757,0.399023199,27.73,11523,1,2
"St. Louis, MO--IL",295101074003012.00,0.326406559,0.399023199,28.40483871,11523,1,2
"St. Louis, MO--IL",295101074003032.00,0.138378052,0.399023199,29.08333333,11523,1,2
"St. Louis, MO--IL",295101074003015.00,0.029395138,0.399023199,28.75,11523,1,2
"St. Louis, MO--IL",295101074003014.00,0.611859421,0.399023199,28.71551724,11523,1,2
"St. Louis, MO--IL",295101074003023.00,0.454635108,0.399023199,28.89285714,11523,1,2
