Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Syracuse, NY",3.6067E+14,0.1445,0.444305158,27.9537037,21506,1,1
"Syracuse, NY",3.6067E+14,0.585192172,0.444305158,24.99255319,21506,1,1
"Syracuse, NY",3.6067E+14,0.337913661,0.444305158,26.0131579,21506,1,1
"Syracuse, NY",3.6067E+14,0.48142259,0.444305158,26.4126506,12036,1,1
"Syracuse, NY",3.6067E+14,0.253525641,0.444305158,27.59482759,6917,1,1
"Syracuse, NY",3.6067E+14,0.379701916,0.444305158,26.25625,6917,1,1
"Syracuse, NY",3.6067E+14,0.105552342,0.444305158,28.96612903,6917,1,1
"Syracuse, NY",3.6067E+14,0.002181025,0.444305158,28.98448276,6917,1,1
"Syracuse, NY",3.6067E+14,0.441137566,0.444305158,26.93913044,6922,1,1
"Syracuse, NY",3.6067E+14,0.326985657,0.444305158,26.5,6922,1,1
"Syracuse, NY",3.6067E+14,0.262898131,0.444305158,27.75447761,6922,1,1
"Syracuse, NY",3.6067E+14,0.029191617,0.444305158,29.0375,6922,1,1
"Syracuse, NY",3.6067E+14,0.36276771,0.444305158,26.22179487,6922,1,1
"Syracuse, NY",3.6067E+14,0.175663477,0.444305158,28.666,11019,1,1
"Syracuse, NY",3.6067E+14,0.618827754,0.444305158,24.88088235,12045,1,1
"Syracuse, NY",3.6067E+14,0.475545046,0.444305158,26.52763158,12045,1,1
"Syracuse, NY",3.6067E+14,0.178765177,0.444305158,28.04444444,18957,1,1
"Syracuse, NY",3.6067E+14,0.552076284,0.444305158,25.50753425,18957,1,1
"Syracuse, NY",3.6067E+14,0.573021182,0.444305158,25.79,18957,1,1
"Syracuse, NY",3.6067E+14,0.406342914,0.444305158,26.95555556,18957,1,1
"Syracuse, NY",3.6067E+14,0.043146463,0.444305158,28.47857143,18957,1,1
"Syracuse, NY",3.6067E+14,0.359639116,0.444305158,27.28181818,18957,1,1
"Syracuse, NY",3.6067E+14,0.686451346,0.444305158,22.88790497,18957,1,1
"Syracuse, NY",3.6067E+14,0.335543199,0.444305158,27.72,21518,1,1
"Syracuse, NY",3.6067E+14,0,0.444305158,28.47173913,8979,1,1
"Syracuse, NY",3.6067E+14,0,0.444305158,27.55,8979,1,1
"Syracuse, NY",3.6067E+14,0.0203958,0.444305158,29.51363636,12820,1,1
"Syracuse, NY",3.6067E+14,0.216294794,0.444305158,27.82878788,12820,1,1
"Syracuse, NY",3.6067E+14,0.230431602,0.444305158,28.03064516,12820,1,1
"Syracuse, NY",3.6067E+14,0.057880561,0.444305158,28.60084034,12820,1,1
"Syracuse, NY",3.6067E+14,0.306376153,0.444305158,28.240625,12820,1,1
"Syracuse, NY",3.6067E+14,0.353638372,0.444305158,26.67351097,12820,1,1
"Syracuse, NY",3.6067E+14,0.421664627,0.444305158,28.53333333,12820,1,1
"Syracuse, NY",3.6067E+14,0.111125672,0.444305158,28.2996732,12820,1,1
"Syracuse, NY",3.6067E+14,0.385747048,0.444305158,25.7257764,12820,1,1
"Syracuse, NY",3.6067E+14,0.208783748,0.444305158,26.79117647,12820,1,1
"Syracuse, NY",3.6067E+14,0.258021822,0.444305158,27.82625899,12820,1,1
"Syracuse, NY",3.6067E+14,0.077994747,0.444305158,29.2131579,12820,1,1
"Syracuse, NY",3.6067E+14,0.198978605,0.444305158,27.98604651,12820,1,1
"Syracuse, NY",3.6067E+14,0.022861042,0.444305158,32.67830189,12820,1,1
"Syracuse, NY",3.6067E+14,0.145803842,0.444305158,28.70970149,12820,1,1
"Syracuse, NY",3.6067E+14,0.068731118,0.444305158,28.566,12820,1,1
"Syracuse, NY",3.6067E+14,0.248394829,0.444305158,25.25260695,12820,1,1
"Syracuse, NY",3.6067E+14,0.319711871,0.444305158,25.68720565,12820,1,1
"Syracuse, NY",3.6067E+14,0.144001973,0.444305158,29.0022807,12820,1,1
"Syracuse, NY",3.6067E+14,0.234646709,0.444305158,28.26975309,12820,1,1
"Syracuse, NY",3.6067E+14,0.167427545,0.444305158,28.78719852,12820,1,1
"Syracuse, NY",3.6067E+14,0.159509967,0.444305158,27.75943396,18197,1,1
"Syracuse, NY",3.6067E+14,0.071399758,0.444305158,28.97727273,18197,1,1
"Syracuse, NY",3.6067E+14,8.78E-04,0.444305158,29.17727273,18197,1,1
"Syracuse, NY",3.6067E+14,0.022516556,0.444305158,29.11363636,18197,1,1
"Syracuse, NY",3.6067E+14,0.169059011,0.444305158,27.15588235,18197,1,1
"Syracuse, NY",3.6067E+14,0.018676796,0.444305158,28.678125,18197,1,1
"Syracuse, NY",3.6067E+14,0.195080242,0.444305158,27.73611111,18197,1,1
"Syracuse, NY",3.6067E+14,0.082523675,0.444305158,27.75093458,18197,1,1
"Syracuse, NY",3.6067E+14,0.135856201,0.444305158,27.319,18197,1,1
"Syracuse, NY",3.6067E+14,0.217503218,0.444305158,27.56176471,18197,1,1
"Syracuse, NY",3.6067E+14,0.212208835,0.444305158,28.40121951,17435,1,1
