Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Tampa--St. Petersburg, FL",1.2057E+14,0.161646691,0.248802349,28.87325581,12803,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.115880959,0.248802349,29.37941177,12803,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.119287991,0.248802349,29.71875,12803,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.149417853,0.248802349,28.47619048,12803,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.107380355,0.248802349,29.27439024,16901,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.291355018,0.248802349,29.01923077,16901,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.504763757,0.248802349,27.07272727,16901,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.430620549,0.248802349,29.10116279,16901,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.211830536,0.248802349,28.41,16901,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.432037877,0.248802349,27.33095238,16901,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.436749297,0.248802349,28.50555556,18693,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.464470875,0.248802349,27.64230769,9734,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.651949272,0.248802349,26.21666667,20742,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.492135972,0.248802349,27.77666667,20742,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.332449407,0.248802349,27.36724138,20742,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.254821958,0.248802349,27.3,20742,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.633108459,0.248802349,25.1625,15879,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.586846543,0.248802349,25.38333333,15879,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.214726493,0.248802349,28.51363636,12808,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.642055121,0.248802349,27.45,12808,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.269178547,0.248802349,27.99615385,12808,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.416828983,0.248802349,27.92391304,12808,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.470496288,0.248802349,28.42083333,12808,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.156316012,0.248802349,27.77222222,12808,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.153006955,0.248802349,29.06515152,12808,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.433458572,0.248802349,27.55869565,12808,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.434757506,0.248802349,28.75434783,12808,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.130230739,0.248802349,28.85,12808,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.37599094,0.248802349,24.825,15624,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.425851218,0.248802349,28.60384615,18953,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.447044335,0.248802349,28.69285714,18953,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.421645998,0.248802349,28.95,18953,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.172915247,0.248802349,29.27380952,16650,1,3
"Tampa--St. Petersburg, FL",1.2101E+14,0.155473781,0.248802349,29.43888889,19466,1,3
"Tampa--St. Petersburg, FL",1.2103E+14,0.16137266,0.248802349,28.60333333,20491,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.104031488,0.248802349,29.20265487,11534,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.086490037,0.248802349,29.42368421,20240,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.250343879,0.248802349,26.25,20240,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.200940978,0.248802349,26.7748,12561,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.387656702,0.248802349,27.60384615,20753,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.187265918,0.248802349,27.95,20753,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.464735516,0.248802349,27.35,20753,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.487179487,0.248802349,27.2,20753,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.422370618,0.248802349,27.29736842,20753,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.578463307,0.248802349,26.15416667,20498,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.483276587,0.248802349,26.36363636,20498,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.310032362,0.248802349,29.07380952,7956,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.580745342,0.248802349,28.08333333,7956,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.245693563,0.248802349,28.425,7956,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.351009586,0.248802349,28.725,7956,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.491264132,0.248802349,28.35,7956,1,3
"Tampa--St. Petersburg, FL",1.2057E+14,0.262126866,0.248802349,28.57222222,7956,1,3
