Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Washington, DC--VA--MD",5.16839E+14,0.452733746,0.471027108,27.78903509,22784,1,2
"Washington, DC--VA--MD",5.16839E+14,0.408448492,0.471027108,27.61666667,22784,1,2
"Washington, DC--VA--MD",5.16839E+14,0.366042423,0.471027108,27.57,22784,1,2
"Washington, DC--VA--MD",5.16839E+14,0.483115886,0.471027108,27.22341772,22784,1,2
"Washington, DC--VA--MD",5.16859E+14,0.318332311,0.471027108,26.72105263,27392,1,2
"Washington, DC--VA--MD",5.16859E+14,0.263426343,0.471027108,27.38571429,27392,1,2
"Washington, DC--VA--MD",5.16859E+14,0.368622825,0.471027108,26.97142857,27392,1,2
"Washington, DC--VA--MD",5.16859E+14,0.335473984,0.471027108,27.32833333,27392,1,2
"Washington, DC--VA--MD",5.16859E+14,0.3621414,0.471027108,27.05540541,27392,1,2
"Washington, DC--VA--MD",5.16859E+14,0.314150104,0.471027108,27.15714286,27392,1,2
"Washington, DC--VA--MD",5.16859E+14,0.277434061,0.471027108,26.90925926,27392,1,2
"Washington, DC--VA--MD",2.40317E+14,0.579389097,0.471027108,26.2960177,29441,1,2
"Washington, DC--VA--MD",2.40317E+14,0.366500192,0.471027108,26.42826087,29441,1,2
"Washington, DC--VA--MD",2.40317E+14,0.549113369,0.471027108,25.59098361,29441,1,2
"Washington, DC--VA--MD",5.11539E+14,0.514604014,0.471027108,26.87415902,31747,1,2
"Washington, DC--VA--MD",5.11539E+14,0.025380711,0.471027108,29.71,31747,1,2
"Washington, DC--VA--MD",5.11539E+14,0,0.471027108,28.55,31747,1,2
"Washington, DC--VA--MD",5.11539E+14,0.353822512,0.471027108,27.825,31747,1,2
"Washington, DC--VA--MD",5.11539E+14,0.280907451,0.471027108,28.8737467,31747,1,2
"Washington, DC--VA--MD",5.11539E+14,0.389834752,0.471027108,27.73823529,31747,1,2
"Washington, DC--VA--MD",5.10595E+14,0.342723005,0.471027108,27.61176471,28165,1,2
"Washington, DC--VA--MD",5.10595E+14,0.343649039,0.471027108,27.82777778,28165,1,2
"Washington, DC--VA--MD",5.10595E+14,0.322528869,0.471027108,28.38232323,28165,1,2
"Washington, DC--VA--MD",5.10595E+14,0.570803894,0.471027108,26.44301746,28165,1,2
"Washington, DC--VA--MD",5.10595E+14,0.27450652,0.471027108,28.06684783,28165,1,2
"Washington, DC--VA--MD",5.10595E+14,0.427079908,0.471027108,27.26272727,28165,1,2
"Washington, DC--VA--MD",5.10595E+14,0.308853529,0.471027108,27.48636364,28165,1,2
"Washington, DC--VA--MD",5.10595E+14,0.424947516,0.471027108,27.37745098,28165,1,2
"Washington, DC--VA--MD",5.10595E+14,0.411188507,0.471027108,27.01341463,28165,1,2
"Washington, DC--VA--MD",2.40317E+14,0.194444444,0.471027108,0,30214,1,2
"Washington, DC--VA--MD",2.40317E+14,0.575136386,0.471027108,27.10233266,30214,1,2
