Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Wichita, KS",201730040002014.00,0.131737892,0.134844193,31.13684211,14596,1,4
"Wichita, KS",201730040002016.00,0.103033006,0.134844193,30.45,14596,1,4
"Wichita, KS",201730078003015.00,0.193980583,0.134844193,29.60833333,12083,1,4
"Wichita, KS",201730077002008.00,0.161734343,0.134844193,30.54444444,18032,1,4
"Wichita, KS",201730077002010.00,0.243408788,0.134844193,30.19666667,18032,1,4
"Wichita, KS",201730087004005.00,0.151399116,0.134844193,30.75645161,16760,1,4
"Wichita, KS",201730009001007.00,0.174252276,0.134844193,27.825,13194,1,4
"Wichita, KS",201730043001022.00,0.095256215,0.134844193,29.56142857,12980,1,4
"Wichita, KS",201730043001019.00,0.052873563,0.134844193,30.24333333,12980,1,4
"Wichita, KS",201730090003007.00,0.015681775,0.134844193,29.48214286,11203,1,4
"Wichita, KS",201730026001015.00,0.013665788,0.134844193,30.6,14037,1,4
"Wichita, KS",201730065002000.00,0.070053888,0.134844193,30.45833333,12765,1,4
"Wichita, KS",201730018002026.00,0.015084075,0.134844193,30.17380952,13277,1,4
"Wichita, KS",201730018002036.00,0.031151558,0.134844193,29.725,13277,1,4
"Wichita, KS",201730068001001.00,0.155511156,0.134844193,30.28125,12261,1,4
"Wichita, KS",201730070003031.00,0,0.134844193,30.48333333,15846,1,4
"Wichita, KS",201730060001018.00,0.28,0.266345815,29.7375,12547,1,3
"Wichita, KS",201730019002021.00,0.35420069,0.266345815,28.159375,16387,1,3
"Wichita, KS",201730008003012.00,0.333532695,0.266345815,27.90714286,13592,1,3
"Wichita, KS",201730062001007.00,0.397735849,0.266345815,27.53387097,10778,1,3
"Wichita, KS",201730004002024.00,0.159959759,0.266345815,29.23571429,17695,1,3
"Wichita, KS",201730004002020.00,0.33449312,0.266345815,28.88214286,17695,1,3
"Wichita, KS",201730060003005.00,0.204585538,0.266345815,29.83571429,8740,1,3
"Wichita, KS",201730060003009.00,0.201131911,0.266345815,29.25952381,8740,1,3
"Wichita, KS",201730060003010.00,0.20622481,0.266345815,30.04047619,8740,1,3
"Wichita, KS",201730060003013.00,0.101014461,0.266345815,31.51,8740,1,3
"Wichita, KS",201730037001000.00,0.259913259,0.266345815,28.50925926,14126,1,3
"Wichita, KS",201730078001002.00,0.074425795,0.266345815,28.65,12083,1,3
"Wichita, KS",201730078001003.00,0.147032575,0.266345815,28.38809524,12083,1,3
"Wichita, KS",201730059001048.00,0.032102462,0.266345815,30.74615385,13373,1,3
"Wichita, KS",201730060002016.00,0.208275862,0.266345815,31.24166667,14407,1,3
"Wichita, KS",201730091005040.00,0.227888446,0.266345815,30.175,8524,1,3
"Wichita, KS",201730082004008.00,0.409287798,0.266345815,28.81942675,13389,1,3
"Wichita, KS",201730082004013.00,0.331650218,0.266345815,29.26666667,13389,1,3
"Wichita, KS",201730034004011.00,0.255015432,0.266345815,29.76666667,15953,1,3
"Wichita, KS",201730003005004.00,0.36849608,0.266345815,28.30238095,13906,1,3
"Wichita, KS",201730003005027.00,0.445538198,0.266345815,29.665,13906,1,3
"Wichita, KS",201730003001010.00,0.232067511,0.266345815,29.24714286,13906,1,3
"Wichita, KS",201730003003007.00,0.417784051,0.266345815,28.29347826,13906,1,3
"Wichita, KS",201730003001005.00,0.157124797,0.266345815,29.68214286,13906,1,3
"Wichita, KS",201730003001012.00,0.294149809,0.266345815,28.83571429,13906,1,3
"Wichita, KS",201730003004017.00,0.311465948,0.266345815,28.71666667,13906,1,3
"Wichita, KS",201730003005024.00,0.428468985,0.266345815,29.17380952,13906,1,3
"Wichita, KS",201730003005011.00,0.294450336,0.266345815,28.31428571,13906,1,3
"Wichita, KS",201730003003009.00,0.290050063,0.266345815,27.825,13906,1,3
"Wichita, KS",201730003005007.00,0.490541135,0.266345815,27.70333333,13906,1,3
"Wichita, KS",201730003001002.00,0.238785682,0.266345815,30.2625,13906,1,3
"Wichita, KS",201730003002003.00,0.374515648,0.266345815,28.92142857,13906,1,3
"Wichita, KS",201730003002012.00,0.476199128,0.266345815,29.95952381,13906,1,3
"Wichita, KS",201730003002005.00,0.378392668,0.266345815,28.56904762,13906,1,3
"Wichita, KS",201730003004002.00,0.005054152,0.266345815,28.455,13906,1,3
"Wichita, KS",201730003003010.00,0.187975243,0.266345815,27.66785714,13906,1,3
"Wichita, KS",201730003004008.00,0.496296296,0.266345815,28.03333333,13906,1,3
"Wichita, KS",201730003005012.00,0.230100334,0.266345815,28.65,13906,1,3
"Wichita, KS",201730003005019.00,0.533426184,0.266345815,28.61428571,13906,1,3
"Wichita, KS",201730003005003.00,0.505882353,0.266345815,28.76428571,13906,1,3
"Wichita, KS",201730028003013.00,0.443816081,0.266345815,28.515,12628,1,3
"Wichita, KS",201730024001024.00,0.320554893,0.266345815,30.66797753,17513,1,3
"Wichita, KS",201730024001005.00,0.087449518,0.266345815,28.44333333,17513,1,3
"Wichita, KS",201730058001029.00,0.812849162,0.266345815,27.1,16234,1,3
"Wichita, KS",201730058001032.00,0.486586696,0.266345815,28.10135135,16234,1,3
"Wichita, KS",201730058001017.00,0.586956522,0.266345815,27.25,16234,1,3
"Wichita, KS",201730066001027.00,0.240789271,0.266345815,29.22931035,14703,1,3
"Wichita, KS",201730077002001.00,0.199907277,0.266345815,29.33181818,18032,1,3
"Wichita, KS",201730077002000.00,0.147305613,0.266345815,28.94285714,18032,1,3
"Wichita, KS",201730091003009.00,0.178723404,0.266345815,29.38333333,14966,1,3
"Wichita, KS",201730091003010.00,0.150655022,0.266345815,29.80555556,14966,1,3
"Wichita, KS",201730091003000.00,0.081640261,0.266345815,29.69166667,14966,1,3
"Wichita, KS",201730091003025.00,0.32858431,0.266345815,29.94285714,14966,1,3
"Wichita, KS",201730026002019.00,0.003320683,0.266345815,28.27,11128,1,3
"Wichita, KS",201730026002027.00,0.324287653,0.266345815,27.88333333,11128,1,3
"Wichita, KS",201730026002028.00,0.305839118,0.266345815,28.025,11128,1,3
"Wichita, KS",201730087004000.00,0.220229384,0.266345815,29.74457364,16760,1,3
"Wichita, KS",201730087004002.00,0.276193126,0.266345815,31.66333333,16760,1,3
"Wichita, KS",201730009001008.00,0.282340668,0.266345815,28.37857143,13194,1,3
"Wichita, KS",201730009001018.00,0.325296869,0.266345815,28.41666667,13194,1,3
"Wichita, KS",201730009001022.00,0.242926653,0.266345815,28.80416667,13194,1,3
"Wichita, KS",201730052003010.00,0.005981166,0.266345815,30.62714286,13706,1,3
"Wichita, KS",201730082001025.00,0.39356963,0.266345815,28.92083333,12694,1,3
"Wichita, KS",201730075002003.00,0.293359762,0.266345815,27.47307692,12696,1,3
"Wichita, KS",201730093022006.00,0.131506064,0.266345815,31.54333333,17308,1,3
"Wichita, KS",201730093022010.00,0.164195497,0.266345815,30.394,17308,1,3
"Wichita, KS",201730068003006.00,0.267732088,0.266345815,29.2,9131,1,3
"Wichita, KS",201730068003004.00,0.266345815,0.266345815,29.49,9131,1,3
"Wichita, KS",201730043001011.00,0.00834299,0.266345815,30.03,12980,1,3
"Wichita, KS",201730043001016.00,0.054093214,0.266345815,31.12083333,12980,1,3
"Wichita, KS",201730062003004.00,0.244503521,0.266345815,30.11724138,14780,1,3
"Wichita, KS",201730068004015.00,0.358438976,0.266345815,27.84375,15293,1,3
"Wichita, KS",201730032003004.00,0.33625731,0.266345815,29.61428571,11456,1,3
"Wichita, KS",201730032003009.00,0.275241158,0.266345815,28.575,11456,1,3
"Wichita, KS",201730067002007.00,0.361937352,0.266345815,29.38157895,16577,1,3
"Wichita, KS",201730067002010.00,0.518648449,0.266345815,28.8,16577,1,3
"Wichita, KS",201730009002006.00,0.555740988,0.266345815,27.83571429,13512,1,3
"Wichita, KS",201730038003004.00,0.136595126,0.266345815,29.87916667,15817,1,3
"Wichita, KS",201730038003023.00,0.349071451,0.266345815,29.63,15817,1,3
"Wichita, KS",201730038003024.00,0.425705795,0.266345815,29.20714286,15817,1,3
