Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Fayetteville, NC",370510038001042.00,0.419344262,0.315828957,28.96666667,8704,1,2
"Fayetteville, NC",370510038001045.00,0.502164759,0.315828957,28.40131579,8704,1,2
"Fayetteville, NC",370510025022038.00,0.689460981,0.315828957,26.62777778,14593,1,2
"Fayetteville, NC",370510025022083.00,0.573436402,0.315828957,27.15952381,14593,1,2
"Fayetteville, NC",370510034012024.00,0.430576071,0.315828957,26.53461539,16133,1,2
"Fayetteville, NC",370510034012030.00,0.084864392,0.315828957,28.91,16133,1,2
"Fayetteville, NC",370510034012041.00,0.305742361,0.315828957,27.38827586,16133,1,2
"Fayetteville, NC",370510034012044.00,0.174217002,0.315828957,28.9875,16133,1,2
"Fayetteville, NC",370510034012043.00,0.165012407,0.315828957,29.235,16133,1,2
"Fayetteville, NC",370510034012063.00,0.357573565,0.315828957,28.00789474,16133,1,2
"Fayetteville, NC",370510034012061.00,0.193519171,0.315828957,27.76818182,16133,1,2
"Fayetteville, NC",370510034012062.00,0.268378063,0.315828957,28.20909091,16133,1,2
"Fayetteville, NC",370510034012060.00,0.232153055,0.315828957,29.07666667,16133,1,2
"Fayetteville, NC",370510034012066.00,0.12131952,0.315828957,28.93666667,16133,1,2
"Fayetteville, NC",370510034012011.00,0.064717641,0.315828957,29.17056075,16133,1,2
"Fayetteville, NC",370510006004002.00,0.53562316,0.315828957,27.29285714,11019,1,2
"Fayetteville, NC",370510006001005.00,0.251089546,0.315828957,29.99342105,15885,1,2
"Fayetteville, NC",370510033053000.00,0.432075298,0.315828957,27.43041958,16142,1,2
"Fayetteville, NC",370510033053011.00,0.282463711,0.315828957,28.7,16142,1,2
"Fayetteville, NC",370939703002034.00,0.609215727,0.315828957,25.82209302,17172,1,2
"Fayetteville, NC",370939703002032.00,0.698097936,0.315828957,25.49375,17172,1,2
"Fayetteville, NC",370939703002015.00,0.633663366,0.315828957,26.57,17172,1,2
"Fayetteville, NC",370510025012008.00,0.313262653,0.315828957,28.50909091,17695,1,2
"Fayetteville, NC",370510014002047.00,0.239469439,0.315828957,27.098,12322,1,2
"Fayetteville, NC",370510033103019.00,0.52056962,0.315828957,27.65,15395,1,2
