Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Minneapolis--St. Paul, MN--WI",271230305002003.00,0.403200711,0.339828757,26.49545455,17408,1,3
"Minneapolis--St. Paul, MN--WI",271230305002013.00,0.278626852,0.339828757,27.88125,17408,1,3
"Minneapolis--St. Paul, MN--WI",271230305002005.00,0.333125,0.339828757,27.896875,17408,1,3
"Minneapolis--St. Paul, MN--WI",271230313001010.00,0.471772963,0.339828757,28,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001008.00,0.504541459,0.339828757,26.73125,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001004.00,0.372786305,0.339828757,27.36764706,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001005.00,0.482603479,0.339828757,27.475,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001006.00,0.387406297,0.339828757,28.35,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001009.00,0.474104765,0.339828757,27.78684211,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001013.00,0.264741276,0.339828757,30.14166667,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001012.00,0.206276151,0.339828757,29.8875,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001003.00,0.409623431,0.339828757,28.21666667,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001002.00,0.318979933,0.339828757,28.14166667,12545,1,3
"Minneapolis--St. Paul, MN--WI",271230313001001.00,0.40395124,0.339828757,28.19444444,12545,1,3
"Minneapolis--St. Paul, MN--WI",270531021003001.00,0.551750822,0.339828757,26.31923077,15361,1,3
"Minneapolis--St. Paul, MN--WI",270531021003004.00,0.203169443,0.339828757,28.51666667,15361,1,3
"Minneapolis--St. Paul, MN--WI",270531021003006.00,0.391941392,0.339828757,27.6,15361,1,3
"Minneapolis--St. Paul, MN--WI",270531021003010.00,0.632843792,0.339828757,26.13888889,15361,1,3
"Minneapolis--St. Paul, MN--WI",270531034002013.00,0.114193375,0.339828757,29.54375,17666,1,3
"Minneapolis--St. Paul, MN--WI",270531034002003.00,0.096816976,0.339828757,29.57142857,17666,1,3
"Minneapolis--St. Paul, MN--WI",270531034002006.00,0.077317554,0.339828757,29.54,17666,1,3
"Minneapolis--St. Paul, MN--WI",271230331002008.00,0.399939449,0.339828757,27.09166667,18434,1,3
"Minneapolis--St. Paul, MN--WI",271230331002018.00,0.198719415,0.339828757,29.24047619,18434,1,3
"Minneapolis--St. Paul, MN--WI",271230331002011.00,0.111782477,0.339828757,27.9,18434,1,3
"Minneapolis--St. Paul, MN--WI",271230331002017.00,0.142979943,0.339828757,29.76333333,18434,1,3
"Minneapolis--St. Paul, MN--WI",271230331002010.00,0.254723347,0.339828757,28.67962963,18434,1,3
"Minneapolis--St. Paul, MN--WI",271230310005003.00,0.284703107,0.339828757,28.17307692,22275,1,3
"Minneapolis--St. Paul, MN--WI",271230310005001.00,0.34819491,0.339828757,27.73571429,22275,1,3
"Minneapolis--St. Paul, MN--WI",271230310005007.00,0.267264209,0.339828757,28.57222222,22275,1,3
"Minneapolis--St. Paul, MN--WI",271230310005002.00,0.309415263,0.339828757,28.03095238,22275,1,3
"Minneapolis--St. Paul, MN--WI",271230310002002.00,0.328244275,0.339828757,28.70384615,9220,1,3
"Minneapolis--St. Paul, MN--WI",271230310002001.00,0.318077803,0.339828757,28.3625,9220,1,3
"Minneapolis--St. Paul, MN--WI",271230310002003.00,0.288360605,0.339828757,28.675,9220,1,3
"Minneapolis--St. Paul, MN--WI",271230310002008.00,0.302196103,0.339828757,28.45625,9220,1,3
"Minneapolis--St. Paul, MN--WI",271230310002007.00,0.423374391,0.339828757,27.87941177,9220,1,3
"Minneapolis--St. Paul, MN--WI",271230310002000.00,0.294859957,0.339828757,29.12222222,9220,1,3
"Minneapolis--St. Paul, MN--WI",271230310002005.00,0.187150838,0.339828757,29.15,9220,1,3
"Minneapolis--St. Paul, MN--WI",271230310002011.00,0.256777812,0.339828757,28.4625,9220,1,3
"Minneapolis--St. Paul, MN--WI",271230310002009.00,0.416590144,0.339828757,27.8,9220,1,3
