Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Myrtle Beach--Socastee, SC--NC",450510704002051.00,0.070707071,0.290354331,27.45,13372,1,4
"Myrtle Beach--Socastee, SC--NC",450510507001001.00,0,0.290354331,30.5,16457,1,4
"Myrtle Beach--Socastee, SC--NC",450510604051020.00,0.375449355,0.290354331,27.38636364,14155,1,4
"Myrtle Beach--Socastee, SC--NC",450510604052032.00,0.028744327,0.290354331,28.28333333,19055,1,4
"Myrtle Beach--Socastee, SC--NC",450510506001020.00,0.061061848,0.290354331,30.4475,15022,1,4
"Myrtle Beach--Socastee, SC--NC",450510506001037.00,0.08138712,0.290354331,30.15526316,15022,1,4
"Myrtle Beach--Socastee, SC--NC",370190205111022.00,0.040816327,0.290354331,27.15,21697,1,4
"Myrtle Beach--Socastee, SC--NC",450510705002034.00,0.241540864,0.290354331,28.08333333,20171,1,4
"Myrtle Beach--Socastee, SC--NC",450510509002041.00,0.074766355,0.290354331,28.65,17886,1,4
"Myrtle Beach--Socastee, SC--NC",450510509002026.00,0.145091225,0.290354331,28.15,17886,1,4
"Myrtle Beach--Socastee, SC--NC",450510509003043.00,0.216890595,0.290354331,28.51,14573,1,4
"Myrtle Beach--Socastee, SC--NC",450510509003064.00,0,0.290354331,0,14573,1,4
"Myrtle Beach--Socastee, SC--NC",450510509003008.00,0.011627907,0.290354331,0,14573,1,4
"Myrtle Beach--Socastee, SC--NC",450510604031024.00,0.18841151,0.284028154,28.30833333,17930,1,2
"Myrtle Beach--Socastee, SC--NC",450510604031028.00,0.256402708,0.284028154,28.11666667,17930,1,2
"Myrtle Beach--Socastee, SC--NC",450510604031017.00,0.146626298,0.284028154,28.55,17930,1,2
"Myrtle Beach--Socastee, SC--NC",450510604031035.00,0.200166343,0.284028154,26.25,17930,1,2
"Myrtle Beach--Socastee, SC--NC",450510604031013.00,0.262876254,0.284028154,28.10833333,17930,1,2
"Myrtle Beach--Socastee, SC--NC",450510604031037.00,0.171890208,0.284028154,28.842,17930,1,2
"Myrtle Beach--Socastee, SC--NC",450510604031014.00,0.338979506,0.284028154,27.63636364,17930,1,2
"Myrtle Beach--Socastee, SC--NC",450510604031016.00,0.284028154,0.284028154,28.14285714,17930,1,2
"Myrtle Beach--Socastee, SC--NC",450510505003013.00,0.302325581,0.284028154,28.75833333,18706,1,2
"Myrtle Beach--Socastee, SC--NC",450510505003023.00,0.043965517,0.284028154,30.63,18706,1,2
"Myrtle Beach--Socastee, SC--NC",450510505003014.00,0.372457946,0.284028154,29.35,18706,1,2
"Myrtle Beach--Socastee, SC--NC",450510505003025.00,0.257878217,0.284028154,29.54714286,18706,1,2
"Myrtle Beach--Socastee, SC--NC",450510505003010.00,0.271013946,0.284028154,29.075,18706,1,2
"Myrtle Beach--Socastee, SC--NC",450510505003003.00,0.038184837,0.284028154,30.275,18706,1,2
"Myrtle Beach--Socastee, SC--NC",450510505003017.00,0.113433312,0.284028154,30.02777778,18706,1,2
"Myrtle Beach--Socastee, SC--NC",450510505003018.00,0.149384188,0.284028154,30.25454546,18706,1,2
"Myrtle Beach--Socastee, SC--NC",450510505003022.00,0.184020008,0.284028154,30.23285714,18706,1,2
"Myrtle Beach--Socastee, SC--NC",450510516013022.00,0.187383779,0.284028154,27.83571429,17690,1,2
"Myrtle Beach--Socastee, SC--NC",450510516013024.00,0.079926581,0.284028154,27.81296296,17690,1,2
"Myrtle Beach--Socastee, SC--NC",450510516013033.00,0.041937598,0.284028154,27.85235294,17690,1,2
"Myrtle Beach--Socastee, SC--NC",450510516013027.00,0.243054105,0.284028154,27.37380952,17690,1,2
"Myrtle Beach--Socastee, SC--NC",450510516013030.00,0.040783034,0.284028154,28.92058824,17690,1,2
"Myrtle Beach--Socastee, SC--NC",450510516013025.00,0.148235064,0.284028154,28.12111111,17690,1,2
"Myrtle Beach--Socastee, SC--NC",450510705001008.00,0.504679626,0.284028154,26.33333333,19995,1,2
"Myrtle Beach--Socastee, SC--NC",450510705001015.00,0.513589834,0.284028154,26.43333333,19995,1,2
"Myrtle Beach--Socastee, SC--NC",450510705001051.00,0.436146378,0.284028154,27.11111111,19995,1,2
"Myrtle Beach--Socastee, SC--NC",450510705001055.00,0.423794439,0.284028154,26.85769231,19995,1,2
"Myrtle Beach--Socastee, SC--NC",450510705001020.00,0.230138008,0.284028154,27.09722222,19995,1,2
"Myrtle Beach--Socastee, SC--NC",450510515021000.00,0.479770004,0.284028154,26.95332542,18208,1,2
"Myrtle Beach--Socastee, SC--NC",450510704002047.00,0.550233645,0.284028154,26.79545455,13372,1,2
"Myrtle Beach--Socastee, SC--NC",450510704002033.00,0.5720359,0.284028154,26.65,13372,1,2
