Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Raleigh, NC",371830545001004.00,0.232804233,0.378599194,28.94090909,19205,1,4
"Raleigh, NC",371830545001003.00,0.128295255,0.378599194,28.71666667,19205,1,4
"Raleigh, NC",371830528031010.00,0.010638298,0.378599194,27.05,19719,1,4
"Raleigh, NC",371830524062025.00,0.249921309,0.378599194,30.17857143,17936,1,4
"Raleigh, NC",371830535192002.00,0.219471947,0.378599194,28.33,23827,1,4
"Raleigh, NC",371830541061037.00,0.015146178,0.378599194,30.01153846,24854,1,4
"Raleigh, NC",371830527062004.00,0.217341482,0.378599194,28.48333333,20765,1,4
"Raleigh, NC",371830527062011.00,0.073454545,0.378599194,29.445,20765,1,4
"Raleigh, NC",371830527062005.00,0.17877095,0.378599194,29.2,20765,1,4
"Raleigh, NC",371830524081009.00,0.386478163,0.378599194,28.315625,15907,1,4
"Raleigh, NC",371830540013001.00,0.418675289,0.378599194,28.31808511,20522,1,4
"Raleigh, NC",371010410013008.00,0.074484147,0.378599194,29.16111111,24107,1,4
"Raleigh, NC",371830509002030.00,0.010070671,0.378599194,28.986,12332,1,4
"Raleigh, NC",371830509002014.00,0.064091045,0.378599194,29.15,12332,1,4
"Raleigh, NC",370850709011020.00,0.067484663,0.378599194,0,23860,1,4
"Raleigh, NC",371830541043017.00,0.178875639,0.378599194,28.8,24125,1,4
"Raleigh, NC",371830540181029.00,0.07720036,0.378599194,30.35714286,24389,1,4
"Raleigh, NC",371830540181030.00,0.11426092,0.378599194,30.73,24389,1,4
"Raleigh, NC",371830509001016.00,0.296237513,0.378599194,28.85638298,10071,1,4
"Raleigh, NC",371830509001001.00,0.222549984,0.378599194,29.4,10071,1,4
"Raleigh, NC",371830509001010.00,0.170940171,0.378599194,30.0125,10071,1,4
"Raleigh, NC",371830527073014.00,0.268442623,0.378599194,29.66666667,21858,1,4
"Raleigh, NC",371830511011001.00,0.555006465,0.378599194,27.69117647,4457,1,4
"Raleigh, NC",371830511011004.00,0.435680059,0.378599194,28.63278689,4457,1,4
"Raleigh, NC",371830535161012.00,0.215366001,0.378599194,29.06428571,22633,1,4
"Raleigh, NC",371830540082011.00,0.233680227,0.378599194,28.08333333,17262,1,4
"Raleigh, NC",371830528062002.00,0.181772407,0.378599194,30.06,25206,1,4
"Raleigh, NC",371830524082006.00,0.989571263,0.378599194,26.3,14463,1,4
"Raleigh, NC",371830504002006.00,0.276657997,0.378599194,28.98846154,22164,1,4
"Raleigh, NC",371830508002007.00,0.152106886,0.378599194,29.15,9623,1,4
"Raleigh, NC",371830508002008.00,0.301351351,0.378599194,29.38125,9623,1,4
"Raleigh, NC",371830511022010.00,0.481680208,0.378599194,27.50862069,923,1,4
"Raleigh, NC",371830511021016.00,0.459936533,0.378599194,28.2673913,923,1,4
"Raleigh, NC",371830511022001.00,0.378599194,0.378599194,29.41532258,923,1,4
"Raleigh, NC",371830523023033.00,0.306467662,0.378599194,28.01,20125,1,4
"Raleigh, NC",371830523023007.00,0.284768212,0.378599194,29.55,20125,1,4
"Raleigh, NC",371830523023013.00,0.420835357,0.378599194,28.825,20125,1,4
"Raleigh, NC",371830523023022.00,0.441717791,0.378599194,28.95,20125,1,4
"Raleigh, NC",371830523023019.00,0.298550725,0.378599194,28.78333333,20125,1,4
"Raleigh, NC",371830523023021.00,0.334491315,0.378599194,29.3,20125,1,4
"Raleigh, NC",371830523023014.00,0.34790795,0.378599194,28.715,20125,1,4
"Raleigh, NC",371830523023016.00,0.435933148,0.378599194,27.76666667,20125,1,4
"Raleigh, NC",371830523023015.00,0.286481047,0.378599194,29.72692308,20125,1,4
"Raleigh, NC",371830523013028.00,0.136243386,0.378599194,29.55,17324,1,4
"Raleigh, NC",371830523013001.00,0.337495781,0.378599194,28.5,17324,1,4
"Raleigh, NC",371830523013014.00,0.527303754,0.378599194,27.41666667,17324,1,4
"Raleigh, NC",371830520011007.00,0.156504938,0.378599194,30.05,15279,1,4
"Raleigh, NC",371830520011013.00,0.392575039,0.378599194,26.75,15279,1,4
"Raleigh, NC",371830535203000.00,0.531185461,0.378599194,28.16818182,22968,1,4
"Raleigh, NC",371830524092001.00,0.353307138,0.378599194,28.71923077,13766,1,4
"Raleigh, NC",371830523022009.00,0.396755162,0.378599194,28.06111111,25558,1,4
"Raleigh, NC",371830523022011.00,0.290551981,0.378599194,28.93333333,25558,1,4
"Raleigh, NC",371010410023019.00,0.760504202,0.378599194,0,26086,1,4
"Raleigh, NC",371830521021005.00,0.189797449,0.378599194,30.2,17640,1,4
"Raleigh, NC",371830521021004.00,0.146604938,0.378599194,29.01666667,17640,1,4
"Raleigh, NC",371830527043002.00,0.17393736,0.378599194,30.28333333,21736,1,4
"Raleigh, NC",371830527043003.00,0.074506579,0.378599194,29.86538462,21736,1,4
"Raleigh, NC",371830541044004.00,0.180974478,0.51885024,27.23571429,19715,1,2
"Raleigh, NC",371830541044003.00,0.477694378,0.51885024,26.81451613,19715,1,2
"Raleigh, NC",371830541044019.00,0.343283582,0.51885024,27.74387755,19715,1,2
"Raleigh, NC",371830541044012.00,0.396338212,0.51885024,27.72837838,19715,1,2
"Raleigh, NC",371830541044018.00,0.474430068,0.51885024,27.03269231,19715,1,2
"Raleigh, NC",371830541044013.00,0.394145768,0.51885024,27.63106509,19715,1,2
"Raleigh, NC",371830541044016.00,0.253686897,0.51885024,28.24677419,19715,1,2
"Raleigh, NC",371830541044021.00,0.287236562,0.51885024,28.07105263,19715,1,2
"Raleigh, NC",371830541044020.00,0.422270476,0.51885024,27.62096774,19715,1,2
"Raleigh, NC",371830540081007.00,0.138438881,0.51885024,28.89285714,26372,1,2
"Raleigh, NC",371830540081009.00,0.358384745,0.51885024,29.0875,26372,1,2
"Raleigh, NC",371830540081010.00,0.495788489,0.51885024,27.36157895,26372,1,2
"Raleigh, NC",371830540081014.00,0.204910714,0.51885024,29.63,26372,1,2
"Raleigh, NC",371830540081004.00,0.428737233,0.51885024,28.02179487,26372,1,2
"Raleigh, NC",371830545001015.00,0.698872786,0.51885024,27.14583333,19205,1,2
"Raleigh, NC",371830545001017.00,0.745736027,0.51885024,27.26333333,19205,1,2
"Raleigh, NC",371830545001023.00,0.663123467,0.51885024,28.18636364,19205,1,2
"Raleigh, NC",371830545001026.00,0.663512895,0.51885024,27.90172414,19205,1,2
"Raleigh, NC",371830545001024.00,0.824067719,0.51885024,27.245,19205,1,2
"Raleigh, NC",371830545001018.00,0.654524758,0.51885024,27.25,19205,1,2
"Raleigh, NC",371830545001030.00,0.627734769,0.51885024,28.45,19205,1,2
"Raleigh, NC",371830545001025.00,0.771919068,0.51885024,26.87857143,19205,1,2
"Raleigh, NC",371830545001010.00,0.570795589,0.51885024,27.49318182,19205,1,2
"Raleigh, NC",371830545001019.00,0.682997583,0.51885024,27.36034483,19205,1,2
"Raleigh, NC",371830545001029.00,0.747331787,0.51885024,27.04736842,19205,1,2
"Raleigh, NC",371830528031022.00,0.153900709,0.51885024,27.69615385,19719,1,2
"Raleigh, NC",371830528031008.00,0.173873874,0.51885024,28.35,19719,1,2
"Raleigh, NC",371830528031018.00,0.242192922,0.51885024,27.60714286,19719,1,2
