Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Seattle, WA",530330258033007.00,0.291747385,0.185069543,28.76666667,21249,1,4
"Seattle, WA",530330258033003.00,0.490556406,0.185069543,28.77962963,21249,1,4
"Seattle, WA",530330301005004.00,0.310916179,0.185069543,29.15,14338,1,4
"Seattle, WA",530330301005003.00,0.463208047,0.185069543,29.1,14338,1,4
"Seattle, WA",530330301005006.00,0.2039801,0.185069543,28.55,14338,1,4
"Seattle, WA",530330301005008.00,0.252614642,0.185069543,28.93333333,14338,1,4
"Seattle, WA",530330301005002.00,0.269506941,0.185069543,29.05,14338,1,4
"Seattle, WA",530330294072014.00,0.269278607,0.185069543,31.62142857,20995,1,4
"Seattle, WA",530330294072011.00,0.026645768,0.185069543,31.78333333,20995,1,4
"Seattle, WA",530330294072009.00,0.06300813,0.185069543,30.98076923,20995,1,4
"Seattle, WA",530610419012011.00,0.086175943,0.185069543,28.16666667,27653,1,4
"Seattle, WA",530610419012004.00,0.035870092,0.185069543,30.21666667,27653,1,4
"Seattle, WA",530330294071002.00,0.058930603,0.185069543,31.09,21261,1,4
"Seattle, WA",530330295035001.00,0.2,0.185069543,30.49117647,17425,1,4
"Seattle, WA",530330295035009.00,0.339111593,0.185069543,30.35,17425,1,4
"Seattle, WA",530330295035005.00,0.093613933,0.185069543,31.25,17425,1,4
"Seattle, WA",530330295035000.00,0.269295548,0.185069543,30.23595041,17425,1,4
"Seattle, WA",530330111022002.00,0.098682635,0.185069543,29.93235294,26133,1,4
"Seattle, WA",530330111022007.00,0.197971204,0.185069543,28.75,26133,1,4
"Seattle, WA",530330111022006.00,0.171692607,0.185069543,28.94090909,26133,1,4
"Seattle, WA",530330272002048.00,0.066022862,0.185069543,30.59,17174,1,4
"Seattle, WA",530330112003004.00,0.266638496,0.185069543,28.82142857,17942,1,4
"Seattle, WA",530610516013000.00,0.091152815,0.185069543,28.975,27927,1,4
"Seattle, WA",530330219063010.00,0.219512195,0.185069543,29.89615385,23064,1,4
"Seattle, WA",530330265003011.00,0.880088009,0.185069543,26.63,25624,1,4
"Seattle, WA",530330001004002.00,0.308341416,0.185069543,29.59565217,19481,1,4
"Seattle, WA",530330001004003.00,0.045018321,0.185069543,29.91296296,19481,1,4
"Seattle, WA",530330001004001.00,0.282347188,0.185069543,29.61363636,19481,1,4
"Seattle, WA",530330303131013.00,0.475576037,0.185069543,27.49545455,21785,1,4
"Seattle, WA",530530612001001.00,0.385390993,0.185069543,29.13571429,25113,1,4
"Seattle, WA",530330265002019.00,0.090663788,0.185069543,30.1125,11546,1,4
"Seattle, WA",530330265002018.00,0.134392181,0.185069543,30.07857143,11546,1,4
"Seattle, WA",530330265002023.00,0.18250497,0.185069543,30.10833333,11546,1,4
"Seattle, WA",530330265002000.00,0.133590238,0.185069543,29.23333333,11546,1,4
"Seattle, WA",530330265002021.00,0.110896196,0.185069543,29.33571429,11546,1,4
"Seattle, WA",530330265002027.00,0.177362304,0.185069543,29.9,11546,1,4
"Seattle, WA",530330265002030.00,0.077769049,0.185069543,30.4,11546,1,4
"Seattle, WA",530330012005013.00,0.290975314,0.185069543,29.17727273,26654,1,4
"Seattle, WA",530330292063015.00,0.252148533,0.185069543,29.362,20511,1,4
"Seattle, WA",530330297001001.00,0.38034188,0.185069543,26.80714286,25377,1,4
"Seattle, WA",530330260021004.00,0.211449677,0.185069543,29.47727273,15140,1,4
"Seattle, WA",530330260021006.00,0.405449071,0.185069543,28.49754098,15140,1,4
"Seattle, WA",530330260021009.00,0.338160237,0.185069543,29.62428571,15140,1,4
"Seattle, WA",530330260021010.00,0.141176471,0.185069543,29.25,15140,1,4
"Seattle, WA",530610417013000.00,0.092076244,0.185069543,30.05545455,19496,1,4
"Seattle, WA",530330107011006.00,0.188065099,0.185069543,25.125,27185,1,4
"Seattle, WA",530330107011019.00,0.151541096,0.185069543,28.4,27185,1,4
"Seattle, WA",530330107011017.00,0.242930591,0.185069543,25.80357143,27185,1,4
"Seattle, WA",530610418062002.00,0.403185035,0.185069543,27.50564516,24370,1,4
"Seattle, WA",530330307001011.00,0.084525358,0.185069543,30.88333333,18227,1,4
"Seattle, WA",530610419032004.00,0.147525193,0.185069543,29.285,21567,1,4
"Seattle, WA",530330044004009.00,0.07502061,0.185069543,29.44375,21569,1,4
"Seattle, WA",530330044004004.00,0.150521921,0.185069543,29.75,21569,1,4
"Seattle, WA",530330044004003.00,0.283744856,0.185069543,29.06818182,21569,1,4
"Seattle, WA",530330044004001.00,0.081831072,0.185069543,29.44090909,21569,1,4
"Seattle, WA",530330044004006.00,0.243025597,0.185069543,29.2625,21569,1,4
"Seattle, WA",530330044004000.00,0.120072771,0.185069543,29.15869565,21569,1,4
"Seattle, WA",530330044004002.00,0.317218543,0.185069543,29.225,21569,1,4
"Seattle, WA",530330044004007.00,0.194899818,0.185069543,29.71428571,21569,1,4
"Seattle, WA",530330111013005.00,0.122287145,0.185069543,30,19780,1,4
"Seattle, WA",530330288012024.00,0.053917439,0.185069543,27.73,20804,1,4
"Seattle, WA",530610419041004.00,0.363135873,0.185069543,28.085,17733,1,4
"Seattle, WA",530330284031003.00,0.138041253,0.185069543,31.20367232,17989,1,4
"Seattle, WA",530330303084002.00,0.396920856,0.185069543,28.07222222,27461,1,4
"Seattle, WA",530330298012009.00,0.268562401,0.185069543,25.77,26698,1,4
"Seattle, WA",530330295043004.00,0.379980445,0.185069543,28.89411765,20043,1,4
"Seattle, WA",530330295042003.00,0.18668958,0.185069543,31.03666667,21580,1,4
"Seattle, WA",530330295042001.00,0.230259806,0.185069543,30.13888889,21580,1,4
"Seattle, WA",530330264005015.00,0.118570183,0.185069543,26.61666667,20047,1,4
"Seattle, WA",530330043011010.00,0.248491634,0.185069543,30.0443662,21583,1,4
"Seattle, WA",530330280001015.00,0.198234216,0.185069543,29.47962963,27986,1,4
"Seattle, WA",530330118006017.00,0.185258486,0.185069543,29.31933333,11348,1,4
"Seattle, WA",530330118006018.00,0.174645273,0.185069543,29.13823529,11348,1,4
"Seattle, WA",530610509001013.00,0.223257127,0.185069543,28.49375,26455,1,4
"Seattle, WA",530530614001005.00,0.177917981,0.185069543,28.90833333,15704,1,4
"Seattle, WA",530530614001009.00,0.134109002,0.185069543,30.05,15704,1,4
"Seattle, WA",530610514004004.00,0.02458009,0.185069543,26.40833333,23384,1,4
"Seattle, WA",530330260022004.00,0.262573629,0.185069543,28.66904762,27482,1,4
