Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Austin, TX",4.8453E+14,0.707770777,0.213956663,30.78125,13059,1,4
"Austin, TX",4.8453E+14,0.675097276,0.213956663,30.325,13059,1,4
"Austin, TX",4.8453E+14,0.60250298,0.213956663,29.89285714,13059,1,4
"Austin, TX",4.8453E+14,0.267170609,0.213956663,32.35373832,23302,1,4
"Austin, TX",4.8453E+14,0.545924968,0.213956663,29.83235294,18697,1,4
"Austin, TX",4.8453E+14,0.16559172,0.213956663,31.66,18697,1,4
"Austin, TX",4.8453E+14,0.281427413,0.213956663,30.15,18697,1,4
"Austin, TX",4.8453E+14,0.160134378,0.213956663,31.99285714,18697,1,4
"Austin, TX",4.8453E+14,0.225255973,0.213956663,32.15,18697,1,4
"Austin, TX",4.8453E+14,0.194659443,0.213956663,30.81666667,18697,1,4
"Austin, TX",4.8453E+14,0.108522675,0.213956663,34.27708333,19721,1,4
"Austin, TX",4.8453E+14,0.109517601,0.213956663,33.83684211,14609,1,4
"Austin, TX",4.8453E+14,0.124733223,0.213956663,33.06052632,22289,1,4
"Austin, TX",4.8453E+14,0.232020997,0.213956663,32.114,22289,1,4
"Austin, TX",4.8453E+14,0.110043668,0.213956663,32.925,22289,1,4
"Austin, TX",4.8453E+14,0.36200976,0.213956663,31.375,22289,1,4
"Austin, TX",4.8453E+14,0.371969885,0.213956663,32.38018868,16665,1,4
"Austin, TX",4.8453E+14,0.212211163,0.213956663,33.60290323,21788,1,4
"Austin, TX",4.8453E+14,0.147783251,0.213956663,0,24096,1,4
"Austin, TX",4.8453E+14,0.247546833,0.213956663,32,24096,1,4
"Austin, TX",4.8453E+14,0.487179487,0.213956663,32.60714286,24096,1,4
"Austin, TX",4.8453E+14,0.124534451,0.213956663,32.27105263,18469,1,4
"Austin, TX",4.8453E+14,0.03956044,0.213956663,32.05,21543,1,4
"Austin, TX",4.8453E+14,0.106382979,0.213956663,0,21543,1,4
"Austin, TX",4.8453E+14,0.218438973,0.213956663,32.6,6953,1,4
"Austin, TX",4.8453E+14,0.218908123,0.213956663,32.59285714,6953,1,4
"Austin, TX",4.8453E+14,0.20907158,0.213956663,32.28333333,6953,1,4
"Austin, TX",4.8453E+14,0.11740684,0.213956663,31.6375,6953,1,4
"Austin, TX",4.8453E+14,0.47653806,0.213956663,31.375,6953,1,4
"Austin, TX",4.8453E+14,0.202692308,0.213956663,31.95869565,6953,1,4
"Austin, TX",4.8453E+14,0.237395229,0.213956663,32.33857143,6953,1,4
"Austin, TX",4.8453E+14,0.100714017,0.213956663,33.01,6953,1,4
"Austin, TX",4.8453E+14,0.38343949,0.213956663,32.97307692,6953,1,4
"Austin, TX",4.8453E+14,0.260672615,0.213956663,32.28125,6953,1,4
"Austin, TX",4.8453E+14,0.213806971,0.213956663,33.08571429,6953,1,4
"Austin, TX",4.8453E+14,0.139136395,0.213956663,32.20714286,6953,1,4
"Austin, TX",4.8453E+14,0.236607143,0.213956663,31.59210526,6953,1,4
"Austin, TX",4.8453E+14,0.214313272,0.213956663,32.01666667,6953,1,4
"Austin, TX",4.8453E+14,0.399458972,0.213956663,32.29090909,6953,1,4
"Austin, TX",4.8453E+14,0.260139252,0.213956663,32.22307692,6953,1,4
"Austin, TX",4.8453E+14,0.64893617,0.213956663,32.11842105,6953,1,4
"Austin, TX",4.8453E+14,0.71466578,0.213956663,31.74333333,6953,1,4
"Austin, TX",4.8453E+14,0.178432068,0.213956663,33.14333333,6953,1,4
"Austin, TX",4.8453E+14,0.279769452,0.213956663,31.84868421,16425,1,4
"Austin, TX",4.8453E+14,0.378052312,0.213956663,32.49888889,19754,1,4
"Austin, TX",4.8453E+14,0.175184936,0.213956663,31.96538462,14892,1,4
"Austin, TX",4.8453E+14,0.234638879,0.213956663,31.23461539,14892,1,4
"Austin, TX",4.8491E+14,0.22716895,0.213956663,33.49871795,20526,1,4
"Austin, TX",4.8453E+14,0.250671141,0.213956663,32.71153846,10804,1,4
"Austin, TX",4.8453E+14,0.112898592,0.213956663,33.07941177,24118,1,4
"Austin, TX",4.8453E+14,0.005344418,0.213956663,33.55,13114,1,4
"Austin, TX",4.8453E+14,0.058068118,0.213956663,33.35625,13114,1,4
"Austin, TX",4.8453E+14,0.112040024,0.213956663,33.67352941,13114,1,4
"Austin, TX",4.8453E+14,0.195041322,0.213956663,31.43571429,5950,1,4
"Austin, TX",4.8453E+14,0.098218166,0.213956663,32.22727273,5950,1,4
"Austin, TX",4.8453E+14,0.358494767,0.213956663,31.42894737,5950,1,4
"Austin, TX",4.8453E+14,0.461597249,0.213956663,31.82692308,5950,1,4
"Austin, TX",4.8453E+14,0.248063517,0.213956663,31.4625,5950,1,4
"Austin, TX",4.8453E+14,0.305757261,0.213956663,31.71,5950,1,4
"Austin, TX",4.8453E+14,0.145765713,0.213956663,32.09666667,5950,1,4
"Austin, TX",4.8453E+14,0.348101266,0.213956663,31.41875,5950,1,4
"Austin, TX",4.8453E+14,0.367312553,0.213956663,32.35,5950,1,4
"Austin, TX",4.8453E+14,0.420329204,0.213956663,31.55384615,5950,1,4
"Austin, TX",4.8453E+14,0.441415465,0.213956663,31.55526316,5950,1,4
"Austin, TX",4.8453E+14,0.234501348,0.213956663,32.14285714,5950,1,4
"Austin, TX",4.8453E+14,0.470232231,0.213956663,31.72419355,5950,1,4
"Austin, TX",4.8453E+14,0.290933099,0.213956663,31.6744898,11338,1,4
"Austin, TX",4.8453E+14,0.162389703,0.213956663,32.65727273,11876,1,4
"Austin, TX",4.8453E+14,0.755102041,0.213956663,31.75,21352,1,4
"Austin, TX",4.8453E+14,0.102835317,0.213956663,34.06724138,21352,1,4
"Austin, TX",4.8453E+14,0.110870396,0.213956663,34.32857143,21352,1,4
"Austin, TX",4.8453E+14,0.09429613,0.213956663,33.4560241,10865,1,4
"Austin, TX",4.8453E+14,0.077382581,0.213956663,33.5255102,20350,1,4
"Austin, TX",4.8453E+14,0.135335204,0.213956663,32.97133333,20350,1,4
"Austin, TX",4.8453E+14,0.208973723,0.213956663,32.6625,16255,1,4
"Austin, TX",4.8453E+14,0.108593931,0.213956663,33.10894737,16260,1,4
"Austin, TX",4.8453E+14,0.141295863,0.213956663,32.06111111,3980,1,4
"Austin, TX",4.8453E+14,0.228071564,0.213956663,31.84454546,3980,1,4
"Austin, TX",4.8453E+14,0.227950122,0.213956663,32.41451613,3980,1,4
"Austin, TX",4.8453E+14,0.134302326,0.213956663,32.85666667,3980,1,4
"Austin, TX",4.8453E+14,0.223888463,0.213956663,32.10263158,3980,1,4
"Austin, TX",4.8453E+14,0.229464003,0.213956663,31.72037037,3980,1,4
"Austin, TX",4.8453E+14,0.185947242,0.213956663,32.68010753,13197,1,4
"Austin, TX",4.8453E+14,0.045614497,0.213956663,33.96970803,20123,1,4
"Austin, TX",4.8453E+14,0.195413059,0.213956663,32.74473684,20123,1,4
"Austin, TX",4.8453E+14,0.056409131,0.213956663,32.6525,20123,1,4
"Austin, TX",4.8453E+14,0.354474097,0.213956663,32.7,22685,1,4
"Austin, TX",4.8453E+14,0.357256207,0.213956663,32.65666667,20128,1,4
"Austin, TX",4.8453E+14,0.648662551,0.213956663,32.4125,20129,1,4
"Austin, TX",4.8453E+14,0.216153335,0.213956663,33.07012579,20135,1,4
"Austin, TX",4.8491E+14,0.141386915,0.213956663,33.78333333,18600,1,4
"Austin, TX",4.8453E+14,0.113751399,0.213956663,32.95,22700,1,4
"Austin, TX",4.8453E+14,0.210081994,0.213956663,32.73571429,15023,1,4
"Austin, TX",4.8453E+14,0.034978139,0.213956663,33.15,21430,1,4
"Austin, TX",4.8491E+14,0.441653787,0.213956663,31.709375,12985,1,4
"Austin, TX",4.8491E+14,0.243316544,0.213956663,31.73695652,12985,1,4
"Austin, TX",4.8453E+14,0.233305853,0.213956663,32.36206897,18617,1,4
"Austin, TX",4.8453E+14,0.118376702,0.213956663,32.98731343,18617,1,4
"Austin, TX",4.8453E+14,0.204702411,0.213956663,32.5625,19917,1,4
"Austin, TX",4.8453E+14,0.207036569,0.213956663,32.24945355,19917,1,4
"Austin, TX",4.8453E+14,0.240963855,0.213956663,32.77307692,19918,1,4
"Austin, TX",4.8453E+14,0.461833893,0.213956663,32.40555556,19918,1,4
"Austin, TX",4.8453E+14,0.269496545,0.213956663,32.14259259,19918,1,4
"Austin, TX",4.8453E+14,0.342391304,0.213956663,32.41,19918,1,4
"Austin, TX",4.8453E+14,0.487736901,0.213956663,31.37,19918,1,4
"Austin, TX",4.8453E+14,0.164439279,0.213956663,33.00483871,19919,1,4
"Austin, TX",4.8453E+14,0.313970064,0.213956663,33.2,19919,1,4
