Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Birmingham, AL",1.07301E+13,0.45020347,0.736281847,29.55833333,11520,1,1
"Birmingham, AL",1.07301E+13,0.044273692,0.736281847,31.04090909,11520,1,1
"Birmingham, AL",1.07301E+13,0.543510324,0.736281847,29.25,11520,1,1
"Birmingham, AL",1.07301E+13,0.429680106,0.736281847,29.51956522,11520,1,1
"Birmingham, AL",1.07301E+13,0.5,0.736281847,28.31666667,11520,1,1
"Birmingham, AL",1.07301E+13,0.188131313,0.736281847,28.93,11520,1,1
"Birmingham, AL",1.07301E+13,0.581654676,0.736281847,28.83888889,11520,1,1
"Birmingham, AL",1.07301E+13,0.425531915,0.736281847,28.425,11520,1,1
"Birmingham, AL",1.07301E+13,0.390970221,0.736281847,29.51,11520,1,1
"Birmingham, AL",1.07301E+13,0.421339564,0.736281847,29.41,11520,1,1
"Birmingham, AL",1.07301E+13,0.583023873,0.736281847,29.17222222,11520,1,1
"Birmingham, AL",1.073E+13,0.444698703,0.736281847,30.07,11265,1,1
"Birmingham, AL",1.073E+13,0.580498866,0.736281847,29.425,11265,1,1
"Birmingham, AL",1.073E+13,0.368606702,0.736281847,30.62659575,11265,1,1
"Birmingham, AL",1.073E+13,0.472113677,0.736281847,31.28076923,11265,1,1
"Birmingham, AL",1.073E+13,0.444160584,0.736281847,29.9578125,11265,1,1
"Birmingham, AL",1.073E+13,0.656959153,0.736281847,29.5,11265,1,1
"Birmingham, AL",1.073E+13,0.451626712,0.736281847,29.97608696,11265,1,1
"Birmingham, AL",1.07301E+13,0.183702143,0.736281847,31.23196721,8194,1,1
"Birmingham, AL",1.07301E+13,0.198391421,0.736281847,30.47,8194,1,1
"Birmingham, AL",1.073E+13,0.65008726,0.736281847,26.78488372,13827,1,1
"Birmingham, AL",1.073E+13,0.445739257,0.736281847,28.9875,13827,1,1
"Birmingham, AL",1.073E+13,0.534810127,0.736281847,28.15909091,13827,1,1
"Birmingham, AL",1.073E+13,0.482242991,0.736281847,28.38333333,13827,1,1
"Birmingham, AL",1.073E+13,0.859573049,0.736281847,25.97,13827,1,1
"Birmingham, AL",1.073E+13,0.519767442,0.736281847,27.7375,13827,1,1
"Birmingham, AL",1.073E+13,0.45254366,0.736281847,27.35,13827,1,1
"Birmingham, AL",1.073E+13,0.688707281,0.736281847,27.15,13827,1,1
"Birmingham, AL",1.073E+13,0.342494715,0.736281847,28.97857143,13827,1,1
"Birmingham, AL",1.073E+13,0.769396552,0.736281847,27.77222222,13827,1,1
"Birmingham, AL",1.073E+13,0.808888889,0.736281847,28.05,13827,1,1
"Birmingham, AL",1.073E+13,0.558166863,0.736281847,27.9875,13827,1,1
"Birmingham, AL",1.073E+13,0.337851929,0.736281847,29.6,13827,1,1
"Birmingham, AL",1.073E+13,0.346352248,0.736281847,28.95,13827,1,1
"Birmingham, AL",1.073E+13,0.690060443,0.736281847,28.10384615,13827,1,1
"Birmingham, AL",1.073E+13,0.612957746,0.736281847,27.5625,13827,1,1
"Birmingham, AL",1.073E+13,0.524261015,0.736281847,27.47857143,13827,1,1
"Birmingham, AL",1.073E+13,0.542768274,0.736281847,28.6,13827,1,1
"Birmingham, AL",1.073E+13,0.679059181,0.736281847,26.66666667,13827,1,1
"Birmingham, AL",1.073E+13,0.64010989,0.736281847,27.60714286,13827,1,1
"Birmingham, AL",1.073E+13,0.447084233,0.736281847,28.55,13827,1,1
"Birmingham, AL",1.073E+13,0.725685077,0.736281847,27.7875,13827,1,1
"Birmingham, AL",1.073E+13,0.619113097,0.736281847,28.114,13827,1,1
"Birmingham, AL",1.073E+13,0.604960678,0.736281847,28.65,13827,1,1
"Birmingham, AL",1.073E+13,0.333699232,0.736281847,28.65,13827,1,1
"Birmingham, AL",1.073E+13,0.680722892,0.736281847,26.41,13827,1,1
"Birmingham, AL",1.073E+13,0.517531557,0.736281847,27.87666667,13827,1,1
"Birmingham, AL",1.073E+13,0.666423889,0.736281847,28.43571429,13827,1,1
"Birmingham, AL",1.073E+13,0.551541576,0.736281847,28.27142857,13827,1,1
"Birmingham, AL",1.073E+13,0.322649573,0.736281847,27.85,13827,1,1
"Birmingham, AL",1.073E+13,0.838268649,0.736281847,26.1,13827,1,1
"Birmingham, AL",1.073E+13,0.428755919,0.736281847,28.6469697,13827,1,1
"Birmingham, AL",1.073E+13,0.418222554,0.736281847,28.53571429,13827,1,1
"Birmingham, AL",1.073E+13,0.461415753,0.736281847,28.84166667,13827,1,1
"Birmingham, AL",1.073E+13,0.821769297,0.736281847,26.55769231,13827,1,1
"Birmingham, AL",1.073E+13,0.525230458,0.736281847,28.03333333,13827,1,1
"Birmingham, AL",1.073E+13,0.384726225,0.736281847,28.70714286,13827,1,1
"Birmingham, AL",1.073E+13,0.650641026,0.736281847,28.3125,13827,1,1
"Birmingham, AL",1.073E+13,0.555613037,0.736281847,27.76111111,13827,1,1
"Birmingham, AL",1.073E+13,0.521984216,0.736281847,28.39,13827,1,1
"Birmingham, AL",1.073E+13,0.645096731,0.736281847,27.05,13827,1,1
"Birmingham, AL",1.073E+13,0.811460259,0.736281847,26.61666667,13827,1,1
"Birmingham, AL",1.073E+13,0.820224719,0.736281847,26.15,13827,1,1
"Birmingham, AL",1.073E+13,0.633410673,0.736281847,27.175,13827,1,1
"Birmingham, AL",1.073E+13,0.703745743,0.736281847,27.725,13827,1,1
"Birmingham, AL",1.073E+13,0.673413063,0.736281847,28.03,13827,1,1
"Birmingham, AL",1.073E+13,0.473339796,0.736281847,28.40789474,13827,1,1
"Birmingham, AL",1.073E+13,0.765910102,0.736281847,26.4375,13827,1,1
"Birmingham, AL",1.073E+13,0.483086053,0.736281847,28.69285714,13827,1,1
"Birmingham, AL",1.073E+13,0.775028121,0.736281847,28.4,13827,1,1
"Birmingham, AL",1.073E+13,0.462058603,0.736281847,28.61666667,13827,1,1
"Birmingham, AL",1.073E+13,0.599213443,0.736281847,29.14090909,13827,1,1
"Birmingham, AL",1.073E+13,0.47763075,0.736281847,28.21666667,13827,1,1
"Birmingham, AL",1.073E+13,0.442857143,0.736281847,28.8,13827,1,1
"Birmingham, AL",1.073E+13,0.52489019,0.736281847,28.8375,13827,1,1
"Birmingham, AL",1.073E+13,0.605764887,0.736281847,26.99130435,13827,1,1
"Birmingham, AL",1.073E+13,0.581196581,0.736281847,28.63333333,13827,1,1
"Birmingham, AL",1.073E+13,0.536227717,0.736281847,28.0125,13827,1,1
"Birmingham, AL",1.073E+13,0.251670779,0.736281847,29.73211679,13827,1,1
"Birmingham, AL",1.073E+13,0.567460317,0.736281847,28.45,13827,1,1
"Birmingham, AL",1.073E+13,0.456737589,0.736281847,27.81,13827,1,1
"Birmingham, AL",1.073E+13,0.540045767,0.736281847,28.41666667,13827,1,1
"Birmingham, AL",1.073E+13,0.710526316,0.736281847,27.95,13827,1,1
"Birmingham, AL",1.073E+13,0.69992554,0.736281847,27.86428571,13827,1,1
"Birmingham, AL",1.073E+13,0.678222222,0.736281847,27.25,13827,1,1
"Birmingham, AL",1.073E+13,0.86034354,0.736281847,26.43333333,13827,1,1
"Birmingham, AL",1.073E+13,0.568663594,0.736281847,28.39,13827,1,1
"Birmingham, AL",1.073E+13,0.577511643,0.736281847,26.665,13827,1,1
"Birmingham, AL",1.073E+13,0.511102603,0.736281847,28.64090909,12804,1,1
