Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Buffalo, NY",3.6029E+14,0.057876414,0.091216216,28.83421053,18949,1,4
"Buffalo, NY",3.6029E+14,0,0.091216216,0,21510,1,4
"Buffalo, NY",3.6029E+14,0.068049065,0.091216216,27.57,21510,1,4
"Buffalo, NY",3.6029E+14,0.005385996,0.091216216,27.6,21510,1,4
"Buffalo, NY",3.6029E+14,0.134814592,0.091216216,28.19,8969,1,4
"Buffalo, NY",3.6029E+14,0.088235294,0.091216216,28.00555556,14612,1,4
"Buffalo, NY",3.6029E+14,0.122685964,0.091216216,27.926,14612,1,4
"Buffalo, NY",3.6029E+14,0.120347187,0.091216216,27.982,14612,1,4
"Buffalo, NY",3.6029E+14,0.105872193,0.091216216,27.946,14612,1,4
"Buffalo, NY",3.6029E+14,0.158402437,0.091216216,27.96818182,14612,1,4
"Buffalo, NY",3.6029E+14,0.093822573,0.091216216,27.51666667,13078,1,4
"Buffalo, NY",3.6029E+14,0.025477707,0.091216216,28.275,13078,1,4
"Buffalo, NY",3.6029E+14,0.081451613,0.091216216,28.44,13078,1,4
"Buffalo, NY",3.6029E+14,0.011895321,0.091216216,28.2,13078,1,4
"Buffalo, NY",3.6029E+14,0.133182844,0.091216216,28.75,13078,1,4
"Buffalo, NY",3.6029E+14,0.032592183,0.091216216,28.61129032,13078,1,4
"Buffalo, NY",3.6029E+14,0.010544815,0.091216216,27.6,13078,1,4
"Buffalo, NY",3.6029E+14,0.067480258,0.091216216,28.23333333,13078,1,4
"Buffalo, NY",3.6029E+14,0.064665127,0.091216216,28.24230769,17944,1,4
"Buffalo, NY",3.6029E+14,0.068891023,0.091216216,28.38243243,10530,1,4
"Buffalo, NY",3.6029E+14,0.062875636,0.091216216,28.57631579,13607,1,4
"Buffalo, NY",3.6029E+14,0.073143702,0.091216216,29.11666667,13607,1,4
