Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Cape Coral, FL",1.2071E+14,0.180498494,0.20782084,27.8875,18173,1,2
"Cape Coral, FL",1.2071E+14,0.175345044,0.20782084,27.60714286,18173,1,2
"Cape Coral, FL",1.2071E+14,0.452986217,0.20782084,27.52857143,18173,1,2
"Cape Coral, FL",1.2071E+14,0.238794632,0.20782084,27.75,18173,1,2
"Cape Coral, FL",1.2071E+14,0.217479675,0.20782084,27.18809524,10579,1,2
"Cape Coral, FL",1.2071E+14,0.16015953,0.20782084,27.4,10579,1,2
"Cape Coral, FL",1.2071E+14,0.178297767,0.20782084,27.26981567,10579,1,2
"Cape Coral, FL",1.2071E+14,0.092055116,0.20782084,27.72333333,10579,1,2
"Cape Coral, FL",1.2071E+14,0.445733533,0.20782084,27.77692308,18704,1,2
"Cape Coral, FL",1.2071E+14,0.354353011,0.20782084,28.38928571,18704,1,2
"Cape Coral, FL",1.2071E+14,0.228215768,0.20782084,28.63666667,18704,1,2
"Cape Coral, FL",1.2071E+14,0.277313625,0.20782084,28.58333333,18704,1,2
"Cape Coral, FL",1.2071E+14,0.186137072,0.20782084,28.05,18704,1,2
"Cape Coral, FL",1.2071E+14,0.392056075,0.20782084,27.975,18704,1,2
"Cape Coral, FL",1.2071E+14,0.353614728,0.20782084,28.02,18704,1,2
"Cape Coral, FL",1.2071E+14,0.170197044,0.20782084,27.31111111,13480,1,2
"Cape Coral, FL",1.2071E+14,0.060918187,0.20782084,27.72857143,13480,1,2
"Cape Coral, FL",1.2071E+14,0.101525154,0.20782084,28.36666667,13480,1,2
"Cape Coral, FL",1.2071E+14,0.072441896,0.20782084,28.09285714,13480,1,2
"Cape Coral, FL",1.2071E+14,0.156928214,0.20782084,27.89,13480,1,2
"Cape Coral, FL",1.2071E+14,0.133511348,0.20782084,28.10384615,13480,1,2
"Cape Coral, FL",1.2071E+14,0.288354641,0.20782084,27.92352941,13480,1,2
"Cape Coral, FL",1.2071E+14,0.205789346,0.20782084,27.73823529,13480,1,2
"Cape Coral, FL",1.2071E+14,0.212835297,0.20782084,27.45588235,13480,1,2
"Cape Coral, FL",1.2071E+14,0.222200393,0.20782084,27.32391304,13480,1,2
"Cape Coral, FL",1.2071E+14,0.302469136,0.20782084,27.71666667,13480,1,2
"Cape Coral, FL",1.2071E+14,0.257074052,0.20782084,26.94545455,13480,1,2
"Cape Coral, FL",1.2071E+14,0.198610616,0.20782084,26.4,13480,1,2
"Cape Coral, FL",1.2071E+14,0.19282432,0.20782084,26.70217391,13480,1,2
"Cape Coral, FL",1.2071E+14,0.16248068,0.20782084,27.6,13480,1,2
"Cape Coral, FL",1.2071E+14,0.306569343,0.20782084,27.21363636,13480,1,2
"Cape Coral, FL",1.2071E+14,0.293877551,0.20782084,28.35,13480,1,2
