Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Charleston--North Charleston, SC",4.5015E+14,0,0.255098039,27.8,14852,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.360119048,0.255098039,27.01666667,17670,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.164202163,0.255098039,29.29,9482,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.321215733,0.255098039,28.67272727,9482,1,4
"Charleston--North Charleston, SC",4.5015E+14,0.125542767,0.255098039,26.72734375,19475,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.015908726,0.255098039,28.575,15391,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.046001415,0.255098039,28.53461539,15391,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.062896947,0.255098039,28.62142857,15391,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.064985451,0.255098039,28.05,15396,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.001156069,0.255098039,28.575,15396,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.15234375,0.255098039,25.55,15396,1,4
"Charleston--North Charleston, SC",4.5019E+14,0,0.255098039,0,15396,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.106164384,0.255098039,26.65,15396,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.058608059,0.255098039,27.31666667,15396,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.089848308,0.255098039,26.65,15396,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.01659751,0.255098039,28.41,20007,1,4
"Charleston--North Charleston, SC",4.5035E+14,0.382773109,0.255098039,26.48809524,20012,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.064285714,0.255098039,28.83823529,20277,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.063829787,0.255098039,26.95,13885,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.617801047,0.255098039,25.8,21572,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.42544317,0.255098039,26.79,21572,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.347679892,0.255098039,28.475,16475,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.046628407,0.255098039,28,21860,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.00477707,0.255098039,29.90555556,20081,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.109129815,0.255098039,28.91666667,20081,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.2015625,0.255098039,27.9,13696,1,4
"Charleston--North Charleston, SC",4.5035E+14,0.282205084,0.255098039,27.31153846,22403,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.146683673,0.255098039,27.38333333,16008,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.003365525,0.255098039,29.21333333,14481,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.039327624,0.255098039,30.71333333,14481,1,4
"Charleston--North Charleston, SC",4.5015E+14,0.194833154,0.255098039,25.48793103,18334,1,4
"Charleston--North Charleston, SC",4.5015E+14,0.110853432,0.255098039,26.94166667,16804,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.150430449,0.255098039,27.55,10166,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.283505155,0.255098039,28.25,15544,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.254248366,0.255098039,26.12142857,15544,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.023881499,0.255098039,29.89666667,19896,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.080808081,0.255098039,28.23333333,19896,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.302830998,0.255098039,27.01774194,19896,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.133333333,0.255098039,0,14299,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.001424501,0.255098039,30.18333333,18654,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.001803427,0.255098039,30.23888889,18654,1,4
"Charleston--North Charleston, SC",4.5019E+14,6.99E-04,0.255098039,30.83333333,18654,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.53609831,0.255098039,25.71,18654,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.129163834,0.255098039,28.15833333,20702,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.252160251,0.255098039,27.85909091,20702,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.397885101,0.255098039,25.67758621,14820,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.375105843,0.255098039,27.38,13296,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.008474576,0.255098039,26.65,13296,1,4
"Charleston--North Charleston, SC",4.5035E+14,0.01981352,0.255098039,25.2875,22257,1,4
"Charleston--North Charleston, SC",4.5035E+14,0.254049296,0.255098039,29.95384615,22257,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.073699963,0.255098039,28.79545455,13300,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.011428571,0.255098039,28.61666667,13300,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.03033419,0.255098039,28.55,13300,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.011106175,0.255098039,28.39,13300,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.067020571,0.255098039,28.70714286,13300,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.101340817,0.255098039,29.44285714,21239,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.029093718,0.255098039,30.06111111,21239,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.248146035,0.255098039,27.94565217,21239,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.043622449,0.255098039,29.49705882,21239,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.079178209,0.255098039,29.0131579,17916,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.03219697,0.255098039,29.50555556,17916,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.008221752,0.255098039,29.33333333,17916,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.028756399,0.255098039,29.11666667,17916,1,4
"Charleston--North Charleston, SC",4.5019E+14,0.246132208,0.242588576,28.05833333,19972,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.167602996,0.242588576,26.68333333,17670,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.092664093,0.242588576,26.05,17670,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.150268054,0.242588576,28.97068966,13320,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.245170877,0.242588576,29.03,13320,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.095483871,0.242588576,29.33571429,13320,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.247193534,0.242588576,29.27380952,9482,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.08977067,0.242588576,29.48103448,9482,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.325165305,0.242588576,29.15,9482,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.102971666,0.242588576,29.52,9482,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.109807209,0.242588576,29.35,9482,1,3
"Charleston--North Charleston, SC",4.5015E+14,0.683586806,0.242588576,26.87380952,17684,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.667255075,0.242588576,26.55,11287,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.672694394,0.242588576,26.7,11287,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.590139809,0.242588576,26.47666667,11287,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.121522694,0.242588576,27.47857143,10524,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.424096889,0.242588576,27.08809524,10524,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.278878772,0.242588576,27.77916667,10524,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.06847386,0.242588576,29.978,20509,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.042811355,0.242588576,30.19736842,20509,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.242588576,0.242588576,28.814,15391,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.223828803,0.242588576,28.9125,15391,1,3
"Charleston--North Charleston, SC",4.5019E+14,0,0.242588576,0,15391,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.250884529,0.242588576,28.67857143,15391,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.275371687,0.242588576,28.64230769,15391,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.382591725,0.242588576,28.13448276,6176,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.518361582,0.242588576,27.425,6176,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.160532995,0.242588576,27.57857143,19488,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.006066734,0.242588576,28.03,15396,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.0995671,0.242588576,26.25,15396,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.054862843,0.242588576,26.95,15396,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.027314112,0.242588576,26.86428571,15396,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.157142857,0.242588576,27.65,20007,1,3
"Charleston--North Charleston, SC",4.5035E+14,0.218156369,0.242588576,26.61521739,20012,1,3
"Charleston--North Charleston, SC",4.5015E+14,0.380427046,0.242588576,26.60384615,18735,1,3
"Charleston--North Charleston, SC",4.5015E+14,0.421052632,0.242588576,0,17716,1,3
"Charleston--North Charleston, SC",4.5015E+14,0.012505042,0.242588576,26.70454546,17716,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.088073394,0.242588576,29.10217391,20277,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.108451537,0.242588576,29.73666667,20277,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.074867542,0.242588576,27.82727273,20277,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.069487022,0.242588576,29.37272727,20277,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.092848769,0.242588576,29.13947368,20277,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.080854814,0.242588576,29.89,20277,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.079356372,0.242588576,29.402,20277,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.113071009,0.242588576,28.44473684,20277,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.29320689,0.242588576,27.65434783,13885,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.265043638,0.242588576,26.45,13885,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.165654814,0.242588576,28.7125,13885,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.284638554,0.242588576,27.31666667,13885,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.222952779,0.242588576,28.39166667,13885,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.502492071,0.242588576,26.72692308,13885,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.236764706,0.242588576,27.62586207,13885,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.292532582,0.242588576,27.618,13885,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.645608629,0.242588576,26.50384615,14404,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.325471698,0.242588576,27.3,14404,1,3
"Charleston--North Charleston, SC",4.5019E+14,0.869306931,0.242588576,26.65,14404,1,3
