Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Columbus, OH",3.9049E+14,0.073724565,0.035496853,29.06914894,9223,1,4
"Columbus, OH",3.9049E+14,0.137662726,0.035496853,28.63125,9223,1,4
"Columbus, OH",3.9049E+14,0.068042387,0.035496853,28.23823529,9223,1,4
"Columbus, OH",3.9049E+14,0.033876432,0.035496853,29.45877193,9223,1,4
"Columbus, OH",3.9049E+14,0.084137931,0.035496853,30.45,10248,1,4
"Columbus, OH",3.9049E+14,0.127011008,0.035496853,30.67,10248,1,4
"Columbus, OH",3.9049E+14,0.079338142,0.035496853,29.44,10248,1,4
"Columbus, OH",3.9049E+14,0.080393765,0.035496853,28.88333333,10248,1,4
"Columbus, OH",3.9049E+14,0.046499745,0.035496853,30.55,10248,1,4
"Columbus, OH",3.9049E+14,0.092969354,0.035496853,31.07631579,10248,1,4
"Columbus, OH",3.9049E+14,0.189416419,0.035496853,28.82777778,10248,1,4
"Columbus, OH",3.9049E+14,0.002896871,0.035496853,30.025,18440,1,4
"Columbus, OH",3.9049E+14,0.003276003,0.035496853,29.26666667,18440,1,4
"Columbus, OH",3.9049E+14,0.013157895,0.035496853,28.05,18446,1,4
"Columbus, OH",3.9049E+14,0.188414512,0.035496853,27.55434783,7440,1,4
"Columbus, OH",3.9049E+14,0.047403133,0.035496853,30.04166667,7440,1,4
"Columbus, OH",3.9049E+14,0.035874439,0.035496853,29.83571429,10259,1,4
"Columbus, OH",3.9049E+14,0.031969309,0.035496853,30.2131579,10259,1,4
"Columbus, OH",3.9049E+14,0.062365591,0.035496853,0,13331,1,4
"Columbus, OH",3.9049E+14,0.07139135,0.035496853,27.71,8217,1,4
"Columbus, OH",3.9049E+14,0.021484375,0.035496853,29.32142857,12572,1,4
"Columbus, OH",3.9049E+14,0.033927947,0.035496853,30.0425,12572,1,4
"Columbus, OH",3.9049E+14,0.00834939,0.035496853,29.75,15388,1,4
"Columbus, OH",3.9049E+14,0.02153432,0.035496853,27.95,11551,1,4
"Columbus, OH",3.9049E+14,0.002208724,0.035496853,29.97857143,12322,1,4
"Columbus, OH",3.9049E+14,0.003078818,0.035496853,29.27857143,12322,1,4
"Columbus, OH",3.9049E+14,0.007769145,0.035496853,30.31666667,12322,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,29.7,12322,1,4
"Columbus, OH",3.9049E+14,0.007724493,0.035496853,29.36875,12322,1,4
"Columbus, OH",3.9049E+14,0.021069692,0.035496853,28.8625,17449,1,4
"Columbus, OH",3.9049E+14,0.004166667,0.035496853,28.65526316,17449,1,4
"Columbus, OH",3.9049E+14,0.07817811,0.035496853,27.89285714,12594,1,4
"Columbus, OH",3.9049E+14,0.004959423,0.035496853,29.56363636,18483,1,4
"Columbus, OH",3.9049E+14,0.135418428,0.035496853,27.69814815,11830,1,4
"Columbus, OH",3.9049E+14,0.162509448,0.035496853,28.03571429,11830,1,4
"Columbus, OH",3.9049E+14,0.076635846,0.035496853,28.80909091,11830,1,4
"Columbus, OH",3.9049E+14,0.062366738,0.035496853,29.36111111,11830,1,4
"Columbus, OH",3.9049E+14,0.08411215,0.035496853,27.15,8514,1,4
"Columbus, OH",3.9049E+14,0.064522233,0.035496853,28.28478261,8514,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,28.3,8514,1,4
"Columbus, OH",3.9049E+14,0.058601134,0.035496853,27.6,8514,1,4
"Columbus, OH",3.9049E+14,0.029288703,0.035496853,29.1,8514,1,4
"Columbus, OH",3.9049E+14,0.130737135,0.035496853,27.03,8514,1,4
"Columbus, OH",3.9049E+14,0.065666041,0.035496853,28.05,8514,1,4
"Columbus, OH",3.9049E+14,0.033134271,0.035496853,28.42083333,3654,1,4
"Columbus, OH",3.9049E+14,0.029821897,0.035496853,28.10454546,3654,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,30.8,13383,1,4
"Columbus, OH",3.9049E+14,0.055792846,0.035496853,29.4875,13383,1,4
"Columbus, OH",3.9049E+14,0.022720478,0.035496853,29.15666667,13383,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,30.65,16717,1,4
"Columbus, OH",3.9049E+14,0.001136364,0.035496853,30.98333333,16717,1,4
"Columbus, OH",3.9049E+14,0.006864989,0.035496853,29.91,16717,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,30.25,16717,1,4
"Columbus, OH",3.9049E+14,0.017282011,0.035496853,29.4625,16717,1,4
"Columbus, OH",3.9049E+14,0.00148368,0.035496853,30.525,16717,1,4
"Columbus, OH",3.9049E+14,0.013603473,0.035496853,30.17580645,16717,1,4
"Columbus, OH",3.9049E+14,0.001108647,0.035496853,30.75,16717,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,30.09,16717,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,29.7,16717,1,4
"Columbus, OH",3.9049E+14,0.045697329,0.035496853,30.32708333,15952,1,4
"Columbus, OH",3.9049E+14,0.073775216,0.035496853,29.41190476,15952,1,4
"Columbus, OH",3.9049E+14,0.100878675,0.035496853,27.83928571,15699,1,4
"Columbus, OH",3.9049E+14,0.018776499,0.035496853,28.59166667,5716,1,4
"Columbus, OH",3.9049E+14,0.071385603,0.035496853,28.29347826,5716,1,4
"Columbus, OH",3.9049E+14,0.148272834,0.035496853,28.15689655,5716,1,4
"Columbus, OH",3.9049E+14,0.061706918,0.035496853,29.37272727,5716,1,4
"Columbus, OH",3.9049E+14,0.069108889,0.035496853,30.07894737,5716,1,4
"Columbus, OH",3.9049E+14,0.069041016,0.035496853,29.43484849,5716,1,4
"Columbus, OH",3.9049E+14,0.061442979,0.035496853,28.14615385,5716,1,4
"Columbus, OH",3.9049E+14,0.177117264,0.035496853,28.15,9817,1,4
"Columbus, OH",3.9049E+14,0.026218763,0.035496853,28.85666667,16729,1,4
"Columbus, OH",3.9049E+14,0.078516903,0.035496853,29.025,15457,1,4
"Columbus, OH",3.9049E+14,0.033394328,0.035496853,29.92777778,15457,1,4
"Columbus, OH",3.9049E+14,0.054641762,0.035496853,28.36333333,18531,1,4
"Columbus, OH",3.9049E+14,0.014693878,0.035496853,29.36875,18531,1,4
"Columbus, OH",3.9049E+14,0.158914729,0.035496853,27.56666667,14436,1,4
"Columbus, OH",3.9049E+14,0.079207921,0.035496853,28.75,14436,1,4
"Columbus, OH",3.9049E+14,0.064,0.035496853,32.40833333,14693,1,4
"Columbus, OH",3.9049E+14,0.060402685,0.035496853,29.85,15461,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,0,15461,1,4
"Columbus, OH",3.9049E+14,0.001971091,0.035496853,30.10714286,18789,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,30.6,18789,1,4
"Columbus, OH",3.9049E+14,0,0.035496853,28.45,18789,1,4
