Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Des Moines, IA",1.9153E+14,0.303721642,0.357232535,26.9828125,19464,1,1
"Des Moines, IA",1.9153E+14,0.11652612,0.357232535,25.87195122,15889,1,1
"Des Moines, IA",1.9153E+14,0.565570036,0.357232535,26.338,15889,1,1
"Des Moines, IA",1.9153E+14,0.616957606,0.357232535,26.92727273,15889,1,1
"Des Moines, IA",1.9153E+14,0.40277743,0.357232535,27.2,24082,1,1
"Des Moines, IA",1.9153E+14,0.302706155,0.357232535,26.10344828,24082,1,1
"Des Moines, IA",1.9153E+14,0.207838359,0.357232535,27.26282051,24082,1,1
"Des Moines, IA",1.9153E+14,0.383722875,0.357232535,26.31284404,24082,1,1
"Des Moines, IA",1.9153E+14,0.413955312,0.357232535,28.175,24082,1,1
"Des Moines, IA",1.9153E+14,0.46198535,0.357232535,27.78333333,24082,1,1
"Des Moines, IA",1.9153E+14,0.335208817,0.357232535,27.93194444,15635,1,1
"Des Moines, IA",1.9153E+14,0.397473611,0.357232535,28.19583333,15635,1,1
"Des Moines, IA",1.9153E+14,0.255695726,0.357232535,27.31666667,15635,1,1
"Des Moines, IA",1.9153E+14,0.50365785,0.357232535,27.8125,15635,1,1
"Des Moines, IA",1.9153E+14,0.169834883,0.357232535,28.16333333,15635,1,1
"Des Moines, IA",1.9153E+14,0.40490279,0.357232535,28.35,15635,1,1
"Des Moines, IA",1.9153E+14,0.345807484,0.357232535,25.90681818,17171,1,1
"Des Moines, IA",1.9153E+14,0.337565445,0.357232535,26.94444444,17171,1,1
"Des Moines, IA",1.9153E+14,0.311740042,0.357232535,25.24268293,17171,1,1
"Des Moines, IA",1.9153E+14,0.469511589,0.357232535,25.62959184,17171,1,1
"Des Moines, IA",1.9153E+14,0.324595762,0.357232535,25.07142857,17171,1,1
"Des Moines, IA",1.9153E+14,0.506669341,0.357232535,24.41458333,17171,1,1
"Des Moines, IA",1.9153E+14,0.285237055,0.357232535,26.9575,17171,1,1
"Des Moines, IA",1.9153E+14,0.484636596,0.357232535,24.09651163,17171,1,1
"Des Moines, IA",1.9153E+14,0.468779299,0.357232535,27.83095238,17943,1,1
"Des Moines, IA",1.9153E+14,0.156034483,0.357232535,29.025,17943,1,1
"Des Moines, IA",1.9153E+14,0.253846898,0.357232535,28.18095238,17943,1,1
"Des Moines, IA",1.9153E+14,0.391193182,0.357232535,28.55833333,17943,1,1
"Des Moines, IA",1.9153E+14,0.475877193,0.357232535,29.0637931,17943,1,1
"Des Moines, IA",1.9153E+14,0.232777233,0.357232535,26.98888889,20763,1,1
"Des Moines, IA",1.9153E+14,0.347637795,0.357232535,26.74047619,20763,1,1
"Des Moines, IA",1.9153E+14,0.33171841,0.357232535,29.01511628,20763,1,1
"Des Moines, IA",1.9153E+14,0.378189793,0.357232535,28.22142857,20763,1,1
"Des Moines, IA",1.9153E+14,0.037211099,0.357232535,27.55422535,20763,1,1
"Des Moines, IA",1.9153E+14,0.294302943,0.357232535,26.64705882,20763,1,1
"Des Moines, IA",1.9153E+14,0.407296164,0.357232535,26.56746032,20763,1,1
"Des Moines, IA",1.9153E+14,0.309730849,0.357232535,28.77671233,23582,1,1
"Des Moines, IA",1.9153E+14,0.283778552,0.357232535,26.86081081,23582,1,1
"Des Moines, IA",1.9153E+14,0.165768722,0.357232535,28.96333333,20003,1,1
"Des Moines, IA",1.9153E+14,0.550737887,0.357232535,29.64705882,20003,1,1
"Des Moines, IA",1.9153E+14,0.021993239,0.357232535,28.99311927,20003,1,1
"Des Moines, IA",1.9153E+14,0.100131579,0.357232535,29.03282828,20003,1,1
"Des Moines, IA",1.9153E+14,0.615506329,0.357232535,29.44,20003,1,1
"Des Moines, IA",1.9153E+14,0.017195767,0.357232535,27.35243902,13606,1,1
"Des Moines, IA",1.9153E+14,0.127240879,0.357232535,29.46132076,13606,1,1
"Des Moines, IA",1.9153E+14,0.487804878,0.357232535,27.055,13606,1,1
"Des Moines, IA",1.9153E+14,0.013949615,0.357232535,25.81190476,13606,1,1
"Des Moines, IA",1.9153E+14,0.218808387,0.357232535,26.38333333,13606,1,1
"Des Moines, IA",1.9153E+14,0.010735712,0.357232535,26.74166667,13606,1,1
"Des Moines, IA",1.9153E+14,0.054242104,0.357232535,26.8692,13606,1,1
"Des Moines, IA",1.9153E+14,0.147952355,0.357232535,25.44655172,13606,1,1
"Des Moines, IA",1.9153E+14,0.027544466,0.357232535,27.42027027,13606,1,1
"Des Moines, IA",1.9153E+14,0.038413436,0.357232535,27.44230769,13606,1,1
"Des Moines, IA",1.9153E+14,0.017708333,0.357232535,25.665,13606,1,1
"Des Moines, IA",1.9153E+14,0.123768737,0.357232535,26.84333333,13606,1,1
"Des Moines, IA",1.9153E+14,0.038024321,0.357232535,25.98095238,13606,1,1
"Des Moines, IA",1.9153E+14,0.008735175,0.357232535,25.73688525,13606,1,1
"Des Moines, IA",1.9153E+14,0.197937765,0.357232535,27.32608696,13606,1,1
"Des Moines, IA",1.9153E+14,0.067023285,0.357232535,27.61666667,13606,1,1
"Des Moines, IA",1.9153E+14,0.275897436,0.357232535,26.16481482,13606,1,1
"Des Moines, IA",1.9153E+14,0.401071204,0.357232535,27.03333333,13606,1,1
"Des Moines, IA",1.9153E+14,0.244216342,0.357232535,27.16014493,13606,1,1
"Des Moines, IA",1.9153E+14,0.109795107,0.357232535,27.062,13606,1,1
"Des Moines, IA",1.9153E+14,0.082610613,0.357232535,28.15344828,15398,1,1
"Des Moines, IA",1.9153E+14,0.114837769,0.357232535,27.59166667,15398,1,1
"Des Moines, IA",1.9153E+14,0.170517241,0.357232535,28.05384615,15398,1,1
"Des Moines, IA",1.9153E+14,0.105555556,0.357232535,28.87083333,15398,1,1
"Des Moines, IA",1.9153E+14,0.017288298,0.357232535,27.65,15398,1,1
"Des Moines, IA",1.9153E+14,0.298526944,0.357232535,28.125,15398,1,1
"Des Moines, IA",1.9153E+14,0.116451524,0.357232535,29.03666667,15398,1,1
"Des Moines, IA",1.9153E+14,0.38829376,0.357232535,27.62142857,21799,1,1
"Des Moines, IA",1.9153E+14,0.241513996,0.357232535,27.35833333,21799,1,1
"Des Moines, IA",1.9153E+14,0.080032906,0.357232535,27.36052632,21799,1,1
"Des Moines, IA",1.9153E+14,0.523929076,0.357232535,25.82037037,21799,1,1
"Des Moines, IA",1.9153E+14,0.598622417,0.357232535,26.47222222,21799,1,1
"Des Moines, IA",1.9153E+14,0.41568752,0.357232535,29.00833333,21799,1,1
"Des Moines, IA",1.9153E+14,0.358911272,0.357232535,27.23490566,21799,1,1
"Des Moines, IA",1.9153E+14,0.523858707,0.357232535,27.43571429,21799,1,1
"Des Moines, IA",1.9153E+14,0.296122802,0.357232535,26.21393443,21799,1,1
"Des Moines, IA",1.9153E+14,0.375767918,0.357232535,26.49,21799,1,1
"Des Moines, IA",1.9153E+14,0.771981801,0.357232535,28.03780488,21799,1,1
"Des Moines, IA",1.9153E+14,0.322751323,0.357232535,24.7483871,21799,1,1
"Des Moines, IA",1.9153E+14,0.368497971,0.357232535,25.27176166,21799,1,1
"Des Moines, IA",1.9153E+14,0.349288935,0.357232535,28.11153846,21799,1,1
"Des Moines, IA",1.9153E+14,0.645141115,0.357232535,26.75555556,14376,1,1
"Des Moines, IA",1.9153E+14,0.404934688,0.357232535,28.60833333,15400,1,1
"Des Moines, IA",1.9153E+14,0.498567335,0.357232535,29.85666667,15400,1,1
"Des Moines, IA",1.9153E+14,0.092628329,0.357232535,28.375,15400,1,1
"Des Moines, IA",1.9153E+14,0.183449954,0.357232535,29.88658537,15400,1,1
"Des Moines, IA",1.9153E+14,0.234914611,0.357232535,28.525,15400,1,1
"Des Moines, IA",1.9153E+14,0.19047619,0.357232535,27.39444444,15400,1,1
"Des Moines, IA",1.9153E+14,0.192987377,0.357232535,28.44411765,15400,1,1
"Des Moines, IA",1.9153E+14,0.169464848,0.357232535,27.46764706,15400,1,1
"Des Moines, IA",1.9153E+14,0.388212507,0.357232535,28.13823529,15400,1,1
"Des Moines, IA",1.9153E+14,0.457873621,0.357232535,28.5875,15400,1,1
