Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Flint, MI",2.6049E+14,0.375982962,0.481273764,26.67692308,14344,1,2
"Flint, MI",2.6049E+14,0.360548394,0.481273764,26.68913044,14344,1,2
"Flint, MI",2.6049E+14,0.276283619,0.481273764,27.33333333,14344,1,2
"Flint, MI",2.6049E+14,0.281667978,0.481273764,27.36666667,14344,1,2
"Flint, MI",2.6049E+14,0.230744231,0.481273764,25.75769231,14346,1,2
"Flint, MI",2.6049E+14,0.29485936,0.481273764,25.70263158,14346,1,2
"Flint, MI",2.6049E+14,0.250712251,0.481273764,25.75,14346,1,2
"Flint, MI",2.6049E+14,0.370641562,0.481273764,25.80714286,14346,1,2
"Flint, MI",2.6049E+14,0.654186521,0.481273764,25.32777778,7949,1,2
"Flint, MI",2.6049E+14,0.51369863,0.481273764,26.04047619,7949,1,2
"Flint, MI",2.6049E+14,0.700362647,0.481273764,25.55,7949,1,2
"Flint, MI",2.6049E+14,0.498843128,0.481273764,25.71,7949,1,2
"Flint, MI",2.6049E+14,0.632748538,0.481273764,25.22058824,7949,1,2
"Flint, MI",2.6049E+14,0.485115766,0.481273764,25.85,7949,1,2
"Flint, MI",2.6049E+14,0.612163244,0.481273764,25.00555556,7949,1,2
"Flint, MI",2.6049E+14,0.531234129,0.481273764,26.43,7949,1,2
"Flint, MI",2.6049E+14,0.628506444,0.481273764,26.29545455,7949,1,2
"Flint, MI",2.6049E+14,0.65937612,0.481273764,25.01666667,7949,1,2
"Flint, MI",2.6049E+14,0.087292818,0.481273764,27.82777778,16142,1,2
"Flint, MI",2.6049E+14,0.025430681,0.481273764,27.3125,16142,1,2
"Flint, MI",2.6049E+14,0.364982909,0.481273764,25.63695652,16142,1,2
"Flint, MI",2.6049E+14,0.244444444,0.481273764,24.67,16142,1,2
"Flint, MI",2.6049E+14,0.066918715,0.481273764,27.025,16142,1,2
"Flint, MI",2.6049E+14,0.028867506,0.481273764,26.76538462,16142,1,2
"Flint, MI",2.6049E+14,0.063099445,0.481273764,26.425,16142,1,2
"Flint, MI",2.6049E+14,0.467270048,0.481273764,26.48913044,6927,1,2
"Flint, MI",2.6049E+14,0.489848368,0.481273764,27.46470588,6927,1,2
"Flint, MI",2.6049E+14,0.48576955,0.481273764,25.87666667,6927,1,2
"Flint, MI",2.6049E+14,0.544023979,0.481273764,25.70416667,6927,1,2
"Flint, MI",2.6049E+14,0.403204272,0.481273764,26.98333333,6927,1,2
"Flint, MI",2.6049E+14,0.590419317,0.481273764,25.84411765,6927,1,2
"Flint, MI",2.6049E+14,0.528401998,0.481273764,25.64285714,6927,1,2
"Flint, MI",2.6049E+14,0.501490313,0.481273764,27.818,15120,1,2
"Flint, MI",2.6049E+14,0.35270576,0.481273764,27.42307692,15120,1,2
"Flint, MI",2.6049E+14,0.608146332,0.481273764,27.4125,15120,1,2
"Flint, MI",2.6049E+14,0.446906475,0.481273764,26.94,15120,1,2
"Flint, MI",2.6049E+14,0.446539875,0.481273764,26.96785714,15120,1,2
"Flint, MI",2.6049E+14,0.429257875,0.481273764,27.26923077,15120,1,2
"Flint, MI",2.6049E+14,0.674226804,0.481273764,26.92272727,15120,1,2
"Flint, MI",2.6049E+14,0.507085301,0.481273764,26.33235294,15120,1,2
"Flint, MI",2.6049E+14,0.499560092,0.481273764,27.022,15120,1,2
"Flint, MI",2.6049E+14,0.522008253,0.481273764,27.218,15120,1,2
"Flint, MI",2.6049E+14,0.414,0.481273764,27.1,15120,1,2
"Flint, MI",2.6049E+14,0.416870416,0.481273764,26.46578947,15120,1,2
"Flint, MI",2.6049E+14,0.451215154,0.481273764,26.614,15120,1,2
"Flint, MI",2.6049E+14,0.546952939,0.481273764,26.26578947,15120,1,2
"Flint, MI",2.6049E+14,0.5094172,0.481273764,26.606,15120,1,2
"Flint, MI",2.6049E+14,0.559888579,0.481273764,26.60238095,15120,1,2
"Flint, MI",2.6049E+14,0.572332349,0.481273764,26.95454546,15120,1,2
"Flint, MI",2.6049E+14,0.614494212,0.481273764,26.48157895,15120,1,2
"Flint, MI",2.6049E+14,0.577669055,0.481273764,26.24615385,15120,1,2
"Flint, MI",2.6049E+14,0.561942257,0.481273764,26.50555556,15120,1,2
"Flint, MI",2.6049E+14,0.582978723,0.481273764,26.32272727,15120,1,2
"Flint, MI",2.6049E+14,0.434633309,0.481273764,27.00294118,15120,1,2
"Flint, MI",2.6049E+14,0.486256545,0.481273764,27.105,15120,1,2
"Flint, MI",2.6049E+14,0.500229568,0.481273764,26.72777778,15120,1,2
"Flint, MI",2.6049E+14,0.466970387,0.481273764,26.88043478,15120,1,2
"Flint, MI",2.6049E+14,0.559883358,0.481273764,26.90238095,15120,1,2
"Flint, MI",2.6049E+14,0.679848449,0.481273764,25.445,15120,1,2
"Flint, MI",2.6049E+14,0.750923361,0.481273764,25.81,15120,1,2
"Flint, MI",2.6049E+14,0.502162719,0.481273764,26.83,15120,1,2
"Flint, MI",2.6049E+14,0.497503404,0.481273764,26.84666667,15120,1,2
"Flint, MI",2.6049E+14,0.526254647,0.481273764,26.58,15120,1,2
"Flint, MI",2.6049E+14,0.561142857,0.481273764,27.0673913,15120,1,2
"Flint, MI",2.6049E+14,0.505317129,0.481273764,26.27083333,15120,1,2
"Flint, MI",2.6049E+14,0.602646503,0.481273764,26.18043478,15120,1,2
"Flint, MI",2.6049E+14,0.606318577,0.481273764,26.61956522,15120,1,2
"Flint, MI",2.6049E+14,0.518138512,0.481273764,26.814,14098,1,2
"Flint, MI",2.6049E+14,0.480012947,0.481273764,26.81785714,14098,1,2
"Flint, MI",2.6049E+14,0.530238862,0.481273764,26.21,14098,1,2
"Flint, MI",2.6049E+14,0.514086897,0.481273764,26.62857143,14098,1,2
"Flint, MI",2.6049E+14,0.437243526,0.481273764,26.36818182,14098,1,2
"Flint, MI",2.6049E+14,0.52140884,0.481273764,26.71923077,14098,1,2
"Flint, MI",2.6049E+14,0.543126239,0.481273764,26.038,14098,1,2
"Flint, MI",2.6049E+14,0.46273851,0.481273764,27.53888889,15124,1,2
"Flint, MI",2.6049E+14,0.336134454,0.481273764,27.66666667,15124,1,2
"Flint, MI",2.6049E+14,0.53088042,0.481273764,27.83,15124,1,2
"Flint, MI",2.6049E+14,0.55027027,0.481273764,26.7452381,15124,1,2
"Flint, MI",2.6049E+14,0.401517067,0.481273764,27.59117647,15124,1,2
"Flint, MI",2.6049E+14,0.328379674,0.481273764,27.85,15124,1,2
"Flint, MI",2.6049E+14,0.343779904,0.481273764,27.99210526,15124,1,2
"Flint, MI",2.6049E+14,0.394316001,0.481273764,27.53367347,15124,1,2
"Flint, MI",2.6049E+14,0.481925784,0.481273764,27.66935484,15124,1,2
"Flint, MI",2.6049E+14,0.441654661,0.481273764,27.48181818,15124,1,2
"Flint, MI",2.6049E+14,0.3026658,0.481273764,27.9625,15124,1,2
"Flint, MI",2.6049E+14,0.653979239,0.481273764,23.75,7702,1,2
"Flint, MI",2.6049E+14,0.309747213,0.481273764,25.81666667,7702,1,2
"Flint, MI",2.6049E+14,0.14206709,0.481273764,26.53125,7702,1,2
"Flint, MI",2.6049E+14,0.433014354,0.481273764,25.60357143,7702,1,2
"Flint, MI",2.6049E+14,0.437884379,0.481273764,24.25,7702,1,2
"Flint, MI",2.6049E+14,0.241807668,0.481273764,25.7748,7702,1,2
"Flint, MI",2.6049E+14,0.326208178,0.481273764,25.99666667,12310,1,2
"Flint, MI",2.6049E+14,0.353153153,0.481273764,26.73333333,12310,1,2
"Flint, MI",2.6049E+14,0.48359831,0.481273764,27.00217391,12310,1,2
"Flint, MI",2.6049E+14,0.266301036,0.481273764,26.85,12310,1,2
"Flint, MI",2.6049E+14,0.223416686,0.481273764,27.025,12310,1,2
"Flint, MI",2.6049E+14,0.294492877,0.481273764,27.055,12310,1,2
"Flint, MI",2.6049E+14,0.515151515,0.481273764,25.22272727,12310,1,2
"Flint, MI",2.6049E+14,0.65162312,0.481273764,25.20328467,12310,1,2
"Flint, MI",2.6049E+14,0.40844313,0.481273764,26.325,12310,1,2
"Flint, MI",2.6049E+14,0.50965938,0.481273764,26.21111111,11290,1,2
"Flint, MI",2.6049E+14,0.484426973,0.481273764,25.95,11290,1,2
"Flint, MI",2.6049E+14,0.487079092,0.481273764,26.40652174,11290,1,2
"Flint, MI",2.6049E+14,0.434519812,0.481273764,25.65,11290,1,2
"Flint, MI",2.6049E+14,0.342884432,0.481273764,26.32826087,11290,1,2
"Flint, MI",2.6049E+14,0.423388653,0.481273764,26.85,11290,1,2
"Flint, MI",2.6049E+14,0.359029126,0.481273764,27.52391304,11290,1,2
"Flint, MI",2.6049E+14,0.388168239,0.481273764,26.66304348,11290,1,2
"Flint, MI",2.6049E+14,0.504809251,0.481273764,26.27857143,11290,1,2
"Flint, MI",2.6049E+14,0.557697121,0.481273764,25.97941177,11290,1,2
"Flint, MI",2.6049E+14,0.45903906,0.481273764,26.47592593,11290,1,2
"Flint, MI",2.6049E+14,0.412018007,0.481273764,26.45416667,11290,1,2
"Flint, MI",2.6049E+14,0.36499527,0.481273764,26.38809524,11290,1,2
"Flint, MI",2.6049E+14,0.662669683,0.481273764,25.80714286,11290,1,2
"Flint, MI",2.6049E+14,0.424030715,0.481273764,26.90616438,11290,1,2
"Flint, MI",2.6049E+14,0.560077992,0.481273764,27.18333333,11290,1,2
"Flint, MI",2.6049E+14,0.745624271,0.481273764,24.33666667,14364,1,2
"Flint, MI",2.6049E+14,0.220115774,0.481273764,27.24677419,14364,1,2
"Flint, MI",2.6049E+14,0.435880399,0.481273764,26.75833333,14364,1,2
"Flint, MI",2.6049E+14,0.58197832,0.481273764,26.39285714,14364,1,2
"Flint, MI",2.6049E+14,0.565895503,0.481273764,26.39705882,14364,1,2
"Flint, MI",2.6049E+14,0.635404195,0.481273764,24.46818182,10784,1,2
"Flint, MI",2.6049E+14,0.560416667,0.481273764,25.64736842,10784,1,2
"Flint, MI",2.6049E+14,0.351551198,0.481273764,26.92407407,10276,1,2
"Flint, MI",2.6049E+14,0.385892798,0.481273764,26.74811321,10276,1,2
"Flint, MI",2.6049E+14,0.446619217,0.481273764,26.99923077,10276,1,2
"Flint, MI",2.6049E+14,0.466054224,0.481273764,26.845,10276,1,2
"Flint, MI",2.6049E+14,0.469968841,0.481273764,27.19390244,10276,1,2
"Flint, MI",2.6049E+14,0.532092499,0.481273764,26.575,10276,1,2
"Flint, MI",2.6049E+14,0.366057276,0.481273764,26.88023256,10276,1,2
"Flint, MI",2.6049E+14,0.380876934,0.481273764,27.40166667,10276,1,2
"Flint, MI",2.6049E+14,0.667340067,0.481273764,25.67631579,11301,1,2
"Flint, MI",2.6049E+14,0.449266626,0.481273764,26.61363636,11301,1,2
"Flint, MI",2.6049E+14,0.52034165,0.481273764,26.40789474,11301,1,2
"Flint, MI",2.6049E+14,0.539200415,0.481273764,25.83823529,11301,1,2
"Flint, MI",2.6049E+14,0.522723254,0.481273764,26.45,11301,1,2
"Flint, MI",2.6049E+14,0.528945555,0.481273764,27.15833333,11301,1,2
"Flint, MI",2.6049E+14,0.51185567,0.481273764,26.02058824,11301,1,2
"Flint, MI",2.6049E+14,0.556400507,0.481273764,26.23333333,11301,1,2
"Flint, MI",2.6049E+14,0.410460686,0.481273764,27.17857143,11301,1,2
"Flint, MI",2.6049E+14,0.377224199,0.481273764,26.25588235,11301,1,2
"Flint, MI",2.6049E+14,0.466636508,0.481273764,26.86,11301,1,2
"Flint, MI",2.6049E+14,0.612773981,0.481273764,25.75,11301,1,2
"Flint, MI",2.6049E+14,0.572309151,0.481273764,25.85,11301,1,2
"Flint, MI",2.6049E+14,0.48255814,0.481273764,26.235,9769,1,2
"Flint, MI",2.6049E+14,0.671582655,0.481273764,25.79736842,9769,1,2
"Flint, MI",2.6049E+14,0.692460317,0.481273764,25.72894737,9769,1,2
"Flint, MI",2.6049E+14,0.629002937,0.481273764,25.12666667,12075,1,2
"Flint, MI",2.6049E+14,0.538422564,0.481273764,25.55,12075,1,2
"Flint, MI",2.6049E+14,0.546298343,0.481273764,25.28888889,12075,1,2
"Flint, MI",2.6049E+14,0.565638767,0.481273764,25.46,12075,1,2
"Flint, MI",2.6049E+14,0.55243553,0.481273764,24.7,12075,1,2
"Flint, MI",2.6049E+14,0.506746627,0.481273764,25.46666667,12075,1,2
"Flint, MI",2.6049E+14,0.583685801,0.481273764,24.9125,12075,1,2
"Flint, MI",2.6049E+14,0.782828283,0.481273764,23.625,12075,1,2
"Flint, MI",2.6049E+14,0.358772117,0.481273764,25.73636364,12075,1,2
"Flint, MI",2.6049E+14,0.475666326,0.481273764,26.125,12075,1,2
"Flint, MI",2.6049E+14,0.327660655,0.481273764,27.95588235,14124,1,2
"Flint, MI",2.6049E+14,0.367995019,0.481273764,26.57666667,14124,1,2
"Flint, MI",2.6049E+14,0.483359079,0.481273764,26.903125,14124,1,2
"Flint, MI",2.6049E+14,0.496634256,0.481273764,27.00294118,14124,1,2
"Flint, MI",2.6049E+14,0.473377704,0.481273764,27.87857143,14124,1,2
"Flint, MI",2.6049E+14,0.377705083,0.481273764,26.67631579,14124,1,2
"Flint, MI",2.6049E+14,0.368406889,0.481273764,26.525,14124,1,2
"Flint, MI",2.6049E+14,0.435046729,0.481273764,26.595,14124,1,2
"Flint, MI",2.6049E+14,0.503172279,0.481273764,26.31842105,14124,1,2
"Flint, MI",2.6049E+14,0.520949382,0.481273764,25.91842105,14124,1,2
"Flint, MI",2.6049E+14,0.456527739,0.481273764,26.65666667,14124,1,2
"Flint, MI",2.6049E+14,0.439705882,0.481273764,26.02692308,14124,1,2
"Flint, MI",2.6049E+14,0.602863822,0.481273764,25.79,14124,1,2
"Flint, MI",2.6049E+14,0.515234293,0.481273764,26.6,14124,1,2
"Flint, MI",2.6049E+14,0.432758621,0.481273764,26.05714286,15404,1,2
"Flint, MI",2.6049E+14,0.525449675,0.481273764,26.55,15404,1,2
"Flint, MI",2.6049E+14,0.43419062,0.481273764,26.45833333,15404,1,2
"Flint, MI",2.6049E+14,0.686980609,0.481273764,25.15769231,15404,1,2
"Flint, MI",2.6049E+14,0.574587264,0.481273764,25.14285714,15404,1,2
"Flint, MI",2.6049E+14,0.436881559,0.481273764,25.17,15404,1,2
"Flint, MI",2.6049E+14,0.631024096,0.481273764,26.13,15404,1,2
"Flint, MI",2.6049E+14,0.555,0.481273764,25.19285714,15404,1,2
"Flint, MI",2.6049E+14,0.548327138,0.481273764,25.275,15404,1,2
"Flint, MI",2.6049E+14,0.461507618,0.481273764,26.55,15404,1,2
"Flint, MI",2.6049E+14,0.288034865,0.481273764,26.39166667,15404,1,2
"Flint, MI",2.6049E+14,0.433739528,0.481273764,26.32272727,15404,1,2
"Flint, MI",2.6049E+14,0.440683761,0.481273764,25.38333333,15404,1,2
"Flint, MI",2.6049E+14,0.465089216,0.481273764,26.61,15404,1,2
"Flint, MI",2.6049E+14,0.623986486,0.481273764,25.65833333,15404,1,2
"Flint, MI",2.6049E+14,0.475105189,0.481273764,25.59285714,15404,1,2
"Flint, MI",2.6049E+14,0.496472959,0.481273764,25.68846154,15404,1,2
"Flint, MI",2.6049E+14,0.523499907,0.481273764,26.7606383,11573,1,2
"Flint, MI",2.6049E+14,0.508099022,0.481273764,26.59666667,11573,1,2
"Flint, MI",2.6049E+14,0.571014816,0.481273764,26.49390244,11573,1,2
"Flint, MI",2.6049E+14,0.497335025,0.481273764,26.52777778,11573,1,2
