Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Greenville, SC",4.5045E+14,0.35016835,0.290263599,30.05,14892,1,4
"Greenville, SC",4.5045E+14,0.206987506,0.290263599,29.77989691,17453,1,4
"Greenville, SC",4.5045E+14,0.02070207,0.290263599,30.725,12121,1,4
"Greenville, SC",4.5077E+14,0.269707883,0.290263599,27.74895833,2420,1,4
"Greenville, SC",4.5077E+14,0.148837209,0.290263599,28.61666667,14453,1,4
"Greenville, SC",4.5045E+14,0.121258871,0.290263599,26.87857143,13945,1,4
"Greenville, SC",4.5045E+14,0.16746273,0.290263599,28.14,9618,1,4
"Greenville, SC",4.5045E+14,0.486639493,0.290263599,26.96578947,9618,1,4
"Greenville, SC",4.5045E+14,0.087434985,0.290263599,29.27962963,9919,1,4
"Greenville, SC",4.5077E+14,0.031415929,0.290263599,31.55,16107,1,4
"Greenville, SC",4.5077E+14,0.014965259,0.290263599,31.575,16107,1,4
"Greenville, SC",4.5077E+14,0.107049608,0.290263599,29.95,16107,1,4
"Greenville, SC",4.5077E+14,0.168478261,0.290263599,26.05,16107,1,4
"Greenville, SC",4.5077E+14,0.006430868,0.290263599,28.35,3052,1,4
"Greenville, SC",4.5083E+14,0.042328042,0.290263599,28.58333333,17398,1,4
"Greenville, SC",4.5045E+14,0.429088594,0.398274527,27.17925764,17664,1,1
"Greenville, SC",4.5045E+14,0.289085307,0.398274527,27.18373494,17664,1,1
"Greenville, SC",4.5045E+14,0.40036005,0.398274527,27.20811966,17664,1,1
"Greenville, SC",4.5045E+14,0.51973791,0.398274527,25.60397653,17664,1,1
"Greenville, SC",4.5045E+14,0.328896939,0.398274527,27.05060241,17664,1,1
"Greenville, SC",4.5045E+14,0.443921842,0.398274527,26.14003322,17664,1,1
"Greenville, SC",4.5045E+14,0.235842541,0.398274527,26.74166667,13825,1,1
"Greenville, SC",4.5045E+14,0.449599623,0.398274527,24.72021277,13825,1,1
"Greenville, SC",4.5045E+14,0.177173985,0.398274527,27.20230769,13825,1,1
"Greenville, SC",4.5045E+14,0.181183317,0.398274527,28.31086957,13825,1,1
"Greenville, SC",4.5045E+14,0.469486824,0.398274527,26.37631579,13825,1,1
"Greenville, SC",4.5045E+14,0.184848936,0.398274527,27.85666667,13825,1,1
"Greenville, SC",4.5045E+14,0.466202399,0.398274527,26.12869634,13825,1,1
"Greenville, SC",4.5045E+14,0.456687732,0.398274527,24.97944515,13825,1,1
"Greenville, SC",4.5045E+14,0.273995201,0.398274527,26.49482759,13825,1,1
"Greenville, SC",4.5045E+14,0.579631717,0.398274527,24.92556818,13825,1,1
"Greenville, SC",4.5045E+14,0.412743884,0.398274527,26.16403509,13825,1,1
"Greenville, SC",4.5045E+14,0.453685606,0.398274527,25.34751244,13825,1,1
"Greenville, SC",4.5045E+14,0.247120295,0.398274527,28.2175,13825,1,1
"Greenville, SC",4.5045E+14,0.24545798,0.398274527,27.3703125,13825,1,1
"Greenville, SC",4.5045E+14,0.283403928,0.398274527,26.225,13825,1,1
"Greenville, SC",4.5045E+14,0.516636986,0.398274527,24.92,13825,1,1
"Greenville, SC",4.5045E+14,0.598390882,0.398274527,24.65,13825,1,1
"Greenville, SC",4.5045E+14,0.485322738,0.398274527,25.36490683,13825,1,1
"Greenville, SC",4.5045E+14,0.306493781,0.398274527,25.96488095,13825,1,1
"Greenville, SC",4.5045E+14,0.139534884,0.398274527,26.16111111,13825,1,1
"Greenville, SC",4.5045E+14,0.088316722,0.398274527,29.61,13825,1,1
"Greenville, SC",4.5045E+14,0.204447439,0.398274527,27.70588235,13825,1,1
"Greenville, SC",4.5045E+14,0.348563673,0.398274527,26.46166667,13825,1,1
"Greenville, SC",4.5045E+14,0.268758823,0.398274527,27.73648649,13825,1,1
"Greenville, SC",4.5045E+14,0.518716578,0.398274527,24.65,13825,1,1
"Greenville, SC",4.5045E+14,0.207054674,0.398274527,27.11153846,13825,1,1
"Greenville, SC",4.5045E+14,0.35689415,0.398274527,28.07307692,13825,1,1
"Greenville, SC",4.5045E+14,0.434603886,0.398274527,25.24375,13825,1,1
"Greenville, SC",4.5045E+14,0.079931973,0.398274527,28.67,13825,1,1
"Greenville, SC",4.5045E+14,0.562002616,0.398274527,25.75320285,13825,1,1
"Greenville, SC",4.5045E+14,0.616674097,0.398274527,24.98191489,13825,1,1
"Greenville, SC",4.5045E+14,0.296427034,0.398274527,27.73095238,13825,1,1
"Greenville, SC",4.5045E+14,0.288133962,0.398274527,27.42755102,13825,1,1
"Greenville, SC",4.5045E+14,0.265247859,0.398274527,26.88947368,13825,1,1
"Greenville, SC",4.5045E+14,0.04109589,0.398274527,29.00416667,13825,1,1
"Greenville, SC",4.5045E+14,0.484186166,0.398274527,27.07222222,16898,1,1
"Greenville, SC",4.5045E+14,0.307951807,0.398274527,27.31923077,16898,1,1
"Greenville, SC",4.5045E+14,0.279491256,0.398274527,28.46627907,16898,1,1
"Greenville, SC",4.5045E+14,0.462068306,0.398274527,26.77553192,16898,1,1
"Greenville, SC",4.5045E+14,0.284302811,0.398274527,28.71666667,16898,1,1
"Greenville, SC",4.5045E+14,0.294532726,0.398274527,27.73902439,16898,1,1
"Greenville, SC",4.5045E+14,0.382382584,0.398274527,25.94318182,16898,1,1
"Greenville, SC",4.5045E+14,0.345358888,0.398274527,27.83857143,16898,1,1
"Greenville, SC",4.5045E+14,0.445862336,0.398274527,26.66403509,16898,1,1
"Greenville, SC",4.5045E+14,0.374659272,0.398274527,27.13444444,16898,1,1
"Greenville, SC",4.5045E+14,0.252516779,0.398274527,27.27727273,16898,1,1
"Greenville, SC",4.5045E+14,0.291387313,0.398274527,28.38428571,16898,1,1
"Greenville, SC",4.5045E+14,0.452309209,0.398274527,27.43452381,16898,1,1
"Greenville, SC",4.5045E+14,0.426535088,0.398274527,25.5990566,16898,1,1
"Greenville, SC",4.5045E+14,0.350604665,0.398274527,27.89772727,16898,1,1
"Greenville, SC",4.5045E+14,0.182634182,0.398274527,28.57380952,16898,1,1
"Greenville, SC",4.5045E+14,0.232602938,0.398274527,26.65,16898,1,1
"Greenville, SC",4.5045E+14,0.256729351,0.398274527,27.79583333,16898,1,1
"Greenville, SC",4.5045E+14,0.433962264,0.398274527,28.89210526,17922,1,1
"Greenville, SC",4.5045E+14,0.147899215,0.398274527,30.69924242,17922,1,1
"Greenville, SC",4.5045E+14,0.125137078,0.398274527,29.60986395,17922,1,1
"Greenville, SC",4.5045E+14,0.291417166,0.398274527,29.15,17922,1,1
"Greenville, SC",4.5045E+14,0.360246322,0.398274527,28.95,17922,1,1
"Greenville, SC",4.5045E+14,0.376214307,0.398274527,28.88125,17922,1,1
"Greenville, SC",4.5045E+14,0.283073131,0.398274527,28.30454546,17922,1,1
"Greenville, SC",4.5045E+14,0.346762286,0.398274527,28.72142857,17922,1,1
"Greenville, SC",4.5045E+14,0.437131971,0.398274527,28.5131579,17922,1,1
"Greenville, SC",4.5045E+14,0.551724138,0.398274527,27.05,17922,1,1
"Greenville, SC",4.5045E+14,0.39805668,0.398274527,28.52586207,17922,1,1
"Greenville, SC",4.5045E+14,0.182209469,0.398274527,28.866,17922,1,1
"Greenville, SC",4.5045E+14,0.477386935,0.398274527,28.11470588,17922,1,1
"Greenville, SC",4.5045E+14,0.42804428,0.398274527,28.29285714,17922,1,1
"Greenville, SC",4.5045E+14,0.201393023,0.398274527,30.48243243,17922,1,1
"Greenville, SC",4.5045E+14,0.408102767,0.398274527,28.15769231,17922,1,1
"Greenville, SC",4.5045E+14,0.425426527,0.398274527,27.80263158,17922,1,1
"Greenville, SC",4.5045E+14,0.36971831,0.398274527,27.986,17922,1,1
"Greenville, SC",4.5045E+14,0.221018418,0.398274527,28.9404,17922,1,1
"Greenville, SC",4.5045E+14,0.44971966,0.398274527,27.70714286,17922,1,1
"Greenville, SC",4.5045E+14,0.347529348,0.398274527,28.81666667,17922,1,1
"Greenville, SC",4.5045E+14,0.44315197,0.398274527,29.15,17922,1,1
"Greenville, SC",4.5045E+14,0.141264976,0.398274527,29.84746835,17922,1,1
"Greenville, SC",4.5045E+14,0.347925282,0.398274527,29.175,17922,1,1
"Greenville, SC",4.5045E+14,0.407748122,0.398274527,26.86920904,17412,1,1
"Greenville, SC",4.5045E+14,0.358646794,0.398274527,26.10263158,17412,1,1
"Greenville, SC",4.5045E+14,0.549780088,0.398274527,25.37,17412,1,1
"Greenville, SC",4.5045E+14,0.100424219,0.398274527,29.45526316,17412,1,1
"Greenville, SC",4.5045E+14,0.494928625,0.398274527,25.85416667,17412,1,1
"Greenville, SC",4.5045E+14,0.073338805,0.398274527,28.95982456,17412,1,1
"Greenville, SC",4.5045E+14,0.363264352,0.398274527,27.45526316,17412,1,1
"Greenville, SC",4.5045E+14,0.477802152,0.398274527,25.83139535,17412,1,1
"Greenville, SC",4.5045E+14,0.571060966,0.398274527,25.54545455,17412,1,1
"Greenville, SC",4.5045E+14,0.168156834,0.398274527,29.01693548,17412,1,1
"Greenville, SC",4.5045E+14,0.444917454,0.398274527,26.15243902,17412,1,1
"Greenville, SC",4.5045E+14,0.627879447,0.398274527,24.67394366,17412,1,1
"Greenville, SC",4.5045E+14,0.638829787,0.398274527,24.78333333,17412,1,1
"Greenville, SC",4.5045E+14,0.41541496,0.398274527,25.37142857,17412,1,1
"Greenville, SC",4.5045E+14,0.569255313,0.398274527,24.84736842,17412,1,1
"Greenville, SC",4.5045E+14,0.303091706,0.398274527,25.75722022,15888,1,1
"Greenville, SC",4.5045E+14,0.031496063,0.398274527,25.275,15888,1,1
"Greenville, SC",4.5045E+14,0.295107034,0.398274527,26.70714286,15888,1,1
"Greenville, SC",4.5045E+14,0.382588619,0.398274527,26.1171875,15888,1,1
"Greenville, SC",4.5045E+14,0.290217068,0.398274527,25.07916667,15888,1,1
"Greenville, SC",4.5045E+14,0.252163972,0.398274527,26.33076923,15888,1,1
"Greenville, SC",4.5045E+14,0.134341129,0.398274527,27.88225807,15888,1,1
"Greenville, SC",4.5045E+14,0.219401947,0.398274527,28.22692308,15888,1,1
"Greenville, SC",4.5045E+14,0.440998385,0.398274527,26.89029851,15888,1,1
"Greenville, SC",4.5045E+14,0,0.398274527,0,15888,1,1
"Greenville, SC",4.5045E+14,0.382755842,0.398274527,26.25625,15888,1,1
"Greenville, SC",4.5045E+14,0.27607362,0.398274527,27.16111111,15888,1,1
"Greenville, SC",4.5045E+14,0.146579011,0.398274527,28.60294118,15888,1,1
"Greenville, SC",4.5045E+14,0.290167404,0.398274527,26.95,15888,1,1
"Greenville, SC",4.5045E+14,0.470162195,0.398274527,24.91781609,15888,1,1
"Greenville, SC",4.5045E+14,0.267103646,0.398274527,25.46666667,15888,1,1
"Greenville, SC",4.5045E+14,0.611287054,0.398274527,24.0027972,15888,1,1
"Greenville, SC",4.5045E+14,0.358652975,0.398274527,26.66,15888,1,1
"Greenville, SC",4.5045E+14,0.264511692,0.398274527,26.975,15888,1,1
"Greenville, SC",4.5045E+14,0.403927187,0.398274527,26.22037037,15888,1,1
"Greenville, SC",4.5045E+14,0.343631918,0.398274527,25.96428571,15888,1,1
"Greenville, SC",4.5045E+14,0.647916566,0.398274527,24.90384615,15888,1,1
"Greenville, SC",4.5045E+14,0.551030187,0.398274527,25.61428571,15888,1,1
"Greenville, SC",4.5045E+14,0.53915929,0.398274527,26.33809524,16147,1,1
"Greenville, SC",4.5045E+14,0.275351591,0.398274527,27.83181818,16147,1,1
"Greenville, SC",4.5045E+14,0.128754431,0.398274527,30.0162069,16147,1,1
"Greenville, SC",4.5045E+14,0.118037135,0.398274527,30.18478261,16147,1,1
"Greenville, SC",4.5045E+14,0.160431239,0.398274527,28.89927536,16147,1,1
"Greenville, SC",4.5045E+14,0.174327501,0.398274527,28.79411765,16147,1,1
"Greenville, SC",4.5045E+14,0.171356361,0.398274527,29.68461539,16147,1,1
"Greenville, SC",4.5045E+14,0.20718057,0.398274527,30.08181818,16147,1,1
"Greenville, SC",4.5045E+14,0.335364728,0.398274527,29.914,16147,1,1
"Greenville, SC",4.5045E+14,0.21195827,0.398274527,27.55537634,16147,1,1
"Greenville, SC",4.5045E+14,0.176670924,0.398274527,29.345,16147,1,1
"Greenville, SC",4.5045E+14,0.317833698,0.398274527,29.35,16147,1,1
"Greenville, SC",4.5045E+14,0.242176506,0.398274527,24.93,17943,1,1
"Greenville, SC",4.5045E+14,0.195656586,0.398274527,27.91956522,17943,1,1
"Greenville, SC",4.5045E+14,0.130985915,0.398274527,28.23181818,17943,1,1
"Greenville, SC",4.5045E+14,0.623555139,0.398274527,24.99736842,17943,1,1
"Greenville, SC",4.5045E+14,0.348396271,0.398274527,27.02931035,17943,1,1
