Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Hickory, NC",3.7035E+14,0.299644128,0.189863843,25.67857143,17704,1,4
"Hickory, NC",3.7035E+14,0.189863843,0.189863843,25.65,17704,1,4
"Hickory, NC",3.7035E+14,0.490517683,0.189863843,27.42777778,15150,1,4
"Hickory, NC",3.7027E+14,0.010238908,0.189863843,25,17242,1,4
"Hickory, NC",3.7035E+14,0.147779987,0.189863843,30.2125,17337,1,4
"Hickory, NC",3.7035E+14,0.078272605,0.189863843,30.7,17337,1,4
"Hickory, NC",3.7035E+14,0.115595075,0.189863843,29.86666667,17337,1,4
"Hickory, NC",3.7035E+14,0.068007663,0.189863843,28.025,15863,1,4
"Hickory, NC",3.7023E+14,0.161073826,0.606201489,26.85,14858,1,1
"Hickory, NC",3.7035E+14,0.218996251,0.606201489,28.30565217,14858,1,1
"Hickory, NC",3.7035E+14,0.248372093,0.606201489,28.58939394,14858,1,1
"Hickory, NC",3.7035E+14,0.407916667,0.606201489,27.76290323,14858,1,1
"Hickory, NC",3.7035E+14,0.235075357,0.606201489,28.57608696,14858,1,1
"Hickory, NC",3.7035E+14,0.360988296,0.606201489,29.20294118,14858,1,1
"Hickory, NC",3.7035E+14,0.69195675,0.606201489,26.95306122,14858,1,1
"Hickory, NC",3.7035E+14,0.393449536,0.606201489,27.01774194,14858,1,1
"Hickory, NC",3.7035E+14,0.666817914,0.606201489,26.27376238,14858,1,1
"Hickory, NC",3.7035E+14,0.523745819,0.606201489,27.27272727,14858,1,1
"Hickory, NC",3.7035E+14,0.169701689,0.606201489,28.98333333,14858,1,1
"Hickory, NC",3.7035E+14,0.473845525,0.606201489,27.03333333,14858,1,1
"Hickory, NC",3.7035E+14,0.441401387,0.606201489,28.95,14858,1,1
"Hickory, NC",3.7035E+14,0.640910115,0.606201489,27.16282051,14858,1,1
"Hickory, NC",3.7035E+14,0.192290586,0.606201489,29.56666667,14858,1,1
"Hickory, NC",3.7035E+14,0.425813953,0.606201489,28.07307692,14858,1,1
"Hickory, NC",3.7035E+14,0.265395894,0.606201489,29.15,14858,1,1
"Hickory, NC",3.7035E+14,0.532748538,0.606201489,28.26428571,14858,1,1
"Hickory, NC",3.7035E+14,0.416092628,0.606201489,27.82333333,14858,1,1
"Hickory, NC",3.7035E+14,0.321105911,0.606201489,28.22380952,14858,1,1
"Hickory, NC",3.7035E+14,0.281516357,0.606201489,28.91964286,14858,1,1
"Hickory, NC",3.7035E+14,0.584061954,0.606201489,27.13125,14858,1,1
"Hickory, NC",3.7035E+14,0.356188263,0.606201489,27.89666667,14858,1,1
"Hickory, NC",3.7035E+14,0.118498009,0.606201489,29.49055944,14858,1,1
"Hickory, NC",3.7035E+14,0.207092199,0.606201489,29.60357143,14858,1,1
"Hickory, NC",3.7035E+14,0.289591315,0.606201489,27.62777778,14858,1,1
"Hickory, NC",3.7035E+14,0.471157569,0.606201489,28.03857143,14858,1,1
"Hickory, NC",3.7035E+14,0.408668731,0.606201489,28.22333333,14858,1,1
"Hickory, NC",3.7035E+14,0.486907731,0.606201489,27.40714286,14858,1,1
"Hickory, NC",3.7035E+14,0.43329631,0.606201489,29.01578947,14858,1,1
"Hickory, NC",3.7035E+14,0.422696283,0.606201489,29.35833333,14858,1,1
"Hickory, NC",3.7035E+14,0.393057851,0.606201489,28.65769231,14858,1,1
"Hickory, NC",3.7035E+14,0.170573969,0.606201489,29.76428571,14858,1,1
"Hickory, NC",3.7035E+14,0.288833578,0.606201489,28.785,14858,1,1
"Hickory, NC",3.7035E+14,0.212016827,0.606201489,30.52755102,14858,1,1
"Hickory, NC",3.7035E+14,0.539939333,0.606201489,27.21666667,14858,1,1
"Hickory, NC",3.7035E+14,0.180430013,0.606201489,29.58333333,14858,1,1
"Hickory, NC",3.7035E+14,0.494114096,0.606201489,27.3875,14858,1,1
"Hickory, NC",3.7035E+14,0.40556369,0.606201489,27.99655172,14858,1,1
"Hickory, NC",3.7027E+14,0.409876867,0.606201489,25.33985507,14092,1,1
"Hickory, NC",3.7027E+14,0.257167037,0.606201489,24.94189189,14092,1,1
"Hickory, NC",3.7027E+14,0.480436364,0.606201489,24.78333333,14092,1,1
"Hickory, NC",3.7027E+14,0.119460501,0.606201489,24.04375,14092,1,1
"Hickory, NC",3.7027E+14,0.463641236,0.606201489,25.314,14092,1,1
"Hickory, NC",3.7027E+14,0.224067643,0.606201489,26.54285714,14092,1,1
"Hickory, NC",3.7035E+14,0.737370184,0.606201489,24.66146497,16405,1,1
"Hickory, NC",3.7035E+14,0.530745887,0.606201489,27.52407407,16405,1,1
"Hickory, NC",3.7035E+14,0.455615333,0.606201489,27.16,16405,1,1
"Hickory, NC",3.7035E+14,0.447538462,0.606201489,26.125,16405,1,1
"Hickory, NC",3.7035E+14,0.517278287,0.606201489,26.44259259,16405,1,1
"Hickory, NC",3.7035E+14,0.550376695,0.606201489,25.23101644,16405,1,1
"Hickory, NC",3.7035E+14,0.470470033,0.606201489,27.258,16405,1,1
"Hickory, NC",3.7035E+14,0.249859274,0.606201489,27.99516129,16405,1,1
"Hickory, NC",3.7035E+14,0.382645481,0.606201489,25.89627249,16405,1,1
"Hickory, NC",3.7035E+14,0.509490212,0.606201489,26.7393617,16405,1,1
"Hickory, NC",3.7035E+14,0.478119725,0.606201489,27.77424242,16405,1,1
"Hickory, NC",3.7035E+14,0.249014196,0.606201489,27.66333333,16405,1,1
"Hickory, NC",3.7035E+14,0.381345097,0.606201489,27.58,16405,1,1
"Hickory, NC",3.7023E+14,0.362835755,0.606201489,25.35909091,16153,1,1
"Hickory, NC",3.7023E+14,0.25393391,0.606201489,28.19545455,16153,1,1
"Hickory, NC",3.7023E+14,0.133165829,0.606201489,29.92,16153,1,1
"Hickory, NC",3.7023E+14,0.005170262,0.606201489,24.625,16153,1,1
"Hickory, NC",3.7023E+14,0.672069825,0.606201489,24.6326087,16153,1,1
