Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Huntsville, AL",1.089E+13,0.234605911,0.238822012,28.99375,18693,1,4
"Huntsville, AL",1.089E+13,0.407488987,0.238822012,28.77040816,18693,1,4
"Huntsville, AL",1.089E+13,0.189558852,0.238822012,30.63695652,13838,1,4
"Huntsville, AL",1.089E+13,0,0.238822012,30.65,11026,1,4
"Huntsville, AL",1.089E+13,0.167125442,0.238822012,30.66666667,11026,1,4
"Huntsville, AL",1.089E+13,0.159504452,0.238822012,30.80384615,11026,1,4
"Huntsville, AL",1.089E+13,0.49666236,0.238822012,28.89615385,19734,1,4
"Huntsville, AL",1.089E+13,0.06012024,0.238822012,30.99,19734,1,4
"Huntsville, AL",1.089E+13,0.280584297,0.238822012,32.02142857,16432,1,4
"Huntsville, AL",1.089E+13,0.154664089,0.238822012,29.87727273,14644,1,4
"Huntsville, AL",1.089E+13,0.143396226,0.238822012,30.37,14644,1,4
"Huntsville, AL",1.08901E+13,0.535211268,0.238822012,25.65,20789,1,4
"Huntsville, AL",1.089E+13,0.166545101,0.238822012,29.58333333,11340,1,4
"Huntsville, AL",1.089E+13,0.188976378,0.238822012,29.81666667,11340,1,4
"Huntsville, AL",1.08901E+13,0.384284177,0.238822012,29.52586207,14930,1,4
"Huntsville, AL",1.08901E+13,0.281017613,0.238822012,29.91666667,14930,1,4
"Huntsville, AL",1.089E+13,0.148820327,0.238822012,31.35,12655,1,4
"Huntsville, AL",1.089E+13,0,0.238822012,31.15,12655,1,4
"Huntsville, AL",1.089E+13,0.124096386,0.238822012,28.25,12655,1,4
"Huntsville, AL",1.089E+13,0.111202636,0.238822012,29.98636364,7281,1,4
"Huntsville, AL",1.089E+13,0.182808156,0.238822012,29.93,7281,1,4
"Huntsville, AL",1.089E+13,0.152510176,0.238822012,30.00625,7281,1,4
"Huntsville, AL",1.089E+13,0.238822012,0.238822012,29.1,7281,1,4
"Huntsville, AL",1.089E+13,0.012658228,0.238822012,28.45,18550,1,4
"Huntsville, AL",1.089E+13,0.079136691,0.238822012,28.45,18550,1,4
"Huntsville, AL",1.089E+13,0.010752688,0.238822012,0,5769,1,4
"Huntsville, AL",1.089E+13,0.29653821,0.238822012,29.65,5769,1,4
"Huntsville, AL",1.089E+13,0.426950355,0.238822012,29.15,5769,1,4
"Huntsville, AL",1.089E+13,0.604938272,0.238822012,28.275,5769,1,4
"Huntsville, AL",1.089E+13,0.069306931,0.238822012,30.85,5769,1,4
"Huntsville, AL",1.089E+13,0.125591456,0.238822012,30.96935484,5769,1,4
"Huntsville, AL",1.089E+13,0.513353116,0.238822012,27.58333333,5769,1,4
"Huntsville, AL",1.089E+13,0.296372348,0.238822012,28.9,5769,1,4
"Huntsville, AL",1.089E+13,0.61608154,0.238822012,28.2,5769,1,4
"Huntsville, AL",1.089E+13,0.110781991,0.238822012,30.275,18574,1,4
"Huntsville, AL",1.089E+13,0.085120643,0.238822012,29.80714286,18574,1,4
"Huntsville, AL",1.089E+13,0.134794157,0.238822012,29.86666667,14491,1,4
"Huntsville, AL",1.089E+13,0.229598893,0.238822012,28.5,14491,1,4
"Huntsville, AL",1.089E+13,0.174348697,0.238822012,28.23,14491,1,4
"Huntsville, AL",1.089E+13,0.174265451,0.238822012,30.025,9634,1,4
"Huntsville, AL",1.089E+13,0.201612903,0.238822012,29.87222222,9634,1,4
