Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Kansas City, MO--KS",2.0209E+14,0.408624956,0.204572565,28.24655172,14600,1,3
"Kansas City, MO--KS",2.0209E+14,0.515029326,0.204572565,27.90869565,12553,1,3
"Kansas City, MO--KS",2.0209E+14,0.188999415,0.204572565,31.20333333,19722,1,3
"Kansas City, MO--KS",2.0209E+14,0.191722169,0.204572565,30.97,19722,1,3
"Kansas City, MO--KS",2.9095E+14,0.296913491,0.204572565,29.55606061,18443,1,3
"Kansas City, MO--KS",2.9095E+14,0.376028717,0.204572565,29.97631579,18443,1,3
"Kansas City, MO--KS",2.0209E+14,0.228495679,0.204572565,28.40294118,19468,1,3
"Kansas City, MO--KS",2.9047E+14,0.309761987,0.204572565,30.48333333,18957,1,3
"Kansas City, MO--KS",2.9047E+14,0.121381412,0.204572565,28.66481482,18957,1,3
"Kansas City, MO--KS",2.9047E+14,0.213882863,0.204572565,29.55,18957,1,3
"Kansas City, MO--KS",2.9047E+14,0.159649123,0.204572565,30.55,18957,1,3
"Kansas City, MO--KS",2.9047E+14,0.230501089,0.204572565,30.2125,18957,1,3
"Kansas City, MO--KS",2.9047E+14,0.09360878,0.204572565,28.35,18957,1,3
"Kansas City, MO--KS",2.9047E+14,0.057755776,0.204572565,31.25,18957,1,3
"Kansas City, MO--KS",2.0209E+14,0.048869438,0.204572565,28.30833333,14094,1,3
"Kansas City, MO--KS",2.0209E+14,0.056889546,0.204572565,28.37307692,14094,1,3
"Kansas City, MO--KS",2.0209E+14,0.239647145,0.204572565,28.77352941,14094,1,3
"Kansas City, MO--KS",2.0209E+14,0.412238325,0.204572565,28.76176471,14094,1,3
"Kansas City, MO--KS",2.0209E+14,0.398114576,0.204572565,28.46176471,14094,1,3
"Kansas City, MO--KS",2.0209E+14,0.098855835,0.204572565,30.54090909,13327,1,3
"Kansas City, MO--KS",2.0209E+14,0.151433692,0.204572565,30.07222222,13327,1,3
"Kansas City, MO--KS",2.0209E+14,0.126911315,0.204572565,30.39,13327,1,3
"Kansas City, MO--KS",2.0209E+14,0.131566028,0.204572565,29.76111111,13327,1,3
"Kansas City, MO--KS",2.0209E+14,0.113947129,0.204572565,30.32142857,13327,1,3
"Kansas City, MO--KS",2.0209E+14,0.125259995,0.204572565,30.26111111,13327,1,3
"Kansas City, MO--KS",2.0209E+14,0.271218095,0.204572565,28.325,13327,1,3
"Kansas City, MO--KS",2.0209E+14,0.291889748,0.204572565,28.49545455,19471,1,3
"Kansas City, MO--KS",2.0209E+14,0.320064263,0.204572565,28.19342105,19471,1,3
"Kansas City, MO--KS",2.0209E+14,0.297819827,0.204572565,28.37608696,19471,1,3
"Kansas City, MO--KS",2.0209E+14,0.014332514,0.204572565,28.75833333,19471,1,3
"Kansas City, MO--KS",2.00911E+14,0.064830752,0.204572565,29.475,18704,1,3
"Kansas City, MO--KS",2.00911E+14,0.100268577,0.204572565,29.91428571,18704,1,3
"Kansas City, MO--KS",2.00911E+14,0.043330501,0.204572565,30.01363636,18704,1,3
"Kansas City, MO--KS",2.00911E+14,0.041947566,0.204572565,28.9625,18704,1,3
"Kansas City, MO--KS",2.00911E+14,0.062801932,0.204572565,30.102,18704,1,3
"Kansas City, MO--KS",2.9047E+14,0.151192504,0.204572565,29.035,20503,1,3
"Kansas City, MO--KS",2.9047E+14,0.214422463,0.204572565,28.16428571,20503,1,3
"Kansas City, MO--KS",2.0209E+14,0.120105942,0.204572565,29.57,7960,1,3
"Kansas City, MO--KS",2.0209E+14,0.057377049,0.204572565,30.11666667,7960,1,3
"Kansas City, MO--KS",2.9095E+14,0.341202673,0.204572565,27.53181818,18968,1,3
"Kansas City, MO--KS",2.0209E+14,0.317384844,0.204572565,28.235,14361,1,3
"Kansas City, MO--KS",2.0209E+14,0.32748673,0.204572565,28.9452381,14361,1,3
"Kansas City, MO--KS",2.0209E+14,0.208495793,0.204572565,30.02391304,14361,1,3
"Kansas City, MO--KS",2.0209E+14,0.30060241,0.204572565,29.04333333,14361,1,3
"Kansas City, MO--KS",2.0209E+14,0.213772124,0.204572565,29.60333333,14361,1,3
"Kansas City, MO--KS",2.9095E+14,0.189720333,0.204572565,28.725,18206,1,3
"Kansas City, MO--KS",2.9095E+14,0.192332684,0.204572565,28.28333333,18206,1,3
"Kansas City, MO--KS",2.9095E+14,0.337809774,0.204572565,28.28793103,18206,1,3
"Kansas City, MO--KS",2.0209E+14,0.097016527,0.204572565,29.98333333,10015,1,3
"Kansas City, MO--KS",2.0209E+14,0.119347453,0.204572565,29.83666667,10015,1,3
"Kansas City, MO--KS",2.0209E+14,0.16522763,0.204572565,30.18333333,15905,1,3
"Kansas City, MO--KS",2.0209E+14,0.180249851,0.204572565,29.53571429,15905,1,3
"Kansas City, MO--KS",2.00911E+14,0.15,0.204572565,30.92142857,21026,1,3
"Kansas City, MO--KS",2.00911E+14,0.176307954,0.204572565,31.32083333,21026,1,3
"Kansas City, MO--KS",2.00911E+14,0.139534884,0.204572565,31.43846154,21026,1,3
"Kansas City, MO--KS",2.00911E+14,0.10952381,0.204572565,30.90833333,21026,1,3
"Kansas City, MO--KS",2.00911E+14,0.351169669,0.204572565,30.02777778,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.215483871,0.204572565,29.9131579,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.348484848,0.204572565,29.80714286,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.214810282,0.204572565,29.9,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.412318451,0.204572565,29.11875,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.295144399,0.204572565,28.97,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.351655088,0.204572565,29.46111111,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.441150442,0.204572565,28.74090909,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.311363636,0.204572565,28.76818182,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.372881356,0.204572565,28.97941177,20007,1,3
"Kansas City, MO--KS",2.00911E+14,0.459521974,0.204572565,28.76875,20007,1,3
"Kansas City, MO--KS",2.9095E+14,0.159940209,0.204572565,28.1125,21033,1,3
"Kansas City, MO--KS",2.9095E+14,0.171681416,0.204572565,29.95576923,17707,1,3
"Kansas City, MO--KS",2.9095E+14,0.314225053,0.204572565,29.4537037,13356,1,3
"Kansas City, MO--KS",2.9095E+14,0.246507436,0.204572565,30.97653061,13356,1,3
"Kansas City, MO--KS",2.0209E+14,0.115474422,0.204572565,29.22826087,13868,1,3
