Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Orlando, FL",1.2097E+14,0.248264859,0.518531826,27.63578595,16652,1,1
"Orlando, FL",1.2095E+14,0.23633678,0.263025881,29.88333333,31376,3,4
"Orlando, FL",1.2095E+14,0.294050343,0.263025881,28.73333333,31376,3,4
"Orlando, FL",1.2095E+14,0.06769472,0.263025881,29.27352941,31376,3,4
"Orlando, FL",1.2095E+14,0.450704225,0.263025881,28.35,31376,3,4
"Orlando, FL",1.2095E+14,0.203715094,0.263025881,29.70675676,31376,3,4
"Orlando, FL",1.2095E+14,0.365921086,0.263025881,29.40882353,31376,3,4
"Orlando, FL",1.2095E+14,0.065277016,0.263025881,31.02142857,31376,3,4
"Orlando, FL",1.2095E+14,0.115173675,0.263025881,31.04,31376,3,4
"Orlando, FL",1.2095E+14,0.247542857,0.263025881,29.07,31376,3,4
"Orlando, FL",1.2095E+14,0.716720042,0.518531826,24.2142998,32987,3,1
"Orlando, FL",1.2095E+14,0.555032444,0.518531826,25.1802434,32987,3,1
"Orlando, FL",1.2095E+14,0.358449612,0.518531826,25.57666667,32987,3,1
"Orlando, FL",1.2095E+14,0.248945656,0.518531826,25.75882353,32987,3,1
"Orlando, FL",1.2095E+14,0.593997693,0.518531826,26.02664643,31376,3,1
"Orlando, FL",1.2095E+14,0.068783069,0.518531826,29.39,31376,3,1
"Orlando, FL",1.2095E+14,0.275285171,0.38456673,29.53461539,31376,3,2
"Orlando, FL",1.2095E+14,0.184318555,0.302192777,30.05,31376,3,3
"Orlando, FL",1.2095E+14,0.122673756,0.302192777,29.54230769,31376,3,3
"Orlando, FL",1.2095E+14,0.125252073,0.302192777,29.665,31376,3,3
"Orlando, FL",1.2097E+14,0.293215791,0.263025881,27.89615385,40605,4,4
"Orlando, FL",1.2097E+14,0.18879668,0.263025881,28.55,40605,4,4
"Orlando, FL",1.2097E+14,0.364285714,0.263025881,26.7,40605,4,4
"Orlando, FL",1.2097E+14,0.275551746,0.263025881,27.70714286,40605,4,4
"Orlando, FL",1.2095E+14,0.464000137,0.518531826,26.10701881,61078,4,1
"Orlando, FL",1.2095E+14,0.144242184,0.518531826,27.60238095,61078,4,1
"Orlando, FL",1.2095E+14,0.472464408,0.518531826,26.3325,61078,4,1
"Orlando, FL",1.2095E+14,0.58743822,0.518531826,26.45430108,61078,4,1
"Orlando, FL",1.2095E+14,0.886363636,0.518531826,25.24333333,61078,4,1
"Orlando, FL",1.2095E+14,0.144631389,0.518531826,27.05813954,51902,4,1
"Orlando, FL",1.2095E+14,0.011599006,0.518531826,26.18333333,51902,4,1
"Orlando, FL",1.2095E+14,0.017467249,0.518531826,27.21666667,51902,4,1
"Orlando, FL",1.2095E+14,0.044220665,0.518531826,27.46,51902,4,1
"Orlando, FL",1.2095E+14,0.13003096,0.518531826,27.65,51902,4,1
"Orlando, FL",1.2095E+14,0.035730646,0.518531826,27.41,51902,4,1
"Orlando, FL",1.2095E+14,0.560935024,0.518531826,26.30178571,51902,4,1
"Orlando, FL",1.2097E+14,0.161971831,0.518531826,27.81666667,40605,4,1
"Orlando, FL",1.2097E+14,0.814354814,0.518531826,24.72083333,40605,4,1
"Orlando, FL",1.2097E+14,0.152209956,0.518531826,23.94174312,40605,4,1
"Orlando, FL",1.2097E+14,0.738828843,0.518531826,25.58333333,40605,4,1
"Orlando, FL",1.2097E+14,0.65704243,0.518531826,26.47352941,40605,4,1
"Orlando, FL",1.2097E+14,0.300921343,0.518531826,26.68050848,40605,4,1
"Orlando, FL",1.2097E+14,0.506207533,0.518531826,27.35930233,40605,4,1
"Orlando, FL",1.2097E+14,0.308103295,0.518531826,28.03666667,40605,4,1
"Orlando, FL",1.2097E+14,0.517837428,0.518531826,26.39217172,40605,4,1
"Orlando, FL",1.2097E+14,0.626403977,0.518531826,25.83,40605,4,1
"Orlando, FL",1.2097E+14,0.728267127,0.518531826,24.51140351,40605,4,1
"Orlando, FL",1.2097E+14,0.778642666,0.518531826,23.75,40605,4,1
"Orlando, FL",1.2097E+14,0.645714286,0.518531826,26.45,40605,4,1
"Orlando, FL",1.2097E+14,0.175937904,0.518531826,28.58333333,40605,4,1
"Orlando, FL",1.2097E+14,0.369297411,0.518531826,27.87171429,40605,4,1
"Orlando, FL",1.2097E+14,0.670414133,0.518531826,26.11708861,40605,4,1
"Orlando, FL",1.2097E+14,0.141990291,0.518531826,23.90087719,40605,4,1
"Orlando, FL",1.2097E+14,0.808373591,0.518531826,23.86666667,40605,4,1
"Orlando, FL",1.2097E+14,0.188898836,0.518531826,23.88333333,40605,4,1
"Orlando, FL",1.2097E+14,0.056430976,0.518531826,24.03181818,40605,4,1
"Orlando, FL",1.2097E+14,0.048935899,0.518531826,24.15,40605,4,1
"Orlando, FL",1.2097E+14,0.765752721,0.518531826,23.92741936,40605,4,1
"Orlando, FL",1.2097E+14,0.803358268,0.518531826,24.08928571,40605,4,1
"Orlando, FL",1.2097E+14,0.40058189,0.518531826,28.22258065,40605,4,1
"Orlando, FL",1.2097E+14,0.42256036,0.518531826,26.12192983,40605,4,1
"Orlando, FL",1.2097E+14,0.297720365,0.518531826,27.17758621,40605,4,1
"Orlando, FL",1.2097E+14,0.78301238,0.518531826,24.95,40605,4,1
"Orlando, FL",1.2097E+14,0.687973445,0.518531826,24.17734375,40605,4,1
"Orlando, FL",1.2097E+14,0.688557453,0.518531826,24.05545455,40605,4,1
"Orlando, FL",1.2097E+14,0.691427081,0.518531826,23.6281457,40605,4,1
"Orlando, FL",1.2097E+14,0.544832356,0.518531826,24.58494624,40605,4,1
"Orlando, FL",1.2097E+14,0.433652626,0.518531826,27.16979167,40605,4,1
"Orlando, FL",1.2097E+14,0.532108626,0.518531826,27.95357143,40605,4,1
"Orlando, FL",1.2097E+14,0.466724916,0.518531826,27.18666667,40605,4,1
"Orlando, FL",1.2097E+14,0.331682223,0.518531826,26.09927954,40605,4,1
"Orlando, FL",1.2097E+14,0.562564522,0.518531826,25.21910714,40605,4,1
"Orlando, FL",1.2097E+14,0.330594823,0.518531826,27.29,40605,4,1
"Orlando, FL",1.2097E+14,0.451515351,0.518531826,26.97352941,40605,4,1
"Orlando, FL",1.2097E+14,0.456140351,0.518531826,26.81538462,40605,4,1
"Orlando, FL",1.2097E+14,0.430652102,0.518531826,26.61153846,40605,4,1
"Orlando, FL",1.2097E+14,0.24,0.518531826,26.95,40605,4,1
"Orlando, FL",1.2097E+14,0.339296932,0.518531826,26.12950311,40605,4,1
"Orlando, FL",1.2097E+14,0.521418415,0.518531826,26.16020408,40605,4,1
"Orlando, FL",1.2097E+14,0.259083728,0.518531826,28.38,40605,4,1
"Orlando, FL",1.2097E+14,0.109060682,0.518531826,28.15,40605,4,1
"Orlando, FL",1.2097E+14,0.849404454,0.518531826,24.83095238,40605,4,1
"Orlando, FL",1.2097E+14,0.634068627,0.518531826,24.50510204,40605,4,1
"Orlando, FL",1.2097E+14,0.336076649,0.518531826,27.34117647,40605,4,1
"Orlando, FL",1.2097E+14,0.319477751,0.518531826,27.47941177,40605,4,1
"Orlando, FL",1.2097E+14,0.23553719,0.518531826,26.97,40605,4,1
"Orlando, FL",1.2097E+14,0.367506129,0.518531826,25.65,40605,4,1
"Orlando, FL",1.2097E+14,0.440064422,0.518531826,27.12857143,40605,4,1
"Orlando, FL",1.2097E+14,0.270342079,0.518531826,28.64807692,40605,4,1
"Orlando, FL",1.2097E+14,0.526171928,0.518531826,27.11821705,40605,4,1
"Orlando, FL",1.2097E+14,0.665150977,0.518531826,25.68220339,40605,4,1
"Orlando, FL",1.2097E+14,0.8542412,0.518531826,24.29054054,40605,4,1
"Orlando, FL",1.2097E+14,0.71012733,0.518531826,25.97460318,40605,4,1
"Orlando, FL",1.2097E+14,0.885780886,0.518531826,24.31346154,40605,4,1
"Orlando, FL",1.2097E+14,0.610713027,0.518531826,24.02435897,40605,4,1
"Orlando, FL",1.2097E+14,0.54206832,0.518531826,23.96632653,40605,4,1
"Orlando, FL",1.2097E+14,0.271527944,0.518531826,27.82647059,40605,4,1
"Orlando, FL",1.2097E+14,0.609904512,0.518531826,25.63510638,40605,4,1
"Orlando, FL",1.2097E+14,0.757028112,0.518531826,25.10394737,40605,4,1
"Orlando, FL",1.2097E+14,0.273926504,0.518531826,27.51875,40605,4,1
"Orlando, FL",1.2097E+14,0.887625992,0.518531826,25.15,40605,4,1
"Orlando, FL",1.2097E+14,0.317997666,0.518531826,27.09656433,40605,4,1
"Orlando, FL",1.2097E+14,0.173913043,0.518531826,26.92692308,40605,4,1
"Orlando, FL",1.2097E+14,0.061955025,0.518531826,28.30555556,40605,4,1
"Orlando, FL",1.2095E+14,0.031622365,0.38456673,27.87,51902,4,2
"Orlando, FL",1.2095E+14,0.035530622,0.38456673,27.38333333,51902,4,2
"Orlando, FL",1.2095E+14,0.016884762,0.38456673,27.44090909,51902,4,2
"Orlando, FL",1.2095E+14,0.05776821,0.38456673,27.5,51902,4,2
"Orlando, FL",1.2095E+14,0.003775366,0.38456673,27.79,51902,4,2
"Orlando, FL",1.2095E+14,0.008835341,0.38456673,27.07,51902,4,2
"Orlando, FL",1.2095E+14,0.081967213,0.38456673,27.47857143,51902,4,2
"Orlando, FL",1.2095E+14,0.118773946,0.38456673,27.32142857,51902,4,2
"Orlando, FL",1.2097E+14,0.924882629,0.38456673,24.03,40605,4,2
"Orlando, FL",1.2097E+14,0.176923077,0.38456673,27.63333333,40605,4,2
"Orlando, FL",1.2097E+14,0.404935697,0.38456673,26.5,40605,4,2
"Orlando, FL",1.2097E+14,0.884312716,0.38456673,23.74482759,40605,4,2
"Orlando, FL",1.2097E+14,0.222834251,0.38456673,23.89705882,40605,4,2
