Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Portland, OR--WA",4.1051E+14,0.170372509,0.224236038,33.31129032,24064,1,3
"Portland, OR--WA",4.1051E+14,0.194872589,0.224236038,32.6625,24064,1,3
"Portland, OR--WA",4.1067E+14,0.037664783,0.224236038,32.6,14081,1,3
"Portland, OR--WA",4.1067E+14,0.074810606,0.224236038,31.93,14081,1,3
"Portland, OR--WA",4.1067E+14,0.092070485,0.224236038,32.35,14081,1,3
"Portland, OR--WA",4.1067E+14,0.036144578,0.224236038,32.81,14081,1,3
"Portland, OR--WA",4.1067E+14,0.029464286,0.224236038,32.77,14081,1,3
"Portland, OR--WA",4.1067E+14,0.011576135,0.224236038,33.83,14081,1,3
"Portland, OR--WA",4.1067E+14,0.344234079,0.224236038,32.9,14081,1,3
"Portland, OR--WA",4.1067E+14,0.060523939,0.224236038,32.55,14081,1,3
"Portland, OR--WA",4.1067E+14,0.113626075,0.224236038,32.39545455,14081,1,3
"Portland, OR--WA",4.1051E+14,0.092178771,0.224236038,33.074,18177,1,3
"Portland, OR--WA",4.1051E+14,0.150478377,0.224236038,33.04830509,18177,1,3
"Portland, OR--WA",4.1051E+14,0.266521567,0.224236038,32.17272727,18177,1,3
"Portland, OR--WA",5.3011E+14,0.150323544,0.224236038,30.01666667,19969,1,3
"Portland, OR--WA",5.3011E+14,0.309458681,0.224236038,29.99634146,19969,1,3
"Portland, OR--WA",5.3011E+14,0.262672811,0.224236038,31.6,19969,1,3
"Portland, OR--WA",5.3011E+14,0.050886221,0.224236038,31.825,19969,1,3
"Portland, OR--WA",5.3011E+14,0.138227646,0.224236038,31.46363636,19969,1,3
"Portland, OR--WA",4.1005E+14,0.235400144,0.224236038,32.70714286,19973,1,3
"Portland, OR--WA",4.1005E+14,0.375645308,0.224236038,31.16333333,19973,1,3
"Portland, OR--WA",4.1051E+14,0,0.224236038,31.65,13319,1,3
"Portland, OR--WA",4.1051E+14,0.0068793,0.224236038,33.29285714,13319,1,3
"Portland, OR--WA",4.1051E+14,0.012373453,0.224236038,32.15,13319,1,3
"Portland, OR--WA",4.1051E+14,0.275267227,0.224236038,31.3815508,13319,1,3
"Portland, OR--WA",4.1051E+14,0.230645161,0.224236038,31.89761905,13319,1,3
"Portland, OR--WA",4.1051E+14,0.003699789,0.224236038,32.625,13319,1,3
"Portland, OR--WA",4.1051E+14,0.067695771,0.224236038,32.83518519,13319,1,3
"Portland, OR--WA",5.3011E+14,0.053741693,0.224236038,33.17142857,24840,1,3
"Portland, OR--WA",4.1051E+14,0.011259676,0.224236038,31.69166667,20489,1,3
"Portland, OR--WA",5.3011E+14,0.099177673,0.224236038,32.31666667,18701,1,3
"Portland, OR--WA",4.1051E+14,0.387276702,0.224236038,30.00254237,15630,1,3
"Portland, OR--WA",4.1051E+14,0.236449618,0.224236038,31.95,22798,1,3
"Portland, OR--WA",4.1067E+14,0.150326797,0.224236038,31.97272727,23054,1,3
"Portland, OR--WA",4.1067E+14,0.200591216,0.224236038,31.503125,23054,1,3
