Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"San Jose, CA",6.0855E+13,0.002338009,0.073346649,36.44333333,19201,1,3
"San Jose, CA",6.0855E+13,0.052084355,0.073346649,36.08333333,19201,1,3
"San Jose, CA",6.0855E+13,0.020764184,0.073346649,36.69181818,19201,1,3
"San Jose, CA",6.0855E+13,0.01504914,0.073346649,36.49137931,19201,1,3
"San Jose, CA",6.0855E+13,0.046717741,0.073346649,36.47413793,19201,1,3
"San Jose, CA",6.0855E+13,0.023021366,0.073346649,37.05689655,19201,1,3
"San Jose, CA",6.0855E+13,0.008412198,0.073346649,37.25,19201,1,3
"San Jose, CA",6.0855E+13,0.015199233,0.073346649,36.47941177,22423,1,3
"San Jose, CA",6.0855E+13,0.023930754,0.073346649,36.33888889,13841,1,3
"San Jose, CA",6.0855E+13,0.018038853,0.073346649,36.85344828,13841,1,3
"San Jose, CA",6.0855E+13,0.028756957,0.073346649,36.05344828,13841,1,3
"San Jose, CA",6.0855E+13,0.003321758,0.073346649,34.87033898,13841,1,3
"San Jose, CA",6.0855E+13,0.06362379,0.073346649,35.71363636,7816,1,3
"San Jose, CA",6.0855E+13,0.065718678,0.073346649,35.62083333,20357,1,3
"San Jose, CA",6.0855E+13,0.002987862,0.073346649,34.778,20357,1,3
"San Jose, CA",6.0855E+13,0.059753161,0.073346649,35.58548387,19521,1,3
"San Jose, CA",6.0855E+13,0.031113783,0.073346649,35.52741936,19521,1,3
"San Jose, CA",6.0855E+13,0.037883343,0.073346649,35.75,19521,1,3
"San Jose, CA",6.0855E+13,0.069390207,0.073346649,35.94333333,19521,1,3
"San Jose, CA",6.0855E+13,0.026576577,0.073346649,36.26034483,19521,1,3
"San Jose, CA",6.0855E+13,0.023157895,0.073346649,36.1637931,19521,1,3
"San Jose, CA",6.0855E+13,0.021498197,0.073346649,36.21363636,19521,1,3
"San Jose, CA",6.0855E+13,0.021615131,0.073346649,36.63,19521,1,3
"San Jose, CA",6.0855E+13,0.041779381,0.073346649,35.19,19521,1,3
"San Jose, CA",6.0855E+13,0.032781955,0.073346649,36.75689655,19521,1,3
"San Jose, CA",6.0855E+13,0.019696286,0.073346649,36.77333333,19521,1,3
"San Jose, CA",6.0855E+13,0.030588951,0.073346649,36.06034483,29059,1,3
"San Jose, CA",6.0855E+13,0.068944571,0.073346649,35.93,29059,1,3
"San Jose, CA",6.0855E+13,0.052479465,0.073346649,35.80862069,29059,1,3
"San Jose, CA",6.0855E+13,0.115444618,0.073346649,35.59,29059,1,3
"San Jose, CA",6.0855E+13,0.019019915,0.073346649,36.33421053,29059,1,3
"San Jose, CA",6.0855E+13,0.03407542,0.073346649,34.95666667,26200,1,3
"San Jose, CA",6.0855E+13,0.067657767,0.073346649,35.44655172,26200,1,3
"San Jose, CA",6.0855E+13,0.083977566,0.073346649,35.68103448,26200,1,3
"San Jose, CA",6.0855E+13,0.091294643,0.073346649,35.46428571,26200,1,3
"San Jose, CA",6.0855E+13,0.062639821,0.073346649,34.7,26200,1,3
"San Jose, CA",6.0855E+13,0.034743875,0.073346649,35.27857143,26200,1,3
"San Jose, CA",6.0855E+13,0.019222173,0.073346649,34.73,26200,1,3
"San Jose, CA",6.0855E+13,0.076423129,0.073346649,35.40263158,26200,1,3
"San Jose, CA",6.0855E+13,0.082039911,0.073346649,35.615,29064,1,3
"San Jose, CA",6.0855E+13,0.040739092,0.073346649,35.96052632,29064,1,3
"San Jose, CA",6.0855E+13,0.027864467,0.073346649,36.355,29064,1,3
"San Jose, CA",6.0855E+13,0.08990099,0.073346649,35.71818182,29064,1,3
"San Jose, CA",6.0855E+13,0.062116564,0.073346649,35.93695652,29064,1,3
"San Jose, CA",6.0855E+13,0.041089965,0.073346649,36.14047619,29064,1,3
"San Jose, CA",6.0855E+13,0.013557134,0.073346649,35.965,29064,1,3
"San Jose, CA",6.0855E+13,0.012698413,0.073346649,35.89375,19367,1,3
"San Jose, CA",6.0855E+13,0.028434941,0.073346649,36.465,22530,1,3
"San Jose, CA",6.0855E+13,0.025647059,0.073346649,36.11111111,22530,1,3
"San Jose, CA",6.0855E+13,0.022467235,0.073346649,36.79761905,22530,1,3
"San Jose, CA",6.0855E+13,0.020291693,0.073346649,36.35454546,22530,1,3
"San Jose, CA",6.0855E+13,0.020339856,0.073346649,36.95588235,22530,1,3
"San Jose, CA",6.0855E+13,0.014925373,0.073346649,36.92368421,22530,1,3
"San Jose, CA",6.0855E+13,0.008010681,0.073346649,37.11666667,17315,1,3
"San Jose, CA",6.0855E+13,0.004977376,0.073346649,37.36578947,17315,1,3
"San Jose, CA",6.0855E+13,0.035536442,0.073346649,37.035,17315,1,3
