Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Virginia Beach, VA",5.17E+14,0.203646564,0.231974566,29.34285714,13056,1,3
"Virginia Beach, VA",5.17E+14,0.150184188,0.231974566,29.38333333,13056,1,3
"Virginia Beach, VA",5.17E+14,0.16089895,0.231974566,29.21981132,13056,1,3
"Virginia Beach, VA",5.17E+14,0.249320088,0.231974566,28.60192308,13056,1,3
"Virginia Beach, VA",5.17E+14,0.282742792,0.231974566,29.14375,18177,1,3
"Virginia Beach, VA",5.17E+14,0.211261981,0.231974566,27.79545455,18177,1,3
"Virginia Beach, VA",5.17E+14,0.112047967,0.231974566,28.53695652,18177,1,3
"Virginia Beach, VA",5.17E+14,0.256866853,0.231974566,29.22948718,18177,1,3
"Virginia Beach, VA",5.17E+14,0.065794393,0.231974566,29.08636364,18177,1,3
"Virginia Beach, VA",5.17E+14,0.505504056,0.231974566,28.01666667,18177,1,3
"Virginia Beach, VA",5.17E+14,0.002332452,0.231974566,30.5,18177,1,3
"Virginia Beach, VA",5.17E+14,0.019719251,0.231974566,29.28846154,18177,1,3
"Virginia Beach, VA",5.17E+14,0.331942513,0.231974566,28.825,18177,1,3
"Virginia Beach, VA",5.17E+14,0.348460466,0.231974566,29.2275,18177,1,3
"Virginia Beach, VA",5.17E+14,5.52E-04,0.231974566,30.16290323,18177,1,3
"Virginia Beach, VA",5.17E+14,0.069625762,0.231974566,29.37272727,18177,1,3
"Virginia Beach, VA",5.17E+14,0.443052297,0.231974566,28.6631579,13058,1,3
"Virginia Beach, VA",5.17E+14,0.137157107,0.231974566,29.45,16646,1,3
"Virginia Beach, VA",5.17E+14,0.322702476,0.231974566,29.35,16646,1,3
"Virginia Beach, VA",5.17E+14,0.382728165,0.231974566,28.19,16646,1,3
"Virginia Beach, VA",5.17E+14,0.13027061,0.231974566,28.96538462,16646,1,3
"Virginia Beach, VA",5.17E+14,0.156905278,0.231974566,29.38333333,16646,1,3
"Virginia Beach, VA",5.17E+14,0.238965952,0.231974566,28.96428571,16646,1,3
"Virginia Beach, VA",5.17E+14,0.196825397,0.231974566,29.57857143,16646,1,3
"Virginia Beach, VA",5.18001E+14,0.533886755,0.231974566,27.8,15629,1,3
"Virginia Beach, VA",5.18001E+14,0.36725935,0.231974566,28.0875,15629,1,3
"Virginia Beach, VA",5.18001E+14,0.452229299,0.231974566,0,15629,1,3
"Virginia Beach, VA",5.17E+14,0.146683742,0.231974566,29.0933414,12569,1,3
"Virginia Beach, VA",5.17E+14,0.07463145,0.231974566,28.75625,20537,1,3
"Virginia Beach, VA",5.17E+14,0.333274555,0.231974566,27.92692308,20537,1,3
"Virginia Beach, VA",5.10951E+14,0.429996164,0.231974566,26.34090909,21305,1,3
"Virginia Beach, VA",5.10951E+14,0.62037037,0.231974566,24.85,21305,1,3
"Virginia Beach, VA",5.10951E+14,0.434289128,0.231974566,26.50714286,21305,1,3
"Virginia Beach, VA",5.10951E+14,0.312151616,0.231974566,27.31875,21305,1,3
"Virginia Beach, VA",5.10951E+14,0.103882476,0.231974566,28.79705882,21305,1,3
"Virginia Beach, VA",5.11991E+14,0.328977017,0.231974566,28.13,17729,1,3
"Virginia Beach, VA",5.11991E+14,0.218740934,0.231974566,28.15625,17729,1,3
"Virginia Beach, VA",5.17E+14,0.12605042,0.231974566,29.18461539,15703,1,3
"Virginia Beach, VA",5.17E+14,0.434272584,0.231974566,28.65030303,21591,1,3
"Virginia Beach, VA",5.17E+14,0.233736976,0.231974566,29.32692308,21591,1,3
